# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.126
metadata : {}


# id : NWRW1800000032.126.1.1
미, 대만 무기판매 계약…중, 미 대사 소환 항의

미,	미/NNP+,/SP
반발’이	반발/NNG+’/SS+이/JKS
지난해처럼	지난해/NNG+처럼/JKB
양국관계의	양국/NNG+관계/NNG+의/JKG
전면적	전면/NNG+적/XSN
악화로	악화/NNG+로/JKB
번지지는	번지/VV+지/EC+는/JX
않을	않/VX+을/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.126.8.2
내년 미국 대선과 중국 차세대 지도부 등장을 앞두고 양국 정부 모두 부담스러운 상황을 원치 않기 때문이다.

내년	내년/NNG
미국	미국/NNP
대선과	대선/NNG+과/JC
중국	중국/NNP
차세대	차세대/NNG
지도부	지도부/NNG
등장을	등장/NNG+을/JKO
앞두고	앞두/VV+고/EC
양국	양국/NNG
정부	정부/NNG
모두	모두/MAG
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
상황을	상황/NNG+을/JKO
원치	원/NNG+하/XSV+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.126.8.3
내년 1월 대만 총통 선거를 앞두고 중국은 강경조처가 대만 독립파를 강화시키는 부작용도 고려해야 한다.

내년	내년/NNG
1월	1/SN+월/NNB
대만	대만/NNP
총통	총통/NNG
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
중국은	중국/NNP+은/JX
강경조처가	강경/NNG+조처/NNG+가/JKS
독립파를	독립파/NNG+를/JKO
강화시키는	강화/NNG+시키/XSV+는/ETM
부작용도	부작용/NNG+도/JX
고려해야	고려/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.126.8.4
지난해 초 미국이 대만에 64억달러 상당의 무기를 판매하기로 발표하자 중국은 미국과의 군사교류 전면 중단으로 강하게 응수한 바 있다.

지난해	지난해/NNG
초	초/NNB
미국이	미국/NNP+이/JKS
대만에	대만/NNP+에/JKB
64억달러	64/SN+억/NR+달러/NNB
상당의	상당/NNG+의/JKG
무기를	무기/NNG+를/JKO
판매하기로	판매/NNG+하/XSV+기/ETN+로/JKB
발표하자	발표/NNG+하/XSV+자/EC
중국은	중국/NNP+은/JX
미국과의	미국/NNP+과/JKB+의/JKG
군사교류	군사/NNG+교류/NNG
전면	전면/NNG
중단으로	중단/NNG+으로/JKB
강하게	강하/VA+게/EC
응수한	응수/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


