# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.35
metadata : {}


# id : NWRW1800000046.35.1.1
힐러리, 망가져야 산다

힐러리,	힐러리/NNP+,/SP
이미지도	이미지/NNG+도/JX
여전히	여전히/MAG
걸림돌이었다.	걸림돌/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.6.2
지난 4월 출마 선언 때만 해도 과거 잘못을 되풀이하지 않겠다며 '서민' '할머니 리더십'을 내세웠다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
출마	출마/NNG
선언	선언/NNG
때만	때/NNG+만/JX
해도	하/VV+아도/EC
과거	과거/NNG
잘못을	잘못/NNG+을/JKO
되풀이하지	되풀이/NNG+하/XSV+지/EC
않겠다며	않/VX+겠/EP+다며/EC
'서민'	'/SS+서민/NNG+'/SS
'할머니	'/SS+할머니/NNG
리더십'을	리더십/NNG+'/SS+을/JKO
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.35.6.3
미니밴을 타고 1600㎞를 달려가 뉴햄프셔 주에서 처음 선거운동을 했다.

미니밴을	미니밴/NNG+을/JKO
타고	타/VV+고/EC
1600㎞를	1600/SN+㎞/SW+를/JKO
달려가	달려가/VV+아/EC
뉴햄프셔	뉴햄프셔/NNP
주에서	주/NNG+에서/JKB
처음	처음/NNG
선거운동을	선거/NNG+운동/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.6.4
전용기를 타고 다니며 호화 강연으로 수천억원 재산을 손쉽게 모은 데 대한 비난을 의식해서였다.

전용기를	전용기/NNG+를/JKO
타고	타/VV+고/EC
다니며	다니/VV+며/EC
호화	호화/NNG
강연으로	강연/NNG+으로/JKB
수천억원	수천억/NR+원/NNB
재산을	재산/NNG+을/JKO
손쉽게	손쉽/VA+게/EC
모은	모으/VV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
비난을	비난/NNG+을/JKO
의식해서였다.	의식/NNG+하/XSV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.6.5
하지만 그 먼 길을 달려가면서 힐러리는 단 한 번도 지역민들과 말을 섞지 않았다.

하지만	하지만/MAJ
그	그/MMD
먼	멀/VA+ㄴ/ETM
길을	길/NNG+을/JKO
달려가면서	달려가/VV+면서/EC
힐러리는	힐러리/NNP+는/JX
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
지역민들과	지역민/NNG+들/XSN+과/JKB
말을	말/NNG+을/JKO
섞지	섞/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.35.6.6
6월 첫 대중 유세 전까지는 언론 인터뷰도 피했다.

6월	6/SN+월/NNB
첫	첫/MMN
대중	대중/NNG
유세	유세/NNG
전까지는	전/NNG+까지/JX+는/JX
언론	언론/NNG
인터뷰도	인터뷰/NNG+도/JX
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.6.7
압권은 기자들을 소떼 몰 듯 밧줄로 통제한 일이었다.

압권은	압권/NNG+은/JX
기자들을	기자/NNG+들/XSN+을/JKO
소떼	소/NNG+떼/NNG
몰	몰/VV+ㄹ/ETM
듯	듯/NNB
밧줄로	밧줄/NNG+로/JKB
통제한	통제/NNG+하/XSV+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.6.8
힐러리 캠프 홍보국장인 제니퍼 팔미에리는 "뉴햄프셔 독립기념일 퍼레이드 때 밧줄을 사용해 접근을 막은 것은 힐러리와 국민 간의 간극을 그대로 드러내는 치명타였다"고 자인했다.

힐러리	힐러리/NNP
캠프	캠프/NNG
홍보국장인	홍보국장/NNG+이/VCP+ㄴ/ETM
제니퍼	제니퍼/NNP
팔미에리는	팔미에리/NNP+는/JX
"뉴햄프셔	"/SS+뉴햄프셔/NNP
독립기념일	독립/NNG+기념일/NNG
퍼레이드	퍼레이드/NNG
때	때/NNG
밧줄을	밧줄/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
접근을	접근/NNG+을/JKO
막은	막/VV+은/ETM
것은	것/NNB+은/JX
힐러리와	힐러리/NNP+와/JC
국민	국민/NNG
간의	간/NNB+의/JKG
간극을	간극/NNG+을/JKO
그대로	그대로/MAG
드러내는	드러내/VV+는/ETM
치명타였다"고	치명타/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
자인했다.	자인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.6.9
공화당의 선거 전략가인 에릭 페른스톰은 "도널드 트럼프가 승승장구하고, 힐러리가 망가지는 요소는 같다. 바로 진정성"이라고 분석했다.

공화당의	공화당/NNP+의/JKG
선거	선거/NNG
전략가인	전략가/NNG+이/VCP+ㄴ/ETM
에릭	에릭/NNP
페른스톰은	페른스톰/NNP+은/JX
"도널드	"/SS+도널드/NNP
트럼프가	트럼프/NNP+가/JKS
승승장구하고,	승승장구/NNG+하/XSV+고/EC+,/SP
힐러리가	힐러리/NNP+가/JKS
망가지는	망가지/VV+는/ETM
요소는	요소/NNG+는/JX
같다.	같/VA+다/EF+./SF
바로	바로/MAG
진정성"이라고	진정/NNG+성/XSN+"/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.6.10
마음이 아닌 말로만 '서민 코스프레(따라 하기)'를 했다는 지적이었다.

마음이	마음/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
말로만	말/NNG+로/JKB+만/JX
'서민	'/SS+서민/NNG
코스프레(따라	코스프레/NNG+(/SS+따라/JX
하기)'를	하/VV+기/ETN+)/SS+'/SS+를/JKO
했다는	하/VV+았/EP+다는/ETM
지적이었다.	지적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.7.1
힐러리 측은 본격 대응에 나섰다.

힐러리	힐러리/NNP
측은	측/NNB+은/JX
본격	본격/NNG
대응에	대응/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.35.7.2
하루 전만 해도 방송에서 잘못이 없다던 힐러리는 지난 8일 AP통신 인터뷰에서 이메일 게이트에 대해 처음 사과했다.

하루	하루/NNG
전만	전/NNG+만/JX
해도	하/VV+아도/EC
방송에서	방송/NNG+에서/JKB
잘못이	잘못/NNG+이/JKS
없다던	없/VA+다던/ETM
힐러리는	힐러리/NNP+는/JX
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
AP통신	AP통신/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
이메일	이메일/NNG
게이트에	게이트/NNG+에/JKB
대해	대하/VV+아/EC
처음	처음/NNG
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.7.3
각종 여론조사에서 '거짓말쟁이' '비호감' '진실성 부족' 등의 이미지가 씌워진 데 대해 참모들 조언대로 '솔직하고 직설적이고 분명한 말로' 대응한 것이다.

각종	각종/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
'거짓말쟁이'	'/SS+거짓말/NNG+쟁이/XSN+'/SS
'비호감'	'/SS+비/XPN+호감/NNG+'/SS
'진실성	'/SS+진실/NNG+성/XSN
부족'	부족/NNG+'/SS
등의	등/NNB+의/JKG
이미지가	이미지/NNG+가/JKS
씌워진	씌우/VV+어/EC+지/VX+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
참모들	참모/NNG+들/XSN
조언대로	조언/NNG+대로/JX
'솔직하고	'/SS+솔직하/VA+고/EC
직설적이고	직설/NNG+적/XSN+이/VCP+고/EC
분명한	분명/MAG+하/XSA+ㄴ/ETM
말로'	말/NNG+로/JKB+'/SS
대응한	대응/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.35.7.4
감성 전략의 하나로 NBC 방송의 '엘렌 드제너러스 쇼'에 출연해 춤을 따라 하는 파격도 선보였다.

감성	감성/NNG
전략의	전략/NNG+의/JKG
하나로	하나/NR+로/JKB
NBC	NBC/SL
방송의	방송/NNG+의/JKG
'엘렌	'/SS+엘렌/NNP
드제너러스	드제너러스/NNP
쇼'에	쇼/NNG+'/SS+에/JKB
출연해	출연/NNG+하/XSV+아/EC
춤을	춤/NNG+을/JKO
따라	따르/VV+아/EC
하는	하/VV+는/ETM
파격도	파격/NNG+도/JX
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.35.7.5
지미 팰런이 진행하는 '더 투나잇 쇼'에도 출연해 '예능감'도 보여줄 계획이다.

지미	지미/NNP
팰런이	팰런/NNP+이/JKS
진행하는	진행/NNG+하/XSV+는/ETM
'더	'/SS+더/NNG
투나잇	투나잇/NNG
쇼'에도	쇼/NNG+'/SS+에/JKB+도/JX
출연해	출연/NNG+하/XSV+아/EC
'예능감'도	'/SS+예능감/NNG+'/SS+도/JX
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.35.7.6
'어머니' 활용전략도 다시 나왔다.

'어머니'	'/SS+어머니/NNG+'/SS
활용전략도	활용/NNG+전략/NNG+도/JX
다시	다시/MAG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.7.7
ABC 뉴스 인터뷰에서 "네가 믿는 것을 위해 싸우라는 어머니가 자꾸 생각나고 그립다"며 눈물까지 흘렸다.

ABC	ABC/SL
뉴스	뉴스/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"네가	"/SS+네/NP+가/JKS
믿는	믿/VV+는/ETM
것을	것/NNB+을/JKO
위해	위하/VV+아/EC
싸우라는	싸우/VV+라는/ETM
어머니가	어머니/NNG+가/JKS
자꾸	자꾸/MAG
생각나고	생각나/VV+고/EC
그립다"며	그립/VA+다/EF+"/SS+며/EC
눈물까지	눈물/NNG+까지/JX
흘렸다.	흘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.35.8.1
힐러리 캠프는 그가 망가지기를 원한다.

힐러리	힐러리/NNP
캠프는	캠프/NNG+는/JX
그가	그/NP+가/JKS
망가지기를	망가지/VV+기/ETN+를/JKO
원한다.	원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.35.8.2
백발과 주름을 그대로 드러내고, 지적(知的) 이미지보다 자학성 유머라도 해서 국민에게 다가서라는 취지다.

백발과	백발/NNG+과/JC
주름을	주름/NNG+을/JKO
그대로	그대로/MAG
드러내고,	드러내/VV+고/EC+,/SP
지적(知的)	지/NNG+적/XSN+(/SS+知的/SH+)/SS
이미지보다	이미지/NNG+보다/JKB
자학성	자학/NNG+성/XSN
유머라도	유머/NNG+이/VCP+라도/EC
해서	하/VV+아서/EC
국민에게	국민/NNG+에게/JKB
다가서라는	다가서/VV+라는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.35.8.3
다음 달 13일 첫 민주당 대선 후보 TV 토론, 22일 크리스토퍼 스티븐스 대사 등 미국인 4명이 숨진 리비아 벵가지 사건 하원 청문회 출두 등 '10월 고비론'을 뚫고 힐러리가 반전의 계기를 만들지가 미국 대선의 최대 분수령이 될 것으로 보인다.

다음	다음/NNG
달	달/NNG
13일	13/SN+일/NNB
첫	첫/MMN
민주당	민주당/NNP
대선	대선/NNG
후보	후보/NNG
TV	TV/SL
토론,	토론/NNG+,/SP
22일	22/SN+일/NNB
크리스토퍼	크리스토퍼/NNP
스티븐스	스티븐스/NNP
대사	대사/NNG
등	등/NNB
미국인	미국인/NNG
4명이	4/SN+명/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
리비아	리비아/NNP
벵가지	벵가지/NNP
사건	사건/NNG
하원	하원/NNG
청문회	청문회/NNG
출두	출두/NNG
'10월	'/SS+10/SN+월/NNB
고비론'을	고비/NNG+론/XSN+'/SS+을/JKO
뚫고	뚫/VV+고/EC
힐러리가	힐러리/NNP+가/JKS
반전의	반전/NNG+의/JKG
계기를	계기/NNG+를/JKO
만들지가	만들/VV+지/EC+가/JX
미국	미국/NNP
대선의	대선/NNG+의/JKG
최대	최대/NNG
분수령이	분수령/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


