# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.54
metadata : {}


# id : NWRW1800000029.54.1.1
재개발때 임대주택 건설 절반으로 준다

재개발때	재/XPN+개발/NNG+때/NNG
하지만 전문가들은 이 같은 조치가 장기화 조짐을 보이고 있는 부동산경기 침체로 큰 효과를 보기는 어려울 것으로 분석했다.

하지만	하지만/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
이	이/NP
같은	같/VA+은/ETM
조치가	조치/NNG+가/JKS
장기화	장기/NNG+화/XSN
조짐을	조짐/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
부동산경기	부동산/NNG+경기/NNG
침체로	침체/NNG+로/JKB
큰	크/VA+ㄴ/ETM
효과를	효과/NNG+를/JKO
보기는	보/VV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.54.6.1
○ 재개발·재건축 사업 수익성 개선

○	○/SW
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
사업	사업/NNG
수익성	수익/NNG+성/XSN
개선	개선/NNG


# id : NWRW1800000029.54.7.1
정부는 우선 장기간 지연 또는 중단된 뉴타운, 재개발·재건축 사업을 촉진하기 위해 공공관리제를 보완하고 재정 지원을 늘리기로 했다.

정부는	정부/NNG+는/JX
우선	우선/MAG
장기간	장기간/NNG
지연	지연/NNG
또는	또는/MAG
중단된	중단/NNG+되/XSV+ㄴ/ETM
뉴타운,	뉴타운/NNG+,/SP
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
사업을	사업/NNG+을/JKO
촉진하기	촉진/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
공공관리제를	공공/NNG+관리/NNG+제/XSN+를/JKO
보완하고	보완/NNG+하/XSV+고/EC
재정	재정/NNG
지원을	지원/NNG+을/JKO
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.54.7.2
이를 위해 공공관리자가 이주대책과 관리처분계획 수립 단계까지 지원하고, 뉴타운 기반시설 설치비 지원 규모도 지난해 120억 원에서 올해 500억 원으로 늘렸다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
공공관리자가	공공/NNG+관리자/NNG+가/JKS
이주대책과	이주/NNG+대책/NNG+과/JC
관리처분계획	관리/NNG+처분/NNG+계획/NNG
수립	수립/NNG
단계까지	단계/NNG+까지/JX
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
뉴타운	뉴타운/NNG
기반시설	기반/NNG+시설/NNG
설치비	설치비/NNG
지원	지원/NNG
규모도	규모/NNG+도/JX
지난해	지난해/NNG
120억	120/SN+억/NR
원에서	원/NNB+에서/JKB
올해	올해/NNG
500억	500/SN+억/NR
원으로	원/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.54.8.1
정비사업 용적률(대지면적 대비 지하층을 제외한 건물총면적의 비율)을 법적 허용 상한까지 허용해주는 대신에 증가한 용적률의 일정 비율만큼 임대주택을 짓도록 한 ‘용적률 인센티브제도’를 전국의 모든 재건축·재개발 사업에 확대 적용하기로 했다.

정비사업	정비/NNG+사업/NNG
용적률(대지면적	용적/NNG+률/XSN+(/SS+대지/NNG+면적/NNG
대비	대비/NNG
지하층을	지하층/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
건물총면적의	건물/NNG+총면적/NNG+의/JKG
비율)을	비율/NNG+)/SS+을/JKO
법적	법/NNG+적/XSN
허용	허용/NNG
상한까지	상한/NNG+까지/JX
허용해주는	허용/NNG+하/XSV+아/EC+주/VX+는/ETM
대신에	대신/NNG+에/JKB
증가한	증가/NNG+하/XSV+ㄴ/ETM
용적률의	용적/NNG+률/XSN+의/JKG
일정	일정/NNG
비율만큼	비율/NNG+만큼/JKB
임대주택을	임대/NNG+주택/NNG+을/JKO
짓도록	짓/VV+도록/EC
한	하/VX+ㄴ/ETM
‘용적률	‘/SS+용적/NNG+률/XSN
인센티브제도’를	인센티브/NNG+제도/NNG+’/SS+를/JKO
전국의	전국/NNG+의/JKG
모든	모든/MMN
재건축·재개발	재/XPN+건축/NNG+·/SP+재/XPN+개발/NNG
사업에	사업/NNG+에/JKB
확대	확대/NNG
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.54.8.2
현재는 수도권에서만 적용되고 있다.

현재는	현재/NNG+는/JX
수도권에서만	수도/NNG+권/XSN+에서/JKB+만/JX
적용되고	적용/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.54.9.1
또 보금자리주택을 많이 짓는 시군구에서는 법정 비율의 최대 2분의 1까지 임대주택 건설 물량을 줄일 수 있도록 했다.

또	또/MAG
보금자리주택을	보금자리/NNG+주택/NNG+을/JKO
많이	많이/MAG
짓는	짓/VV+는/ETM
시군구에서는	시군구/NNG+에서/JKB+는/JX
법정	법정/NNG
비율의	비율/NNG+의/JKG
최대	최대/NNG
2분의	2/SN+분/NNB+의/JKG
1까지	1/SN+까지/JX
임대주택	임대/NNG+주택/NNG
건설	건설/NNG
물량을	물량/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.54.9.2
재개발 사업의 임대주택 의무 건설 비율도 수도권 과밀억제권역 이외 지역이라면 현행 17%에서 8.5∼17% 범위에서 자율 조정할 수 있게 했다.

재개발	재/XPN+개발/NNG
사업의	사업/NNG+의/JKG
임대주택	임대/NNG+주택/NNG
의무	의무/NNG
건설	건설/NNG
비율도	비율/NNG+도/JX
수도권	수도/NNG+권/XSN
과밀억제권역	과밀/NNG+억제/NNG+권역/NNG
이외	이외/NNG
지역이라면	지역/NNG+이/VCP+라면/EC
현행	현행/NNG
17%에서	17/SN+%/SW+에서/JKB
8.5∼17%	8/SN+./SP+5/SN+∼/SO+17/SN+%/SW
범위에서	범위/NNG+에서/JKB
자율	자율/NNG
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.54.9.3
수도권 이외 지역은 8.5∼17%에서 5∼17%로 선택범위를 확대했다.

수도권	수도/NNG+권/XSN
이외	이외/NNG
지역은	지역/NNG+은/JX
8.5∼17%에서	8/SN+./SP+5/SN+∼/SO+17/SN+%/SW+에서/JKB
5∼17%로	5/SN+∼/SO+17/SN+%/SW+로/JKB
선택범위를	선택/NNG+범위/NNG+를/JKO
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.54.9.4
4층 이하로 재개발하는 곳은 아예 임대주택을 짓지 않도록 했다.

4층	4/SN+층/NNG
이하로	이하/NNG+로/JKB
재개발하는	재/XPN+개발/NNG+하/XSV+는/ETM
곳은	곳/NNG+은/JX
아예	아예/MAG
임대주택을	임대/NNG+주택/NNG+을/JKO
짓지	짓/VV+지/EC
않도록	않/VX+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.54.10.1
이 밖에 조합 운영의 투명성 제고를 위해 조합 총회가 중요한 안건을 처리할 때 직접 참석 비율을 10%에서 20%로 상향 조정하고, 정비구역 내 세입자 보호를 위해 주거실태조사를 의무화하는 한편 세입자 전세자금 대출 상환기간을 연장하는 방안을 검토하기로 했다.

이	이/NP
밖에	밖/NNG+에/JKB
조합	조합/NNG
운영의	운영/NNG+의/JKG
투명성	투명/NNG+성/XSN
제고를	제고/NNG+를/JKO
위해	위하/VV+아/EC
총회가	총회/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
안건을	안건/NNG+을/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
때	때/NNG
직접	직접/NNG
참석	참석/NNG
비율을	비율/NNG+을/JKO
10%에서	10/SN+%/SW+에서/JKB
20%로	20/SN+%/SW+로/JKB
상향	상향/NNG
조정하고,	조정/NNG+하/XSV+고/EC+,/SP
정비구역	정비/NNG+구역/NNG
내	내/NNB
세입자	세입자/NNG
보호를	보호/NNG+를/JKO
주거실태조사를	주거/NNG+실태/NNG+조사/NNG+를/JKO
의무화하는	의무/NNG+화/XSN+하/XSV+는/ETM
한편	한편/NNG
전세자금	전세/NNG+자금/NNG
대출	대출/NNG
상환기간을	상환/NNG+기간/NNG+을/JKO
연장하는	연장/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.54.11.1
○ 재개발·재건축 사업방식 다양화

○	○/SW
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
사업방식	사업/NNG+방식/NNG
다양화	다양/NNG+화/XSN


# id : NWRW1800000029.54.12.1
정부는 전면적인 철거 위주의 재개발·재건축 사업 방식에서 벗어나 보전, 관리, 정비를 아우르는 도심지 정비 방식인 ‘주거지재생사업’과 주민이 자율적으로 정비사업을 벌이는 ‘소규모 주택정비사업’을 새로 도입하기로 했다.

정부는	정부/NNG+는/JX
전면적인	전면/NNG+적/XSN+이/VCP+ㄴ/ETM
철거	철거/NNG
위주의	위주/NNG+의/JKG
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
사업	사업/NNG
방식에서	방식/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
보전,	보전/NNG+,/SP
관리,	관리/NNG+,/SP
정비를	정비/NNG+를/JKO
아우르는	아우르/VV+는/ETM
도심지	도심지/NNG
정비	정비/NNG
방식인	방식/NNG+이/VCP+ㄴ/ETM
‘주거지재생사업’과	‘/SS+주거지/NNG+재생/NNG+사업/NNG+’/SS+과/JC
주민이	주민/NNG+이/JKS
자율적으로	자율/NNG+적/XSN+으로/JKB
정비사업을	정비/NNG+사업/NNG+을/JKO
벌이는	벌이/VV+는/ETM
‘소규모	‘/SS+소/XPN+규모/NNG
주택정비사업’을	주택/NNG+정비/NNG+사업/NNG+’/SS+을/JKO
새로	새로/MAG
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.54.13.1
소규모 주택정비사업은 너비 6m 이상의 도로로 둘러싸인 지역으로서 주택 100채 이내이거나 면적이 1000m² 이상, 5000m² 이내 지역을 대상으로 주민 스스로 정비구역을 정해 재건축 사업 등을 벌이는 것이다.

소규모	소/XPN+규모/NNG
주택정비사업은	주택/NNG+정비/NNG+사업/NNG+은/JX
너비	너비/NNG
6m	6/SN+m/SW
이상의	이상/NNG+의/JKG
도로로	도로/NNG+로/JKB
둘러싸인	둘러싸이/VV+ㄴ/ETM
지역으로서	지역/NNG+으로서/JKB
주택	주택/NNG
100채	100/SN+채/NNB
이내이거나	이내/NNG+이/VCP+거나/EC
면적이	면적/NNG+이/JKS
1000m²	1000/SN+m²/SW
이상,	이상/NNG+,/SP
5000m²	5000/SN+m²/SW
이내	이내/NNG
지역을	지역/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
주민	주민/NNG
스스로	스스로/MAG
정비구역을	정비/NNG+구역/NNG+을/JKO
정해	정하/VV+아/EC
재건축	재/XPN+건축/NNG
사업	사업/NNG
등을	등/NNB+을/JKO
벌이는	벌이/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.54.14.1
사업 추진이 어려워진 뉴타운 등 정비구역을 쉽게 해제하는 방안도 마련했다.

사업	사업/NNG
추진이	추진/NNG+이/JKS
어려워진	어렵/VA+어/EC+지/VX+ㄴ/ETM
뉴타운	뉴타운/NNG
등	등/NNB
정비구역을	정비/NNG+구역/NNG+을/JKO
쉽게	쉽/VA+게/EC
해제하는	해제/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.54.14.2
진행 중인 정비사업은 일정 비율 이상의 주민이 동의하면 추진위원회나 조합의 설립인가 취소 및 해당 구역의 해제가 가능하도록 했다.

진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
정비사업은	정비/NNG+사업/NNG+은/JX
일정	일정/NNG
비율	비율/NNG
이상의	이상/NNG+의/JKG
주민이	주민/NNG+이/JKS
동의하면	동의/NNG+하/XSV+면/EC
추진위원회나	추진/NNG+위원회/NNG+나/JC
조합의	조합/NNG+의/JKG
설립인가	설립/NNG+인가/NNG
취소	취소/NNG
및	및/MAG
해당	해당/NNG
구역의	구역/NNG+의/JKG
해제가	해제/NNG+가/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.54.14.3
새로 추진되는 정비사업은 진행 단계별로 3년 이상 사업이 지연되면 각 단계에서 해당 구역을 자동 해제하는 ‘일몰제’를 도입하기로 했다.

새로	새로/MAG
추진되는	추진/NNG+되/XSV+는/ETM
정비사업은	정비/NNG+사업/NNG+은/JX
진행	진행/NNG
단계별로	단계/NNG+별/XSN+로/JKB
3년	3/SN+년/NNB
이상	이상/NNG
사업이	사업/NNG+이/JKS
지연되면	지연/NNG+되/XSV+면/EC
각	각/MMD
단계에서	단계/NNG+에서/JKB
해당	해당/NNG
구역을	구역/NNG+을/JKO
자동	자동/NNG
해제하는	해제/NNG+하/XSV+는/ETM
‘일몰제’를	‘/SS+일몰/NNG+제/XSN+’/SS+를/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


