# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.47
metadata : {}


# id : NWRW1800000048.47.1.1
300억대 재산 숨겨놓고 빚 탕감받은 회장님

300억대	300/SN+억/NR+대/XSN
검찰은 회삿돈 78억원을 빼돌린 혐의(특정경제범죄 가중처벌법의 횡령)로 박 회장의 차남인 박정빈(42) 신원그룹 부회장도 불구속 기소했다.

검찰은	검찰/NNG+은/JX
회삿돈	회삿돈/NNG
78억원을	78/SN+억/NR+원/NNB+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
혐의(특정경제범죄	혐의/NNG+(/SS+특정/NNG+경제/NNG+범죄/NNG
가중처벌법의	가중/NNG+처벌법/NNG+의/JKG
횡령)로	횡령/NNG+)/SS+로/JKB
박	박/NNP
회장의	회장/NNG+의/JKG
차남인	차남/NNG+이/VCP+ㄴ/ETM
박정빈(42)	박정빈/NNP+(/SS+42/SN+)/SS
신원그룹	신원그룹/NNP
부회장도	부회장/NNG+도/JX
불구속	불/XPN+구속/NNG
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.47.7.1
이번 수사는 박 부회장의 주식투자가 단초가 됐다.

이번	이번/NNG
수사는	수사/NNG+는/JX
박	박/NNP
부회장의	부회장/NNG+의/JKG
주식투자가	주식/NNG+투자/NNG+가/JKS
단초가	단초/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.47.7.2
그는 2010~2012년 회삿돈 78억원을 빼돌려 주식투자 등에 썼고, 이런 사실을 나중에 안 박 회장이 아들 대신 빼돌린 돈을 갚았다고 한다.

그는	그/NP+는/JX
2010~2012년	2010/SN+~/SO+2012/SN+년/NNB
회삿돈	회삿돈/NNG
78억원을	78/SN+억/NR+원/NNB+을/JKO
빼돌려	빼돌리/VV+어/EC
주식투자	주식/NNG+투자/NNG
등에	등/NNB+에/JKB
썼고,	쓰/VV+었/EP+고/EC+,/SP
이런	이런/MMD
사실을	사실/NNG+을/JKO
나중에	나중/NNG+에/JKB
안	알/VV+ㄴ/ETM
박	박/NNP
회장이	회장/NNG+이/JKS
아들	아들/NNG
대신	대신/NNG
빼돌린	빼돌리/VV+ㄴ/ETM
돈을	돈/NNG+을/JKO
갚았다고	갚/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.47.7.3
국세청은 이 돈의 출처가 차명재산임을 확인하고 4월에 박 회장을 조세포탈 혐의로 고발했다.

국세청은	국세청/NNG+은/JX
이	이/MMD
돈의	돈/NNG+의/JKG
출처가	출처/NNG+가/JKS
차명재산임을	차명/NNG+재산/NNG+이/VCP+ㅁ/ETN+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
4월에	4/SN+월/NNB+에/JKB
박	박/NNP
회장을	회장/NNG+을/JKO
조세포탈	조세/NNG+포탈/NNG
혐의로	혐의/NNG+로/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.47.7.4
검찰은 차명재산이 더 있을 것으로 보고 의심 가는 토지 등기부를 일일이 확인해 숨겨진 부동산을 찾아냈다.

검찰은	검찰/NNG+은/JX
차명재산이	차명/NNG+재산/NNG+이/JKS
더	더/MAG
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
의심	의심/NNG
가는	가/VV+는/ETM
토지	토지/NNG
등기부를	등기부/NNG+를/JKO
일일이	일일이/MAG
확인해	확인/NNG+하/XSV+아/EC
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
부동산을	부동산/NNG+을/JKO
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.47.7.5
이 업체 2대주주의 주식도 실소유주가 박 회장인 것으로 확인됐다.

이	이/MMD
업체	업체/NNG
2대주주의	2/SN+대/NNG+주주/NNG+의/JKG
주식도	주식/NNG+도/JX
실소유주가	실소유주/NNG+가/JKS
박	박/NNP
회장인	회장/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.47.8.1
검찰은 박 회장이 앞서 1998년 외환위기로 신원의 경영 상태가 악화됐을 때도 워크아웃 신청을 하면서 집을 제외한 전 재산을 내놓는 조건으로 수천억원의 채무를 감면 또는 출자전환 받고 540억원의 신규 운영자금을 지원받았다고 밝혔다.

검찰은	검찰/NNG+은/JX
박	박/NNP
회장이	회장/NNG+이/JKS
앞서	앞서/MAG
1998년	1998/SN+년/NNB
외환위기로	외환/NNG+위기/NNG+로/JKB
신원의	신원/NNP+의/JKG
경영	경영/NNG
상태가	상태/NNG+가/JKS
악화됐을	악화/NNG+되/XSV+었/EP+을/ETM
때도	때/NNG+도/JX
워크아웃	워크아웃/NNG
신청을	신청/NNG+을/JKO
하면서	하/VV+면서/EC
집을	집/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
전	전/MMN
재산을	재산/NNG+을/JKO
내놓는	내놓/VV+는/ETM
조건으로	조건/NNG+으로/JKB
수천억원의	수천억/NR+원/NNB+의/JKG
채무를	채무/NNG+를/JKO
감면	감면/NNG
또는	또는/MAG
출자전환	출자/NNG+전환/NNG
받고	받/VV+고/EC
540억원의	540/SN+억/NR+원/NNB+의/JKG
신규	신규/NNG
운영자금을	운영/NNG+자금/NNG+을/JKO
지원받았다고	지원/NNG+받/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.47.8.2
박 회장은 2003년 워크아웃을 졸업하자 페이퍼컴퍼니와 차명재산을 이용해 경영권을 되찾은 것으로 조사됐다.

박	박/NNP
회장은	회장/NNG+은/JX
2003년	2003/SN+년/NNB
워크아웃을	워크아웃/NNG+을/JKO
졸업하자	졸업/NNG+하/XSV+자/EC
페이퍼컴퍼니와	페이퍼/NNG+컴퍼니/NNG+와/JC
차명재산을	차명/NNG+재산/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
경영권을	경영/NNG+권/XSN+을/JKO
되찾은	되찾/VV+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


