# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.190
metadata : {}


# id : NWRW1800000056.190.1.1
무법자 같은 ‘노조파괴’ 유성기업 회장

무법자	무법자/NNG
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.190.7.1
또 유 회장은 피해자인 금속노조에 진정성 있는 사과를 하거나 노사 관계를 회복할 뜻이 없음을 분명히 했다.

또	또/MAG
유	유/NNP
회장은	회장/NNG+은/JX
피해자인	피해자/NNG+이/VCP+ㄴ/ETM
금속노조에	금속노조/NNP+에/JKB
진정성	진정/NNG+성/XSN
있는	있/VA+는/ETM
사과를	사과/NNG+를/JKO
하거나	하/VV+거나/EC
노사	노사/NNG
관계를	관계/NNG+를/JKO
회복할	회복/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
없음을	없/VA+음/ETN+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.190.7.2
그는 “최근 내가 구속이 되면 가석방(보석)이라도 받기 위해 부당한 타협을 할 것이라는 말이 있다고 하는데 그런 일은 결단코 없을 것”이라고 밝혔다.

그는	그/NP+는/JX
“최근	“/SS+최근/MAG
내가	내/NP+가/JKS
구속이	구속/NNG+이/JKC
되면	되/VV+면/EC
가석방(보석)이라도	가/XPN+석방/NNG+(/SS+보석/NNG+)/SS+이라도/JX
받기	받/VV+기/ETN
위해	위하/VV+아/EC
부당한	부당/NNG+하/XSA+ㄴ/ETM
타협을	타협/NNG+을/JKO
할	하/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
말이	말/NNG+이/JKS
있다고	있/VA+다고/EC
하는데	하/VV+는데/EC
그런	그런/MMD
일은	일/NNG+은/JX
결단코	결단코/MAG
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.190.8.1
유성기업이 법원 판결에 불복하는 것은 이번이 처음이 아니다.

유성기업이	유성기업/NNP+이/JKS
법원	법원/NNG
판결에	판결/NNG+에/JKB
불복하는	불복/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이	처음/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000056.190.8.2
2013년 10월 징계권을 남용해 조합원을 해고한 것에 대해 법원이 지난해 7월 부당노동행위라며 해고 무효 판결을 내렸지만, 조합원을 복귀시키지 않았다.

2013년	2013/SN+년/NNB
10월	10/SN+월/NNB
징계권을	징계/NNG+권/XSN+을/JKO
남용해	남용/NNG+하/XSV+아/EC
조합원을	조합원/NNG+을/JKO
해고한	해고/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
법원이	법원/NNG+이/JKS
지난해	지난해/NNG
7월	7/SN+월/NNB
부당노동행위라며	부당/NNG+노동/NNG+행위/NNG+이/VCP+라며/EC
해고	해고/NNG
무효	무효/NNG
판결을	판결/NNG+을/JKO
내렸지만,	내리/VV+었/EP+지만/EC+,/SP
복귀시키지	복귀/NNG+시키/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.190.8.3
또 2015년 직장폐쇄나 징계 기간에 지불하지 않은 임금 38억원을 조합원 270여명에게 지불하라고 법원이 판결했지만 역시 이행하지 않았다.

또	또/MAG
2015년	2015/SN+년/NNB
직장폐쇄나	직장/NNG+폐쇄/NNG+나/JC
징계	징계/NNG
기간에	기간/NNG+에/JKB
지불하지	지불/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
임금	임금/NNG
38억원을	38/SN+억/NR+원/NNB+을/JKO
조합원	조합원/NNG
270여명에게	270/SN+여/XSN+명/NNB+에게/JKB
지불하라고	지불/NNG+하/XSV+라고/EC
법원이	법원/NNG+이/JKS
판결했지만	판결/NNG+하/XSV+았/EP+지만/EC
역시	역시/MAG
이행하지	이행/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.190.8.4
지난해 4월 회사 주도로 설립된 어용노조는 무효라고 법원이 판결하자, 닷새 만에 무효 판결을 받은 노조의 위원장 등을 주축으로 새 노조를 만들기도 했다.

지난해	지난해/NNG
4월	4/SN+월/NNB
회사	회사/NNG
주도로	주도/NNG+로/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
어용노조는	어용/NNG+노조/NNG+는/JX
무효라고	무효/NNG+이/VCP+라고/EC
법원이	법원/NNG+이/JKS
판결하자,	판결/NNG+하/XSV+자/EC+,/SP
닷새	닷새/NNG
만에	만/NNB+에/JKB
무효	무효/NNG
판결을	판결/NNG+을/JKO
받은	받/VV+은/ETM
노조의	노조/NNG+의/JKG
위원장	위원장/NNG
등을	등/NNB+을/JKO
주축으로	주축/NNG+으로/JKB
새	새/MMA
노조를	노조/NNG+를/JKO
만들기도	만들/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.190.9.1
금속노조 유성지회를 변론하는 김상은 변호사는 “2심이 형량을 줄이려면 피고인이 범행을 깊이 반성하거나 피해를 충분히 변상해야 해야 하는데 유 회장은 이러한 사정 변경이 전혀 없다”며 “2심도 실형을 유지해 유 회장의 책임을 엄히 물어야 한다”고 말했다.

금속노조	금속노조/NNP
유성지회를	유성/NNP+지회/NNG+를/JKO
변론하는	변론/NNG+하/XSV+는/ETM
김상은	김상은/NNP
변호사는	변호사/NNG+는/JX
“2심이	“/SS+2심/NNG+이/JKS
형량을	형량/NNG+을/JKO
줄이려면	줄이/VV+려면/EC
피고인이	피고인/NNG+이/JKS
범행을	범행/NNG+을/JKO
깊이	깊이/MAG
반성하거나	반성/NNG+하/XSV+거나/EC
피해를	피해/NNG+를/JKO
충분히	충분히/MAG
변상해야	변상/NNG+하/XSV+아야/EC
해야	하/VX+아야/EC
하는데	하/VX+는데/EC
유	유/NNP
회장은	회장/NNG+은/JX
이러한	이러하/VA+ㄴ/ETM
사정	사정/NNG
변경이	변경/NNG+이/JKS
전혀	전혀/MAG
없다”며	없/VA+다/EF+”/SS+며/EC
“2심도	“/SS+2심/NNG+도/JX
실형을	실형/NNG+을/JKO
유지해	유지/NNG+하/XSV+아/EC
회장의	회장/NNG+의/JKG
책임을	책임/NNG+을/JKO
엄히	엄히/MAG
물어야	묻/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


