# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.70
metadata : {}


# id : NWRW1800000045.70.1.1
[골든걸]르네상스 서울 호텔 정승조 셰프가 플로리다 내추럴 주스로 만들었어요!

[골든걸]르네상스	[/SS+골든걸/NNG+]/SS+르네상스/NNG
끓이다가	끓이/VV+다가/EC
1과	1/SN+과/JC
소금을	소금/NNG+을/JKO
섞어	섞/VV+어/EC
자몽	자몽/NNG
바닐라	바닐라/NNG
크림을	크림/NNG+을/JKO
만들어	만들/VV+어/EC
식힌다.	식히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.28.1
3.2에 크림치즈, 슈가파우더를 섞은 뒤 식힌다.

3.2에	3/SN+./SF+2/SN+에/JKB
크림치즈,	크림치즈/NNG+,/SP
슈가파우더를	슈가/NNG+파우더/NNG+를/JKO
섞은	섞/VV+은/ETM
뒤	뒤/NNG
식힌다.	식히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.29.1
4.타르트쉘에 녹인 초콜릿을 바르고 3을 채운 후 베리를 올려 장식한다.

4.타르트쉘에	4/SN+./SF+타르트쉘/NNG+에/JKB
녹인	녹이/VV+ㄴ/ETM
초콜릿을	초콜릿/NNG+을/JKO
바르고	바르/VV+고/EC
3을	3/SN+을/JKO
채운	채우/VV+ㄴ/ETM
후	후/NNG
베리를	베리/NNG+를/JKO
올려	올리/VV+어/EC
장식한다.	장식/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.30.1
Comment

Comment	Comment/SL


# id : NWRW1800000045.70.31.1
송지유 크림만 만들면 한 입 크기로 먹을 수 있는 디저트가 완성되니 쉽게 활용할 수 있어요.

송지유	송지유/NNP
크림만	크림/NNG+만/JX
만들면	만들/VV+면/EC
한	한/MMN
입	입/NNG
크기로	크기/NNG+로/JKB
먹을	먹/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
디저트가	디저트/NNG+가/JKS
완성되니	완성/NNG+되/XSV+니/EC
쉽게	쉽/VA+게/EC
활용할	활용/NNG+하/XSV+ㄹ/ETM
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000045.70.32.1
신경아 자몽과 크림치즈가 어울려 지나치게 달지 않고 느끼하지 않아 맛있어요.

신경아	신경아/NNP
자몽과	자몽/NNG+과/JC
크림치즈가	크림치즈/NNG+가/JKS
어울려	어울리/VV+어/EC
지나치게	지나치/VA+게/EC
달지	달/VV+지/EC
않고	않/VX+고/EC
느끼하지	느끼하/VA+지/EC
않아	않/VX+아/EC
맛있어요.	맛있/VA+어요/EF+./SF


# id : NWRW1800000045.70.33.1
달콤한 홈파티 메뉴로 딱! 자몽 딸기 무스

달콤한	달콤하/VA+ㄴ/ETM
홈파티	홈/NNG+파티/NNG
메뉴로	메뉴/NNG+로/JKB
딱!	딱/MAG+!/SF
자몽	자몽/NNG
딸기	딸기/NNG
무스	무스/NNG


# id : NWRW1800000045.70.34.1
재료 자몽 시럽(플로리다 내추럴 자몽 주스 240mL, 설탕 240g, 젤라틴 40g), 달걀 노른자 2개, 달걀 1개, 설탕 30g, 휘핑크림 120g, 딸기 6개

재료	재료/NNG
자몽	자몽/NNG
시럽(플로리다	시럽/NNG+(/SS+플로리다/NNP
내추럴	내추럴/NNG
주스	주스/NNG
240mL,	240/SN+mL/SW+,/SP
설탕	설탕/NNG
240g,	240/SN+g/SW+,/SP
젤라틴	젤라틴/NNG
40g),	40/SN+g/SW+)/SS+,/SP
달걀	달걀/NNG
노른자	노른자/NNG
2개,	2/SN+개/NNB+,/SP
1개,	1/SN+개/NNB+,/SP
30g,	30/SN+g/SW+,/SP
휘핑크림	휘핑크림/NNG
120g,	120/SN+g/SW+,/SP
딸기	딸기/NNG
6개	6/SN+개/NNB


# id : NWRW1800000045.70.35.1
만드는 법

만드는	만들/VV+는/ETM
법	법/NNB


# id : NWRW1800000045.70.36.1
1.약불을 사용해서, 냄비에 플로리다 내추럴 자몽 주스를 넣은 후 설탕을 넣고 녹인다.

1.약불을	1/SN+./SF+약불/NNG+을/JKO
사용해서,	사용/NNG+하/XSV+아서/EC+,/SP
냄비에	냄비/NNG+에/JKB
플로리다	플로리다/NNP
내추럴	내추럴/NNG
자몽	자몽/NNG
주스를	주스/NNG+를/JKO
넣은	넣/VV+은/ETM
후	후/NNG
설탕을	설탕/NNG+을/JKO
넣고	넣/VV+고/EC
녹인다.	녹이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.37.1
2.젤라틴을 중탕으로 녹인 뒤 1과 섞어 냉장고에서 식혀 걸쭉한 자몽 시럽을 만든다.

2.젤라틴을	2/SN+./SF+젤라틴/NNG+을/JKO
중탕으로	중탕/NNG+으로/JKB
녹인	녹이/VV+ㄴ/ETM
뒤	뒤/NNG
1과	1/SN+과/JKB
섞어	섞/VV+어/EC
냉장고에서	냉장고/NNG+에서/JKB
식혀	식히/VV+어/EC
걸쭉한	걸쭉하/VA+ㄴ/ETM
자몽	자몽/NNG
시럽을	시럽/NNG+을/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.38.1
3.달걀, 설탕을 중탕으로 섞다가 거품이 올라오면 얼음물에식히면서 휘핑한다.

3.달걀,	3/SN+./SF+달걀/NNG+,/SP
설탕을	설탕/NNG+을/JKO
중탕으로	중탕/NNG+으로/JKB
섞다가	섞/VV+다가/EC
거품이	거품/NNG+이/JKS
올라오면	올라오/VV+면/EC
얼음물에식히면서	얼음물/NNG+에/JKB+식히/VV+면서/EC
휘핑한다.	휘핑/NNG+하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.39.1
4.휘핑크림과 3을 섞어 그릇에 채운 뒤 딸기를 장식하고 2를 뿌린다.

4.휘핑크림과	4/SN+./SF+휘핑크림/NNG+과/JC
3을	3/SN+을/JKO
섞어	섞/VV+어/EC
그릇에	그릇/NNG+에/JKB
채운	채우/VV+ㄴ/ETM
뒤	뒤/NNG
딸기를	딸기/NNG+를/JKO
장식하고	장식/NNG+하/XSV+고/EC
2를	2/SN+를/JKO
뿌린다.	뿌리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.40.1
Comment

Comment	Comment/SL


# id : NWRW1800000045.70.41.1
송지유 자몽향이 신선해 새로운 홈파티 메뉴로 좋을 것 같아요.

송지유	송지유/NNP
자몽향이	자몽/NNG+향/NNG+이/JKS
신선해	신선하/VA+아/EC
새로운	새롭/VA+ㄴ/ETM
홈파티	홈/NNG+파티/NNG
메뉴로	메뉴/NNG+로/JKB
좋을	좋/VA+을/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000045.70.42.1
신경아 자몽의 상큼함을 그대로 느낄 수 있는 디저트 메뉴에요.

신경아	신경아/NNP
자몽의	자몽/NNG+의/JKG
상큼함을	상큼하/VA+ㅁ/ETN+을/JKO
그대로	그대로/MAG
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
디저트	디저트/NNG
메뉴에요.	메뉴/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000045.70.43.1
요리/정승조(르네상스 서울 호텔 총괄 파티셰)

요리/정승조(르네상스	요리/NNG+//SP+정승조/NNP+(/SS+르네상스/NNG
서울	서울/NNP
호텔	호텔/NNG
총괄	총괄/NNG
파티셰)	파티셰/NNG+)/SS


# id : NWRW1800000045.70.44.1
진행/이은희(클래스 진행자 & 생활 칼럼니스트), 이민희(생활 칼럼니스트)

진행/이은희(클래스	진행/NNG+//SP+이은희/NNP+(/SS+클래스/NNG
진행자	진행자/NNG
&	&/SW
생활	생활/NNG
칼럼니스트),	칼럼니스트/NNG+)/SS+,/SP
이민희(생활	이민희/NNP+(/SS+생활/NNG
칼럼니스트)	칼럼니스트/NNG+)/SS


# id : NWRW1800000045.70.45.1
사진/이혜련(푸드 포토그래퍼)

사진/이혜련(푸드	사진/NNG+//SP+이혜련/NNP+(/SS+푸드/NNG
포토그래퍼)	포토그래퍼/NNG+)/SS


