# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.296
metadata : {}


# id : NWRW1800000038.296.1.1
[김영수의 경제포커스] 운동권 노래에 잠 깨는 아침

[김영수의	[/SS+김영수/NNP+의/JKG
현장에서는	현장/NNG+에서/JKB+는/JX
경찰들이	경찰/NNG+들/XSN+이/JKS
시위대에	시위대/NNG+에/JKB
억류돼서	억류/NNG+되/XSV+어서/EC
각서를	각서/NNG+를/JKO
쓰고	쓰/VV+고/EC
풀려나는	풀려나/VV+는/ETM
진풍경이	진풍경/NNG+이/JKS
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.4.4
서울 서초동 삼성그룹 본관이나 금융위원회가 입주한 중구 태평로 프레스센터에서도 매일 꽹과리와 고함에 행인들이 진저리를 친다.

서울	서울/NNP
서초동	서초동/NNP
삼성그룹	삼성그룹/NNP
본관이나	본관/NNG+이나/JC
금융위원회가	금융/NNG+위원회/NNG+가/JKS
입주한	입주/NNG+하/XSV+ㄴ/ETM
중구	중구/NNP
태평로	태평로/NNP
프레스센터에서도	프레스센터/NNP+에서/JKB+도/JX
매일	매일/MAG
꽹과리와	꽹과리/NNG+와/JC
고함에	고함/NNG+에/JKB
행인들이	행인/NNG+들/XSN+이/JKS
진저리를	진저리/NNG+를/JKO
친다.	치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.5.1
대기업 회장이 재판받는 법정을 가보면 더 가관이다.

대기업	대/XPN+기업/NNG
회장이	회장/NNG+이/JKS
재판받는	재판/NNG+받/XSV+는/ETM
법정을	법정/NNG+을/JKO
가보면	가/VV+아/EC+보/VX+면/EC
더	더/MAG
가관이다.	가관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.296.5.2
숱한 민원인들이 인신공격적인 문구가 적힌 플래카드를 내걸고 고의적으로 몸싸움을 벌인다.

숱한	숱하/VA+ㄴ/ETM
민원인들이	민원인/NNG+들/XSN+이/JKS
인신공격적인	인신공격/NNG+적/XSN+이/VCP+ㄴ/ETM
문구가	문구/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
플래카드를	플래카드/NNG+를/JKO
내걸고	내걸/VV+고/EC
고의적으로	고의/NNG+적/XSN+으로/JKB
몸싸움을	몸싸움/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.5.3
기업을 압박해서 보상을 받는 데는 '노이즈 마케팅'이 훨씬 효과적이라는 것이다.

기업을	기업/NNG+을/JKO
압박해서	압박/NNG+하/XSV+아서/EC
보상을	보상/NNG+을/JKO
받는	받/VV+는/ETM
데는	데/NNB+는/JX
'노이즈	'/SS+노이즈/NNG
마케팅'이	마케팅/NNG+'/SS+이/JKS
훨씬	훨씬/MAG
효과적이라는	효과/NNG+적/XSN+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.296.5.4
공권력의 마지막 수호자인 법원 안에서 불법 시위가 벌어지는 마당에 아침마다 운동 가요에 시달리는 것은 약과일지 모른다.

공권력의	공권력/NNG+의/JKG
마지막	마지막/NNG
수호자인	수호자/NNG+이/VCP+ㄴ/ETM
법원	법원/NNG
안에서	안/NNG+에서/JKB
불법	불법/NNG
시위가	시위/NNG+가/JKS
벌어지는	벌어지/VV+는/ETM
마당에	마당/NNB+에/JKB
아침마다	아침/NNG+마다/JX
운동	운동/NNG
가요에	가요/NNG+에/JKB
시달리는	시달리/VV+는/ETM
것은	것/NNB+은/JX
약과일지	약과/NNG+이/VCP+ㄹ지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.6.1
법과 공권력의 신뢰가 땅에 떨어져서는 선진국 진입은 어림없다.

법과	법/NNG+과/JC
공권력의	공권력/NNG+의/JKG
신뢰가	신뢰/NNG+가/JKS
땅에	땅/NNG+에/JKB
떨어져서는	떨어지/VV+어서/EC+는/JX
선진국	선진국/NNG
진입은	진입/NNG+은/JX
어림없다.	어림없/VA+다/EF+./SF


# id : NWRW1800000038.296.6.2
미국의 정치철학자 프랜시스 후쿠야마는 '신뢰'라는 저서에서 "자본주의 경제가 발전하려면 사회적 신뢰가 가장 중요하다"고 했다.

미국의	미국/NNP+의/JKG
정치철학자	정치/NNG+철학자/NNG
프랜시스	프랜시스/NNP
후쿠야마는	후쿠야마/NNP+는/JX
'신뢰'라는	'/SS+신뢰/NNG+'/SS+이/VCP+라는/ETM
저서에서	저서/NNG+에서/JKB
"자본주의	"/SS+자본주의/NNG
경제가	경제/NNG+가/JKS
발전하려면	발전/NNG+하/XSV+려면/EC
사회적	사회/NNG+적/XSN
신뢰가	신뢰/NNG+가/JKS
가장	가장/MAG
중요하다"고	중요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.296.6.3
신뢰가 경제성장을 촉진하는 중요한 사회적 자본이라는 뜻이다.

신뢰가	신뢰/NNG+가/JKS
경제성장을	경제/NNG+성장/NNG+을/JKO
촉진하는	촉진/NNG+하/XSV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
사회적	사회/NNG+적/XSN
자본이라는	자본/NNG+이/VCP+라는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.296.6.4
신뢰가 부족하면 그만큼 비용이 늘어나고, 모두가 손해를 본다.

신뢰가	신뢰/NNG+가/JKS
부족하면	부족/NNG+하/XSA+면/EC
그만큼	그만큼/MAG
비용이	비용/NNG+이/JKS
늘어나고,	늘어나/VV+고/EC+,/SP
모두가	모두/NNG+가/JKS
손해를	손해/NNG+를/JKO
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.6.5
신뢰란 법과 공권력에 뿌리를 두고 엄격한 심판과 감시를 통해 완성된다.

신뢰란	신뢰/NNG+란/JX
법과	법/NNG+과/JC
공권력에	공권력/NNG+에/JKB
뿌리를	뿌리/NNG+를/JKO
두고	두/VV+고/EC
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
심판과	심판/NNG+과/JC
감시를	감시/NNG+를/JKO
통해	통하/VV+아/EC
완성된다.	완성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.6.6
서로 믿고 거래하고, 적은 비용으로 시장이 잘 돌아가려면 공동체에 대한 신뢰가 가장 중요하다.

서로	서로/MAG
믿고	믿/VV+고/EC
거래하고,	거래/NNG+하/XSV+고/EC+,/SP
적은	적/VA+은/ETM
비용으로	비용/NNG+으로/JKB
시장이	시장/NNG+이/JKS
잘	잘/MAG
돌아가려면	돌아가/VV+려면/EC
공동체에	공동체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰가	신뢰/NNG+가/JKS
가장	가장/MAG
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.296.7.1
후쿠야마 교수는 일본을 한국과 중국보다 신뢰가 더 많이 쌓인 '고신뢰 국가'로 평가했다.

후쿠야마	후쿠야마/NNP
교수는	교수/NNG+는/JX
일본을	일본/NNP+을/JKO
한국과	한국/NNP+과/JC
중국보다	중국/NNP+보다/JKB
신뢰가	신뢰/NNG+가/JKS
더	더/MAG
많이	많이/MAG
쌓인	쌓이/VV+ㄴ/ETM
'고신뢰	'/SS+고/XPN+신뢰/NNG
국가'로	국가/NNG+'/SS+로/JKB
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.296.7.2
그래서 일본 경제가 발전할 가능성이 크다고 주장했다.

그래서	그래서/MAJ
일본	일본/NNP
경제가	경제/NNG+가/JKS
발전할	발전/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.296.7.3
실제로 일본을 방문할 때마다 약속을 정확하게 지키려는 사회 분위기에 신뢰가 간다.

실제로	실제로/MAG
일본을	일본/NNP+을/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
약속을	약속/NNG+을/JKO
정확하게	정확/NNG+하/XSA+게/EC
지키려는	지키/VV+려는/ETM
사회	사회/NNG
분위기에	분위기/NNG+에/JKB
신뢰가	신뢰/NNG+가/JKS
간다.	가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.7.4
반면 중국에 가면 뭐가 진짜인지 가짜인지 가려내기 바쁘다.

반면	반면/NNG
중국에	중국/NNP+에/JKB
가면	가/VV+면/EC
뭐가	뭐/NP+가/JKS
진짜인지	진짜/NNG+이/VCP+ㄴ지/EC
가짜인지	가짜/NNG+이/VCP+ㄴ지/EC
가려내기	가려내/VV+기/ETN
바쁘다.	바쁘/VA+다/EF+./SF


# id : NWRW1800000038.296.8.1
우리나라에서 신뢰가 흔들리는 가장 큰 이유는 공권력을 믿지 못하기 때문이다.

우리나라에서	우리나라/NNG+에서/JKB
신뢰가	신뢰/NNG+가/JKS
흔들리는	흔들리/VV+는/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
이유는	이유/NNG+는/JX
공권력을	공권력/NNG+을/JKO
믿지	믿/VV+지/EC
못하기	못하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.296.8.2
경찰은 범인을 잡지 않고, 검찰이 억울한 사람을 구속하고, 법원 판결은 국민 정서에 따라 달라진다.

경찰은	경찰/NNG+은/JX
범인을	범인/NNG+을/JKO
잡지	잡/VV+지/EC
않고,	않/VX+고/EC+,/SP
검찰이	검찰/NNG+이/JKS
억울한	억울/NNG+하/XSA+ㄴ/ETM
사람을	사람/NNG+을/JKO
구속하고,	구속/NNG+하/XSV+고/EC+,/SP
법원	법원/NNG
판결은	판결/NNG+은/JX
국민	국민/NNG
정서에	정서/NNG+에/JKB
따라	따르/VV+아/EC
달라진다.	달라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.8.3
법보다 주먹이 가까운 세태도 똑같은 이유다.

법보다	법/NNG+보다/JKB
주먹이	주먹/NNG+이/JKS
가까운	가깝/VA+ㄴ/ETM
세태도	세태/NNG+도/JX
똑같은	똑같/VA+은/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.296.8.4
그러니 문제를 해결할 때도 법과 공권력보다 선후배나 동기, 친·인척에게 의존한다.

그러니	그러니/MAJ
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
법과	법/NNG+과/JC
공권력보다	공권력/NNG+보다/JKB
선후배나	선후배/NNG+나/JC
동기,	동기/NNG+,/SP
친·인척에게	친·인척/NNG+에게/JKB
의존한다.	의존/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.9.1
정부와 국회가 지금이라도 소수의 불법과 '떼법'에 단호하게 대응, 법과 공권력에 대한 신뢰를 쌓는 것이 경제 원동력을 키우는 첫걸음이라는 생각이다.

정부와	정부/NNG+와/JC
국회가	국회/NNG+가/JKS
지금이라도	지금/NNG+이/VCP+라도/EC
소수의	소수/NNG+의/JKG
불법과	불법/NNG+과/JC
'떼법'에	'/SS+떼법/NNG+'/SS+에/JKB
단호하게	단호하/VA+게/EC
대응,	대응/NNG+,/SP
법과	법/NNG+과/JC
공권력에	공권력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰를	신뢰/NNG+를/JKO
쌓는	쌓/VV+는/ETM
것이	것/NNB+이/JKS
경제	경제/NNG
원동력을	원동력/NNG+을/JKO
키우는	키우/VV+는/ETM
첫걸음이라는	첫걸음/NNG+이/VCP+라는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


