# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.93
metadata : {}


# id : NWRW1800000038.93.1.1
1만명의 선택… 정보석 '햄릿(연극)'·시아준수 '디셈버(뮤지컬)'

1만명의	1/SN+만/NR+명/NNB+의/JKG
주크박스	주크박스/NNG
뮤지컬이라는	뮤지컬/NNG+이/VCP+라는/ETM
점이	점/NNG+이/JKS
기대를	기대/NNG+를/JKO
증폭시킨	증폭/NNG+시키/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.93.5.2
영화 '7번방의 선물' 등을 배급한 영화사 '뉴'가 제작에 나선 첫 뮤지컬이라는 점도 기대치를 끌어올렸다.

영화	영화/NNG
'7번방의	'/SS+7/SN+번/NNB+방/NNG+의/JKG
선물'	선물/NNG+'/SS
등을	등/NNB+을/JKO
배급한	배급/NNG+하/XSV+ㄴ/ETM
영화사	영화사/NNG
'뉴'가	'/SS+뉴/NNP+'/SS+가/JKS
제작에	제작/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
첫	첫/MMN
뮤지컬이라는	뮤지컬/NNG+이/VCP+라는/ETM
점도	점/NNG+도/JX
기대치를	기대/NNG+치/XSN+를/JKO
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.93.6.1
브로드웨이에서 불어온 '초록 마녀'의 바람은 '조동키' 조승우의 '맨 오브 라만차'를 눌렀다.

브로드웨이에서	브로드웨이/NNP+에서/JKB
불어온	불어오/VV+ㄴ/ETM
'초록	'/SS+초록/NNG
마녀'의	마녀/NNG+'/SS+의/JKG
바람은	바람/NNG+은/JX
'조동키'	'/SS+조동키/NNP+'/SS
조승우의	조승우/NNP+의/JKG
'맨	'/SS+맨/NNP
오브	오브/NNP
라만차'를	라만차/NNP+'/SS+를/JKO
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.93.6.2
내달 24일 개막하는 '위키드'(2위)는 지난해 유료 객석점유율 95%를 기록한 대작의 첫 한국어 공연이다.

내달	내달/NNG
24일	24/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
'위키드'(2위)는	'/SS+위키드/NNP+'/SS+(/SS+2/SN+위/NNB+)/SS+는/JX
지난해	지난해/NNG
유료	유료/NNG
객석점유율	객석/NNG+점유/NNG+율/XSN
95%를	95/SN+%/SW+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
대작의	대작/NNG+의/JKG
첫	첫/MMN
한국어	한국어/NNP
공연이다.	공연/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.93.7.1
라이선스 초연작으로 인지도가 낮은 '카르멘'(4위)의 선전이 돋보였다.

라이선스	라이선스/NNG
초연작으로	초연작/NNG+으로/JKB
인지도가	인지도/NNG+가/JKS
낮은	낮/VA+은/ETM
'카르멘'(4위)의	'/SS+카르멘/NNP+'/SS+(/SS+4/SN+위/NNB+)/SS+의/JKG
선전이	선전/NNG+이/JKS
돋보였다.	돋보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.93.7.2
'심심산골에서 공연해도 매진'이라는 말이 나올 정도로 세대를 막론하고 사랑받는 '맘마미아!'의 오리지널 내한공연을 제쳤다.

'심심산골에서	'/SS+심심산골/NNG+에서/JKB
공연해도	공연/NNG+하/XSV+아도/EC
매진'이라는	매진/NNG+'/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
세대를	세대/NNG+를/JKO
막론하고	막론하/VV+고/EC
사랑받는	사랑/NNG+받/XSV+는/ETM
'맘마미아!'의	'/SS+맘마미아/NNP+!/SF+'/SS+의/JKG
오리지널	오리지널/NNG
내한공연을	내한/NNG+공연/NNG+을/JKO
제쳤다.	제치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.93.7.3
설문 기간 공개된 여주인공 바다와 차지연, 류정한과 에녹의 화끈한 이미지가 호기심을 불러일으킨 것으로 분석된다.

설문	설문/NNG
기간	기간/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
여주인공	여주인공/NNG
바다와	바다/NNP+와/JC
차지연,	차지연/NNP+,/SP
류정한과	류정한/NNP+과/JC
에녹의	에녹/NNP+의/JKG
화끈한	화끈/MAG+하/XSA+ㄴ/ETM
이미지가	이미지/NNG+가/JKS
호기심을	호기심/NNG+을/JKO
불러일으킨	불러일으키/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.93.7.4
설문 작품 중 유일한 창작 뮤지컬인 '베르테르'는 라이선스 뮤지컬 '고스트'(7위)보다 높은 순위(6위)를 차지해 13년차 창작극의 꾸준한 인기를 입증했다.

설문	설문/NNG
작품	작품/NNG
중	중/NNB
유일한	유일/NNG+하/XSA+ㄴ/ETM
창작	창작/NNG
뮤지컬인	뮤지컬/NNG+이/VCP+ㄴ/ETM
'베르테르'는	'/SS+베르테르/NNP+'/SS+는/JX
라이선스	라이선스/NNG
뮤지컬	뮤지컬/NNG
'고스트'(7위)보다	'/SS+고스트/NNP+'/SS+(/SS+7/SN+위/NNB+)/SS+보다/JKB
높은	높/VA+은/ETM
순위(6위)를	순위/NNG+(/SS+6/SN+위/NNB+)/SS+를/JKO
차지해	차지/NNG+하/XSV+아/EC
13년차	13/SN+년/NNB+차/NNB
창작극의	창작극/NNG+의/JKG
꾸준한	꾸준하/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
입증했다.	입증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.93.8.1
'디셈버'가 1위를 차지하지 못한 유일한 응답군은 남성이었다.

'디셈버'가	'/SS+디셈버/NNP+'/SS+가/JKS
1위를	1/SN+위/NNB+를/JKO
차지하지	차지/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
응답군은	응답군/NNG+은/JX
남성이었다.	남성/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.93.8.2
남성들은 '디셈버'(3위)가 아닌 '위키드'와 '맘마미아!'를 나란히 1, 2위로 들어 잘 알려진 대작을 선호하는 경향을 뚜렷이 드러냈다.

남성들은	남성/NNG+들/XSN+은/JX
'디셈버'(3위)가	'/SS+디셈버/NNP+'/SS+(/SS+3/SN+위/NNB+)/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
'위키드'와	'/SS+위키드/NNP+'/SS+와/JC
'맘마미아!'를	'/SS+맘마미아/NNP+!/SF+'/SS+를/JKO
나란히	나란히/MAG
1,	1/SN+,/SP
2위로	2/SN+위/NNB+로/JKB
들어	들/VV+어/EC
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
대작을	대작/NNG+을/JKO
선호하는	선호/NNG+하/XSV+는/ETM
경향을	경향/NNG+을/JKO
뚜렷이	뚜렷이/MAG
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.93.9.1
연령대별로 보면, 전체 7위인 라이선스 뮤지컬 '고스트'가 10대에서 3위로 올라선 점이 눈에 띈다.

연령대별로	연령대/NNG+별/XSN+로/JKB
보면,	보/VV+면/EC+,/SP
전체	전체/NNG
7위인	7/SN+위/NNB+이/VCP+ㄴ/ETM
라이선스	라이선스/NNG
뮤지컬	뮤지컬/NNG
'고스트'가	'/SS+고스트/NNP+'/SS+가/JKS
10대에서	10/SN+대/NNB+에서/JKB
3위로	3/SN+위/NNB+로/JKB
올라선	올라서/VV+ㄴ/ETM
점이	점/NNG+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.93.9.2
최근 TV 스타로 부상한 배우 주원이 주인공 샘 역에 캐스팅된 점이 10대들 사이에서 인기를 끈 것으로 보인다.

최근	최근/MAG
TV	TV/SL
스타로	스타/NNG+로/JKB
부상한	부상/NNG+하/XSV+ㄴ/ETM
배우	배우/NNG
주원이	주원/NNP+이/JKS
주인공	주인공/NNG
샘	샘/NNP
역에	역/NNG+에/JKB
캐스팅된	캐스팅/NNG+되/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
10대들	10/SN+대/NNB+들/XSN
사이에서	사이/NNG+에서/JKB
인기를	인기/NNG+를/JKO
끈	끌/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.93.10.1
연극 1위인 '햄릿'은 '정보석이 햄릿을 한다'는 사실 하나만 알려졌는데도 2위 '웃음의 대학'을 큰 격차로 따돌리고 최대 기대작으로 꼽혔다.

연극	연극/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
'햄릿'은	'/SS+햄릿/NNP+'/SS+은/JX
'정보석이	'/SS+정보석/NNP+이/JKS
햄릿을	햄릿/NNP+을/JKO
한다'는	하/VV+ㄴ다/EF+'/SS+는/ETM
사실	사실/NNG
하나만	하나/NR+만/JX
알려졌는데도	알려지/VV+었/EP+는데/EC+도/JX
2위	2/SN+위/NNB
'웃음의	'/SS+웃음/NNG+의/JKG
대학'을	대학/NNG+'/SS+을/JKO
큰	크/VA+ㄴ/ETM
격차로	격차/NNG+로/JKB
따돌리고	따돌리/VV+고/EC
최대	최대/NNG
기대작으로	기대작/NNG+으로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.93.10.2
'공연은 배우 시장'이라는 통설을 재확인하는 대목이다.

'공연은	'/SS+공연/NNG+은/JX
배우	배우/NNG
시장'이라는	시장/NNG+'/SS+이/VCP+라는/ETM
통설을	통설/NNG+을/JKO
재확인하는	재/XPN+확인/NNG+하/XSV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.93.11.1
2위에 오른 폭소극 '웃음의 대학'이 순위가 처진 응답군은 40대였다.

2위에	2/SN+위/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
폭소극	폭소극/NNG
'웃음의	'/SS+웃음/NNG+의/JKG
대학'이	대학/NNG+'/SS+이/JKS
순위가	순위/NNG+가/JKS
처진	처지/VV+ㄴ/ETM
응답군은	응답군/NNG+은/JX
40대였다.	40/SN+대/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.93.11.2
40대는 전체 4위인 이윤택 연출의 '혜경궁 홍씨'를 2위로 꼽아 무게 있는 작품을 선호하는 중년층의 취향을 확실히 보여줬다.

40대는	40/SN+대/NNB+는/JX
전체	전체/NNG
4위인	4/SN+위/NNB+이/VCP+ㄴ/ETM
이윤택	이윤택/NNP
연출의	연출/NNG+의/JKG
'혜경궁	'/SS+혜경궁/NNP
홍씨'를	홍/NNP+씨/NNB+'/SS+를/JKO
2위로	2/SN+위/NNB+로/JKB
꼽아	꼽/VV+아/EC
무게	무게/NNG
있는	있/VA+는/ETM
작품을	작품/NNG+을/JKO
선호하는	선호/NNG+하/XSV+는/ETM
중년층의	중년/NNG+층/XSN+의/JKG
취향을	취향/NNG+을/JKO
확실히	확실히/MAG
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.93.11.3
전체 3위인 '레드'는 2011년 초연작으로, 믿고 볼 수 있는 작품이라는 점이 표를 모은 것으로 보인다.

전체	전체/NNG
3위인	3/SN+위/NNB+이/VCP+ㄴ/ETM
'레드'는	'/SS+레드/NNP+'/SS+는/JX
2011년	2011/SN+년/NNB
초연작으로,	초연작/NNG+으로/JKB+,/SP
믿고	믿/VV+고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
작품이라는	작품/NNG+이/VCP+라는/ETM
점이	점/NNG+이/JKS
표를	표/NNG+를/JKO
모은	모으/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


