# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.145
metadata : {}


# id : NWRW1800000056.145.1.1
예술명가 강세황 집안 6대 초상화 한자리에 모았다

예술명가	예술/NNG+명가/NNG
강노(1809~1886)의	강노/NNP+(/SS+1809/SN+~/SO+1886/SN+)/SS+의/JKG
초상화를	초상화/NNG+를/JKO
환수했다며	환수/NNG+하/XSV+았/EP+다며/EC
19일	19/SN+일/NNB
작품을	작품/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.145.8.2
재단 쪽은 10월초 국내외 유물 경매시장을 검색하다가 미국 조지아주 서배너 에버러드 경매감정소에 강노 초상이 나온 사실을 파악하고, 현지에서 진품 여부와 소장 내력을 조사한 뒤 10월27일 진행된 온라인 경매에서 작품을 낙찰받았다고 전했다.

재단	재단/NNG
쪽은	쪽/NNB+은/JX
10월초	10/SN+월/NNB+초/NNB
국내외	국내외/NNG
유물	유물/NNG
경매시장을	경매/NNG+시장/NNG+을/JKO
검색하다가	검색/NNG+하/XSV+다가/EC
미국	미국/NNP
조지아주	조지아주/NNP
서배너	서배너/NNP
에버러드	에버러드/NNP
경매감정소에	경매/NNG+감정소/NNG+에/JKB
강노	강노/NNP
초상이	초상/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
파악하고,	파악/NNG+하/XSV+고/EC+,/SP
현지에서	현지/NNG+에서/JKB
진품	진품/NNG
여부와	여부/NNG+와/JC
소장	소장/NNG
내력을	내력/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
10월27일	10/SN+월/NNB+27/SN+일/NNB
진행된	진행/NNG+되/XSV+ㄴ/ETM
온라인	온라인/NNG
경매에서	경매/NNG+에서/JKB
작품을	작품/NNG+을/JKO
낙찰받았다고	낙찰/NNG+받/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.145.9.1
환수된 ‘강노 초상’(가로 47㎝, 세로 60.7㎝)은 표범 가죽 두른 의자에 관복을 입고 앉은 주인공의 상반신을 얇은 한지에 그렸다.

환수된	환수/NNG+되/XSV+ㄴ/ETM
‘강노	‘/SS+강노/NNP
초상’(가로	초상/NNG+’/SS+(/SS+가로/NNG
47㎝,	47/SN+㎝/SW+,/SP
세로	세로/NNG
60.7㎝)은	60/SN+./SP+7/SN+㎝/SW+)/SS+은/JX
표범	표범/NNG
가죽	가죽/NNG
두른	두르/VV+ㄴ/ETM
의자에	의자/NNG+에/JKB
관복을	관복/NNG+을/JKO
입고	입/VV+고/EC
앉은	앉/VV+은/ETM
주인공의	주인공/NNG+의/JKG
상반신을	상반신/NNG+을/JKO
얇은	얇/VA+은/ETM
한지에	한지/NNG+에/JKB
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.145.9.2
화면을 보면, 종이 뒷면에서 채색해 앞쪽으로 색이 은은하게 배어나오는 배채법이 확인된다.

화면을	화면/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
종이	종이/NNG
뒷면에서	뒷면/NNG+에서/JKB
채색해	채색/NNG+하/XSV+아/EC
앞쪽으로	앞쪽/NNG+으로/JKB
색이	색/NNG+이/JKS
은은하게	은은하/VA+게/EC
배어나오는	배/VV+어/EC+나오/VV+는/ETM
배채법이	배채법/NNG+이/JKS
확인된다.	확인/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.145.9.3
초상 오른쪽에는 그림 정보를 적은 화기(畵記)가 있는데, 강노가 71살이 된 기묘년(1879) 9월에 그렸다는 내용이 적혀 있다.

초상	초상/NNG
오른쪽에는	오른쪽/NNG+에/JKB+는/JX
그림	그림/NNG
정보를	정보/NNG+를/JKO
적은	적/VV+은/ETM
화기(畵記)가	화기/NNG+(/SS+畵記/SH+)/SS+가/JKS
있는데,	있/VA+는데/EC+,/SP
강노가	강노/NNP+가/JKS
71살이	71/SN+살/NNB+이/JKC
된	되/VV+ㄴ/ETM
기묘년(1879)	기묘/NNP+년/NNB+(/SS+1879/SN+)/SS
9월에	9/SN+월/NNB+에/JKB
그렸다는	그리/VV+었/EP+다는/ETM
내용이	내용/NNG+이/JKS
적혀	적히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.145.10.1
얼굴의 주름선과 콧등의 마마 자국, 수염 터럭 한올 한올까지 구체적으로 묘사한 사실주의 작법으로 인물의 강직한 인격과 내면까지 표현하면서 조선 초상화의 특장인 전신사의(傳神寫意) 원리를 절묘하게 표현했다는 평가다.

얼굴의	얼굴/NNG+의/JKG
주름선과	주름/NNG+선/NNG+과/JC
콧등의	콧등/NNG+의/JKG
마마	마마/NNG
자국,	자국/NNG+,/SP
수염	수염/NNG
터럭	터럭/NNG
한올	한/MMN+올/NNG
한올까지	한/MMN+올/NNG+까지/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
사실주의	사실주의/NNG
작법으로	작법/NNG+으로/JKB
인물의	인물/NNG+의/JKG
강직한	강직하/VA+ㄴ/ETM
인격과	인격/NNG+과/JC
내면까지	내면/NNG+까지/JX
표현하면서	표현/NNG+하/XSV+면서/EC
조선	조선/NNP
초상화의	초상화/NNG+의/JKG
특장인	특장/NNG+이/VCP+ㄴ/ETM
전신사의(傳神寫意)	전신/NNG+사의/NNG+(/SS+傳神寫意/SH+)/SS
원리를	원리/NNG+를/JKO
절묘하게	절묘하/VA+게/EC
표현했다는	표현/NNG+하/XSV+았/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.145.10.2
그림을 분석한 김울림 국립중앙박물관 학예관은 “조선 초상화의 절정기는 18세기지만, 터럭 한올도 놓치지 않는 특유의 사실정신이 19세기에도 여전히 녹슬지 않았음을 보여준다”며 “서양화법에서 유래한 18세기 초상의 도드라진 음영법 표현이 원만한 필치로 토착화한 양상이 보이는 것도 주목된다”고 짚었다.

그림을	그림/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
김울림	김울림/NNP
국립중앙박물관	국립중앙박물관/NNP
학예관은	학예관/NNG+은/JX
“조선	“/SS+조선/NNP
초상화의	초상화/NNG+의/JKG
절정기는	절정기/NNG+는/JX
18세기지만,	18/SN+세기/NNG+이/VCP+지만/EC+,/SP
터럭	터럭/NNG
한올도	한/MMN+올/NNG+도/JX
놓치지	놓치/VV+지/EC
않는	않/VX+는/ETM
특유의	특유/NNG+의/JKG
사실정신이	사실/NNG+정신/NNG+이/JKS
19세기에도	19/SN+세기/NNG+에/JKB+도/JX
여전히	여전히/MAG
녹슬지	녹슬/VV+지/EC
않았음을	않/VX+았/EP+음/ETN+을/JKO
보여준다”며	보이/VV+어/EC+주/VX+ㄴ다/EF+”/SS+며/EC
“서양화법에서	“/SS+서양/NNG+화법/NNG+에서/JKB
유래한	유래/NNG+하/XSV+ㄴ/ETM
18세기	18/SN+세기/NNG
초상의	초상/NNG+의/JKG
도드라진	도드라지/VA+ㄴ/ETM
음영법	음영법/NNG
표현이	표현/NNG+이/JKS
원만한	원만하/VA+ㄴ/ETM
필치로	필치/NNG+로/JKB
토착화한	토착/NNG+화/XSN+하/XSV+ㄴ/ETM
양상이	양상/NNG+이/JKS
보이는	보이/VV+는/ETM
것도	것/NNB+도/JX
주목된다”고	주목/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.145.11.1
재단에 따르면, 경매에 초상화를 출품한 이는 서배너에 사는 현지인이었다.

재단에	재단/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
경매에	경매/NNG+에/JKB
초상화를	초상화/NNG+를/JKO
출품한	출품/NNG+하/XSV+ㄴ/ETM
이는	이/NNB+는/JX
서배너에	서배너/NNP+에/JKB
사는	살/VV+는/ETM
현지인이었다.	현지인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.145.11.2
뉴욕의 한 가톨릭교회가 자산처분을 위해 내놓은 것을 샀다고 한다.

뉴욕의	뉴욕/NNP+의/JKG
한	한/MMN
가톨릭교회가	가톨릭교회/NNG+가/JKS
자산처분을	자산/NNG+처분/NNG+을/JKO
위해	위하/VV+아/EC
내놓은	내놓/VV+은/ETM
것을	것/NNB+을/JKO
샀다고	사/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.145.11.3
추가 확인한 결과, 교회 쪽은 뉴욕의 옛 소장자로부터 그림을 포함한 전 재산을 기증받은 것으로 밝혀졌으나, 초상이 미국에 반출된 시점은 확인할 수 없었다고 재단 쪽은 전했다.

추가	추가/NNG
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
교회	교회/NNG
쪽은	쪽/NNB+은/JX
뉴욕의	뉴욕/NNP+의/JKG
옛	옛/MMA
소장자로부터	소장자/NNG+로부터/JKB
그림을	그림/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전	전/MMN
재산을	재산/NNG+을/JKO
기증받은	기증/NNG+받/XSV+은/ETM
것으로	것/NNB+으로/JKB
밝혀졌으나,	밝혀지/VV+었/EP+으나/EC+,/SP
초상이	초상/NNG+이/JKS
미국에	미국/NNP+에/JKB
반출된	반출/NNG+되/XSV+ㄴ/ETM
시점은	시점/NNG+은/JX
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다고	없/VA+었/EP+다고/EC
재단	재단/NNG
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.145.12.1
‘강노 초상’은 8일 항공편으로 들어와 국립중앙박물관에 보관 중이다.

‘강노	‘/SS+강노/NNP
초상’은	초상/NNG+’/SS+은/JX
8일	8/SN+일/NNB
항공편으로	항공편/NNG+으로/JKB
들어와	들어오/VV+아/EC
국립중앙박물관에	국립중앙박물관/NNP+에/JKB
보관	보관/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.145.12.2
문화재청은 박물관을 그림을 소장, 전시할 관리기관으로 지정한 상태다.

문화재청은	문화재청/NNG+은/JX
박물관을	박물관/NNG+을/JKO
그림을	그림/NNG+을/JKO
소장,	소장/NNG+,/SP
전시할	전시/NNG+하/XSV+ㄹ/ETM
관리기관으로	관리/NNG+기관/NNG+으로/JKB
지정한	지정/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.145.12.3
앞서 박물관 쪽은 지난 9월 서울옥션 경매에서 표암의 아들 강인(1729~1791)의 초상을 구입한 바 있어, 국가보물로 소장해온 강민첨(강씨 가문 시조), 강현(표암의 아버지), 강세황, 강이오(표암 손자) 초상과 함께 국내 유일한 문인가문 6대 초상화 컬렉션을 갖추게 됐다.

앞서	앞서/MAG
박물관	박물관/NNG
쪽은	쪽/NNB+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
서울옥션	서울옥션/NNP
경매에서	경매/NNG+에서/JKB
표암의	표암/NNP+의/JKG
아들	아들/NNG
강인(1729~1791)의	강인/NNP+(/SS+1729/SN+~/SO+1791/SN+)/SS+의/JKG
초상을	초상/NNG+을/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있어,	있/VA+어/EC+,/SP
국가보물로	국가/NNG+보물/NNG+로/JKB
소장해온	소장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
강민첨(강씨	강민첨/NNP+(/SS+강/NNP+씨/NNB
가문	가문/NNG
시조),	시조/NNG+)/SS+,/SP
강현(표암의	강현/NNP+(/SS+표암/NNP+의/JKG
아버지),	아버지/NNG+)/SS+,/SP
강세황,	강세황/NNP+,/SP
강이오(표암	강이오/NNP+(/SS+표암/NNP
손자)	손자/NNG+)/SS
초상과	초상/NNG+과/JKB
함께	함께/MAG
국내	국내/NNG
유일한	유일/NNG+하/XSA+ㄴ/ETM
문인가문	문인/NNG+가문/NNG
6대	6/SN+대/NNG
초상화	초상화/NNG
컬렉션을	컬렉션/NNG+을/JKO
갖추게	갖추/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.145.12.4
배기동 관장은 6대 초상화를 함께 선보이는 특별전을 내년 8월 열기로 했다고 이날 밝혔다.

배기동	배기동/NNP
관장은	관장/NNG+은/JX
6대	6/SN+대/NNB
초상화를	초상화/NNG+를/JKO
함께	함께/MAG
선보이는	선보이/VV+는/ETM
특별전을	특별전/NNG+을/JKO
내년	내년/NNG
8월	8/SN+월/NNB
열기로	열/VV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
이날	이날/NNG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.145.13.1
강노는 19세기 흥선대원군 집권 당시 병조판서, 좌의정 등을 지냈다.

강노는	강노/NNP+는/JX
19세기	19/SN+세기/NNG
흥선대원군	흥선/NNP+대원군/NNG
집권	집권/NNG
당시	당시/NNG
병조판서,	병조/NNG+판서/NNG+,/SP
좌의정	좌의정/NNG
등을	등/NNB+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.145.13.2
1873년 대원군을 몰아내라고 상소한 최익현의 처벌을 주장하다 파직됐고, 이후 재등용됐으나 1883년 임오군란에 연루됐다는 의심을 받아 귀양길에 오르는 등 파란만장한 말년을 보냈다.

1873년	1873/SN+년/NNB
대원군을	대원군/NNG+을/JKO
몰아내라고	몰아내/VV+라고/EC
상소한	상소/NNG+하/XSV+ㄴ/ETM
최익현의	최익현/NNP+의/JKG
처벌을	처벌/NNG+을/JKO
주장하다	주장/NNG+하/XSV+다/EC
파직됐고,	파직/NNG+되/XSV+었/EP+고/EC+,/SP
이후	이후/NNG
재등용됐으나	재/XPN+등용/NNG+되/XSV+었/EP+으나/EC
1883년	1883/SN+년/NNB
임오군란에	임오군란/NNG+에/JKB
연루됐다는	연루/NNG+되/XSV+었/EP+다는/ETM
의심을	의심/NNG+을/JKO
받아	받/VV+아/EC
귀양길에	귀양길/NNG+에/JKB
오르는	오르/VV+는/ETM
등	등/NNB
파란만장한	파란만장/NNG+하/XSA+ㄴ/ETM
말년을	말년/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


