# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.114
metadata : {}


# id : NWRW1800000038.114.1.1
"北의 국군포로 억류, 국제사회에 꾸준히 알려야죠"

"北의	"/SS+北/SH+의/JKG
국군포로	국군/NNG+포로/NNG
"친구의 아버지이신 김상헌 북한인권정보센터 이사장을 통해 북한 인권 문제에 처음 관심을 갖게 됐습니다.

"친구의	"/SS+친구/NNG+의/JKG
아버지이신	아버지/NNG+이/VCP+시/EP+ㄴ/ETM
김상헌	김상헌/NNP
북한인권정보센터	북한인권정보센터/NNP
이사장을	이사장/NNG+을/JKO
통해	통하/VV+아/EC
북한	북한/NNP
인권	인권/NNG
문제에	문제/NNG+에/JKB
처음	처음/NNG
관심을	관심/NNG+을/JKO
갖게	갖/VV+게/EC
됐습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000038.114.5.2
로스쿨 들어가기 전에 북한인권정보센터에서 자료의 영작을 도왔는데 그때 처음 국군 포로 문제를 알게 됐고요."

로스쿨	로스쿨/NNG
들어가기	들어가/VV+기/ETN
전에	전/NNG+에/JKB
북한인권정보센터에서	북한인권정보센터/NNP+에서/JKB
자료의	자료/NNG+의/JKG
영작을	영작/NNG+을/JKO
도왔는데	돕/VV+았/EP+는데/EC
그때	그때/NNG
처음	처음/NNG
국군	국군/NNG
포로	포로/NNG
문제를	문제/NNG+를/JKO
알게	알/VV+게/EC
됐고요."	되/VV+었/EP+고/EC+요/JX+./SF+"/SS


# id : NWRW1800000038.114.6.1
그는 이 단체에서 내는 국군 포로 백서를 보고 "놀라웠다"고 말했다.

그는	그/NP+는/JX
이	이/MMD
단체에서	단체/NNG+에서/JKB
내는	내/VV+는/ETM
국군	국군/NNG
포로	포로/NNG
백서를	백서/NNG+를/JKO
보고	보/VV+고/EC
"놀라웠다"고	"/SS+놀랍/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.114.6.2
"1994년에 조창호 소위가 탈북하고 십수 년이 지났고 그동안 남북 관계도 개선됐으니 당연히 다른 포로들도 조용하게 한국으로 온 줄 알았습니다.

"1994년에	"/SS+1994/SN+년/NNB+에/JKB
조창호	조창호/NNP
소위가	소위/NNG+가/JKS
탈북하고	탈북/NNG+하/XSV+고/EC
십수	십수/MMN
년이	년/NNB+이/JKS
지났고	지나/VV+았/EP+고/EC
그동안	그동안/NNG
남북	남북/NNP
관계도	관계/NNG+도/JX
개선됐으니	개선/NNG+되/XSV+었/EP+으니/EC
당연히	당연히/MAG
다른	다른/MMD
포로들도	포로/NNG+들/XSN+도/JX
조용하게	조용하/VA+게/EC
한국으로	한국/NNP+으로/JKB
온	오/VV+ㄴ/ETM
줄	줄/NNB
알았습니다.	알/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000038.114.6.3
하지만 대부분이 가족과 함께 열악한 함경도 광산촌에 산다는 자료를 보고 충격을 받았습니다."

하지만	하지만/MAJ
대부분이	대/XPN+부분/NNG+이/JKS
가족과	가족/NNG+과/JKB
함께	함께/MAG
열악한	열악하/VA+ㄴ/ETM
함경도	함경도/NNP
광산촌에	광산촌/NNG+에/JKB
산다는	살/VV+ㄴ다는/ETM
자료를	자료/NNG+를/JKO
보고	보/VV+고/EC
충격을	충격/NNG+을/JKO
받았습니다."	받/VV+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.114.7.1
2010년 방학 동안에는 로스앤젤레스의 국군 포로 송환 추진위원회에서 인턴을 하면서 국제형사재판소(ICC)에 낼 국군 포로 문제에 관한 신고장을 썼고, 구소련 외교문서 등 국군 포로 관련 자료와 증언을 수집했다.

2010년	2010/SN+년/NNB
방학	방학/NNG
동안에는	동안/NNG+에/JKB+는/JX
로스앤젤레스의	로스앤젤레스/NNP+의/JKG
국군	국군/NNG
포로	포로/NNG
송환	송환/NNG
추진위원회에서	추진/NNG+위원회/NNG+에서/JKB
인턴을	인턴/NNG+을/JKO
하면서	하/VV+면서/EC
국제형사재판소(ICC)에	국제형사재판소/NNP+(/SS+ICC/SL+)/SS+에/JKB
낼	내/VV+ㄹ/ETM
문제에	문제/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
신고장을	신고장/NNG+을/JKO
썼고,	쓰/VV+었/EP+고/EC+,/SP
구소련	구/XPN+소련/NNP
외교문서	외교/NNG+문서/NNG
등	등/NNB
관련	관련/NNG
자료와	자료/NNG+와/JC
증언을	증언/NNG+을/JKO
수집했다.	수집/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.114.7.2
지난 5월에 미국 변호사 자격을 받은 후로도 계속 국군 포로 문제를 국제사회에 알리는 일을 하고 있다.

지난	지나/VV+ㄴ/ETM
5월에	5/SN+월/NNB+에/JKB
미국	미국/NNP
변호사	변호사/NNG
자격을	자격/NNG+을/JKO
받은	받/VV+은/ETM
후로도	후/NNG+로/JKB+도/JX
계속	계속/MAG
국군	국군/NNG
포로	포로/NNG
문제를	문제/NNG+를/JKO
국제사회에	국제/NNG+사회/NNG+에/JKB
알리는	알리/VV+는/ETM
일을	일/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.114.8.1
김 변호사는 오는 10월 국군 포로 송환운동을 해온 시민단체인 물망초와 함께 ICC를 찾아가 북한 정권의 국군 포로 억압에 관한 보충자료를 제출할 계획이다.

김	김/NNP
변호사는	변호사/NNG+는/JX
오는	오/VV+는/ETM
10월	10/SN+월/NNB
국군	국군/NNG
포로	포로/NNG
송환운동을	송환/NNG+운동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
시민단체인	시민/NNG+단체/NNG+이/VCP+ㄴ/ETM
물망초와	물망초/NNG+와/JKB
함께	함께/MAG
ICC를	ICC/SL+를/JKO
찾아가	찾아가/VV+아/EC
북한	북한/NNP
정권의	정권/NNG+의/JKG
억압에	억압/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
보충자료를	보충/NNG+자료/NNG+를/JKO
제출할	제출/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.114.8.2
그는 "북한 지도자가 법정에 설 그런 날에 대비해 미리 국군 포로에 대한 증언과 기록을 수집하고 관련 자료를 국제사회에 꾸준히 제출할 것"이라고 말했다.

그는	그/NP+는/JX
"북한	"/SS+북한/NNP
지도자가	지도자/NNG+가/JKS
법정에	법정/NNG+에/JKB
설	서/VV+ㄹ/ETM
그런	그런/MMD
날에	날/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
미리	미리/MAG
국군	국군/NNG
포로에	포로/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
증언과	증언/NNG+과/JC
기록을	기록/NNG+을/JKO
수집하고	수집/NNG+하/XSV+고/EC
관련	관련/NNG
자료를	자료/NNG+를/JKO
국제사회에	국제/NNG+사회/NNG+에/JKB
꾸준히	꾸준히/MAG
제출할	제출/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.114.8.3
ICC는 집단살해죄, 전쟁범죄, 반인도적 범죄 등을 저지른 개인을 형사처벌하기 위한 상설 국제법정으로, '로마규정'이 발효된 2002년 이후 범죄를 처벌한다.

ICC는	ICC/SL+는/JX
집단살해죄,	집단/NNG+살해죄/NNG+,/SP
전쟁범죄,	전쟁/NNG+범죄/NNG+,/SP
반인도적	반/XPN+인도/NNG+적/XSN
범죄	범죄/NNG
등을	등/NNB+을/JKO
저지른	저지르/VV+ㄴ/ETM
개인을	개인/NNG+을/JKO
형사처벌하기	형사/NNG+처벌/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
상설	상설/NNG
국제법정으로,	국제/NNG+법정/NNG+으로/JKB+,/SP
'로마규정'이	'/SS+로마/NNP+규정/NNG+'/SS+이/JKS
발효된	발효/NNG+되/XSV+ㄴ/ETM
2002년	2002/SN+년/NNB
이후	이후/NNG
범죄를	범죄/NNG+를/JKO
처벌한다.	처벌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.114.8.4
김 변호사는 "앞으로 북한에 있는 국군 포로 가족을 돕는 사업도 할 생각"이라고 말했다.

김	김/NNP
변호사는	변호사/NNG+는/JX
"앞으로	"/SS+앞/NNG+으로/JKB
북한에	북한/NNP+에/JKB
있는	있/VA+는/ETM
국군	국군/NNG
포로	포로/NNG
가족을	가족/NNG+을/JKO
돕는	돕/VV+는/ETM
사업도	사업/NNG+도/JX
할	하/VV+ㄹ/ETM
생각"이라고	생각/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


