# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.250
metadata : {}


# id : NWRW1800000038.250.1.1
[오늘의 스타] 청주高 황영국

[오늘의	[/SS+오늘/NNG+의/JKG
3승1패(평균자책점	3/SN+승/NNB+1/SN+패/NNB+(/SS+평균/NNG+자책점/NNG
1.29)로	1/SN+./SP+29/SN+)/SS+로/JKB
부활을	부활/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.250.7.4
한화의 정영기 스카우트는 "황영국은 내년 프로 1군에서 바로 중간계투로 뛸 수 있을 정도로 공이 좋다"고 말했다.

한화의	한화/NNP+의/JKG
정영기	정영기/NNP
스카우트는	스카우트/NNG+는/JX
"황영국은	"/SS+황영국/NNP+은/JX
내년	내년/NNG
프로	프로/NNG
1군에서	1/SN+군/NNG+에서/JKB
바로	바로/MAG
중간계투로	중간/NNG+계투/NNG+로/JKB
뛸	뛰/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
공이	공/NNG+이/JKS
좋다"고	좋/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.250.8.1
황영국은 청룡기 첫 선발 출전이지만 긴장은커녕 즐겁다고 했다.

황영국은	황영국/NNP+은/JX
청룡기	청룡기/NNG
첫	첫/MMN
선발	선발/NNG
출전이지만	출전/NNG+이/VCP+지만/EC
긴장은커녕	긴장/NNG+은커녕/JX
즐겁다고	즐겁/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.250.8.2
"우승해서 청주고를 충청에서뿐 아니라 전국적인 명문으로 만들고 싶습니다.

"우승해서	"/SS+우승/NNG+하/XSV+아서/EC
청주고를	청주고/NNP+를/JKO
충청에서뿐	충청/NNP+에서/JKB+뿐/JX
아니라	아니/VCN+라/EC
전국적인	전국/NNG+적/XSN+이/VCP+ㄴ/ETM
명문으로	명문/NNG+으로/JKB
만들고	만들/VV+고/EC
싶습니다.	싶/VX+습니다/EF+./SF


# id : NWRW1800000038.250.8.3
그러면 저도 전국구 스타가 될 수 있겠죠?"

그러면	그러면/MAJ
저도	저/NP+도/JX
전국구	전국구/NNG
스타가	스타/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있겠죠?"	있/VA+겠/EP+죠/EF+?/SF+"/SS


