# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.321
metadata : {}


# id : NWRW1800000022.321.1.1
[대구·경북] 우리문화를 아끼고 사랑하는 사람들이 모였다;국제로타리 3700지구 내 아리랑로타리클럽

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
김죽엽씨	김죽엽/NNP+씨/NNB
등	등/NNB
이름만	이름/NNG+만/JX
들으면	듣/VV+으면/EC
고개를	고개/NNG+를/JKO
끄덕일	끄덕이/VV+ㄹ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
50명이	50/SN+명/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000022.321.4.1
이들은 연주회, 교육, 공연기획 등을 통해 우리 문화의 저력을 알리는 데 주력할 계획이다.

이들은	이/NP+들/XSN+은/JX
연주회,	연주회/NNG+,/SP
교육,	교육/NNG+,/SP
공연기획	공연/NNG+기획/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
우리	우리/NP
문화의	문화/NNG+의/JKG
저력을	저력/NNG+을/JKO
알리는	알리/VV+는/ETM
데	데/NNB
주력할	주력/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.321.4.2
이러한 차원에서 16일부터 3개월 예정으로 월요일에서 금요일까지 1주일에 5회씩 대구 달서구 두류동 대구공업대학 내 옛 학산유치원 건물에서 우리문화를 강의한다.

이러한	이러하/VA+ㄴ/ETM
차원에서	차원/NNG+에서/JKB
16일부터	16/SN+일/NNB+부터/JX
3개월	3/SN+개월/NNB
예정으로	예정/NNG+으로/JKB
월요일에서	월요일/NNG+에서/JKB
금요일까지	금요일/NNG+까지/JX
1주일에	1/SN+주일/NNB+에/JKB
5회씩	5/SN+회/NNB+씩/XSN
대구	대구/NNP
달서구	달서구/NNP
두류동	두류동/NNP
대구공업대학	대구공업대학/NNP
내	내/NNB
옛	옛/MMA
학산유치원	학산유치원/NNP
건물에서	건물/NNG+에서/JKB
우리문화를	우리/NP+문화/NNG+를/JKO
강의한다.	강의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.321.5.1
또 16일 오후 7시30분 대구보건대학 내 인당아트홀에서 '아리랑로타리클럽 창립연주회'를 연다.

또	또/MAG
16일	16/SN+일/NNB
오후	오후/NNG
7시30분	7/SN+시/NNB+30/SN+분/NNB
대구보건대학	대구보건대학/NNP
내	내/NNB
인당아트홀에서	인당아트홀/NNP+에서/JKB
'아리랑로타리클럽	'/SS+아리랑로타리클럽/NNP
창립연주회'를	창립/NNG+연주회/NNG+'/SS+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.321.5.2
이날 연주회에서는 남도 설장구 가락, 대금과 피아노 연주, 무용 금척무, 가야금 연주곡 침향무, 타악 퍼포먼스 아리랑 등이 선보인다.

이날	이날/NNG
연주회에서는	연주회/NNG+에서/JKB+는/JX
남도	남도/NNG
설장구	설장구/NNG
가락,	가락/NNG+,/SP
대금과	대금/NNG+과/JC
피아노	피아노/NNG
연주,	연주/NNG+,/SP
무용	무용/NNG
금척무,	금척무/NNG+,/SP
가야금	가야금/NNG
연주곡	연주곡/NNG
침향무,	침향무/NNP+,/SP
타악	타악/NNG
퍼포먼스	퍼포먼스/NNG
아리랑	아리랑/NNG
등이	등/NNB+이/JKS
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.321.5.3
이에 앞서 6시에는 창립 기념식이 열릴 예정이다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
6시에는	6/SN+시/NNB+에/JKB+는/JX
창립	창립/NNG
기념식이	기념식/NNG+이/JKS
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.321.6.1
아리랑로타리클럽 최순희 회장은 "이처럼 우리 문화를 아끼는 사람들끼리 모인 로타리클럽은 아마도 세계에서 유일하다"며 "앞으로 우리문화의 전통과 계승발전을 위해 봉사를 모토로 내세우는 국제로타리의 정신에 따라 활동을 펼치겠다"고 말했다.

아리랑로타리클럽	아리랑로타리클럽/NNP
최순희	최순희/NNP
회장은	회장/NNG+은/JX
"이처럼	"/SS+이/NP+처럼/JKB
우리	우리/NP
문화를	문화/NNG+를/JKO
아끼는	아끼/VV+는/ETM
사람들끼리	사람/NNG+들/XSN+끼리/XSN
모인	모이/VV+ㄴ/ETM
로타리클럽은	로타리클럽/NNG+은/JX
아마도	아마도/MAG
세계에서	세계/NNG+에서/JKB
유일하다"며	유일/NNG+하/XSA+다/EF+"/SS+며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
우리문화의	우리/NP+문화/NNG+의/JKG
전통과	전통/NNG+과/JC
계승발전을	계승/NNG+발전/NNG+을/JKO
위해	위하/VV+아/EC
봉사를	봉사/NNG+를/JKO
모토로	모토/NNG+로/JKB
내세우는	내세우/VV+는/ETM
국제로타리의	국제로타리/NNP+의/JKG
정신에	정신/NNG+에/JKB
따라	따르/VV+아/EC
활동을	활동/NNG+을/JKO
펼치겠다"고	펼치/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.321.6.2
문의 (053)624-3637

문의	문의/NNG
(053)624-3637	(/SS+053/SN+)/SS+624/SN+-/SO+3637/SN


