# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.219
metadata : {}


# id : NWRW1800000041.219.1.1
故신해철씨 수술한 S병원, 3년전에도 수술환자 사망

故신해철씨	故/SH+신해철/NNP+씨/NNB
수술 3일 차에 접어든 송 씨가 전신 통증을 호소하자 K 원장은 또다시 진통제 등을 주사했고 체온이 38.8도까지 올라가자 해열제를 처방했다.

수술	수술/NNG
3일	3/SN+일/NNB
차에	차/NNB+에/JKB
접어든	접어들/VV+ㄴ/ETM
송	송/NNP
씨가	씨/NNB+가/JKS
전신	전신/NNG
통증을	통증/NNG+을/JKO
호소하자	호소/NNG+하/XSV+자/EC
K	K/SL
원장은	원장/NNG+은/JX
또다시	또다시/MAG
진통제	진통제/NNG
등을	등/NNB+을/JKO
주사했고	주사/NNG+하/XSV+았/EP+고/EC
체온이	체온/NNG+이/JKS
38.8도까지	38/SN+./SP+8/SN+도/NNB+까지/JX
올라가자	올라가/VV+자/EC
해열제를	해열제/NNG+를/JKO
처방했다.	처방/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.219.4.5
다음 날 송 씨가 정상 체온을 되찾자 K 원장은 컴퓨터단층촬영(CT) 검사와 흉부 X선 검사 결과 특별한 이상이 없다며 퇴원 조치를 취했다.

다음	다음/NNG
날	날/NNG
송	송/NNP
씨가	씨/NNB+가/JKS
정상	정상/NNG
체온을	체온/NNG+을/JKO
되찾자	되찾/VV+자/EC
K	K/SL
원장은	원장/NNG+은/JX
컴퓨터단층촬영(CT)	컴퓨터/NNG+단층/NNG+촬영/NNG+(/SS+CT/SL+)/SS
검사와	검사/NNG+와/JC
흉부	흉부/NNG
X선	X/SL+선/NNG
검사	검사/NNG
결과	결과/NNG
특별한	특별/NNG+하/XSA+ㄴ/ETM
이상이	이상/NNG+이/JKS
없다며	없/VA+다며/EC
퇴원	퇴원/NNG
조치를	조치/NNG+를/JKO
취했다.	취하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.219.5.1
그러나 이틀 뒤 송 씨가 다시 복통을 호소하며 병원을 찾자 K 원장은 위 밴드를 제거하기 위해 개복수술을 진행했다.

그러나	그러나/MAJ
이틀	이틀/NNG
뒤	뒤/NNG
송	송/NNP
씨가	씨/NNB+가/JKS
다시	다시/MAG
복통을	복통/NNG+을/JKO
호소하며	호소/NNG+하/XSV+며/EC
병원을	병원/NNG+을/JKO
찾자	찾/VV+자/EC
K	K/SL
원장은	원장/NNG+은/JX
위	위/NNG
밴드를	밴드/NNG+를/JKO
제거하기	제거/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
개복수술을	개복/NNG+수술/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.219.5.2
이 과정에서 송 씨의 소장 중 회장 부분에서 천공(구멍)을 발견했다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
송	송/NNP
씨의	씨/NNB+의/JKG
소장	소장/NNG
중	중/NNB
회장	회장/NNG
부분에서	부분/NNG+에서/JKB
천공(구멍)을	천공/NNG+(/SS+구멍/NNG+)/SS+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.219.5.3
복막염 소견까지 보여 천공 부위를 포함해 소장을 50cm나 잘라낸 뒤 문합(장기를 연결하는) 수술까지 했지만 결국 송 씨는 넉 달 뒤인 9월 25일 숨졌다.

복막염	복막염/NNG
소견까지	소견/NNG+까지/JX
보여	보이/VV+어/EC
천공	천공/NNG
부위를	부위/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
소장을	소장/NNG+을/JKO
50cm나	50/SN+cm/SW+나/JX
잘라낸	자르/VV+아/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
문합(장기를	문합/NNG+(/SS+장기/NNG+를/JKO
연결하는)	연결/NNG+하/XSV+는/ETM+)/SS
수술까지	수술/NNG+까지/JX
했지만	하/VV+았/EP+지만/EC
결국	결국/MAG
송	송/NNP
씨는	씨/NNB+는/JX
넉	넉/MMN
달	달/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
9월	9/SN+월/NNB
25일	25/SN+일/NNB
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.219.6.1
K 원장은 송 씨가 사망한 뒤 치료비를 내지 않았다며 유족을 상대로 4개월간 발생한 수술비 1억1500여만 원을 달라고 소송을 냈다.

K	K/SL
원장은	원장/NNG+은/JX
송	송/NNP
씨가	씨/NNB+가/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
치료비를	치료비/NNG+를/JKO
내지	내/VV+지/EC
않았다며	않/VX+았/EP+다며/EC
유족을	유족/NNG+을/JKO
상대로	상대/NNG+로/JKB
4개월간	4/SN+개월/NNB+간/XSN
발생한	발생/NNG+하/XSV+ㄴ/ETM
수술비	수술비/NNG
1억1500여만	1/SN+억/NR+1500/SN+여/XSN+만/NR
원을	원/NNB+을/JKO
달라고	달/VV+라고/EC
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.219.6.2
이에 유족은 병원 측에 송 씨가 사망한 책임을 지라며 5500만 원의 배상을 요구하는 맞소송을 냈다.

이에	이/NP+에/JKB
유족은	유족/NNG+은/JX
병원	병원/NNG
측에	측/NNB+에/JKB
송	송/NNP
씨가	씨/NNB+가/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
책임을	책임/NNG+을/JKO
지라며	지/VV+라며/EC
5500만	5500/SN+만/NR
원의	원/NNB+의/JKG
배상을	배상/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
맞소송을	맞소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.219.7.1
올해 5월 서울동부지법 민사합의13부(부장판사 양사연)는 “의료 과실의 책임을 물을 증거가 부족하거나 없어 의사의 손해배상 채무는 존재하지 않는다”며 K 원장의 손을 들어줬다.

올해	올해/NNG
5월	5/SN+월/NNB
서울동부지법	서울동부지법/NNP
민사합의13부(부장판사	민사/NNG+합의/NNG+13/SN+부/NNG+(/SS+부장/NNG+판사/NNG
양사연)는	양사연/NNP+)/SS+는/JX
“의료	“/SS+의료/NNG
과실의	과실/NNG+의/JKG
책임을	책임/NNG+을/JKO
물을	묻/VV+을/ETM
증거가	증거/NNG+가/JKS
부족하거나	부족/NNG+하/XSA+거나/EC
없어	없/VA+어/EC
의사의	의사/NNG+의/JKG
손해배상	손해/NNG+배상/NNG
채무는	채무/NNG+는/JX
존재하지	존재/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
K	K/SL
원장의	원장/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.219.7.2
재판부는 “위 밴드 수술 이후 송 씨에게 천공과 복막염이 발생한 사실은 인정된다”면서도 “송 씨의 천공이 발생한 부위는 위 밴드 수술을 한 부위와 다르고, 천공은 다른 원인으로도 자연 발생할 수 있다”며 유족이 K 원장에게 수술비 1억1549만 원을 지급하라고 판결했다.

재판부는	재판부/NNG+는/JX
“위	“/SS+위/NNG
밴드	밴드/NNG
수술	수술/NNG
이후	이후/NNG
송	송/NNP
씨에게	씨/NNB+에게/JKB
천공과	천공/NNG+과/JC
복막염이	복막염/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
사실은	사실/NNG+은/JX
인정된다”면서도	인정/NNG+되/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
“송	“/SS+송/NNP
씨의	씨/NNB+의/JKG
천공이	천공/NNG+이/JKS
부위는	부위/NNG+는/JX
위	위/NNG
수술을	수술/NNG+을/JKO
한	하/VV+ㄴ/ETM
부위와	부위/NNG+와/JKB
다르고,	다르/VA+고/EC+,/SP
천공은	천공/NNG+은/JX
다른	다른/MMD
원인으로도	원인/NNG+으로/JKB+도/JX
자연	자연/NNG
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
유족이	유족/NNG+이/JKS
K	K/SL
원장에게	원장/NNG+에게/JKB
수술비	수술비/NNG
1억1549만	1/SN+억/NR+1549/SN+만/NR
원을	원/NNB+을/JKO
지급하라고	지급/NNG+하/XSV+라고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.219.8.1
한편 경찰은 1일 S병원을 압수수색하는 과정에서 신 씨의 장협착 수술 과정이 담긴 사진 8장을 확보한 것으로 뒤늦게 알려졌다.

한편	한편/MAG
경찰은	경찰/NNG+은/JX
1일	1/SN+일/NNB
S병원을	S/SL+병원/NNG+을/JKO
압수수색하는	압수/NNG+수색/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
신	신/NNP
씨의	씨/NNB+의/JKG
장협착	장/NNG+협착/NNG
수술	수술/NNG
과정이	과정/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
사진	사진/NNG
8장을	8/SN+장/NNB+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
뒤늦게	뒤늦/VA+게/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.219.8.2
신 씨 측 변호사에 따르면 경찰이 확보한 사진에는 S병원이 복강경 시술로 신 씨의 장내 유착을 치료하는 과정이 촬영됐다.

신	신/NNP
씨	씨/NNB
측	측/NNB
변호사에	변호사/NNG+에/JKB
따르면	따르/VV+면/EC
경찰이	경찰/NNG+이/JKS
확보한	확보/NNG+하/XSV+ㄴ/ETM
사진에는	사진/NNG+에/JKB+는/JX
S병원이	S/SL+병원/NNG+이/JKS
복강경	복강경/NNG
시술로	시술/NNG+로/JKB
씨의	씨/NNB+의/JKG
장내	장내/NNG
유착을	유착/NNG+을/JKO
치료하는	치료/NNG+하/XSV+는/ETM
과정이	과정/NNG+이/JKS
촬영됐다.	촬영/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.219.9.1
신 씨의 유족 측은 5일 비공개로 가족장을 치를 예정이며, 이르면 다음 주에 S병원을 상대로 민사상 손해배상 소송을 낼 것으로 알려졌다.

신	신/NNP
씨의	씨/NNB+의/JKG
유족	유족/NNG
측은	측/NNB+은/JX
5일	5/SN+일/NNB
비공개로	비/XPN+공개/NNG+로/JKB
가족장을	가족장/NNG+을/JKO
치를	치르/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
이르면	이르/VA+면/EC
다음	다음/NNG
주에	주/NNG+에/JKB
S병원을	S/SL+병원/NNG+을/JKO
상대로	상대/NNG+로/JKB
민사상	민사/NNG+상/XSN
손해배상	손해/NNG+배상/NNG
소송을	소송/NNG+을/JKO
낼	내/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


