# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.292
metadata : {}


# id : NWRW1800000040.292.1.1
이청용 2도움, 볼턴 1부리그 복귀 불씨 살려

이청용	이청용/NNP
이청용은 윙으로 풀타임을 소화하면서 2개의 도움을 기록해 팀 승리에 기여했다.

이청용은	이청용/NNP+은/JX
윙으로	윙/NNG+으로/JKB
풀타임을	풀타임/NNG+을/JKO
소화하면서	소화/NNG+하/XSV+면서/EC
2개의	2/SN+개/NNB+의/JKG
도움을	도움/NNG+을/JKO
기록해	기록/NNG+하/XSV+아/EC
팀	팀/NNG
승리에	승리/NNG+에/JKB
기여했다.	기여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.292.4.3
후반 5분 왼쪽 측면으로 파고들다 멋진 패스로 크리스 이글스의 선제골을 도왔다.

후반	후반/NNG
5분	5/SN+분/NNB
왼쪽	왼쪽/NNG
측면으로	측면/NNG+으로/JKB
파고들다	파고들/VV+다/EC
멋진	멋지/VA+ㄴ/ETM
패스로	패스/NNG+로/JKB
크리스	크리스/NNP
이글스의	이글스/NNP+의/JKG
선제골을	선제골/NNG+을/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.292.4.4
6분 만에 동점골을 내줘 1-1로 비기던 후반 13분에는 수비수 조너선 우드게이트로부터 반칙을 당하며 페널티킥을 얻어냈다.

6분	6/SN+분/NNB
만에	만/NNB+에/JKB
동점골을	동점/NNG+골/NNG+을/JKO
내줘	내주/VV+어/EC
1-1로	1/SN+-/SO+1/SN+로/JKB
비기던	비기/VV+던/ETM
후반	후반/NNG
13분에는	13/SN+분/NNB+에/JKB+는/JX
수비수	수비수/NNG
조너선	조너선/NNP
우드게이트로부터	우드게이트/NNP+로부터/JKB
반칙을	반칙/NNG+을/JKO
당하며	당하/VV+며/EC
페널티킥을	페널티/NNG+킥/NNG+을/JKO
얻어냈다.	얻/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.292.4.5
마빈 소델이 침착하게 골로 연결시켜 볼턴은 짜릿한 승리를 거뒀다.

마빈	마빈/NNP
소델이	소델/NNP+이/JKS
침착하게	침착/NNG+하/XSA+게/EC
골로	골/NNG+로/JKB
연결시켜	연결/NNG+시키/XSV+어/EC
볼턴은	볼턴/NNP+은/JX
짜릿한	짜릿하/VA+ㄴ/ETM
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.292.5.1
볼턴은 18승12무14패 승점 66으로 리그 6위로 올라섰다.

볼턴은	볼턴/NNP+은/JX
18승12무14패	18/SN+승/NNB+12/SN+무/NNB+14/SN+패/NNB
승점	승점/NNG
66으로	66/SN+으로/JKB
리그	리그/NNG
6위로	6/SN+위/NNB+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.292.5.2
챔피언십에서는 리그 1, 2위가 자동적으로 프리미어리그로 승격하고, 3~6위 팀이 플레이오프를 치러 한팀에 승격 기회가 주어진다.

챔피언십에서는	챔피언십/NNG+에서/JKB+는/JX
리그	리그/NNG
1,	1/SN+,/SP
2위가	2/SN+위/NNB+가/JKS
자동적으로	자동/NNG+적/XSN+으로/JKB
프리미어리그로	프리미어리그/NNG+로/JKB
승격하고,	승격/NNG+하/XSV+고/EC+,/SP
3~6위	3/SN+~/SO+6/SN+위/NNB
팀이	팀/NNG+이/JKS
플레이오프를	플레이오프/NNG+를/JKO
치러	치르/VV+어/EC
한팀에	한/MMN+팀/NNG+에/JKB
승격	승격/NNG
기회가	기회/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.292.5.3
팀당 2경기씩을 남겨놓고 볼턴은 7위 레스터시티(65점), 8위 노팅엄 포리스트(64점)에 쫓기고 있다.

팀당	팀/NNG+당/XSN
2경기씩을	2/SN+경기/NNG+씩/XSN+을/JKO
남겨놓고	남기/VV+어/EC+놓/VX+고/EC
볼턴은	볼턴/NNP+은/JX
7위	7/SN+위/NNB
레스터시티(65점),	레스터시티/NNP+(/SS+65/SN+점/NNB+)/SS+,/SP
8위	8/SN+위/NNB
노팅엄	노팅엄/NNP
포리스트(64점)에	포리스트/NNP+(/SS+64/SN+점/NNB+)/SS+에/JKB
쫓기고	쫓기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.292.6.1
한편 김보경(24)의 카디프시티는 전날 번리와의 원정에서 1-1로 비겨 남은 2경기 결과에 관계없이 리그 우승을 확정지었다.

한편	한편/MAG
김보경(24)의	김보경/NNP+(/SS+24/SN+)/SS+의/JKG
카디프시티는	카디프시티/NNP+는/JX
전날	전날/NNG
번리와의	번리/NNP+와/JKB+의/JKG
원정에서	원정/NNG+에서/JKB
1-1로	1/SN+-/SO+1/SN+로/JKB
비겨	비기/VV+어/EC
남은	남/VV+은/ETM
2경기	2/SN+경기/NNG
결과에	결과/NNG+에/JKB
관계없이	관계없이/MAG
리그	리그/NNG
우승을	우승/NNG+을/JKO
확정지었다.	확정/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.292.6.2
25승10무9패 승점 85.

25승10무9패	25/SN+승/NNB+10/SN+무/NNB+9/SN+패/NNB
승점	승점/NNG
85.	85/SN+./SF


# id : NWRW1800000040.292.6.3
2위 헐시티가 24승6무14패 승점 78로 2승을 더하더라도 승점 84에 그치기 때문이다.

2위	2/SN+위/NNB
헐시티가	헐시티/NNP+가/JKS
24승6무14패	24/SN+승/NNB+6/SN+무/NNB+14/SN+패/NNB
승점	승점/NNG
78로	78/SN+로/JKB
2승을	2/SN+승/NNB+을/JKO
더하더라도	더/MAG+하/XSV+더라도/EC
84에	84/SN+에/JKB
그치기	그치/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.292.6.4
이미 다음 시즌 프리미어리그 승격이 확정된 카디프시티는 1899년 창단 이후 처음으로 챔피언십 정상에 오르는 기쁨을 누렸다.

이미	이미/MAG
다음	다음/NNG
시즌	시즌/NNG
프리미어리그	프리미어리그/NNG
승격이	승격/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
카디프시티는	카디프시티/NNP+는/JX
1899년	1899/SN+년/NNB
창단	창단/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
챔피언십	챔피언십/NNG
정상에	정상/NNG+에/JKB
오르는	오르/VV+는/ETM
기쁨을	기쁨/NNG+을/JKO
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.292.6.5
김보경은 이날 도움주기를 기록했다.

김보경은	김보경/NNP+은/JX
이날	이날/NNG
도움주기를	도움/NNG+주/VV+기/ETN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


