# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.253
metadata : {}


# id : NWRW1800000040.253.1.1
제주 해파리 비상

제주	제주/NNP
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.253.5.4
몸체가 투명하고 작아서 맨눈으로 식별하기 어렵기 때문에 피해 입은 피서객들이 영문도 모른 채 고통을 호소하는 경우가 많다.

몸체가	몸체/NNG+가/JKS
투명하고	투명/NNG+하/XSA+고/EC
작아서	작/VA+아서/EC
맨눈으로	맨/XPN+눈/NNG+으로/JKB
식별하기	식별/NNG+하/XSV+기/ETN
어렵기	어렵/VA+기/ETN
때문에	때문/NNB+에/JKB
피해	피하/VV+아/EC
입은	입/VV+은/ETM
피서객들이	피서객/NNG+들/XSN+이/JKS
영문도	영문/NNG+도/JX
모른	모르/VV+ㄴ/ETM
채	채/NNB
고통을	고통/NNG+을/JKO
호소하는	호소/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000040.253.6.1
해경은 11일 오전 9시부터 김녕성세기 해변과 이호테우 해변 서쪽 부분의 입욕을 통제했다가 피해자가 늘면서 함덕서우봉 해변도 오후에 통제했다.

해경은	해경/NNG+은/JX
11일	11/SN+일/NNB
오전	오전/NNG
9시부터	9/SN+시/NNB+부터/JX
김녕성세기	김녕성세기/NNP
해변과	해변/NNG+과/JC
이호테우	이호테우/NNP
해변	해변/NNG
서쪽	서쪽/NNG
부분의	부분/NNG+의/JKG
입욕을	입욕/NNG+을/JKO
통제했다가	통제/NNG+하/XSV+았/EP+다가/EC
피해자가	피해자/NNG+가/JKS
늘면서	늘/VV+면서/EC
함덕서우봉	함덕서우봉/NNP
해변도	해변/NNG+도/JX
오후에	오후/NNG+에/JKB
통제했다.	통제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.253.6.2
제주해경 관계자는 “해파리 출현이 시시각각으로 변하기 때문에 예찰활동을 강화하고 있다”며 “해파리에 쏘이면 만지지 말고 바로 해경 안전센터로 신고하고, 통증이 지속되면 병원에서 진료를 받아야 한다”고 당부했다.

제주해경	제주해경/NNP
관계자는	관계자/NNG+는/JX
“해파리	“/SS+해파리/NNG
출현이	출현/NNG+이/JKS
시시각각으로	시시각각/NNG+으로/JKB
변하기	변하/VV+기/ETN
때문에	때문/NNB+에/JKB
예찰활동을	예찰/NNG+활동/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“해파리에	“/SS+해파리/NNG+에/JKB
쏘이면	쏘이/VV+면/EC
만지지	만지/VV+지/EC
말고	말/VX+고/EC
바로	바로/MAG
해경	해경/NNG
안전센터로	안전/NNG+센터/NNG+로/JKB
신고하고,	신고/NNG+하/XSV+고/EC+,/SP
통증이	통증/NNG+이/JKS
지속되면	지속/NNG+되/XSV+면/EC
병원에서	병원/NNG+에서/JKB
진료를	진료/NNG+를/JKO
받아야	받/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


