# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.193
metadata : {}


# id : NWRW1800000038.193.1.1
12조5000억원 빚진 SH공사, 서울시가 직접 경영 나선다

12조5000억원	12/SN+조/NR+5000/SN+억/NR+원/NNB
SH공사는 당시 일괄 보상 방식으로 마곡지구 토지·건물 소유주에게 수조원대 보상금을 지급했지만 2008년 이후 부동산 거품이 꺼지면서 자산 가치가 하락해 SH공사 채무의 가장 큰 비중을 차지하게 됐다.

SH공사는	SH공사/NNP+는/JX
당시	당시/NNG
일괄	일괄/NNG
보상	보상/NNG
방식으로	방식/NNG+으로/JKB
마곡지구	마곡지구/NNP
토지·건물	토지/NNG+·/SP+건물/NNG
소유주에게	소유주/NNG+에게/JKB
수조원대	수조/NR+원/NNB+대/XSN
보상금을	보상금/NNG+을/JKO
지급했지만	지급/NNG+하/XSV+았/EP+지만/EC
2008년	2008/SN+년/NNB
이후	이후/NNG
부동산	부동산/NNG
거품이	거품/NNG+이/JKS
꺼지면서	꺼지/VV+면서/EC
자산	자산/NNG
가치가	가치/NNG+가/JKS
하락해	하락/NNG+하/XSV+아/EC
SH공사	SH공사/NNP
채무의	채무/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
비중을	비중/NNG+을/JKO
차지하게	차지/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.193.6.1
서울시가 마곡지구를 인수하면 SH공사는 대금을 받아 당장 급한 채무를 청산할 수 있고, 서울시는 장기적으로 마곡지구 분양·판매를 통해 인수 대금을 충당하고 수익을 낼 수 있다는 계산이다.

서울시가	서울시/NNP+가/JKS
마곡지구를	마곡지구/NNP+를/JKO
인수하면	인수/NNG+하/XSV+면/EC
SH공사는	SH공사/NNP+는/JX
대금을	대금/NNG+을/JKO
받아	받/VV+아/EC
당장	당장/NNG
급한	급하/VA+ㄴ/ETM
채무를	채무/NNG+를/JKO
청산할	청산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
서울시는	서울시/NNP+는/JX
장기적으로	장기/NNG+적/XSN+으로/JKB
마곡지구	마곡지구/NNP
분양·판매를	분양/NNG+·/SP+판매/NNG+를/JKO
통해	통하/VV+아/EC
인수	인수/NNG
충당하고	충당/NNG+하/XSV+고/EC
수익을	수익/NNG+을/JKO
낼	내/VV+ㄹ/ETM
있다는	있/VA+다는/ETM
계산이다.	계산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.193.7.1
하지만 마곡지구 인수에 들어가는 막대한 자금이 문제다.

하지만	하지만/MAJ
마곡지구	마곡지구/NNP
인수에	인수/NNG+에/JKB
들어가는	들어가/VV+는/ETM
막대한	막대하/VA+ㄴ/ETM
자금이	자금/NNG+이/JKS
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.193.7.2
서울시 고위 관계자는 "마곡지구를 인수한다면 적어도 5조원이 들어가야 한다"며 "현재 서울시 재정 상태로는 무리"라고 말했다.

서울시	서울시/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"마곡지구를	"/SS+마곡지구/NNP+를/JKO
인수한다면	인수/NNG+하/XSV+ㄴ다면/EC
적어도	적어도/MAG
5조원이	5/SN+조/NR+원/NNB+이/JKS
들어가야	들어가/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"현재	"/SS+현재/MAG
재정	재정/NNG
상태로는	상태/NNG+로/JKB+는/JX
무리"라고	무리/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.193.7.3
서울시는 이를 위해 지방채를 발행하거나 내년도 예산 편성 시 마곡지구 인수 대금을 반영하는 방안도 고려 중인 것으로 알려졌다.

서울시는	서울시/NNP+는/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
지방채를	지방채/NNG+를/JKO
발행하거나	발행/NNG+하/XSV+거나/EC
내년도	내년도/NNG
예산	예산/NNG
편성	편성/NNG
시	시/NNB
마곡지구	마곡지구/NNP
인수	인수/NNG
대금을	대금/NNG+을/JKO
반영하는	반영/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
고려	고려/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


