# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.383
metadata : {}


# id : NWRW1800000041.383.1.1
[수도권] ‘국공립 어린이집 1000개 확충’ 첫해부터 삐끗

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
부서에	부서/NNG+에/JKB
“국공립	“/SS+국공립/NNG
어린이집	어린이집/NNG
1000곳	1000/SN+곳/NNG
추가	추가/NNG
확충	확충/NNG
공약은	공약/NNG+은/JX
반드시	반드시/MAG
지켜질	지키/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
집중	집중/NNG
추진해	추진/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.383.4.3
지난달 21일 서울시의회 의장단·상임위원장단과의 간담회에서도 “국공립 어린이집 1000곳 설립을 목표로 하겠다”고 재차 약속했다.

지난달	지난달/NNG
21일	21/SN+일/NNB
서울시의회	서울시의회/NNP
의장단·상임위원장단과의	의장단/NNG+·/SP+상임/NNG+위원장단/NNG+과/JKB+의/JKG
간담회에서도	간담회/NNG+에서/JKB+도/JX
“국공립	“/SS+국공립/NNG
어린이집	어린이집/NNG
1000곳	1000/SN+곳/NNG
설립을	설립/NNG+을/JKO
목표로	목표/NNG+로/JKB
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
재차	재차/MAG
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.383.5.1
그러나 지금 추세라면 이 공약(公約)은 헛된 약속인 ‘공약’(空約)이 될 가능성이 높다.

그러나	그러나/MAJ
지금	지금/MAG
추세라면	추세/NNG+이/VCP+라면/EC
이	이/MMD
공약(公約)은	공약/NNG+(/SS+公約/SH+)/SS+은/JX
헛된	헛되/VA+ㄴ/ETM
약속인	약속/NNG+이/VCP+ㄴ/ETM
‘공약’(空約)이	‘/SS+공약/NNG+’/SS+(/SS+空約/SH+)/SS+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000041.383.5.2
10일 서울시에 따르면 올 상반기 신규 허가가 난 국공립 어린이집은 단 53곳.

10일	10/SN+일/NNB
서울시에	서울시/NNP+에/JKB
따르면	따르/VV+면/EC
올	올/NNG
상반기	상반기/NNG
신규	신규/NNG
허가가	허가/NNG+가/JKS
난	나/VV+ㄴ/ETM
국공립	국공립/NNG
어린이집은	어린이집/NNG+은/JX
단	단/MMA
53곳.	53/SN+곳/NNG+./SF


# id : NWRW1800000041.383.5.3
시는 연말까지 최대 100곳 신설을 목표하고 있지만 이 역시 박 시장의 공약을 지키기엔 부족한 수치다.

시는	시/NNG+는/JX
연말까지	연말/NNG+까지/JX
최대	최대/NNG
100곳	100/SN+곳/NNG
신설을	신설/NNG+을/JKO
목표하고	목표/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
이	이/NP
역시	역시/MAG
박	박/NNP
시장의	시장/NNG+의/JKG
공약을	공약/NNG+을/JKO
지키기엔	지키/VV+기/ETN+에/JKB+ㄴ/JX
부족한	부족/NNG+하/XSA+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.383.5.4
올해부터 4년 동안 1000곳을 확충하려면 매년 250곳을 세워야 하기 때문이다.

올해부터	올해/NNG+부터/JX
4년	4/SN+년/NNB
동안	동안/NNG
1000곳을	1000/SN+곳/NNG+을/JKO
확충하려면	확충/NNG+하/XSV+려면/EC
매년	매년/MAG
250곳을	250/SN+곳/NNG+을/JKO
세워야	세우/VV+어야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.383.6.1
문제는 국공립 어린이집 신설 추진력이 갈수록 떨어지고 있다는 점.

문제는	문제/NNG+는/JX
국공립	국공립/NNG
어린이집	어린이집/NNG
신설	신설/NNG
추진력이	추진력/NNG+이/JKS
갈수록	갈수록/MAG
떨어지고	떨어지/VV+고/EC
있다는	있/VX+다는/ETM
점.	점/NNG+./SF


# id : NWRW1800000041.383.6.2
시는 두 달에 한 번씩 ‘국공립 어린이집 확충대상 심의위원회’를 열어 국공립 어린이집 신설을 결정한다.

시는	시/NNG+는/JX
두	두/MMN
달에	달/NNB+에/JKB
한	한/MMN
번씩	번/NNB+씩/XSN
‘국공립	‘/SS+국공립/NNG
어린이집	어린이집/NNG
확충대상	확충/NNG+대상/NNG
심의위원회’를	심의/NNG+위원회/NNG+’/SS+를/JKO
열어	열/VV+어/EC
국공립	국공립/NNG
신설을	신설/NNG+을/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.383.6.3
올해 2월 심의에서는 25곳이 허가가 났지만 4월 16곳, 6월 12곳으로 갈수록 줄었다.

올해	올해/NNG
2월	2/SN+월/NNB
심의에서는	심의/NNG+에서/JKB+는/JX
25곳이	25/SN+곳/NNG+이/JKS
허가가	허가/NNG+가/JKS
났지만	나/VV+았/EP+지만/EC
4월	4/SN+월/NNB
16곳,	16/SN+곳/NNG+,/SP
6월	6/SN+월/NNB
12곳으로	12/SN+곳/NNG+으로/JKB
갈수록	갈수록/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.383.6.4
여기에 국공립 어린이집을 운영하고 싶다는 신청자마저 줄고 있다.

여기에	여기/NP+에/JKB
국공립	국공립/NNG
어린이집을	어린이집/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
싶다는	싶/VX+다는/ETM
신청자마저	신청자/NNG+마저/JX
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.383.6.5
2월 31곳이던 신청 건수는 4월 24곳, 6월 19곳으로 계속 줄었다.

2월	2/SN+월/NNB
31곳이던	31/SN+곳/NNG+이/VCP+던/ETM
신청	신청/NNG
건수는	건수/NNG+는/JX
4월	4/SN+월/NNB
24곳,	24/SN+곳/NNG+,/SP
6월	6/SN+월/NNB
19곳으로	19/SN+곳/NNG+으로/JKB
계속	계속/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.383.6.6
서울시는 신청을 받아 심의를 통해 허가를 내주는데 신청 건수가 줄면 자연스레 허가도 줄어들 수밖에 없다.

서울시는	서울시/NNP+는/JX
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
심의를	심의/NNG+를/JKO
통해	통하/VV+아/EC
허가를	허가/NNG+를/JKO
내주는데	내주/VV+는데/EC
신청	신청/NNG
건수가	건수/NNG+가/JKS
줄면	줄/VV+면/EC
자연스레	자연스레/MAG
허가도	허가/NNG+도/JX
줄어들	줄어들/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.383.7.1
서울시는 기존 민간·가정 어린이집을 국공립 어린이집으로 전환하는 데 집중할 계획이지만 이마저도 쉽지 않다.

서울시는	서울시/NNP+는/JX
기존	기존/NNG
민간·가정	민간/NNG+·/SP+가정/NNG
어린이집을	어린이집/NNG+을/JKO
국공립	국공립/NNG
어린이집으로	어린이집/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
데	데/NNB
집중할	집중/NNG+하/XSV+ㄹ/ETM
계획이지만	계획/NNG+이/VCP+지만/EC
이마저도	이/NP+마저/JX+도/JX
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.383.7.2
국공립으로 전환하려면 재무 및 안전, 시설 기준이 일정 수준에 올라야 하기 때문이다.

국공립으로	국공립/NNG+으로/JKB
전환하려면	전환/NNG+하/XSV+려면/EC
재무	재무/NNG
및	및/MAG
안전,	안전/NNG+,/SP
시설	시설/NNG
기준이	기준/NNG+이/JKS
일정	일정/NNG
수준에	수준/NNG+에/JKB
올라야	오르/VV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.383.7.3
올해 허가가 난 국공립 어린이집 53곳 가운데 민간 어린이집이 전환된 경우는 5곳에 불과하다.

올해	올해/NNG
허가가	허가/NNG+가/JKS
난	나/VV+ㄴ/ETM
국공립	국공립/NNG
어린이집	어린이집/NNG
53곳	53/SN+곳/NNG
가운데	가운데/NNG
민간	민간/NNG
어린이집이	어린이집/NNG+이/JKS
전환된	전환/NNG+되/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
5곳에	5/SN+곳/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000041.383.7.4
한 민간 어린이집 원장 박모 씨(60)는 “국공립 전환 요건이 까다롭다.

한	한/MMN
민간	민간/NNG
어린이집	어린이집/NNG
원장	원장/NNG
박모	박/NNP+모/NP
씨(60)는	씨/NNB+(/SS+60/SN+)/SS+는/JX
“국공립	“/SS+국공립/NNG
전환	전환/NNG
요건이	요건/NNG+이/JKS
까다롭다.	까다롭/VA+다/EF+./SF


# id : NWRW1800000041.383.7.5
어린이집이 자가 소유인 경우는 전환이 쉽지만 건물을 임차하고 있는 경우 절차가 까다롭고 복잡해서 대부분 떨어진다”고 말했다.

어린이집이	어린이집/NNG+이/JKS
자가	자가/NNG
소유인	소유/NNG+이/VCP+ㄴ/ETM
경우는	경우/NNG+는/JX
전환이	전환/NNG+이/JKS
쉽지만	쉽/VA+지만/EC
건물을	건물/NNG+을/JKO
임차하고	임차/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
경우	경우/NNG
절차가	절차/NNG+가/JKS
까다롭고	까다롭/VA+고/EC
복잡해서	복잡하/VA+아서/EC
대부분	대/XPN+부분/NNG
떨어진다”고	떨어지/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.383.8.1
낮은 출산율이 이어지고 있는데 짧은 기간에 어린이집을 크게 늘리는 것에 대한 우려도 높다.

낮은	낮/VA+은/ETM
출산율이	출산/NNG+율/XSN+이/JKS
이어지고	이어지/VV+고/EC
있는데	있/VX+는데/EC
짧은	짧/VA+은/ETM
기간에	기간/NNG+에/JKB
어린이집을	어린이집/NNG+을/JKO
크게	크/VA+게/EC
늘리는	늘리/VV+는/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000041.383.8.2
다른 민간 어린이집 원장인 김모 씨(59)는 “주변 어린이집 10곳 가운데 정원을 다 채운 데는 우리를 포함해 2곳밖에 없다.

다른	다른/MMD
민간	민간/NNG
어린이집	어린이집/NNG
원장인	원장/NNG+이/VCP+ㄴ/ETM
김모	김/NNP+모/NP
씨(59)는	씨/NNB+(/SS+59/SN+)/SS+는/JX
“주변	“/SS+주변/NNG
10곳	10/SN+곳/NNG
가운데	가운데/NNG
정원을	정원/NNG+을/JKO
다	다/MAG
채운	채우/VV+ㄴ/ETM
데는	데/NNB+는/JX
우리를	우리/NP+를/JKO
포함해	포함/NNG+하/XSV+아/EC
2곳밖에	2/SN+곳/NNG+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.383.8.3
이런 상황에서 어린이집을 늘리는 게 무슨 소용이 있는지 모르겠다”고 푸념했다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
어린이집을	어린이집/NNG+을/JKO
늘리는	늘리/VV+는/ETM
게	거/NNB+이/JKS
무슨	무슨/MMD
소용이	소용/NNG+이/JKS
있는지	있/VA+는지/EF
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
푸념했다.	푸념/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.383.8.4
한 국공립 어린이집 원장 김모 씨(39)는 “기존의 국공립 어린이집도 시설이 낙후된 곳이 많은데 무조건 수만 늘리겠다는 건 전시행정 아니냐”고 꼬집었다.

한	한/MMN
국공립	국공립/NNG
어린이집	어린이집/NNG
원장	원장/NNG
김모	김/NNP+모/NP
씨(39)는	씨/NNB+(/SS+39/SN+)/SS+는/JX
“기존의	“/SS+기존/NNG+의/JKG
어린이집도	어린이집/NNG+도/JX
시설이	시설/NNG+이/JKS
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
곳이	곳/NNG+이/JKS
많은데	많/VA+은데/EC
무조건	무/XPN+조건/NNG
수만	수/NNG+만/JX
늘리겠다는	늘리/VV+겠/EP+다는/ETM
건	거/NNB+ㄴ/JX
전시행정	전시/NNG+행정/NNG
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.383.9.1
예산 확보도 문제다.

예산	예산/NNG
확보도	확보/NNG+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.383.9.2
시는 올해 국공립 어린이집을 100곳 늘리는 데 680억 원을 투입한다.

시는	시/NNG+는/JX
올해	올해/NNG
국공립	국공립/NNG
어린이집을	어린이집/NNG+을/JKO
100곳	100/SN+곳/NNG
늘리는	늘리/VV+는/ETM
데	데/NNB
680억	680/SN+억/NR
원을	원/NNB+을/JKO
투입한다.	투입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.383.9.3
‘1000곳 확충’ 약속을 지키려면 내년부터 해마다 300곳씩 늘려야 하고, 이렇게 되면 한 해 투입해야 할 예산도 약 2000억 원이나 있어야 한다.

‘1000곳	‘/SS+1000/SN+곳/NNG
확충’	확충/NNG+’/SS
약속을	약속/NNG+을/JKO
지키려면	지키/VV+려면/EC
내년부터	내년/NNG+부터/JX
해마다	해마다/MAG
300곳씩	300/SN+곳/NNG+씩/XSN
늘려야	늘리/VV+어야/EC
하고,	하/VX+고/EC+,/SP
이렇게	이렇/VA+게/EC
되면	되/VV+면/EC
한	한/MMN
해	해/NNB
투입해야	투입/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
예산도	예산/NNG+도/JX
약	약/MMA
2000억	2000/SN+억/NR
원이나	원/NNB+이나/JX
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.383.9.4
서울시 보육기획팀 관계자는 “1000곳을 확충하기 위해서는 보다 근본적이고, 실질적인 방안을 마련해야 한다”고 말했다.

서울시	서울시/NNP
보육기획팀	보육/NNG+기획/NNG+팀/NNG
관계자는	관계자/NNG+는/JX
“1000곳을	“/SS+1000/SN+곳/NNG+을/JKO
확충하기	확충/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
보다	보다/MAG
근본적이고,	근본/NNG+적/XSN+이/VCP+고/EC+,/SP
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
방안을	방안/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


