# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.313
metadata : {}


# id : NWRW1800000034.313.1.1
'박희태의 20년 집사' 조정만 사흘째 잠적

'박희태의	'/SS+박희태/NNP+의/JKG
의장의	의장/NNG+의/JKG
전(前)	전/MMD+(/SS+前/SH+)/SS
비서	비서/NNG
고명진씨의	고명진/NNP+씨/NNB+의/JKG
자택에	자택/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수수색에	압수/NNG+수색/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
이후	이후/NNG
사흘째	사흘/NNG+째/XSN
종적을	종적/NNG+을/JKO
감춘	감추/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.313.4.1
조 수석은 박 의장과 같은 경남 남해 출신으로 1990년 수행비서로 시작해 21년째 박 의장을 보좌해왔다.

조	조/NNP
수석은	수석/NNG+은/JX
박	박/NNP
의장과	의장/NNG+과/JKB
같은	같/VA+은/ETM
경남	경남/NNP
남해	남해/NNP
출신으로	출신/NNG+으로/JKB
1990년	1990/SN+년/NNB
수행비서로	수행/NNG+비서/NNG+로/JKB
시작해	시작/NNG+하/XSV+아/EC
21년째	21/SN+년/NNB+째/XSN
의장을	의장/NNG+을/JKO
보좌해왔다.	보좌/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.313.4.2
의장실 관계자는 "조 수석은 과묵한 성격으로 박 의장의 집사 역할을 한 심복"이라고 했다.

의장실	의장실/NNG
관계자는	관계자/NNG+는/JX
"조	"/SS+조/NNP
수석은	수석/NNG+은/JX
과묵한	과묵/NNG+하/XSA+ㄴ/ETM
성격으로	성격/NNG+으로/JKB
박	박/NNP
의장의	의장/NNG+의/JKG
집사	집사/NNG
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
심복"이라고	심복/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.313.4.3
특히 조 수석은 2008년 7·3 전당대회는 물론 원외(院外)로 있던 박 의장이 출마한 2009년 경남 양산 보궐선거 때도 선거 자금을 관리했다고 한다.

특히	특히/MAG
조	조/NNP
수석은	수석/NNG+은/JX
2008년	2008/SN+년/NNB
7·3	7/SN+·/SP+3/SN
전당대회는	전당/NNG+대회/NNG+는/JX
물론	물론/MAG
원외(院外)로	원외/NNG+(/SS+院外/SH+)/SS+로/JKB
있던	있/VA+던/ETM
박	박/NNP
의장이	의장/NNG+이/JKS
출마한	출마/NNG+하/XSV+ㄴ/ETM
2009년	2009/SN+년/NNB
경남	경남/NNP
양산	양산/NNP
보궐선거	보궐/NNG+선거/NNG
때도	때/NNG+도/JX
선거	선거/NNG
자금을	자금/NNG+을/JKO
관리했다고	관리/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000034.313.4.4
박 의장 캠프의 자금 흐름과 관련한 속사정을 누구보다 잘 아는 인물인 셈이다.

박	박/NNP
의장	의장/NNG
캠프의	캠프/NNG+의/JKG
자금	자금/NNG
흐름과	흐름/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
속사정을	속사정/NNG+을/JKO
누구보다	누구/NP+보다/JKB
잘	잘/MAG
아는	알/VV+는/ETM
인물인	인물/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.313.4.5
이번에 문제가 된 2008년 대표 경선 때는 "캠프에서 중요한 3명을 꼽는다면 그 중에 반드시 들어갈 핵심" 역할을 했다는 것이 당시 관계자들의 증언이다.

이번에	이번/NNG+에/JKB
문제가	문제/NNG+가/JKS
된	되/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
대표	대표/NNG
경선	경선/NNG
때는	때/NNG+는/JX
"캠프에서	"/SS+캠프/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
3명을	3/SN+명/NNB+을/JKO
꼽는다면	꼽/VV+는다면/EC
그	그/MMD
중에	중/NNB+에/JKB
반드시	반드시/MAG
들어갈	들어가/VV+ㄹ/ETM
핵심"	핵심/NNG+"/SS
역할을	역할/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
것이	것/NNB+이/JKS
당시	당시/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
증언이다.	증언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000034.313.4.6
이런 까닭에 정치권에선 조 수석이 검찰 수사를 피하기 위해 잠적한 것 같다는 이야기가 나오고 있다.

이런	이런/MMD
까닭에	까닭/NNG+에/JKB
정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
조	조/NNP
수석이	수석/NNG+이/JKS
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
잠적한	잠적/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다는	같/VA+다는/ETM
이야기가	이야기/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000034.313.4.7
한나라당 일각에선 "이미 검찰 수사를 받은 것 아니냐"는 말도 나오고 있다.

한나라당	한나라당/NNP
일각에선	일각/NNG+에서/JKB+ㄴ/JX
"이미	"/SS+이미/MAG
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
받은	받/VV+은/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
말도	말/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000034.313.4.8
검찰은 국회사무처 압수수색을 통해 조 수석의 이메일 기록을 입수해 조사 중인 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
국회사무처	국회/NNG+사무처/NNG
압수수색을	압수/NNG+수색/NNG+을/JKO
통해	통하/VV+아/EC
조	조/NNP
수석의	수석/NNG+의/JKG
이메일	이메일/NNG
기록을	기록/NNG+을/JKO
입수해	입수/NNG+하/XSV+아/EC
조사	조사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.313.5.1
조 수석과 가까운 한 인사는 "박 의장 캠프의 자금을 관리해온 그가 검찰에 들어가면 사건이 어디로 튈지 파장을 가늠할 수 없을 것"이라며 "박 의장이 현재 해외 순방 중인 만큼 시간을 벌면서 모처에서 검찰 수사에 대비하고 있는 것으로 안다"고 말했다.

조	조/NNP
수석과	수석/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
한	한/MMN
인사는	인사/NNG+는/JX
"박	"/SS+박/NNP
의장	의장/NNG
캠프의	캠프/NNG+의/JKG
자금을	자금/NNG+을/JKO
관리해온	관리/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
그가	그/NP+가/JKS
검찰에	검찰/NNG+에/JKB
들어가면	들어가/VV+면/EC
사건이	사건/NNG+이/JKS
어디로	어디/NP+로/JKB
튈지	튀/VV+ㄹ지/EF
파장을	파장/NNG+을/JKO
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
의장이	의장/NNG+이/JKS
현재	현재/MAG
해외	해외/NNG
순방	순방/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
만큼	만큼/NNB
시간을	시간/NNG+을/JKO
벌면서	벌/VV+면서/EC
모처에서	모처/NNG+에서/JKB
검찰	검찰/NNG
수사에	수사/NNG+에/JKB
대비하고	대비/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.313.5.2
그는 앞서 고승덕 의원이 검찰에서 조사를 받은 직후인 지난 10일 고명진씨를 만나 당시 전당대회 상황에 대해 이야기를 나눈 것으로 알려졌다.

그는	그/NP+는/JX
앞서	앞서/MAG
고승덕	고승덕/NNP
의원이	의원/NNG+이/JKS
검찰에서	검찰/NNG+에서/JKB
조사를	조사/NNG+를/JKO
받은	받/VV+은/ETM
직후인	직후/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
고명진씨를	고명진/NNP+씨/NNB+를/JKO
만나	만나/VV+아/EC
당시	당시/NNG
전당대회	전당/NNG+대회/NNG
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
이야기를	이야기/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.313.6.1
조 수석은 그러나 측근들에게 "나는 돈 봉투사건과는 아무 관련이 없다"고 말한 것으로 알려졌다.

조	조/NNP
수석은	수석/NNG+은/JX
그러나	그러나/MAJ
측근들에게	측근/NNG+들/XSN+에게/JKB
"나는	"/SS+나/NP+는/JX
돈	돈/NNG
봉투사건과는	봉투/NNG+사건/NNG+과/JKB+는/JX
아무	아무/MMD
관련이	관련/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.313.6.2
조 수석과 최근 연락이 닿은 한 인사는 "검찰이나 언론이 조 수석의 입을 열기가 쉽지 않을 것"이라고 했다.

조	조/NNP
수석과	수석/NNG+과/JKB
최근	최근/MAG
연락이	연락/NNG+이/JKS
닿은	닿/VV+은/ETM
한	한/MMN
인사는	인사/NNG+는/JX
"검찰이나	"/SS+검찰/NNG+이나/JC
언론이	언론/NNG+이/JKS
수석의	수석/NNG+의/JKG
입을	입/NNG+을/JKO
열기가	열/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


