# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.377
metadata : {}


# id : NWRW1800000046.377.1.1
은퇴 1년 손학규 "나는 初心 그대로"

은퇴	은퇴/NNG
며칠 전 "찾아뵙겠다"는 측근들에게는 "괜한 말이 나오고 하니, 조용히 있겠다.

며칠	며칠/NNG
전	전/NNG
"찾아뵙겠다"는	"/SS+찾아뵙/VV+겠/EP+다/EF+"/SS+는/ETM
측근들에게는	측근/NNG+들/XSN+에게/JKB+는/JX
"괜한	"/SS+괜하/VA+ㄴ/ETM
말이	말/NNG+이/JKS
나오고	나오/VV+고/EC
하니,	하/VX+니/EC+,/SP
조용히	조용히/MAG
있겠다.	있/VV+겠/EP+다/EF+./SF


# id : NWRW1800000046.377.3.4
날 선선해지면 그때 보자"고 말했다고 한다.

날	날/NNG
선선해지면	선선하/VA+아/EC+지/VX+면/EC
그때	그때/NNG
보자"고	보/VV+자/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.377.4.1
손 전 대표는 작년 7·30 수원 팔달 보궐선거에서 낙선한 뒤 정치권을 떠나 전남 강진 백련사 인근 흙집에서 생활하고 있다.

손	손/NNP
전	전/MMD
대표는	대표/NNG+는/JX
작년	작년/NNG
7·30	7/SN+·/SP+30/SN
수원	수원/NNP
팔달	팔달/NNP
보궐선거에서	보궐/NNG+선거/NNG+에서/JKB
낙선한	낙선/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
정치권을	정치/NNG+권/XSN+을/JKO
떠나	떠나/VV+아/EC
전남	전남/NNP
강진	강진/NNP
백련사	백련사/NNP
인근	인근/NNG
흙집에서	흙집/NNG+에서/JKB
생활하고	생활/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.377.4.2
지난 1년간 측근 결혼식이나 장례식 등을 빼곤 거의 나오지 않았다.

지난	지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
측근	측근/NNG
결혼식이나	결혼식/NNG+이나/JC
장례식	장례식/NNG
등을	등/NNB+을/JKO
빼곤	빼/VV+고/EC+ㄴ/JX
거의	거의/MAG
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.377.4.3
정치권에서 자기 이름이 거론될 때마다 "나는 정치권을 떠난 사람"이라고 했다.

정치권에서	정치/NNG+권/XSN+에서/JKB
자기	자기/NP
이름이	이름/NNG+이/JKS
거론될	거론/NNG+되/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
"나는	"/SS+나/NP+는/JX
정치권을	정치/NNG+권/XSN+을/JKO
떠난	떠나/VV+ㄴ/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.377.4.4
문재인 대표와 신당을 추진 중인 무소속 천정배 의원 등이 만나자고 했으나 거절했다.

문재인	문재인/NNP
대표와	대표/NNG+와/JKB
신당을	신당/NNG+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
무소속	무/XPN+소속/NNG
천정배	천정배/NNP
의원	의원/NNG
등이	등/NNB+이/JKS
만나자고	만나/VV+자고/EC
했으나	하/VX+았/EP+으나/EC
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.377.4.5
하지만 손 전 대표가 말한 '초심'에 대해 일부 측근은 "정계 은퇴할 때 마음이 아니라 한나라당에서 탈당해 야당으로 올 때 그 마음을 말한 게 아니냐"는 말도 하고 있다.

하지만	하지만/MAJ
손	손/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
'초심'에	'/SS+초심/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
일부	일부/NNG
측근은	측근/NNG+은/JX
"정계	"/SS+정계/NNG
은퇴할	은퇴/NNG+하/XSV+ㄹ/ETM
때	때/NNG
마음이	마음/NNG+이/JKC
아니라	아니/VCN+라/EC
한나라당에서	한나라당/NNP+에서/JKB
탈당해	탈당/NNG+하/XSV+아/EC
야당으로	야당/NNG+으로/JKB
올	오/VV+ㄹ/ETM
그	그/MMD
마음을	마음/NNG+을/JKO
게	거/NNB+이/JKC
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
말도	말/NNG+도/JX
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.377.4.6
손 전 대표는 2007년 탈당 당시 "낡은 수구와 무능한 좌파의 질곡을 깨고 새 길을 창조하겠다"며 제3당 창당을 선언한 바 있다.

손	손/NNP
전	전/MMD
대표는	대표/NNG+는/JX
2007년	2007/SN+년/NNB
탈당	탈당/NNG
당시	당시/NNG
"낡은	"/SS+낡/VV+은/ETM
수구와	수구/NNG+와/JC
무능한	무능/NNG+하/XSA+ㄴ/ETM
좌파의	좌파/NNG+의/JKG
질곡을	질곡/NNG+을/JKO
깨고	깨/VV+고/EC
새	새/MMA
길을	길/NNG+을/JKO
창조하겠다"며	창조/NNG+하/XSV+겠/EP+다/EF+"/SS+며/EC
제3당	제/XPN+3/SN+당/NNG
창당을	창당/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.377.4.7
손 전 대표와 가까운 한 의원은 "그가 호남으로 간 이유가 있을 것"이라고 했다.

손	손/NNP
전	전/MMD
대표와	대표/NNG+와/JKB
가까운	가깝/VA+ㄴ/ETM
한	한/MMN
의원은	의원/NNG+은/JX
"그가	"/SS+그/NP+가/JKS
호남으로	호남/NNP+으로/JKB
간	가/VV+ㄴ/ETM
이유가	이유/NNG+가/JKS
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


