# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.340
metadata : {}


# id : NWRW1800000046.340.1.1
朴 대통령·새누리당 지지율 '成 리스트' 파문後 동반하락

朴	朴/SH
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.340.3.4
이로써 양당의 차이는 9.4%포인트에서 4.2%포인트로 좁혀졌다.

이로써	이/NP+로써/JKB
양당의	양당/NNG+의/JKG
차이는	차이/NNG+는/JX
9.4%포인트에서	9/SN+./SP+4/SN+%포인트/NNG+에서/JKB
4.2%포인트로	4/SN+./SP+2/SN+%포인트/NNG+로/JKB
좁혀졌다.	좁히/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.340.3.5
새누리당의 지지율은 리얼미터 조사에서 2012년 2월 이후 약 3년 만에 최저치를 기록했다.

새누리당의	새누리당/NNP+의/JKG
지지율은	지지/NNG+율/XSN+은/JX
리얼미터	리얼미터/NNP
조사에서	조사/NNG+에서/JKB
2012년	2012/SN+년/NNB
2월	2/SN+월/NNB
이후	이후/NNG
약	약/MMA
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
최저치를	최저/NNG+치/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.340.4.1
이 조사에선 박 대통령의 지지율도 지난주에 비해 2.1%포인트 하락한 39.7%였다.

이	이/MMD
조사에선	조사/NNG+에서/JKB+ㄴ/JX
박	박/NNP
대통령의	대통령/NNG+의/JKG
지지율도	지지/NNG+율/XSN+도/JX
지난주에	지난주/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
2.1%포인트	2/SN+./SP+1/SN+%포인트/NNG
하락한	하락/NNG+하/XSV+ㄴ/ETM
39.7%였다.	39/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.340.4.2
한국갤럽이 지난 7일부터 성완종 전 경남기업 회장의 사망 소식이 알려진 9일까지 실시한 조사에서도 박 대통령 지지율은 39%로 1주일 전의 40%에 비해 하락세였다.

한국갤럽이	한국갤럽/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
7일부터	7/SN+일/NNB+부터/JX
성완종	성완종/NNP
전	전/MMD
경남기업	경남기업/NNP
회장의	회장/NNG+의/JKG
사망	사망/NNG
소식이	소식/NNG+이/JKS
알려진	알려지/VV+ㄴ/ETM
9일까지	9/SN+일/NNB+까지/JX
실시한	실시/NNG+하/XSV+ㄴ/ETM
조사에서도	조사/NNG+에서/JKB+도/JX
박	박/NNP
대통령	대통령/NNG
지지율은	지지/NNG+율/XSN+은/JX
39%로	39/SN+%/SW+로/JKB
1주일	1/SN+주일/NNB
전의	전/NNG+의/JKG
40%에	40/SN+%/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
하락세였다.	하락세/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.340.4.3
박 대통령의 지지율은 특히 충청권(41%→34%)과 수도권(41%→35%) 등에서 하락 폭이 컸다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
지지율은	지지/NNG+율/XSN+은/JX
특히	특히/MAG
충청권(41%→34%)과	충청/NNP+권/XSN+(/SS+41/SN+%/SW+→/SW+34/SN+%/SW+)/SS+과/JC
수도권(41%→35%)	수도/NNG+권/XSN+(/SS+41/SN+%/SW+→/SW+35/SN+%/SW+)/SS
등에서	등/NNB+에서/JKB
하락	하락/NNG
폭이	폭/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.340.4.4
여론조사 전문가들은 "4·29 재·보선을 약 2주 앞둔 시점에서 정당 지지율의 변화는 재·보선 구도가 요동치고 있음을 의미한다"며 "특히 새누리당과 새정치연합의 대결이 치열한 인천 서구 강화을과 경기 성남 중원 등의 표심 변화가 주목된다"고 했다.

여론조사	여론/NNG+조사/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
"4·29	"/SS+4/SN+·/SP+29/SN
재·보선을	재·보선/NNG+을/JKO
약	약/MMA
2주	2/SN+주/NNB
앞둔	앞두/VV+ㄴ/ETM
시점에서	시점/NNG+에서/JKB
정당	정당/NNG
지지율의	지지/NNG+율/XSN+의/JKG
변화는	변화/NNG+는/JX
재·보선	재·보선/NNG
구도가	구도/NNG+가/JKS
요동치고	요동치/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
의미한다"며	의미/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"특히	"/SS+특히/MAG
새누리당과	새누리당/NNP+과/JC
새정치연합의	새정치연합/NNP+의/JKG
대결이	대결/NNG+이/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
인천	인천/NNP
서구	서구/NNP
강화을과	강화을/NNP+과/JC
경기	경기/NNP
성남	성남/NNP
중원	중원/NNP
등의	등/NNB+의/JKG
표심	표심/NNG
변화가	변화/NNG+가/JKS
주목된다"고	주목/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.340.4.5
정치권에선 한발 더 나아가 "성완종 리스트가 정확히 1년 앞으로 다가온 4·13 총선에도 영향을 줄 수 있는 초대형 이슈"란 말이 나오고 있다.

정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
한발	한발/MAG
더	더/MAG
나아가	나아가/VV+아/EC
"성완종	"/SS+성완종/NNP
리스트가	리스트/NNG+가/JKS
정확히	정확히/MAG
1년	1/SN+년/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
4·13	4/SN+·/SP+13/SN
총선에도	총선/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
초대형	초/XPN+대형/NNG
이슈"란	이슈/NNG+"/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.340.5.1
이 때문에 지난 12일 박 대통령이 서면 브리핑을 통해 '성역 없는 수사'를 강조했고, 김무성 새누리당 대표도 긴급 기자회견을 열어 "철저하고 신속한 규명"을 촉구하는 등 즉각적인 대응에 나선 것으로 풀이된다.

이	이/MMD
때문에	때문/NNB+에/JKB
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
박	박/NNP
대통령이	대통령/NNG+이/JKS
서면	서면/NNG
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+아/EC
'성역	'/SS+성역/NNG
없는	없/VA+는/ETM
수사'를	수사/NNG+'/SS+를/JKO
강조했고,	강조/NNG+하/XSV+았/EP+고/EC+,/SP
김무성	김무성/NNP
새누리당	새누리당/NNP
대표도	대표/NNG+도/JX
긴급	긴급/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
"철저하고	"/SS+철저/NNG+하/XSA+고/EC
신속한	신속/NNG+하/XSA+ㄴ/ETM
규명"을	규명/NNG+"/SS+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
등	등/NNB
즉각적인	즉각/MAG+적/XSN+이/VCP+ㄴ/ETM
대응에	대응/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


