# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.385
metadata : {}


# id : NWRW1800000056.385.1.1
“기자는 기사대로 사나” 홍종학 감싸는 청와대의 ‘언론 탓’

“기자는	“/SS+기자/NNG+는/JX
합법적인	합법/NNG+적/XSN+이/VCP+ㄴ/ETM
절세	절세/NNG
방안이라고	방안/NNG+이/VCP+라고/EC
소개하고	소개/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“불법이냐	“/SS+불법/NNG+이/VCP+냐/EF
아니냐	아니/VCN+냐/EF
하는	하/VV+는/ETM
문제에서는	문제/NNG+에서/JKB+는/JX
벗어나	벗어나/VV+아/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.385.5.2
홍 후보자의 배우자와 딸은 2015년 11월 서울 충무로 상가 건물 지분의 4분의 1씩 증여받았다.

홍	홍/NNP
후보자의	후보자/NNG+의/JKG
배우자와	배우자/NNG+와/JC
딸은	딸/NNG+은/JX
2015년	2015/SN+년/NNB
11월	11/SN+월/NNB
서울	서울/NNP
충무로	충무로/NNP
상가	상가/NNG
건물	건물/NNG
지분의	지분/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
1씩	1/SN+씩/XSN
증여받았다.	증여/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.385.5.3
각각 8억6000만원을 증여받은 것인데, 10억원이 넘는 증여의 경우 증여세 40%를 납부해야 하는 상황을 피하기 위해 ‘쪼개기 증여’라는 편법을 썼다는 의혹이 제기된다.

각각	각각/MAG
8억6000만원을	8/SN+억/NR+6000/SN+만/NR+원/NNB+을/JKO
증여받은	증여/NNG+받/XSV+은/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
10억원이	10/SN+억/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
증여의	증여/NNG+의/JKG
경우	경우/NNG
증여세	증여세/NNG
40%를	40/SN+%/SW+를/JKO
납부해야	납부/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
상황을	상황/NNG+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
‘쪼개기	‘/SS+쪼개/VV+기/ETN
증여’라는	증여/NNG+’/SS+이/VCP+라는/ETM
편법을	편법/NNG+을/JKO
썼다는	쓰/VV+었/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.385.6.1
이 관계자는 “증여를 받았다고 (홍 후보자를) 존경하지 않을 수는 있지만 비난해도 될 것인지 의문”이라고 홍 후보자를 감싼 뒤 “칼럼니스트가 (재산) 대물림이 안 된다고 썼다 해서 장모가 증여해 주는 것을 받지 않느냐”, “개인에게 가혹하게 할 수 있는지 되묻고 싶다”며 언론에 불만을 나타냈다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“증여를	“/SS+증여/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
(홍	(/SS+홍/NNP
후보자를)	후보자/NNG+를/JKO+)/SS
존경하지	존경/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수는	수/NNB+는/JX
있지만	있/VA+지만/EC
비난해도	비난/NNG+하/XSV+아도/EC
될	되/VV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EF
의문”이라고	의문/NNG+”/SS+이라고/JKQ
홍	홍/NNP
후보자를	후보자/NNG+를/JKO
감싼	감싸/VV+ㄴ/ETM
뒤	뒤/NNG
“칼럼니스트가	“/SS+칼럼니스트/NNG+가/JKS
(재산)	(/SS+재산/NNG+)/SS
대물림이	대물림/NNG+이/JKC
안	안/MAG
된다고	되/VV+ㄴ다고/EC
썼다	쓰/VV+었/EP+다/EF
해서	하/VV+아서/EC
장모가	장모/NNG+가/JKS
증여해	증여/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
것을	것/NNB+을/JKO
받지	받/VV+지/EC
않느냐”,	않/VX+느냐/EF+”/SS+,/SP
“개인에게	“/SS+개인/NNG+에게/JKB
가혹하게	가혹/NNG+하/XSA+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EF
되묻고	되묻/VV+고/EC
싶다”며	싶/VX+다/EF+”/SS+며/EC
언론에	언론/NNG+에/JKB
불만을	불만/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.385.6.2
‘특목고를 폐지해야 한다’고 주장해온 홍 후보자가 딸을 국제중학교에 진학시킨 것에 관해서도 “특목고 폐지를 제도적으로 고치자는 것이지, 딸이 국제중을 갔다고 도덕적으로 책임을 물어야 하는지 잘 이해가 안 간다”며 “그럼 여러분(기자)도 쓰신 기사대로 살아야 되는 것 아니냐”고 말했다.

‘특목고를	‘/SS+특목고/NNG+를/JKO
폐지해야	폐지/NNG+하/XSV+아야/EC
한다’고	하/VX+ㄴ다/EF+’/SS+고/JKQ
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
홍	홍/NNP
후보자가	후보자/NNG+가/JKS
딸을	딸/NNG+을/JKO
국제중학교에	국제/NNG+중학교/NNG+에/JKB
진학시킨	진학/NNG+시키/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
관해서도	관하/VV+아서/EC+도/JX
“특목고	“/SS+특목고/NNG
폐지를	폐지/NNG+를/JKO
제도적으로	제도/NNG+적/XSN+으로/JKB
고치자는	고치/VV+자는/ETM
것이지,	것/NNB+이/VCP+지/EC+,/SP
딸이	딸/NNG+이/JKS
국제중을	국제중/NNG+을/JKO
갔다고	가/VV+았/EP+다고/EC
도덕적으로	도덕/NNG+적/XSN+으로/JKB
책임을	책임/NNG+을/JKO
물어야	묻/VV+어야/EC
하는지	하/VX+는지/EF
잘	잘/MAG
이해가	이해/NNG+가/JKS
안	안/MAG
간다”며	가/VV+ㄴ다/EF+”/SS+며/EC
“그럼	“/SS+그럼/MAJ
여러분(기자)도	여러분/NP+(/SS+기자/NNG+)/SS+도/JX
쓰신	쓰/VV+시/EP+ㄴ/ETM
기사대로	기사/NNG+대로/JX
살아야	살/VV+아야/EC
되는	되/VV+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.385.6.3
이 관계자는 “(국민 눈높이에 맞는) 도덕성에 부합하는 인물이 있다면 좋을 것”이라면서도 “그러나 그 사람이 법적으로 문제가 될 만한 흠이 있는지는 구분이 돼야 할 것”이라고 덧붙였다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“(국민	“/SS+(/SS+국민/NNG
눈높이에	눈높이/NNG+에/JKB
맞는)	맞/VV+는/ETM+)/SS
도덕성에	도덕/NNG+성/XSN+에/JKB
부합하는	부합/NNG+하/XSV+는/ETM
인물이	인물/NNG+이/JKS
있다면	있/VA+다면/EC
좋을	좋/VA+을/ETM
것”이라면서도	것/NNB+”/SS+이/VCP+라면서/EC+도/JX
“그러나	“/SS+그러나/MAJ
그	그/MMD
사람이	사람/NNG+이/JKS
법적으로	법/NNG+적/XSN+으로/JKB
문제가	문제/NNG+가/JKS
될	되/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
흠이	흠/NNG+이/JKS
있는지는	있/VA+는지/EF+는/JX
구분이	구분/NNG+이/JKS
돼야	되/VV+어야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


