# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.134
metadata : {}


# id : NWRW1800000032.134.1.1
주춤대는 중국 경제…3분기 성장률 9.1%

주춤대는	주춤대/VV+는/ETM
비관론자인 누리엘 루비니 뉴욕대 교수는 “중국 경제의 연착륙은 미션 임파서블(불가능한 임무)”라며 “아마도 2013-2014년에 경착륙하지 않겠느냐는 판단”이라고 말했다.

비관론자인	비관론자/NNG+이/VCP+ㄴ/ETM
누리엘	누리엘/NNP
루비니	루비니/NNP
뉴욕대	뉴욕대/NNP
교수는	교수/NNG+는/JX
“중국	“/SS+중국/NNP
경제의	경제/NNG+의/JKG
연착륙은	연착륙/NNG+은/JX
미션	미션/NNG
임파서블(불가능한	임파서블/NNG+(/SS+불/XPN+가능/NNG+하/XSA+ㄴ/ETM
임무)”라며	임무/NNG+)/SS+”/SS+이/VCP+라며/EC
“아마도	“/SS+아마도/MAG
2013-2014년에	2013/SN+-/SO+2014/SN+년/NNB+에/JKB
경착륙하지	경착륙/NNG+하/XSV+지/EC
않겠느냐는	않/VX+겠/EP+느냐는/ETM
판단”이라고	판단/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.134.8.2
루비니 교수는 17일 헬싱키에서 열린 세미나에서 “중국은 높은 성장을 이어가려고 계속 투자를 늘려왔고, 과잉투자는 항상 경착륙으로 이어진다”며 “지도부 교체가 이뤄지는 민감한 기간(2012년)에는 성장을 8% 이상으로 유지하기 위해 가능한 모든 조처를 취할 것”으로 전망했다고 <블룸버그> 뉴스는 전했다.

루비니	루비니/NNP
교수는	교수/NNG+는/JX
17일	17/SN+일/NNB
헬싱키에서	헬싱키/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
세미나에서	세미나/NNG+에서/JKB
“중국은	“/SS+중국/NNP+은/JX
높은	높/VA+은/ETM
성장을	성장/NNG+을/JKO
이어가려고	잇/VV+어/EC+가/VX+려고/EC
계속	계속/MAG
투자를	투자/NNG+를/JKO
늘려왔고,	늘리/VV+어/EC+오/VX+았/EP+고/EC+,/SP
과잉투자는	과잉/NNG+투자/NNG+는/JX
항상	항상/MAG
경착륙으로	경착륙/NNG+으로/JKB
이어진다”며	이어지/VV+ㄴ다/EF+”/SS+며/EC
“지도부	“/SS+지도부/NNG
교체가	교체/NNG+가/JKS
이뤄지는	이뤄지/VV+는/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
기간(2012년)에는	기간/NNG+(/SS+2012/SN+년/NNB+)/SS+에/JKB+는/JX
8%	8/SN+%/SW
이상으로	이상/NNG+으로/JKB
유지하기	유지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
가능한	가능/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
조처를	조처/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
것”으로	것/NNB+”/SS+으로/JKB
전망했다고	전망/NNG+하/XSV+았/EP+다고/EC
<블룸버그>	</SS+블룸버그/NNP+>/SS
뉴스는	뉴스/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.134.9.1
그동안 성장의 주력이 돼준 대규모 부동산 투자가 만든 거품, 10조위안이 넘는 지방정부 부채와 연결된 금융 부실 등이 점점 더 심각한 문제로 드러나고 있다.

그동안	그동안/NNG
성장의	성장/NNG+의/JKG
주력이	주력/NNG+이/JKC
돼준	되/VV+어/EC+주/VX+ㄴ/ETM
대규모	대/XPN+규모/NNG
부동산	부동산/NNG
투자가	투자/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
거품,	거품/NNG+,/SP
10조위안이	10/SN+조/NR+위안/NNB+이/JKS
넘는	넘/VV+는/ETM
지방정부	지방/NNG+정부/NNG
부채와	부채/NNG+와/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
금융	금융/NNG
부실	부실/NNG
등이	등/NNB+이/JKS
점점	점점/MAG
더	더/MAG
심각한	심각하/VA+ㄴ/ETM
문제로	문제/NNG+로/JKB
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.134.9.2
중국 경제의 중요한 축인 수출도 빨간불이다.

중국	중국/NNP
경제의	경제/NNG+의/JKG
중요한	중요/NNG+하/XSA+ㄴ/ETM
축인	축/NNG+이/VCP+ㄴ/ETM
수출도	수출/NNG+도/JX
빨간불이다.	빨간불/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.134.9.3
웨이젠궈 전 상무부 부부장은 18일 <차이나데일리>에 “중국이 20여년 만에 처음으로 내년에 무역적자를 기록할 것”이라며 “9월과 10월은 유럽과 미국에서 크리스마스 성수기 주문이 들어오는 수출의 가장 중요한 시기지만, 주문이 급감하고 있다”고 말했다.

웨이젠궈	웨이젠궈/NNP
전	전/MMD
상무부	상무부/NNG
부부장은	부부장/NNG+은/JX
18일	18/SN+일/NNB
<차이나데일리>에	</SS+차이나데일리/NNP+>/SS+에/JKB
“중국이	“/SS+중국/NNP+이/JKS
20여년	20/SN+여/XSN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
내년에	내년/NNG+에/JKB
무역적자를	무역/NNG+적자/NNG+를/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“9월과	“/SS+9/SN+월/NNB+과/JC
10월은	10/SN+월/NNB+은/JX
유럽과	유럽/NNP+과/JC
미국에서	미국/NNP+에서/JKB
크리스마스	크리스마스/NNG
성수기	성수기/NNG
주문이	주문/NNG+이/JKS
들어오는	들어오/VV+는/ETM
수출의	수출/NNG+의/JKG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
시기지만,	시기/NNG+이/VCP+지만/EC+,/SP
급감하고	급감/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


