# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.221
metadata : {}


# id : NWRW1800000024.221.1.1
‘북핵대비’ 병력감축 규모 축소 /3천명 규모 해외파병부대 창설

‘북핵대비’	‘/SS+북핵/NNG+대비/NNG+’/SS
대비한	대비/NNG+하/XSV+ㄴ/ETM
육군	육군/NNG
병력이다.	병력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.221.7.1
수정안은 지상군 47개 사단을 24개로 감축하려던 애초 계획에서 평시 동원사단 4개와 1개 여단 증가로 평시 28개 사단으로 늘어났다.

수정안은	수정안/NNG+은/JX
지상군	지상군/NNG
47개	47/SN+개/NNB
사단을	사단/NNG+을/JKO
24개로	24/SN+개/NNB+로/JKB
감축하려던	감축/NNG+하/XSV+려던/ETM
애초	애초/NNG
계획에서	계획/NNG+에서/JKB
평시	평시/NNG
동원사단	동원/NNG+사단/NNG
4개와	4/SN+개/NNB+와/JC
1개	1/SN+개/NNB
여단	여단/NNG
증가로	증가/NNG+로/JKB
28개	28/SN+개/NNB
사단으로	사단/NNG+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.7.2
여기에 전시에는 10개 사단을 추가로 창설하기로 하는 등 지상군 부대의 감축 계획이 원안보다 후퇴했다.

여기에	여기/NP+에/JKB
전시에는	전시/NNG+에/JKB+는/JX
10개	10/SN+개/NNB
사단을	사단/NNG+을/JKO
추가로	추가/NNG+로/JKB
창설하기로	창설/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
지상군	지상군/NNG
부대의	부대/NNG+의/JKG
감축	감축/NNG
계획이	계획/NNG+이/JKS
원안보다	원안/NNG+보다/JKB
후퇴했다.	후퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.7.3
예비군 300만명을 150만명으로 줄이기로 한 애초 계획도 수정해 185만명으로 조정했다.

예비군	예비군/NNG
300만명을	300/SN+만/NR+명/NNB+을/JKO
150만명으로	150/SN+만/NR+명/NNB+으로/JKB
줄이기로	줄이/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
애초	애초/NNG
계획도	계획/NNG+도/JX
수정해	수정/NNG+하/XSV+아/EC
185만명으로	185/SN+만/NR+명/NNB+으로/JKB
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.8.1
반면 해군의 경우 항공기 110대 규모로 항공사령부를 창설하기로 한 계획이 백지화되고, 현재 항공전단 체제를 유지하기로 했다.

반면	반면/NNG
해군의	해군/NNG+의/JKG
경우	경우/NNG
항공기	항공기/NNG
110대	110/SN+대/NNB
규모로	규모/NNG+로/JKB
항공사령부를	항공/NNG+사령부/NNG+를/JKO
창설하기로	창설/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
계획이	계획/NNG+이/JKS
백지화되고,	백지/NNG+화/XSN+되/XSV+고/EC+,/SP
현재	현재/MAG
항공전단	항공/NNG+전단/NNG
체제를	체제/NNG+를/JKO
유지하기로	유지/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.8.2
또 백령도·연평도 서해 5개 섬 방어부대인 해병대 병력은 2020년 말까지 3200명을 줄이되, 2020년 안보상황을 평가해 조정하기로 했다.

또	또/MAG
백령도·연평도	백령도/NNP+·/SP+연평도/NNP
서해	서해/NNP
5개	5/SN+개/NNB
섬	섬/NNG
방어부대인	방어/NNG+부대/NNG+이/VCP+ㄴ/ETM
해병대	해병대/NNG
병력은	병력/NNG+은/JX
2020년	2020/SN+년/NNB
말까지	말/NNB+까지/JX
3200명을	3200/SN+명/NNB+을/JKO
줄이되,	줄이/VV+되/EC+,/SP
안보상황을	안보/NNG+상황/NNG+을/JKO
평가해	평가/NNG+하/XSV+아/EC
조정하기로	조정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.9.1
국방부는 특전사령부 예하에 3천명 규모의 해외파병 부대를 편성하기로 했다.

국방부는	국방부/NNG+는/JX
특전사령부	특전/NNG+사령부/NNG
예하에	예하/NNG+에/JKB
3천명	3/SN+천/NR+명/NNB
규모의	규모/NNG+의/JKG
해외파병	해외/NNG+파병/NNG
부대를	부대/NNG+를/JKO
편성하기로	편성/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.9.2
해외파병 상비부대는 1천명으로 편성하되 상비부대 전체가 파병되는 경우를 대비해 1천명의 예비부대를 별도로 지정하고 다양한 파병임무를 고려해 공병과 해난구조, 항공수송, 의무 요원 등으로 구성되는 지원부대 1천명도 별도 지정해 관리하기로 했다.

해외파병	해외/NNG+파병/NNG
상비부대는	상비/NNG+부대/NNG+는/JX
1천명으로	1/SN+천/NR+명/NNB+으로/JKB
편성하되	편성/NNG+하/XSV+되/EC
상비부대	상비/NNG+부대/NNG
전체가	전체/NNG+가/JKS
파병되는	파병/NNG+되/XSV+는/ETM
경우를	경우/NNG+를/JKO
대비해	대비/NNG+하/XSV+아/EC
1천명의	1/SN+천/NR+명/NNB+의/JKG
예비부대를	예비/NNG+부대/NNG+를/JKO
별도로	별도/NNG+로/JKB
지정하고	지정/NNG+하/XSV+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
파병임무를	파병/NNG+임무/NNG+를/JKO
고려해	고려/NNG+하/XSV+아/EC
공병과	공병/NNG+과/JC
해난구조,	해난/NNG+구조/NNG+,/SP
항공수송,	항공/NNG+수송/NNG+,/SP
의무	의무/NNG
요원	요원/NNG
등으로	등/NNB+으로/JKB
구성되는	구성/NNG+되/XSV+는/ETM
지원부대	지원/NNG+부대/NNG
1천명도	1/SN+천/NR+명/NNB+도/JX
별도	별도/NNG
지정해	지정/NNG+하/XSV+아/EC
관리하기로	관리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.10.1
한편, 2012년 4월 전시작전통제권 전환에 대비해 합참의장 아래에 합참 1차장과 2차장을 신설하기로 했다.

한편,	한편/MAG+,/SP
2012년	2012/SN+년/NNB
4월	4/SN+월/NNB
전시작전통제권	전시/NNG+작전/NNG+통제/NNG+권/XSN
전환에	전환/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
합참의장	합참/NNG+의장/NNG
아래에	아래/NNG+에/JKB
합참	합참/NNG
1차장과	1/SN+차장/NNG+과/JC
2차장을	2/SN+차장/NNG+을/JKO
신설하기로	신설/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.10.2
작전 지휘를 맡게 될 1차장 예하에는 합동작전본부를, 군령보좌 기능인 2차장 산하에는 전략기획본부와 전력발전본부를 각각 두기로 했다.

작전	작전/NNG
지휘를	지휘/NNG+를/JKO
맡게	맡/VV+게/EC
될	되/VV+ㄹ/ETM
1차장	1/SN+차장/NNG
예하에는	예하/NNG+에/JKB+는/JX
합동작전본부를,	합동/NNG+작전/NNG+본부/NNG+를/JKO+,/SP
군령보좌	군령/NNG+보좌/NNG
기능인	기능/NNG+이/VCP+ㄴ/ETM
2차장	2/SN+차장/NNG
산하에는	산하/NNG+에/JKB+는/JX
전략기획본부와	전략/NNG+기획/NNG+본부/NNG+와/JC
전력발전본부를	전력/NNG+발전/NNG+본부/NNG+를/JKO
각각	각각/MAG
두기로	두/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.10.3
차장에는 4성 장군급이 올 것으로 알려졌다.

차장에는	차장/NNG+에/JKB+는/JX
4성	4/SN+성/NNG
장군급이	장군/NNG+급/NNG+이/JKS
올	오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.221.11.1
국방부는 “단일 전구로 구성된 한반도 작전환경의 특수성을 고려해 별도의 합동군사령부를 창설하지 않고 합참의장이 전구사령관 구실을 수행할 수 있도록 합참의 편성과 기능을 보강했다”고 말했다.

국방부는	국방부/NNG+는/JX
“단일	“/SS+단일/NNG
전구로	전구/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
한반도	한반도/NNP
작전환경의	작전/NNG+환경/NNG+의/JKG
특수성을	특수/NNG+성/XSN+을/JKO
고려해	고려/NNG+하/XSV+아/EC
별도의	별도/NNG+의/JKG
합동군사령부를	합동군/NNG+사령부/NNG+를/JKO
창설하지	창설/NNG+하/XSV+지/EC
않고	않/VX+고/EC
합참의장이	합참/NNG+의장/NNG+이/JKS
전구사령관	전구/NNG+사령관/NNG
구실을	구실/NNG+을/JKO
수행할	수행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
합참의	합참/NNG+의/JKG
편성과	편성/NNG+과/JKB
기능을	기능/NNG+을/JKO
보강했다”고	보강/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.11.2
전구는 독자적으로 맡아서 전투를 수행하는 구역을 뜻한다.

전구는	전구/NNG+는/JX
독자적으로	독자/NNG+적/XSN+으로/JKB
맡아서	맡/VV+아서/EC
전투를	전투/NNG+를/JKO
수행하는	수행/NNG+하/XSV+는/ETM
구역을	구역/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


