# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.357
metadata : {}


# id : NWRW1800000044.357.1.1
남경필 제주도 땅투기 논란

남경필	남경필/NNP
소유하고	소유/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
공격했다.	공격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.357.7.2
이에 남 후보 선대위는 이미 해명된 얘기라며 네거티브 선거전을 중단하라고 맞섰다.

이에	이/NP+에/JKB
남	남/NNP
후보	후보/NNG
선대위는	선대위/NNG+는/JX
이미	이미/MAG
해명된	해명/NNG+되/XSV+ㄴ/ETM
얘기라며	얘기/NNG+이/VCP+라며/EC
네거티브	네거티브/NNG
선거전을	선거전/NNG+을/JKO
중단하라고	중단/NNG+하/XSV+라고/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.357.8.1
김 후보는 이날 보도자료를 통해 “남 후보가 대학생이던 1987년 서귀포시 서호동의 과수원 필지(1만3592㎡, 4118평)를 매입했는데, 농사를 짓지 않아 농지개혁법과 농지법을 위반했다”고 주장했다.

김	김/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“남	“/SS+남/NNP
후보가	후보/NNG+가/JKS
대학생이던	대학/NNG+생/XSN+이/VCP+던/ETM
1987년	1987/SN+년/NNB
서귀포시	서귀포시/NNP
서호동의	서호동/NNP+의/JKG
과수원	과수원/NNG
필지(1만3592㎡,	필지/NNG+(/SS+1/SN+만/NR+3592/SN+㎡/SW+,/SP
4118평)를	4118/SN+평/NNB+)/SS+를/JKO
매입했는데,	매입/NNG+하/XSV+았/EP+는데/EC+,/SP
농사를	농사/NNG+를/JKO
짓지	짓/VV+지/EC
않아	않/VX+아/EC
농지개혁법과	농지/NNG+개혁법/NNG+과/JC
농지법을	농지법/NNG+을/JKO
위반했다”고	위반/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.357.8.2
김 후보 선대위는 또 “2010년 남 후보가 언론 인터뷰에서 제주도 땅에 대해 ‘나라에 기증했다’고 했는데 확인 결과 일부를 남동생에게 증여했을 뿐 그대로 소유하고 있다”고 설명했다.

김	김/NNP
후보	후보/NNG
선대위는	선대위/NNG+는/JX
또	또/MAG
“2010년	“/SS+2010/SN+년/NNB
남	남/NNP
후보가	후보/NNG+가/JKS
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
제주도	제주도/NNP
땅에	땅/NNG+에/JKB
대해	대하/VV+아/EC
‘나라에	‘/SS+나라/NNG+에/JKB
기증했다’고	기증/NNG+하/XSV+았/EP+다/EF+’/SS+고/JKQ
했는데	하/VV+았/EP+는데/EC
확인	확인/NNG
결과	결과/NNG
일부를	일부/NNG+를/JKO
남동생에게	남동생/NNG+에게/JKB
증여했을	증여/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
그대로	그대로/MAG
소유하고	소유/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.357.8.3
올해 남 후보는 제주도 땅 필지 가격을 7억93만원으로 재산신고했다.

올해	올해/NNG
남	남/NNP
후보는	후보/NNG+는/JX
제주도	제주도/NNP
땅	땅/NNG
필지	필지/NNG
가격을	가격/NNG+을/JKO
7억93만원으로	7/SN+억/NR+93/SN+만/NR+원/NNB+으로/JKB
재산신고했다.	재산/NNG+신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.357.9.1
이에 남 후보 캠프는 반박 성명을 내 “(농지법 위반으로) 문제가 된 제주도 땅(278㎡, 84평)은 남 후보가 서귀포시에 기부채납 뜻을 밝혔으나, 서귀포시는 토지의 접근 도로가 미비하다며 이를 받아들이지 않아 어쩔 수 없이 지금도 갖고 있게 된 것”이라며 “어떤 방식을 통해서라도 토지 기증 약속을 지키겠다”고 해명했다.

이에	이/NP+에/JKB
남	남/NNP
후보	후보/NNG
캠프는	캠프/NNG+는/JX
반박	반박/NNG
성명을	성명/NNG+을/JKO
내	내/VV+어/EC
“(농지법	“/SS+(/SS+농지법/NNG
위반으로)	위반/NNG+으로/JKB+)/SS
문제가	문제/NNG+가/JKS
된	되/VV+ㄴ/ETM
제주도	제주도/NNP
땅(278㎡,	땅/NNG+(/SS+278/SN+㎡/SW+,/SP
84평)은	84/SN+평/NNB+)/SS+은/JX
후보가	후보/NNG+가/JKS
서귀포시에	서귀포시/NNP+에/JKB
기부채납	기부/NNG+채납/NNG
뜻을	뜻/NNG+을/JKO
밝혔으나,	밝히/VV+었/EP+으나/EC+,/SP
서귀포시는	서귀포시/NNP+는/JX
토지의	토지/NNG+의/JKG
접근	접근/NNG
도로가	도로/NNG+가/JKS
미비하다며	미비/NNG+하/XSA+다며/EC
이를	이/NP+를/JKO
받아들이지	받아들이/VV+지/EC
않아	않/VX+아/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
지금도	지금/NNG+도/JX
갖고	갖/VV+고/EC
있게	있/VX+게/EC
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“어떤	“/SS+어떤/MMD
방식을	방식/NNG+을/JKO
통해서라도	통하/VV+아서/EC+라도/JX
토지	토지/NNG
기증	기증/NNG
약속을	약속/NNG+을/JKO
지키겠다”고	지키/VV+겠/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.357.9.2
남 후보 쪽은 또 “1987년 농지 매입에 대해선 처벌 근거 조항을 찾을 수 없었다”고 덧붙였다.

남	남/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
또	또/MAG
“1987년	“/SS+1987/SN+년/NNB
농지	농지/NNG
매입에	매입/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
처벌	처벌/NNG
근거	근거/NNG
조항을	조항/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.357.9.3
남 후보 선대위는 “김 후보가 불리한 선거 판세를 되돌리기 어렵게 되자 네거티브를 꺼내들었다”며 “명확히 해명된 해묵은 얘기로 국민의 눈과 귀를 속이려 하고 있다”고 반박했다.

남	남/NNP
후보	후보/NNG
선대위는	선대위/NNG+는/JX
“김	“/SS+김/NNP
후보가	후보/NNG+가/JKS
불리한	불리/NNG+하/XSA+ㄴ/ETM
선거	선거/NNG
판세를	판세/NNG+를/JKO
되돌리기	되돌리/VV+기/ETN
어렵게	어렵/VA+게/EC
되자	되/VV+자/EC
네거티브를	네거티브/NNG+를/JKO
꺼내들었다”며	꺼내/VV+어/EC+들/VV+었/EP+다/EF+”/SS+며/EC
“명확히	“/SS+명확히/MAG
해명된	해명/NNG+되/XSV+ㄴ/ETM
해묵은	해묵/VV+은/ETM
얘기로	얘기/NNG+로/JKB
국민의	국민/NNG+의/JKG
눈과	눈/NNG+과/JC
귀를	귀/NNG+를/JKO
속이려	속이/VV+려/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


