# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.319
metadata : {}


# id : NWRW1800000040.319.1.1
[유레카] 청와대 지하벙커 / 김종구

[유레카]	[/SS+유레카/NNG+]/SS
대형	대형/NNG
급수탱크,	급수/NNG+탱크/NNG+,/SP
병원	병원/NNG
등을	등/NNB+을/JKO
갖춘	갖추/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
지하시설로	지하/NNG+시설/NNG+로/JKB
만약의	만약/NNG+의/JKG
사태	사태/NNG
발생	발생/NNG
때	때/NNG
임시	임시/NNG
백악관으로	백악관/NNP+으로/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.319.3.4
영국도 1950년대부터 암호명 ‘벌링턴’으로 불리는 대규모 지하벙커 시설을 비밀리에 운영하다가 1991년에 사용을 중단했고, 지금은 이곳을 민간에 매각하려고 구매자를 찾고 있다고 한다.

영국도	영국/NNP+도/JX
1950년대부터	1950/SN+년대/NNB+부터/JX
암호명	암호/NNG+명/NNG
‘벌링턴’으로	‘/SS+벌링턴/NNP+’/SS+으로/JKB
불리는	불리/VV+는/ETM
대규모	대/XPN+규모/NNG
지하벙커	지하/NNG+벙커/NNG
시설을	시설/NNG+을/JKO
비밀리에	비밀/NNG+리/XSN+에/JKB
운영하다가	운영/NNG+하/XSV+다가/EC
1991년에	1991/SN+년/NNB+에/JKB
사용을	사용/NNG+을/JKO
중단했고,	중단/NNG+하/XSV+았/EP+고/EC+,/SP
지금은	지금/NNG+은/JX
이곳을	이곳/NP+을/JKO
민간에	민간/NNG+에/JKB
매각하려고	매각/NNG+하/XSV+려고/EC
구매자를	구매자/NNG+를/JKO
찾고	찾/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.319.4.1
청와대 지하벙커는 잘 알려져 있듯이 1975년 박정희 대통령 시절 전시 대피시설로 만들어졌다가 참여정부 때 국가위기관리 상황실로 바뀌었다.

청와대	청와대/NNP
지하벙커는	지하/NNG+벙커/NNG+는/JX
잘	잘/MAG
알려져	알려지/VV+어/EC
있듯이	있/VX+듯이/EC
1975년	1975/SN+년/NNB
박정희	박정희/NNP
대통령	대통령/NNG
시절	시절/NNG
전시	전시/NNG
대피시설로	대피/NNG+시설/NNG+로/JKB
만들어졌다가	만들/VV+어/EC+지/VX+었/EP+다가/EC
참여정부	참여/NNG+정부/NNG
때	때/NNG
국가위기관리	국가/NNG+위기/NNG+관리/NNG
상황실로	상황실/NNG+로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.319.4.2
백악관의 이스트윙 지하벙커와 비슷한 하드웨어에 백악관 상황실을 본뜬 소프트웨어를 도입한 셈이다.

백악관의	백악관/NNP+의/JKG
이스트윙	이스트윙/NNG
지하벙커와	지하/NNG+벙커/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
하드웨어에	하드웨어/NNG+에/JKB
백악관	백악관/NNP
상황실을	상황실/NNG+을/JKO
본뜬	본뜨/VV+ㄴ/ETM
소프트웨어를	소프트웨어/NNG+를/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.319.4.3
청와대가 최근 이 상황실에 대해 “지하벙커란 표현을 쓰지 말아 달라”고 했다고 한다.

청와대가	청와대/NNP+가/JKS
최근	최근/MAG
이	이/MMD
상황실에	상황실/NNG+에/JKB
대해	대하/VV+아/EC
“지하벙커란	“/SS+지하/NNG+벙커/NNG+이/VCP+란/ETM
표현을	표현/NNG+을/JKO
쓰지	쓰/VV+지/EC
말아	말/VX+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
했다고	하/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.319.4.4
이명박 정부 시절의 ‘지하벙커 남용’에 대한 부정적 이미지 때문으로 짐작되지만 중요한 것은 용어 문제가 아닌 듯싶다.

이명박	이명박/NNP
정부	정부/NNG
시절의	시절/NNG+의/JKG
‘지하벙커	‘/SS+지하/NNG+벙커/NNG
남용’에	남용/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
부정적	부정/NNG+적/XSN
이미지	이미지/NNG
때문으로	때문/NNB+으로/JKB
짐작되지만	짐작/NNG+되/XSV+지만/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
용어	용어/NNG
문제가	문제/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
듯싶다.	듯/NNB+싶/VX+다/EF+./SF


# id : NWRW1800000040.319.4.5
육군 대장 출신들이 주축을 이룬 외교안보팀이 안보관리를 군사적 측면에서만 접근하는 ‘군사시설’로 이 지하벙커를 활용할까봐 더욱 걱정이다.

육군	육군/NNG
대장	대장/NNG
출신들이	출신/NNG+들/XSN+이/JKS
주축을	주축/NNG+을/JKO
이룬	이루/VV+ㄴ/ETM
외교안보팀이	외교/NNG+안보/NNG+팀/NNG+이/JKS
안보관리를	안보/NNG+관리/NNG+를/JKO
군사적	군사/NNG+적/XSN
측면에서만	측면/NNG+에서/JKB+만/JX
접근하는	접근/NNG+하/XSV+는/ETM
‘군사시설’로	‘/SS+군사/NNG+시설/NNG+’/SS+로/JKB
이	이/MMD
지하벙커를	지하/NNG+벙커/NNG+를/JKO
활용할까봐	활용/NNG+하/XSV+ㄹ까/EF+보/VX+아/EC
더욱	더욱/MAG
걱정이다.	걱정/NNG+이/VCP+다/EF+./SF


