# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.210
metadata : {}


# id : NWRW1800000030.210.1.1
제9구단 엔씨소프트 "2013년 1군 리그 참가"

제9구단	제/XPN+9/SN+구단/NNG
포함하지	포함/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
선수	선수/NNG
한	한/MMN
명씩을	명/NNB+씩/XSN+을/JKO
지원해	지원/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청했다"고	요청/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.210.5.1
이 대표는 이용일 KBO 총재대행과 8개 구단 대표가 모두 나온 이사회에서 "야구계에 새 일자리를 창출하고 앞으로 제10구단이 출범할 수 있도록 엔씨소프트가 2013년 1군에 참가하겠다"는 목표를 밝히면서 선수 추가 지원을 희망했다.

이	이/NNP
대표는	대표/NNG+는/JX
이용일	이용일/NNP
KBO	KBO/SL
총재대행과	총재/NNG+대행/NNG+과/JC
8개	8/SN+개/NNB
구단	구단/NNG
대표가	대표/NNG+가/JKS
모두	모두/MAG
나온	나오/VV+ㄴ/ETM
이사회에서	이사회/NNG+에서/JKB
"야구계에	"/SS+야구/NNG+계/XSN+에/JKB
새	새/MMA
일자리를	일자리/NNG+를/JKO
창출하고	창출/NNG+하/XSV+고/EC
앞으로	앞/NNG+으로/JKB
제10구단이	제/XPN+10/SN+구단/NNG+이/JKS
출범할	출범/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
엔씨소프트가	엔씨소프트/NNP+가/JKS
2013년	2013/SN+년/NNB
1군에	1/SN+군/NNG+에/JKB
참가하겠다"는	참가/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
목표를	목표/NNG+를/JKO
밝히면서	밝히/VV+면서/EC
선수	선수/NNG
추가	추가/NNG
지원을	지원/NNG+을/JKO
희망했다.	희망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.210.5.2
엔씨소프트가 프로야구에 정착하려면 다른 구단과 엇비슷하게 경쟁할 만한 실력이 있어야 하고 그러기 위해선 기존 구단들의 성의 있는 배려와 양보가 더 필요하다는 논리다.

엔씨소프트가	엔씨소프트/NNP+가/JKS
프로야구에	프로/NNG+야구/NNG+에/JKB
정착하려면	정착/NNG+하/XSV+려면/EC
다른	다른/MMD
구단과	구단/NNG+과/JKB
엇비슷하게	엇비슷하/VA+게/EC
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
실력이	실력/NNG+이/JKS
있어야	있/VA+어야/EC
하고	하/VX+고/EC
그러기	그러/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
기존	기존/NNG
구단들의	구단/NNG+들/XSN+의/JKG
성의	성의/NNG
있는	있/VA+는/ETM
배려와	배려/NNG+와/JC
양보가	양보/NNG+가/JKS
더	더/MAG
필요하다는	필요/NNG+하/XSA+다는/ETM
논리다.	논리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.210.6.1
엔씨소프트는 KBO 지원안에 따라 올해 신인 17명을 뽑을 수 있다.

엔씨소프트는	엔씨소프트/NNP+는/JX
KBO	KBO/SL
지원안에	지원안/NNG+에/JKB
따라	따르/VV+아/EC
올해	올해/NNG
신인	신인/NNG
17명을	17/SN+명/NNB+을/JKO
뽑을	뽑/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.210.6.2
또 올해부터 신설된 '격년제 2차 드래프트'를 통해 각 구단의 2군 유망주 8명을 확보할 수 있다.

또	또/MAG
올해부터	올해/NNG+부터/JX
신설된	신설/NNG+되/XSV+ㄴ/ETM
'격년제	'/SS+격년/NNG+제/XSN
2차	2/SN+차/NNB
드래프트'를	드래프트/NNG+'/SS+를/JKO
통해	통하/VV+아/EC
각	각/MMD
구단의	구단/NNG+의/JKG
2군	2/SN+군/NNG
유망주	유망주/NNG
8명을	8/SN+명/NNB+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.210.6.3
일단 25명은 보장받는 셈이다.

일단	일단/MAG
25명은	25/SN+명/NNB+은/JX
보장받는	보장/NNG+받/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.210.6.4
이와 별도로 올해 말에 각 구단에서 방출되는 선수들과 계약할 수 있다.

이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
올해	올해/NNG
말에	말/NNB+에/JKB
각	각/MMD
구단에서	구단/NNG+에서/JKB
방출되는	방출/NNG+되/XSV+는/ETM
선수들과	선수/NNG+들/XSN+과/JKB
계약할	계약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.210.6.5
다음 주엔 마산에서 자체 공개 테스트를 해 선수 후보를 찾기로 했다.

다음	다음/NNG
주엔	주/NNG+에/JKB+ㄴ/JX
마산에서	마산/NNP+에서/JKB
자체	자체/NNG
공개	공개/NNG
테스트를	테스트/NNG+를/JKO
해	하/VV+아/EC
선수	선수/NNG
후보를	후보/NNG+를/JKO
찾기로	찾/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.210.7.1
문제는 이 정도 선수 구성으론 내년에 2군 리그에 나가봤자 꼴찌를 벗어나기 어렵다는 점이다.

문제는	문제/NNG+는/JX
이	이/MMD
정도	정도/NNG
선수	선수/NNG
구성으론	구성/NNG+으로/JKB+ㄴ/JX
내년에	내년/NNG+에/JKB
2군	2/SN+군/NNG
리그에	리그/NNG+에/JKB
나가봤자	나가/VV+아/EC+보/VX+았/EP+자/EC
꼴찌를	꼴찌/NNG+를/JKO
벗어나기	벗어나/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.210.7.2
엔씨소프트로선 내년 2군 리그에서 어느 정도 자신감을 쌓아야 2013년 1군에 안정적으로 진입할 수 있다고 판단한다.

엔씨소프트로선	엔씨소프트/NNP+로서/JKB+ㄴ/JX
내년	내년/NNG
2군	2/SN+군/NNG
리그에서	리그/NNG+에서/JKB
어느	어느/MMD
정도	정도/NNG
자신감을	자신감/NNG+을/JKO
쌓아야	쌓/VV+아야/EC
2013년	2013/SN+년/NNB
1군에	1/SN+군/NNG+에/JKB
안정적으로	안정/NNG+적/XSN+으로/JKB
진입할	진입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
판단한다.	판단/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.210.7.3
따라서 기량이 검증된 베테랑들을 올해 미리 확보해야 한다는 입장이다.

따라서	따라서/MAJ
기량이	기량/NNG+이/JKS
검증된	검증/NNG+되/XSV+ㄴ/ETM
베테랑들을	베테랑/NNG+들/XSN+을/JKO
올해	올해/NNG
미리	미리/MAG
확보해야	확보/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.210.7.4
각 팀으로부터 1.5군급 선수 한 명씩을 받고 싶다는 배경이 여기에 있다.

각	각/MMD
팀으로부터	팀/NNG+으로부터/JKB
1.5군급	1/SN+./SP+5/SN+군/NNG+급/NNG
선수	선수/NNG
한	한/MMN
명씩을	명/NNB+씩/XSN+을/JKO
받고	받/VV+고/EC
싶다는	싶/VX+다는/ETM
배경이	배경/NNG+이/JKS
여기에	여기/NP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.210.7.5
각 구단 단장으로 이뤄진 KBO 실행위원회는 엔씨소프트의 새 선수 지원 요청을 검토하기로 했다.

각	각/MMD
구단	구단/NNG
단장으로	단장/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
KBO	KBO/SL
실행위원회는	실행/NNG+위원회/NNG+는/JX
엔씨소프트의	엔씨소프트/NNP+의/JKG
새	새/MMA
선수	선수/NNG
지원	지원/NNG
요청을	요청/NNG+을/JKO
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.210.8.1
현 KBO 지원안대로라면 엔씨소프트는 내년 시즌이 끝나야 비로소 쓸 만한 선수를 구할 수 있다.

현	현/MMD
KBO	KBO/SL
지원안대로라면	지원안/NNG+대로/JX+이/VCP+라면/EC
엔씨소프트는	엔씨소프트/NNP+는/JX
내년	내년/NNG
시즌이	시즌/NNG+이/JKS
끝나야	끝나/VV+아야/EC
비로소	비로소/MAG
쓸	쓰/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
선수를	선수/NNG+를/JKO
구할	구하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.210.8.2
신인 외에 '구단별 보호선수 20명 외 1명씩' 8명, 외국인 선수 4명(3명 출전)을 데려올 수 있다.

신인	신인/NNG
외에	외/NNB+에/JKB
'구단별	'/SS+구단/NNG+별/XSN
보호선수	보호/NNG+선수/NNG
20명	20/SN+명/NNB
외	외/NNB
1명씩'	1/SN+명/NNB+씩/XSN+'/SS
8명,	8/SN+명/NNB+,/SP
외국인	외국인/NNG
선수	선수/NNG
4명(3명	4/SN+명/NNB+(/SS+3/SN+명/NNB
출전)을	출전/NNG+)/SS+을/JKO
데려올	데려오/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.210.8.3
자유계약선수(FA)와도 3명까지 계약할 수 있다.

자유계약선수(FA)와도	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS+와/JKB+도/JX
3명까지	3/SN+명/NNB+까지/JX
계약할	계약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.210.8.4
내년 말쯤이면 50명 안팎의 선수를 확보할 수 있다는 뜻이다.

내년	내년/NNG
말쯤이면	말/NNB+쯤/XSN+이/VCP+면/EC
50명	50/SN+명/NNB
안팎의	안팎/NNG+의/JKG
선수를	선수/NNG+를/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.210.8.5
구단 구색은 갖추겠지만 여전히 기존 프로팀 수준의 전력을 기대하기는 버거울 전망이다.

구단	구단/NNG
구색은	구색/NNG+은/JX
갖추겠지만	갖추/VV+겠/EP+지만/EC
여전히	여전히/MAG
기존	기존/NNG
프로팀	프로/NNG+팀/NNG
수준의	수준/NNG+의/JKG
전력을	전력/NNG+을/JKO
기대하기는	기대/NNG+하/XSV+기/ETN+는/JX
버거울	버겁/VA+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


