# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.66
metadata : {}


# id : NWRW1800000030.66.1.1
"기도하고 일하라, 그럼 욕망의 나뭇잎 떨어지리니…"

"기도하고	"/SS+기도/NNG+하/XSV+고/EC
독서·묵상(04:30)-기도(04:50)-묵상(05:30)-미사(06:00)-식사(07:00)-기도(08:00)-노동(08:15)-기도(11:45)-식사(12:00)-기도(13:30)-노동(13:45)-기도(17:30)-묵상(18:00)-식사(18:30)-기도(19:40)….	독서/NNG+·/SP+묵상/NNG+(/SS+04/SN+:/SP+30/SN+)/SS+-/SO+기도/NNG+(/SS+04/SN+:/SP+50/SN+)/SS+-/SO+묵상/NNG+(/SS+05/SN+:/SP+30/SN+)/SS+-/SO+미사/NNG+(/SS+06/SN+:/SP+00/SN+)/SS+-/SO+식사/NNG+(/SS+07/SN+:/SP+00/SN+)/SS+-/SO+기도/NNG+(/SS+08/SN+:/SP+00/SN+)/SS+-/SO+노동/NNG+(/SS+08/SN+:/SP+15/SN+)/SS+-/SO+기도/NNG+(/SS+11/SN+:/SP+45/SN+)/SS+-/SO+식사/NNG+(/SS+12/SN+:/SP+00/SN+)/SS+-/SO+기도/NNG+(/SS+13/SN+:/SP+30/SN+)/SS+-/SO+노동/NNG+(/SS+13/SN+:/SP+45/SN+)/SS+-/SO+기도/NNG+(/SS+17/SN+:/SP+30/SN+)/SS+-/SO+묵상/NNG+(/SS+18/SN+:/SP+00/SN+)/SS+-/SO+식사/NNG+(/SS+18/SN+:/SP+30/SN+)/SS+-/SO+기도/NNG+(/SS+19/SN+:/SP+40/SN+)/SS+…/SE+./SF


# id : NWRW1800000030.66.4.1
경기도 남양주 불암산 자락, 1200여 그루 배나무 밭 사이로 한참을 올라가면 은둔하듯 키 큰 나무들에 둘러싸인 붉은 벽돌 건물을 만난다.

경기도	경기도/NNP
남양주	남양주/NNP
불암산	불암산/NNP
자락,	자락/NNG+,/SP
1200여	1200/SN+여/XSN
그루	그루/NNB
배나무	배나무/NNG
밭	밭/NNG
사이로	사이/NNG+로/JKB
한참을	한참/NNG+을/JKO
올라가면	올라가/VV+면/EC
은둔하듯	은둔/NNG+하/XSV+듯/EC
키	키/NNG
큰	크/VA+ㄴ/ETM
나무들에	나무/NNG+들/XSN+에/JKB
둘러싸인	둘러싸이/VV+ㄴ/ETM
붉은	붉/VA+은/ETM
벽돌	벽돌/NNG
건물을	건물/NNG+을/JKO
만난다.	만나/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.66.4.2
성(聖) 베네딕도회 요셉수도원.

성(聖)	성/MMA+(/SS+聖/SH+)/SS
베네딕도회	베네딕도회/NNP
요셉수도원.	요셉/NNP+수도원/NNG+./SF


# id : NWRW1800000030.66.4.3
'정주(定住·수도원 공동체 안에서 평생 생활)', '수도승다운 생활', '순명(順命·하느님 말씀과 웃어른, 형제들에게 순종)' 등 세 가지를 서원한 수도자들이 모여 사는 이 산속 공동체의 수도 가훈은 '기도하고 일하라'다.

'정주(定住·수도원	'/SS+정주/NNG+(/SS+定住/SH+·/SP+수도원/NNG
공동체	공동체/NNG
안에서	안/NNG+에서/JKB
평생	평생/NNG
생활)',	생활/NNG+)/SS+'/SS+,/SP
'수도승다운	'/SS+수도승/NNG+답/XSA+ㄴ/ETM
생활',	생활/NNG+'/SS+,/SP
'순명(順命·하느님	'/SS+순명/NNG+(/SS+順命/SH+·/SP+하느님/NNG
말씀과	말씀/NNG+과/JC
웃어른,	웃어른/NNG+,/SP
형제들에게	형제/NNG+들/XSN+에게/JKB
순종)'	순종/NNG+)/SS+'/SS
등	등/NNB
세	세/MMN
가지를	가지/NNB+를/JKO
서원한	서원/NNG+하/XSV+ㄴ/ETM
수도자들이	수도자/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
사는	살/VV+는/ETM
이	이/MMD
산속	산속/NNG
공동체의	공동체/NNG+의/JKG
수도	수도/NNG
가훈은	가훈/NNG+은/JX
'기도하고	'/SS+기도/NNG+하/XSV+고/EC
일하라'다.	일/NNG+하/XSV+라/EF+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.66.4.4
수도원의 하루는 새벽 4시 반에 시작돼 오후 7시 40분까지 기도와 노동으로 이어진다.

수도원의	수도원/NNG+의/JKG
하루는	하루/NNG+는/JX
새벽	새벽/NNG
4시	4/SN+시/NNB
반에	반/NNG+에/JKB
시작돼	시작/NNG+되/XSV+어/EC
오후	오후/NNG
7시	7/SN+시/NNB
40분까지	40/SN+분/NNB+까지/JX
기도와	기도/NNG+와/JC
노동으로	노동/NNG+으로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.66.4.5
원장 이수철 프란치스코(62) 신부와 수사(修士)들은 마지막 저녁 기도까지 분 단위로 정해진 일과표에 따라 하루하루를 살아간다.

원장	원장/NNG
이수철	이수철/NNP
프란치스코(62)	프란치스코/NNP+(/SS+62/SN+)/SS
신부와	신부/NNG+와/JC
수사(修士)들은	수사/NNG+(/SS+修士/SH+)/SS+들/XSN+은/JX
마지막	마지막/NNG
저녁	저녁/NNG
기도까지	기도/NNG+까지/JX
분	분/NNG
단위로	단위/NNG+로/JKB
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
일과표에	일과표/NNG+에/JKB
따라	따르/VV+아/EC
하루하루를	하루하루/NNG+를/JKO
살아간다.	살아가/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.66.4.6
수사들은 또 배밭에서 흙냄새를 맡으며 땀 흘려 일한다.

수사들은	수사/NNG+들/XSN+은/JX
또	또/MAG
배밭에서	배/NNG+밭/NNG+에서/JKB
흙냄새를	흙냄새/NNG+를/JKO
맡으며	맡/VV+으며/EC
땀	땀/NNG
흘려	흘리/VV+어/EC
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.66.4.7
수도자들에게 육체노동은 자기의 가난과 한계를 깨달아 자기를 알게 하는 '겸손'의 수련이자, 세상의 이런저런 소유에 얽매이지 않고 자유로워지는 '이탈(detachment)'의 수련이다.

수도자들에게	수도자/NNG+들/XSN+에게/JKB
육체노동은	육체노동/NNG+은/JX
자기의	자기/NP+의/JKG
가난과	가난/NNG+과/JC
한계를	한계/NNG+를/JKO
깨달아	깨닫/VV+아/EC
자기를	자기/NP+를/JKO
알게	알/VV+게/EC
하는	하/VX+는/ETM
'겸손'의	'/SS+겸손/NNG+'/SS+의/JKG
수련이자,	수련/NNG+이/VCP+자/EC+,/SP
세상의	세상/NNG+의/JKG
이런저런	이런저런/MMD
소유에	소유/NNG+에/JKB
얽매이지	얽매이/VV+지/EC
않고	않/VX+고/EC
자유로워지는	자유/NNG+롭/XSA+어/EC+지/VX+는/ETM
'이탈(detachment)'의	'/SS+이탈/NNG+(/SS+detachment/SL+)/SS+'/SS+의/JKG
수련이다.	수련/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.66.5.1
이수철 신부는 최근 펴낸 묵상집 '사랑밖에 길이 없었네'(금토)에 수도자로 살아온 30년 세월과 수도원 담장 안의 희로애락을 담담히 담아냈다.

이수철	이수철/NNP
신부는	신부/NNG+는/JX
최근	최근/NNG
펴낸	펴내/VV+ㄴ/ETM
묵상집	묵상집/NNG
'사랑밖에	'/SS+사랑/NNG+밖에/JX
길이	길/NNG+이/JKS
없었네'(금토)에	없/VA+었/EP+네/EF+'/SS+(/SS+금토/NNP+)/SS+에/JKB
수도자로	수도자/NNG+로/JKB
살아온	살아오/VV+ㄴ/ETM
30년	30/SN+년/NNB
세월과	세월/NNG+과/JC
수도원	수도원/NNG
담장	담장/NNG
안의	안/NNG+의/JKG
희로애락을	희로애락/NNG+을/JKO
담담히	담담히/MAG
담아냈다.	담아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.66.5.2
이 신부는 젊은 시절 8년간 초등학교에서 아이들을 가르치다 1982년 서른셋 나이에 베네딕도회에 입회한 '늦깎이 수사'.

이	이/NNP
신부는	신부/NNG+는/JX
젊은	젊/VA+은/ETM
시절	시절/NNG
8년간	8/SN+년/NNB+간/XSN
초등학교에서	초등학교/NNG+에서/JKB
아이들을	아이/NNG+들/XSN+을/JKO
가르치다	가르치/VV+다/EC
1982년	1982/SN+년/NNB
서른셋	서른셋/NR
나이에	나이/NNG+에/JKB
베네딕도회에	베네딕도회/NNP+에/JKB
입회한	입회/NNG+하/XSV+ㄴ/ETM
'늦깎이	'/SS+늦깎이/NNG
수사'.	수사/NNG+'/SS+./SF


# id : NWRW1800000030.66.5.3
사제서품까지 받아 '수사 신부'가 된 뒤 22년간 하루도 빠짐없이 매일 새벽 미사 때마다 했던 강론 원고가 이 책의 바탕이 됐다.

사제서품까지	사제/NNG+서품/NNG+까지/JX
받아	받/VV+아/EC
'수사	'/SS+수사/NNG
신부'가	신부/NNG+'/SS+가/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
22년간	22/SN+년/NNB+간/XSN
하루도	하루/NNG+도/JX
빠짐없이	빠짐없이/MAG
매일	매일/MAG
새벽	새벽/NNG
미사	미사/NNG
때마다	때/NNG+마다/JX
했던	하/VV+았/EP+던/ETM
강론	강론/NNG
원고가	원고/NNG+가/JKS
이	이/MMD
책의	책/NNG+의/JKG
바탕이	바탕/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.66.5.4
이 신부는 "책을 통해 '지금, 여기, 자기 삶의 자리'에 감사할 일이 얼마나 많은지 얘기하고 싶었다"고 했다.

이	이/NNP
신부는	신부/NNG+는/JX
"책을	"/SS+책/NNG+을/JKO
통해	통하/VV+아/EC
'지금,	'/SS+지금/MAG+,/SP
여기,	여기/NP+,/SP
자기	자기/NNG
삶의	삶/NNG+의/JKG
자리'에	자리/NNG+'/SS+에/JKB
감사할	감사/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKS
얼마나	얼마나/MAG
많은지	많/VA+은지/EC
얘기하고	얘기/NNG+하/XSV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.66.6.1
수도자들은 수도원 정문 길가의 늙은 오동나무에서 "쌓는 행복, 덧붙이는 행복이 아니라 존재 자체의 샘으로부터 솟아나오는 행복"을 느낀다.

수도자들은	수도자/NNG+들/XSN+은/JX
수도원	수도원/NNG
정문	정문/NNG
길가의	길가/NNG+의/JKG
늙은	늙/VV+은/ETM
오동나무에서	오동나무/NNG+에서/JKB
"쌓는	"/SS+쌓/VV+는/ETM
행복,	행복/NNG+,/SP
덧붙이는	덧붙이/VV+는/ETM
행복이	행복/NNG+이/JKC
아니라	아니/VCN+라/EC
존재	존재/NNG
자체의	자체/NNG+의/JKG
샘으로부터	샘/NNG+으로부터/JKB
솟아나오는	솟/VV+아/EC+나오/VV+는/ETM
행복"을	행복/NNG+"/SS+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.66.6.2
"하느님을 알아갈수록 '참나'를 알아가는 기쁨에" 잠꼬대로 '주의 기도'를 노래하기도 한다.

"하느님을	"/SS+하느님/NNG+을/JKO
알아갈수록	알/VV+아/EC+가/VX+ㄹ수록/EC
'참나'를	'/SS+참나/NNG+'/SS+를/JKO
알아가는	알/VV+아/EC+가/VX+는/ETM
기쁨에"	기쁨/NNG+에/JKB+"/SS
잠꼬대로	잠꼬대/NNG+로/JKB
'주의	'/SS+주/NNG+의/JKG
기도'를	기도/NNG+'/SS+를/JKO
노래하기도	노래/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.66.6.3
65년간 수사로 살다 95세에 선종한 노(老)수사의 전 재산이 트랜지스터 라디오 하나뿐일 정도로 철저한 청빈(淸貧)의 삶이다.

65년간	65/SN+년/NNB+간/XSN
수사로	수사/NNG+로/JKB
살다	살/VV+다/EC
95세에	95/SN+세/NNB+에/JKB
선종한	선종/NNG+하/XSV+ㄴ/ETM
노(老)수사의	노/XPN+(/SS+老/SH+)/SS+수사/NNG+의/JKG
전	전/MMN
재산이	재산/NNG+이/JKS
트랜지스터	트랜지스터/NNG
라디오	라디오/NNG
하나뿐일	하나/NR+뿐/JX+이/VCP+ㄹ/ETM
정도로	정도/NNG+로/JKB
철저한	철저/NNG+하/XSA+ㄴ/ETM
청빈(淸貧)의	청빈/NNG+(/SS+淸貧/SH+)/SS+의/JKG
삶이다.	삶/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.66.7.1
수도원 담장 너머에도 유머와 웃음은 있다.

수도원	수도원/NNG
담장	담장/NNG
너머에도	너머/NNG+에/JKB+도/JX
유머와	유머/NNG+와/JC
웃음은	웃음/NNG+은/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.66.7.2
이 신부는 "영성이 깊은 이들은 늘 낙천적이고 쾌활하다"며 독일 출신 남도광 호노라도(1903~1988) 신부 얘기를 전했다.

이	이/NNP
신부는	신부/NNG+는/JX
"영성이	"/SS+영성/NNG+이/JKS
깊은	깊/VA+은/ETM
이들은	이/NNB+들/XSN+은/JX
늘	늘/MAG
낙천적이고	낙천/NNG+적/XSN+이/VCP+고/EC
쾌활하다"며	쾌활하/VA+다/EF+"/SS+며/EC
독일	독일/NNP
출신	출신/NNG
남도광	남도광/NNP
호노라도(1903~1988)	호노라도/NNP+(/SS+1903/SN+~/SO+1988/SN+)/SS
신부	신부/NNG
얘기를	얘기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.66.7.3
일제강점기 현재의 북한 지역에 선교사로 왔다가 공산당에 체포돼 갖은 고초를 겪었던 그는 경북 왜관 인근에서 한센인을 돌보다 선종(善終)했다.

일제강점기	일제/NNG+강점기/NNG
현재의	현재/NNG+의/JKG
북한	북한/NNP
지역에	지역/NNG+에/JKB
선교사로	선교사/NNG+로/JKB
왔다가	오/VV+았/EP+다가/EC
공산당에	공산당/NNP+에/JKB
체포돼	체포/NNG+되/XSV+어/EC
갖은	갖은/MMN
고초를	고초/NNG+를/JKO
겪었던	겪/VV+었/EP+던/ETM
그는	그/NP+는/JX
경북	경북/NNP
왜관	왜관/NNP
인근에서	인근/NNG+에서/JKB
한센인을	한센인/NNG+을/JKO
돌보다	돌보/VV+다/EC
선종(善終)했다.	선종/NNG+(/SS+善終/SH+)/SS+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.66.7.4
남 신부가 말년에 병석에 있을 때 병문안 온 수사들이 남 신부에게 물었다.

남	남/NNP
신부가	신부/NNG+가/JKS
말년에	말년/NNG+에/JKB
병석에	병석/NNG+에/JKB
있을	있/VA+을/ETM
때	때/NNG
병문안	병문안/NNG
온	오/VV+ㄴ/ETM
수사들이	수사/NNG+들/XSN+이/JKS
신부에게	신부/NNG+에게/JKB
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.66.7.5
"신부님, 천국에 가면 참 좋다던데 빨리 가고 싶지 않으세요?"

"신부님,	"/SS+신부/NNG+님/XSN+,/SP
천국에	천국/NNG+에/JKB
가면	가/VV+면/EC
참	참/MAG
좋다던데	좋/VA+다던데/EC
빨리	빨리/MAG
가고	가/VV+고/EC
싶지	싶/VX+지/EC
않으세요?"	않/VX+으시/EP+어요/EF+?/SF+"/SS


# id : NWRW1800000030.66.7.6
남 신부가 웃으며 말했다.

남	남/NNP
신부가	신부/NNG+가/JKS
웃으며	웃/VV+으며/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.66.7.7
"니나 가라."

"니나	"/SS+니/NP+나/JX
가라."	가/VV+아라/EF+./SF+"/SS


# id : NWRW1800000030.66.7.8
또 다른 수사가 물었다.

또	또/MAG
다른	다른/MMD
수사가	수사/NNG+가/JKS
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.66.7.9
"신부님, 성인들은 늘 천국을 그리면서 사셨다는데 정말 안 가고 싶으세요?"

"신부님,	"/SS+신부/NNG+님/XSN+,/SP
성인들은	성인/NNG+들/XSN+은/JX
늘	늘/MAG
천국을	천국/NNG+을/JKO
그리면서	그리/VV+면서/EC
사셨다는데	살/VV+시/EP+었/EP+다는데/EC
정말	정말/MAG
안	안/MAG
가고	가/VV+고/EC
싶으세요?"	싶/VX+으시/EP+어요/EF+?/SF+"/SS


# id : NWRW1800000030.66.7.10
남 신부는 또 웃으며 답했다.

남	남/NNP
신부는	신부/NNG+는/JX
또	또/MAG
웃으며	웃/VV+으며/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.66.7.11
"같이 가자."

"같이	"/SS+같이/MAG
가자."	가/VV+자/EF+./SF+"/SS


# id : NWRW1800000030.66.7.12
이 신부는 "죽음의 무게도 한순간 가벼워진 느낌이었다. 거룩할수록 더 인간적이라는 진리를 배웠다"고 했다.

이	이/NNP
신부는	신부/NNG+는/JX
"죽음의	"/SS+죽음/NNG+의/JKG
무게도	무게/NNG+도/JX
한순간	한순간/NNG
가벼워진	가벼워지/VV+ㄴ/ETM
느낌이었다.	느낌/NNG+이/VCP+었/EP+다/EF+./SF
거룩할수록	거룩하/VA+ㄹ수록/EC
더	더/MAG
인간적이라는	인간/NNG+적/XSN+이/VCP+라는/ETM
진리를	진리/NNG+를/JKO
배웠다"고	배우/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.66.8.1
수도원으로 피정(避靜·잠시 일상에서 벗어나 참여하는 침묵과 묵상기도 등 종교적 수련)을 오는 가톨릭 신자들도 꽤 많다.

수도원으로	수도원/NNG+으로/JKB
피정(避靜·잠시	피정/NNG+(/SS+避靜/SH+·/SP+잠시/MAG
일상에서	일상/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
참여하는	참여/NNG+하/XSV+는/ETM
침묵과	침묵/NNG+과/JC
묵상기도	묵상/NNG+기도/NNG
등	등/NNB
종교적	종교/NNG+적/XSN
수련)을	수련/NNG+)/SS+을/JKO
오는	오/VV+는/ETM
가톨릭	가톨릭/NNG
신자들도	신자/NNG+들/XSN+도/JX
꽤	꽤/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.66.8.2
좌절과 시련으로 고통받는 사람들은 면담성사를 하며 마음속 응어리를 털어낸 뒤 이 신부에게 "한 번만 안아주세요"라고 청한다.

좌절과	좌절/NNG+과/JC
시련으로	시련/NNG+으로/JKB
고통받는	고통/NNG+받/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
면담성사를	면담/NNG+성사/NNG+를/JKO
하며	하/VV+며/EC
마음속	마음속/NNG
응어리를	응어리/NNG+를/JKO
털어낸	털/VV+어/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
이	이/NNP
신부에게	신부/NNG+에게/JKB
"한	"/SS+한/MMN
번만	번/NNB+만/JX
안아주세요"라고	안/VV+아/EC+주/VX+시/EP+어요/EF+"/SS+라고/JKQ
청한다.	청/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.66.9.1
베네딕도회는 국내 수도원 6곳에 140여명, 세계적으로는 자치수도원 300여곳에 8000여명의 수도자가 있다.

베네딕도회는	베네딕도회/NNP+는/JX
국내	국내/NNG
수도원	수도원/NNG
6곳에	6/SN+곳/NNG+에/JKB
140여명,	140/SN+여/XSN+명/NNB+,/SP
세계적으로는	세계/NNG+적/XSN+으로/JKB+는/JX
자치수도원	자치/NNG+수도원/NNG
300여곳에	300/SN+여/XSN+곳/NNG+에/JKB
8000여명의	8000/SN+여/XSN+명/NNB+의/JKG
수도자가	수도자/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.66.9.2
이 신부는 "빽빽하게 잎이 달린 나무는 푸른 하늘을 가리고 밤하늘의 별을 가린다. 욕망과 환상, 감상의 나뭇잎이 빽빽하면 영혼의 시야도 가려진다"며 "하느님 앞에 가난하게 서 있는 겨울 나무 같은 모습이라야 하느님을 볼 수 있고 '참나'를 발견할 수 있다"고 말했다.

이	이/NNP
신부는	신부/NNG+는/JX
"빽빽하게	"/SS+빽빽하/VA+게/EC
잎이	잎/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
나무는	나무/NNG+는/JX
푸른	푸르/VA+ㄴ/ETM
하늘을	하늘/NNG+을/JKO
가리고	가리/VV+고/EC
밤하늘의	밤하늘/NNG+의/JKG
별을	별/NNG+을/JKO
가린다.	가리/VV+ㄴ다/EF+./SF
욕망과	욕망/NNG+과/JC
환상,	환상/NNG+,/SP
감상의	감상/NNG+의/JKG
나뭇잎이	나뭇잎/NNG+이/JKS
빽빽하면	빽빽하/VA+면/EC
영혼의	영혼/NNG+의/JKG
시야도	시야/NNG+도/JX
가려진다"며	가려지/VV+ㄴ다/EF+"/SS+며/EC
"하느님	"/SS+하느님/NNG
앞에	앞/NNG+에/JKB
가난하게	가난/NNG+하/XSA+게/EC
서	서/VV+어/EC
있는	있/VX+는/ETM
겨울	겨울/NNG
나무	나무/NNG
같은	같/VA+은/ETM
모습이라야	모습/NNG+이/VCP+라야/EC
하느님을	하느님/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
'참나'를	'/SS+참나/NNG+'/SS+를/JKO
발견할	발견/NNG+하/XSV+ㄹ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.66.10.1
"비우면 비울수록 하느님이 채워주십니다.

"비우면	"/SS+비우/VV+면/EC
비울수록	비우/VV+ㄹ수록/EC
하느님이	하느님/NNG+이/JKS
채워주십니다.	채우/VV+어/EC+주/VX+시/EP+ㅂ니다/EF+./SF


# id : NWRW1800000030.66.10.2
그런 삶이 진정 행복한 삶이지요.

그런	그런/MMD
삶이	삶/NNG+이/JKS
진정	진정/MAG
행복한	행복/NNG+하/XSA+ㄴ/ETM
삶이지요.	삶/NNG+이/VCP+지요/EF+./SF


# id : NWRW1800000030.66.10.3
자기 뜻대로 방종하는 것은 조금씩 자기를 옭아매는 구속이 될 뿐이에요."

자기	자기/NNG
뜻대로	뜻대로/MAG
방종하는	방종/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
조금씩	조금/NNG+씩/XSN
자기를	자기/NNG+를/JKO
옭아매는	옭아매/VV+는/ETM
구속이	구속/NNG+이/JKC
될	되/VV+ㄹ/ETM
뿐이에요."	뿐/NNB+이/VCP+에요/EF+./SF+"/SS


