# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.318
metadata : {}


# id : NWRW1800000049.318.1.1
“與 내분수습 - 野 단일화가 승패 결정”

“與	“/SS+與/SH
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.6.1
새누리당 김무성 대표가 이날 ‘관훈클럽’ 토론회에서 승패와 상관없이 총선 후 대표직을 사퇴하겠다고 밝힌 것도 그 일환이다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표가	대표/NNG+가/JKS
이날	이날/NNG
‘관훈클럽’	‘/SS+관훈클럽/NNP+’/SS
토론회에서	토론회/NNG+에서/JKB
승패와	승패/NNG+와/JKB
상관없이	상관없이/MAG
총선	총선/NNG
후	후/NNG
대표직을	대표직/NNG+을/JKO
사퇴하겠다고	사퇴/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
것도	것/NNB+도/JX
그	그/MMD
일환이다.	일환/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.318.6.2
당초 180석까지 거론했던 김 대표는 ‘과반 이상’ 의석을 달라고 호소했다.

당초	당초/NNG
180석까지	180/SN+석/NNB+까지/JX
거론했던	거론/NNG+하/XSV+았/EP+던/ETM
김	김/NNP
대표는	대표/NNG+는/JX
‘과반	‘/SS+과반/NNG
이상’	이상/NNG+’/SS
의석을	의석/NNG+을/JKO
달라고	달/VV+라고/EC
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.7.1
여권이 ‘집 나간 보수층’을 다시 불러와야 한다면 야권은 수도권에서 ‘새누리당 대 반(反)새누리당’ 전선을 만들 수 있느냐가 관건이다.

여권이	여권/NNG+이/JKS
‘집	‘/SS+집/NNG
나간	나가/VV+ㄴ/ETM
보수층’을	보수/NNG+층/XSN+’/SS+을/JKO
다시	다시/MAG
불러와야	불러오/VV+아야/EC
한다면	하/VX+ㄴ다면/EC
야권은	야권/NNG+은/JX
수도권에서	수도/NNG+권/XSN+에서/JKB
‘새누리당	‘/SS+새누리당/NNP
대	대/NNB
반(反)새누리당’	반/XPN+(/SS+反/SH+)/SS+새누리당/NNP+’/SS
전선을	전선/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있느냐가	있/VA+느냐/EF+가/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.318.7.2
수도권 122석 중 야권 분열 지역이 100여 곳에 달한다.

수도권	수도/NNG+권/XSN
122석	122/SN+석/NNB
중	중/NNB
야권	야권/NNG
분열	분열/NNG
지역이	지역/NNG+이/JKS
100여	100/SN+여/XSN
곳에	곳/NNG+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.318.7.3
배종찬 리서치앤리서치 본부장은 “야권이 수도권에서 얼마나 속도감 있게 단일화를 추진하느냐가 초반 판세를 가를 것”이라고 전망했다.

배종찬	배종찬/NNP
리서치앤리서치	리서치앤리서치/NNP
본부장은	본부장/NNG+은/JX
“야권이	“/SS+야권/NNG+이/JKS
수도권에서	수도/NNG+권/XSN+에서/JKB
얼마나	얼마나/MAG
속도감	속도감/NNG
있게	있/VV+게/EC
단일화를	단일/NNG+화/XSN+를/JKO
추진하느냐가	추진/NNG+하/XSV+느냐/EF+가/JKS
초반	초반/NNG
판세를	판세/NNG+를/JKO
가를	가르/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.7.4
김미현 알앤서치 소장은 “더불어민주당 입장에서 국민의당 못지않게 중요한 게 확실한 지지층을 가진 정의당과의 연대”라고 강조했다.

김미현	김미현/NNP
알앤서치	알앤서치/NNP
소장은	소장/NNG+은/JX
“더불어민주당	“/SS+더불어민주당/NNP
입장에서	입장/NNG+에서/JKB
국민의당	국민의당/NNP
못지않게	못지않/VA+게/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
확실한	확실하/VA+ㄴ/ETM
지지층을	지지/NNG+층/XSN+을/JKO
가진	가지/VV+ㄴ/ETM
정의당과의	정의당/NNP+과/JKB+의/JKG
연대”라고	연대/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.7.5
하지만 국민의당 안철수 상임공동대표는 완주 의지가 강하다.

하지만	하지만/MAJ
국민의당	국민의당/NNP
안철수	안철수/NNP
상임공동대표는	상임/NNG+공동/NNG+대표/NNG+는/JX
완주	완주/NNG
의지가	의지/NNG+가/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000049.318.8.1
투표율도 큰 변수가 될 수 있다.

투표율도	투표/NNG+율/XSN+도/JX
큰	크/VA+ㄴ/ETM
변수가	변수/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.318.8.2
배 본부장은 “전통적 여권 지지층이면서 정부 정책에 실망감이 큰 50대 투표율을 주목해야 한다”고 말했다.

배	배/NNP
본부장은	본부장/NNG+은/JX
“전통적	“/SS+전통/NNG+적/XSN
여권	여권/NNG
지지층이면서	지지/NNG+층/XSN+이/VCP+면서/EC
정부	정부/NNG
정책에	정책/NNG+에/JKB
실망감이	실망감/NNG+이/JKS
큰	크/VA+ㄴ/ETM
50대	50/SN+대/NNB
투표율을	투표/NNG+율/XSN+을/JKO
주목해야	주목/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.8.3
김 소장은 “박근혜 대통령의 순방 효과와 북한의 도발도 선거 판세에 영향을 미칠 수 있다”고 내다봤다.

김	김/NNP
소장은	소장/NNG+은/JX
“박근혜	“/SS+박근혜/NNP
대통령의	대통령/NNG+의/JKG
순방	순방/NNG
효과와	효과/NNG+와/JC
북한의	북한/NNP+의/JKG
도발도	도발/NNG+도/JX
선거	선거/NNG
판세에	판세/NNG+에/JKB
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.9.1
동아일보는 본격적인 선거운동을 앞두고 여야 3당의 핵심 브레인에게 이번 총선의 의미를 들어봤다.

동아일보는	동아일보/NNP+는/JX
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
선거운동을	선거/NNG+운동/NNG+을/JKO
앞두고	앞두/VV+고/EC
여야	여야/NNG
3당의	3/SN+당/NNG+의/JKG
핵심	핵심/NNG
브레인에게	브레인/NNG+에게/JKB
이번	이번/NNG
총선의	총선/NNG+의/JKG
의미를	의미/NNG+를/JKO
들어봤다.	듣/VV+어/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.318.9.2
새누리당 중앙선거대책위원회 경제정책본부장인 강석훈 의원은 “가장 중요한 선택 기준은 ‘누가 일자리를 만들 것이냐’이다”라며 “오늘의 국민을 책임지고 내일의 아이들을 돌볼 책임감 있는 정당을 선택해 달라”고 강조했다.

새누리당	새누리당/NNP
중앙선거대책위원회	중앙/NNG+선거/NNG+대책/NNG+위원회/NNG
경제정책본부장인	경제/NNG+정책/NNG+본부장/NNG+이/VCP+ㄴ/ETM
강석훈	강석훈/NNP
의원은	의원/NNG+은/JX
“가장	“/SS+가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
선택	선택/NNG
기준은	기준/NNG+은/JX
‘누가	‘/SS+누구/NP+가/JKS
일자리를	일자리/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
것이냐’이다”라며	것/NNB+이/VCP+냐/EF+’/SS+이/VCP+다/EF+”/SS+이/VCP+라며/EC
“오늘의	“/SS+오늘/NNG+의/JKG
국민을	국민/NNG+을/JKO
책임지고	책임지/VV+고/EC
내일의	내일/NNG+의/JKG
아이들을	아이/NNG+들/XSN+을/JKO
돌볼	돌보/VV+ㄹ/ETM
책임감	책임감/NNG
있는	있/VA+는/ETM
정당을	정당/NNG+을/JKO
선택해	선택/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.10.1
더민주당 이철희 선대위 종합상황실장은 “이번 선거를 통해 이명박 박근혜 정권 8년의 경제 실정을 바로잡아야 한다”며 “거대 여당 새누리당을 효과적으로 견제할 수 있는 제1 야당을 만들어 달라”고 호소했다.

더민주당	더민주당/NNP
이철희	이철희/NNP
선대위	선대위/NNG
종합상황실장은	종합/NNG+상황실장/NNG+은/JX
“이번	“/SS+이번/NNG
선거를	선거/NNG+를/JKO
통해	통하/VV+아/EC
이명박	이명박/NNP
박근혜	박근혜/NNP
정권	정권/NNG
8년의	8/SN+년/NNB+의/JKG
경제	경제/NNG
실정을	실정/NNG+을/JKO
바로잡아야	바로잡/VV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“거대	“/SS+거대/NNG
여당	여당/NNG
새누리당을	새누리당/NNP+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
견제할	견제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제1	제/XPN+1/SN
야당을	야당/NNG+을/JKO
만들어	만들/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.10.2
국민의당 이태규 전략홍보본부장은 “낡은 정치 심판론은 양당의 독과점 체제를 해체해 달라는 시대적 요구”라고 강조했다.

국민의당	국민의당/NNP
이태규	이태규/NNP
전략홍보본부장은	전략/NNG+홍보/NNG+본부장/NNG+은/JX
“낡은	“/SS+낡/VV+은/ETM
정치	정치/NNG
심판론은	심판/NNG+론/XSN+은/JX
양당의	양당/NNG+의/JKG
독과점	독과점/NNG
체제를	체제/NNG+를/JKO
해체해	해체/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
시대적	시대/NNG+적/XSN
요구”라고	요구/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


