# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.142
metadata : {}


# id : NWRW1800000024.142.1.1
한국 단감 /미국 보내자

한국	한국/NNP
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.142.6.2
(055)343-4233.

(055)343-4233.	(/SS+055/SN+)/SS+343/SN+-/SO+4233/SN+./SF


