# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.184
metadata : {}


# id : NWRW1800000036.184.1.1
‘희한한 탕평인사’ 영호남 비율 맞추려…국정원, 출생지까지 바꿨다

‘희한한	‘/SS+희한하/VA+ㄴ/ETM
변작·행사죄’가	변작/NNG+·/SP+행사/NNG+죄/NNG+’/SS+가/JKS
성립하지	성립/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.184.9.3
또 재판부는 “김 팀장의 행위가 징계사유라 하더라도 정보기관 특성상 국정원장의 지시를 거부할 수 없는 만큼, 김 팀장의 해임처분은 재량권을 일탈·남용한 것으로 봄이 상당하다”며 김 팀장의 손을 들어줬다.

또	또/MAG
재판부는	재판부/NNG+는/JX
“김	“/SS+김/NNP
팀장의	팀장/NNG+의/JKG
행위가	행위/NNG+가/JKS
징계사유라	징계/NNG+사유/NNG+이/VCP+라/EC
하더라도	하/VV+더라도/EC
정보기관	정보기관/NNG
특성상	특성/NNG+상/XSN
국정원장의	국정원장/NNG+의/JKG
지시를	지시/NNG+를/JKO
거부할	거부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
만큼,	만큼/NNB+,/SP
김	김/NNP
해임처분은	해임/NNG+처분/NNG+은/JX
재량권을	재량/NNG+권/XSN+을/JKO
일탈·남용한	일탈/NNG+·/SP+남용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
봄이	보/VV+ㅁ/ETN+이/JKS
상당하다”며	상당/NNG+하/XSA+다/EF+”/SS+며/EC
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


