# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.212
metadata : {}


# id : NWRW1800000033.212.1.1
올 수능 1, 2등급 자율형사립고↑ 외고↓

올	올/NNG
비율이	비율/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
평균	평균/NNG
8.0%포인트,	8/SN+./SP+0/SN+%/SW+포인트/NNG+,/SP
2등급	2/SN+등급/NNG
이내	이내/NNG
6.9%포인트	6/SN+./SP+9/SN+%/SW+포인트/NNG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.6.2
반면 자율고는 1등급 비율이 5.6%포인트, 2등급 이내 비율이 17.0%포인트 늘었다.

반면	반면/NNG
자율고는	자율고/NNG+는/JX
1등급	1/SN+등급/NNG
비율이	비율/NNG+이/JKS
5.6%포인트,	5/SN+./SP+6/SN+%/SW+포인트/NNG+,/SP
2등급	2/SN+등급/NNG
이내	이내/NNG
17.0%포인트	17/SN+./SP+0/SN+%/SW+포인트/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.6.3
자사고는 1등급 2.1%포인트, 2등급 이내가 4.8%포인트 상승했다.

자사고는	자사고/NNG+는/JX
1등급	1/SN+등급/NNG
2.1%포인트,	2/SN+./SP+1/SN+%/SW+포인트/NNG+,/SP
2등급	2/SN+등급/NNG
이내가	이내/NNG+가/JKS
4.8%포인트	4/SN+./SP+8/SN+%/SW+포인트/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.7.1
자율고 3학년은 지난해 같은 학교의 고3보다 모든 영역에서 성적이 좋았다.

자율고	자율고/NNG
3학년은	3/SN+학년/NNG+은/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
학교의	학교/NNG+의/JKG
고3보다	고/NNG+3/SN+보다/JKB
모든	모든/MMN
영역에서	영역/NNG+에서/JKB
성적이	성적/NNG+이/JKS
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.212.7.2
외국어 영역의 1등급 비율이 서울 중동고는 16.4%에서 20.4%로, 경북 김천고는 4.7%에서 7.2%로, 서울 숭문고는 2.4%에서 2.7%로 올랐다.

외국어	외국어/NNG
영역의	영역/NNG+의/JKG
1등급	1/SN+등급/NNG
비율이	비율/NNG+이/JKS
서울	서울/NNP
중동고는	중동고/NNP+는/JX
16.4%에서	16/SN+./SP+4/SN+%/SW+에서/JKB
20.4%로,	20/SN+./SP+4/SN+%/SW+로/JKB+,/SP
경북	경북/NNP
김천고는	김천고/NNP+는/JX
4.7%에서	4/SN+./SP+7/SN+%/SW+에서/JKB
7.2%로,	7/SN+./SP+2/SN+%/SW+로/JKB+,/SP
숭문고는	숭문고/NNP+는/JX
2.4%에서	2/SN+./SP+4/SN+%/SW+에서/JKB
2.7%로	2/SN+./SP+7/SN+%/SW+로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.8.1
외국어 다음으로 만점자 비율이 낮은 수리 ‘가’에서 1등급을 받은 김천고와 중동고 학생의 비율도 각각 5.9%포인트와 0.7%포인트 늘었다.

외국어	외국어/NNG
다음으로	다음/NNG+으로/JKB
만점자	만점자/NNG
비율이	비율/NNG+이/JKS
낮은	낮/VA+은/ETM
수리	수리/NNG
‘가’에서	‘/SS+가/NNG+’/SS+에서/JKB
1등급을	1/SN+등급/NNG+을/JKO
받은	받/VV+은/ETM
김천고와	김천고/NNP+와/JC
중동고	중동고/NNP
학생의	학생/NNG+의/JKG
비율도	비율/NNG+도/JX
각각	각각/MAG
5.9%포인트와	5/SN+./SP+9/SN+%/SW+포인트/NNG+와/JC
0.7%포인트	0/SN+./SP+7/SN+%/SW+포인트/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.8.2
자율고 3개 학교의 언어 1등급 비율은 평균 9.0%포인트 늘었다.

자율고	자율고/NNG
3개	3/SN+개/NNB
학교의	학교/NNG+의/JKG
언어	언어/NNG
1등급	1/SN+등급/NNG
비율은	비율/NNG+은/JX
평균	평균/NNG
9.0%포인트	9/SN+./SP+0/SN+%/SW+포인트/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.9.1
자사고인 광양제철고(전남 광양시)와 상산고(전북 전주시)에서 영역별 1등급 학생 평균 비율은 외국어를 제외하고는 모두 상승했다.

자사고인	자사고/NNG+이/VCP+ㄴ/ETM
광양제철고(전남	광양제철고/NNP+(/SS+전남/NNP
광양시)와	광양시/NNP+)/SS+와/JC
상산고(전북	상산고/NNP+(/SS+전북/NNP
전주시)에서	전주시/NNP+)/SS+에서/JKB
영역별	영역/NNG+별/XSN
1등급	1/SN+등급/NNG
학생	학생/NNG
평균	평균/NNG
비율은	비율/NNG+은/JX
외국어를	외국어/NNG+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
모두	모두/MAG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.9.2
언어는 5.5%포인트, 수리 ‘가’는 0.1%포인트, 수리 ‘나’는 2.8%포인트 증가했다.

언어는	언어/NNG+는/JX
5.5%포인트,	5/SN+./SP+5/SN+%/SW+포인트/NNG+,/SP
수리	수리/NNG
‘가’는	‘/SS+가/NNG+’/SS+는/JX
0.1%포인트,	0/SN+./SP+1/SN+%/SW+포인트/NNG+,/SP
‘나’는	‘/SS+나/NNG+’/SS+는/JX
2.8%포인트	2/SN+./SP+8/SN+%/SW+포인트/NNG
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.10.1
외고는 외국어 성적에서 가장 떨어졌다.

외고는	외고/NNG+는/JX
외국어	외국어/NNG
성적에서	성적/NNG+에서/JKB
가장	가장/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.10.2
한영외고 고양외고 과천외고에서 외국어 1등급을 받은 학생 비율은 지난해보다 평균 16.7%포인트 감소했다.

한영외고	한영외고/NNP
고양외고	고양외고/NNP
과천외고에서	과천외고/NNP+에서/JKB
외국어	외국어/NNG
1등급을	1/SN+등급/NNG+을/JKO
받은	받/VV+은/ETM
학생	학생/NNG
비율은	비율/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
평균	평균/NNG
16.7%포인트	16/SN+./SP+7/SN+%/SW+포인트/NNG
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.10.3
고양외고는 지난해 외국어 1등급을 받은 학생이 77.1%였지만 올해는 42.7%로 떨어졌다.

고양외고는	고양외고/NNP+는/JX
지난해	지난해/NNG
외국어	외국어/NNG
1등급을	1/SN+등급/NNG+을/JKO
받은	받/VV+은/ETM
학생이	학생/NNG+이/JKS
77.1%였지만	77/SN+./SP+1/SN+%/SW+이/VCP+었/EP+지만/EC
올해는	올해/NNG+는/JX
42.7%로	42/SN+./SP+7/SN+%/SW+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.10.4
수리 ‘나’ 1등급 비율은 평균 8.2%포인트, 언어는 8.1%포인트 하락했다.

수리	수리/NNG
‘나’	‘/SS+나/NNG+’/SS
1등급	1/SN+등급/NNG
비율은	비율/NNG+은/JX
평균	평균/NNG
8.2%포인트,	8/SN+./SP+2/SN+%/SW+포인트/NNG+,/SP
언어는	언어/NNG+는/JX
8.1%포인트	8/SN+./SP+1/SN+%/SW+포인트/NNG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.10.5
그러나 의대를 노리는 일부 상위권 학생만 치르는 수리 ‘가’의 경우 1등급 비율이 1.0%포인트 상승했다.

그러나	그러나/MAJ
의대를	의대/NNG+를/JKO
노리는	노리/VV+는/ETM
일부	일부/NNG
상위권	상위/NNG+권/XSN
학생만	학생/NNG+만/JX
치르는	치르/VV+는/ETM
수리	수리/NNG
‘가’의	‘/SS+가/NNG+’/SS+의/JKG
경우	경우/NNG
1등급	1/SN+등급/NNG
비율이	비율/NNG+이/JKS
1.0%포인트	1/SN+./SP+0/SN+%/SW+포인트/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.11.1
○ 선발방식 바뀌면서 영향 미쳐

○	○/SW
선발방식	선발/NNG+방식/NNG
바뀌면서	바뀌/VV+면서/EC
영향	영향/NNG
미쳐	미치/VV+어/EF


# id : NWRW1800000033.212.12.1
이런 변화의 원인으로 학교들은 선발 방식을 꼽았다.

이런	이런/MMD
변화의	변화/NNG+의/JKG
원인으로	원인/NNG+으로/JKB
학교들은	학교/NNG+들/XSN+은/JX
선발	선발/NNG
방식을	방식/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.12.2
자율고는 대부분 내신 상위권 학생만 지원할 수 있다.

자율고는	자율고/NNG+는/JX
대부분	대/XPN+부분/NNG
내신	내신/NNG
상위권	상위/NNG+권/XSN
학생만	학생/NNG+만/JX
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.212.13.1
서울과 전북(상산고 제외)은 내신 50% 이내, 광주는 내신 30% 이내 학생을 추첨해 뽑는다.

서울과	서울/NNP+과/JC
전북(상산고	전북/NNP+(/SS+상산고/NNP
제외)은	제외/NNG+)/SS+은/JX
내신	내신/NNG
50%	50/SN+%/SW
이내,	이내/NNG+,/SP
광주는	광주/NNP+는/JX
30%	30/SN+%/SW
이내	이내/NNG
학생을	학생/NNG+을/JKO
추첨해	추첨/NNG+하/XSV+아/EC
뽑는다.	뽑/VV+는다/EF+./SF


# id : NWRW1800000033.212.13.2
중상위권끼리 경쟁하면서 성적 상승효과가 나타난다는 분석이다.

중상위권끼리	중상위/NNG+권/XSN+끼리/XSN
경쟁하면서	경쟁/NNG+하/XSV+면서/EC
성적	성적/NNG
상승효과가	상승/NNG+효과/NNG+가/JKS
나타난다는	나타나/VV+ㄴ다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.212.14.1
윤태영 서울 숭문고 교사는 “하위권 학생이 적으니 수업 분위기가 좋아졌고 이해도가 빠르다.

윤태영	윤태영/NNP
서울	서울/NNP
숭문고	숭문고/NNP
교사는	교사/NNG+는/JX
“하위권	“/SS+하위/NNG+권/XSN
학생이	학생/NNG+이/JKS
적으니	적/VA+으니/EC
수업	수업/NNG
분위기가	분위기/NNG+가/JKS
좋아졌고	좋/VA+아/EC+지/VX+었/EP+고/EC
이해도가	이해도/NNG+가/JKS
빠르다.	빠르/VA+다/EF+./SF


# id : NWRW1800000033.212.14.2
공부를 포기하는 학생이 없어 서로 열심히 한다”고 말했다.

공부를	공부/NNG+를/JKO
포기하는	포기/NNG+하/XSV+는/ETM
학생이	학생/NNG+이/JKS
없어	없/VA+어/EC
서로	서로/MAG
열심히	열심히/MAG
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.14.3
최상위권 수는 일반고와 비슷하지만 대부분의 자율고가 이들을 방과 후에 따로 공부시킨 점도 좋은 결과로 이어졌다는 지적이 많다.

최상위권	최/XPN+상위/NNG+권/XSN
수는	수/NNG+는/JX
일반고와	일반고/NNG+와/JKB
비슷하지만	비슷하/VA+지만/EC
대부분의	대/XPN+부분/NNG+의/JKG
자율고가	자율고/NNG+가/JKS
이들을	이/NP+들/XSN+을/JKO
방과	방과/NNG
후에	후/NNG+에/JKB
따로	따로/MAG
공부시킨	공부/NNG+시키/XSV+ㄴ/ETM
점도	점/NNG+도/JX
좋은	좋/VA+은/ETM
결과로	결과/NNG+로/JKB
이어졌다는	이어지/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.212.15.1
오세목 중동고 교감은 “자유로운 선발권이 없고 내신으로 추첨하는 것을 처음엔 걱정했지만 중상위권 학생끼리 모여 시너지 효과를 보고 있다”며 “내신은 불리해도 좋은 공부환경을 노리고 자율고에 지원하는 학생이 늘어날 수 있다”고 했다.

오세목	오세목/NNP
중동고	중동고/NNP
교감은	교감/NNG+은/JX
“자유로운	“/SS+자유/NNG+롭/XSA+ㄴ/ETM
선발권이	선발/NNG+권/XSN+이/JKS
없고	없/VA+고/EC
내신으로	내신/NNG+으로/JKB
추첨하는	추첨/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
처음엔	처음/NNG+에/JKB+ㄴ/JX
걱정했지만	걱정/NNG+하/XSV+았/EP+지만/EC
중상위권	중상위/NNG+권/XSN
학생끼리	학생/NNG+끼리/XSN
모여	모이/VV+어/EC
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
보고	보/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“내신은	“/SS+내신/NNG+은/JX
불리해도	불리/NNG+하/XSA+아도/EC
좋은	좋/VA+은/ETM
공부환경을	공부/NNG+환경/NNG+을/JKO
노리고	노리/VV+고/EC
자율고에	자율고/NNG+에/JKB
지원하는	지원/NNG+하/XSV+는/ETM
학생이	학생/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.16.1
외고의 성적 하락은 예견됐다는 의견이 많다.

외고의	외고/NNG+의/JKG
성적	성적/NNG
하락은	하락/NNG+은/JX
예견됐다는	예견/NNG+되/XSV+었/EP+다는/ETM
의견이	의견/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.212.16.2
정부는 2010학년도부터 사교육을 줄인다며 외고 입시를 영어내신과 인성면접만으로 치르게 했다.

정부는	정부/NNG+는/JX
2010학년도부터	2010/SN+학년도/NNG+부터/JX
사교육을	사교육/NNG+을/JKO
줄인다며	줄이/VV+ㄴ다며/EC
외고	외고/NNG
입시를	입시/NNG+를/JKO
영어내신과	영어/NNP+내신/NNG+과/JC
인성면접만으로	인성/NNG+면접/NNG+만/JX+으로/JKB
치르게	치르/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.212.16.3
이전까지는 지필고사나 교과형 면접이 있었다.

이전까지는	이전/NNG+까지/JX+는/JX
지필고사나	지필/NNG+고사/NNG+나/JC
교과형	교과/NNG+형/XSN
면접이	면접/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.212.16.4
현재 고3은 영어듣기평가라도 치렀지만 고2부터는 그마저 폐지됐다.

현재	현재/NNG
고3은	고/NNG+3/SN+은/JX
영어듣기평가라도	영어/NNP+듣기/NNG+평가/NNG+이/VCP+라도/EC
치렀지만	치르/VV+었/EP+지만/EC
고2부터는	고/NNG+2/SN+부터/JX+는/JX
그마저	그/NP+마저/JX
폐지됐다.	폐지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.17.1
A외고 교사는 “입시전형이 바뀐 뒤 입학생 성적이 확실히 떨어졌다”고 했다.

A외고	A/SL+외고/NNG
교사는	교사/NNG+는/JX
“입시전형이	“/SS+입시/NNG+전형/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
뒤	뒤/NNG
입학생	입학/NNG+생/XSN
성적이	성적/NNG+이/JKS
확실히	확실히/MAG
떨어졌다”고	떨어지/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.17.2
B외고 교사는 “외고가 국어·수학수업을 강화할 수 없는 것도 성적 하락의 이유”라고 말했다.

B외고	B/SL+외고/NNG
교사는	교사/NNG+는/JX
“외고가	“/SS+외고/NNG+가/JKS
국어·수학수업을	국어/NNG+·/SP+수학/NNG+수업/NNG+을/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것도	것/NNB+도/JX
성적	성적/NNG
하락의	하락/NNG+의/JKG
이유”라고	이유/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


