# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.394
metadata : {}


# id : NWRW1800000053.394.1.1
도화지엔 푸른 물결… 가족들 얼굴엔 웃음꽃

도화지엔	도화지/NNG+에/JKB+ㄴ/JX
충남	충남/NNP
서천,	서천/NNP+,/SP
울산,	울산/NNP+,/SP
경남	경남/NNP
거제에서	거제/NNP+에서/JKB
학생	학생/NNG
3800여	3800/SN+여/XSN
명과	명/NNB+과/JC
학부모,	학부모/NNG+,/SP
교사를	교사/NNG+를/JKO
비롯해	비롯하/VV+아/EC
1만여	1/SN+만/NR+여/XSN
명이	명/NNB+이/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
동시에	동시/NNG+에/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.394.4.1
수도권 대회장인 인천 송도국제도시 솔찬공원, 중구 월미도 문화의 거리, 동구 만석부두 공영주차장, 서구 정서진(경인아라뱃길 인천터미널 앞 아라빛섬)에서는 학생과 학부모 6200여 명이 몰려 성황을 이뤘다.

수도권	수도/NNG+권/XSN
대회장인	대회장/NNG+이/VCP+ㄴ/ETM
인천	인천/NNP
송도국제도시	송도국제도시/NNP
솔찬공원,	솔찬공원/NNP+,/SP
중구	중구/NNP
월미도	월미도/NNP
문화의	문화/NNG+의/JKG
거리,	거리/NNG+,/SP
동구	동구/NNP
만석부두	만석부두/NNP
공영주차장,	공영/NNG+주차장/NNG+,/SP
서구	서구/NNP
정서진(경인아라뱃길	정서진/NNP+(/SS+경인아라뱃길/NNP
인천터미널	인천터미널/NNP
앞	앞/NNG
아라빛섬)에서는	아라빛섬/NNP+)/SS+에서/JKB+는/JX
학생과	학생/NNG+과/JC
학부모	학부모/NNG
6200여	6200/SN+여/XSN
명이	명/NNB+이/JKS
몰려	몰리/VV+어/EC
성황을	성황/NNG+을/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.394.4.2
학생들은 돌풍과 소나기가 몰아치는 변덕스러운 날씨에도 바다의 모습을 생생하게 캔버스에 담았다.

학생들은	학생/NNG+들/XSN+은/JX
돌풍과	돌풍/NNG+과/JC
소나기가	소나기/NNG+가/JKS
몰아치는	몰아치/VV+는/ETM
변덕스러운	변덕/NNG+스럽/XSA+ㄴ/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
바다의	바다/NNG+의/JKG
모습을	모습/NNG+을/JKO
생생하게	생생하/VA+게/EC
캔버스에	캔버스/NNG+에/JKB
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.5.1
솔찬공원에서는 참가 학생과 학부모들이 바닷가 옆 1m 높이의 펜스를 따라 설치된 나무 덱 위에 텐트를 치거나 돗자리를 깔고 그림을 그렸다.

솔찬공원에서는	솔찬공원/NNP+에서/JKB+는/JX
참가	참가/NNG
학생과	학생/NNG+과/JC
학부모들이	학부모/NNG+들/XSN+이/JKS
바닷가	바닷가/NNG
옆	옆/NNG
1m	1/SN+m/SW
높이의	높이/NNG+의/JKG
펜스를	펜스/NNG+를/JKO
따라	따르/VV+아/EC
설치된	설치/NNG+되/XSV+ㄴ/ETM
나무	나무/NNG
덱	덱/NNG
위에	위/NNG+에/JKB
텐트를	텐트/NNG+를/JKO
치거나	치/VV+거나/EC
돗자리를	돗자리/NNG+를/JKO
깔고	깔/VV+고/EC
그림을	그림/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.394.6.1
초중고교생과 지도교사 등 43명을 이끌고 솔찬공원을 찾은 인천 남구 학익동 아이엠미술학원 김태영 원장(39)은 “입시의 틀에서 벗어나 모처럼 야외에서 5월의 푸른 바다를 맘껏 그릴 수 있는 기회를 줬더니 학생들 반응이 무척 좋았다”고 말했다.

초중고교생과	초중고교/NNG+생/XSN+과/JC
지도교사	지도/NNG+교사/NNG
등	등/NNB
43명을	43/SN+명/NNB+을/JKO
이끌고	이끌/VV+고/EC
솔찬공원을	솔찬공원/NNP+을/JKO
찾은	찾/VV+은/ETM
인천	인천/NNP
남구	남구/NNP
학익동	학익동/NNP
아이엠미술학원	아이엠미술학원/NNP
김태영	김태영/NNP
원장(39)은	원장/NNG+(/SS+39/SN+)/SS+은/JX
“입시의	“/SS+입시/NNG+의/JKG
틀에서	틀/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
모처럼	모처럼/MAG
야외에서	야외/NNG+에서/JKB
5월의	5/SN+월/NNB+의/JKG
푸른	푸르/VA+ㄴ/ETM
바다를	바다/NNG+를/JKO
맘껏	맘껏/MAG
그릴	그리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
줬더니	주/VV+었/EP+더니/EC
학생들	학생/NNG+들/XSN
반응이	반응/NNG+이/JKS
무척	무척/MAG
좋았다”고	좋/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.7.1
참가 학생들은 환경오염으로 생태계가 파괴될지 모르는 바다의 앞날을 걱정하는 마음을 그림을 통해 알리기도 했다.

참가	참가/NNG
학생들은	학생/NNG+들/XSN+은/JX
환경오염으로	환경/NNG+오염/NNG+으로/JKB
생태계가	생태/NNG+계/XSN+가/JKS
파괴될지	파괴/NNG+되/XSV+ㄹ지/EC
모르는	모르/VV+는/ETM
바다의	바다/NNG+의/JKG
앞날을	앞날/NNG+을/JKO
걱정하는	걱정/NNG+하/XSV+는/ETM
마음을	마음/NNG+을/JKO
그림을	그림/NNG+을/JKO
통해	통하/VV+아/EC
알리기도	알리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.394.7.2
이나라 양(17·인천 박문여고 1학년)은 바다가 오염돼 태어날 때부터 지느러미와 턱에 장애를 가진 돌고래가 인간의 도움으로 치료를 받은 뒤 푸른 바다를 건강하게 헤엄치는 모습을 그렸다.

이나라	이나라/NNP
양(17·인천	양/NNB+(/SS+17/SN+·/SP+인천/NNP
박문여고	박문여고/NNP
1학년)은	1/SN+학년/NNG+)/SS+은/JX
바다가	바다/NNG+가/JKS
오염돼	오염/NNG+되/XSV+어/EC
태어날	태어나/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
지느러미와	지느러미/NNG+와/JC
턱에	턱/NNG+에/JKB
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
돌고래가	돌고래/NNG+가/JKS
인간의	인간/NNG+의/JKG
도움으로	도움/NNG+으로/JKB
치료를	치료/NNG+를/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
푸른	푸르/VA+ㄴ/ETM
바다를	바다/NNG+를/JKO
건강하게	건강/NNG+하/XSA+게/EC
헤엄치는	헤엄치/VV+는/ETM
모습을	모습/NNG+을/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.394.8.1
안전한 사회에 대한 염원도 엿볼 수 있었다.

안전한	안전/NNG+하/XSA+ㄴ/ETM
사회에	사회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
염원도	염원/NNG+도/JX
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.394.8.2
바다의 거북선을 사실감 있게 표현한 정수지 양(14·청량중 2학년)은 “우리나라의 안전이 요즘 주변국 등으로부터 위협받고 있다.

바다의	바다/NNG+의/JKG
거북선을	거북선/NNP+을/JKO
사실감	사실감/NNG
있게	있/VA+게/EC
표현한	표현/NNG+하/XSV+ㄴ/ETM
정수지	정수지/NNP
양(14·청량중	양/NNB+(/SS+14/SN+·/SP+청량중/NNP
2학년)은	2/SN+학년/NNG+)/SS+은/JX
“우리나라의	“/SS+우리나라/NNG+의/JKG
안전이	안전/NNG+이/JKS
요즘	요즘/NNG
주변국	주변국/NNG
등으로부터	등/NNB+으로부터/JKB
위협받고	위협/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.394.8.3
이순신 장군의 거북선이 우리 바다를 안전하게 지켜낸 것처럼 안전을 지킬 수 있는 사회가 됐으면 좋겠다는 마음으로 거북선을 그렸다”고 말했다.

이순신	이순신/NNP
장군의	장군/NNG+의/JKG
거북선이	거북선/NNP+이/JKS
우리	우리/NP
바다를	바다/NNG+를/JKO
안전하게	안전/NNG+하/XSA+게/EC
지켜낸	지키/VV+어/EC+내/VX+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
안전을	안전/NNG+을/JKO
지킬	지키/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회가	사회/NNG+가/JKC
됐으면	되/VV+었/EP+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
마음으로	마음/NNG+으로/JKB
거북선을	거북선/NNP+을/JKO
그렸다”고	그리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.9.1
서울에서도 대회의 관심은 높았다.

서울에서도	서울/NNP+에서/JKB+도/JX
대회의	대회/NNG+의/JKG
관심은	관심/NNG+은/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.394.9.2
서울 송곡여고 ‘미술중점반’ 1, 2학년 16명은 서구 정서진으로 단체 출전을 했다.

서울	서울/NNP
송곡여고	송곡여고/NNP
‘미술중점반’	‘/SS+미술/NNG+중점/NNG+반/NNG+’/SS
1,	1/SN+,/SP
2학년	2/SN+학년/NNG
16명은	16/SN+명/NNB+은/JX
서구	서구/NNP
정서진으로	정서진/NNP+으로/JKB
단체	단체/NNG
출전을	출전/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.9.3
이윤재 양(17·송곡여고 2학년)은 “1학년 때는 주로 교내 대회만 참가했는데 이번에 처음으로 교외 대회에 나왔다.

이윤재	이윤재/NNP
양(17·송곡여고	양/NNB+(/SS+17/SN+·/SP+송곡여고/NNP
2학년)은	2/SN+학년/NNG+)/SS+은/JX
“1학년	“/SS+1/SN+학년/NNG
때는	때/NNG+는/JX
주로	주로/MAG
교내	교내/NNG
대회만	대회/NNG+만/JX
참가했는데	참가/NNG+하/XSV+았/EP+는데/EC
이번에	이번/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
교외	교외/NNG
대회에	대회/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.9.4
‘생명의 바다’를 표현하기 위해 아기 그림을 그렸다”고 말했다.

‘생명의	‘/SS+생명/NNG+의/JKG
바다’를	바다/NNG+’/SS+를/JKO
표현하기	표현/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
아기	아기/NNG
그림을	그림/NNG+을/JKO
그렸다”고	그리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.10.1
학생뿐 아니라 할아버지와 할머니, 부모, 어린 동생을 모두 데리고 나온 가족이 많았다.

학생뿐	학생/NNG+뿐/JX
아니라	아니/VCN+라/EC
할아버지와	할아버지/NNG+와/JC
할머니,	할머니/NNG+,/SP
부모,	부모/NNG+,/SP
어린	어리/VA+ㄴ/ETM
동생을	동생/NNG+을/JKO
모두	모두/MAG
데리고	데리/VV+고/EC
나온	나오/VV+ㄴ/ETM
가족이	가족/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.394.10.2
단순한 사생대회를 넘어 봄나들이 축제행사로 자리매김한 모습이었다.

단순한	단순/NNG+하/XSA+ㄴ/ETM
사생대회를	사생/NNG+대회/NNG+를/JKO
넘어	넘/VV+어/EC
봄나들이	봄나들이/NNG
축제행사로	축제/NNG+행사/NNG+로/JKB
자리매김한	자리매김/NNG+하/XSV+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.394.10.3
부산 연제구에 사는 고병식 씨(76)는 “어제 인천의 딸 집에 놀러 왔는데 손자가 대회에 나간다고 해 사위 등 4명이 같이 왔다”며 “손자가 집중해서 그림을 그리는 모습을 보니 참 흐뭇하다”고 기뻐했다.

부산	부산/NNP
연제구에	연제구/NNP+에/JKB
사는	살/VV+는/ETM
고병식	고병식/NNP
씨(76)는	씨/NNB+(/SS+76/SN+)/SS+는/JX
“어제	“/SS+어제/MAG
인천의	인천/NNP+의/JKG
딸	딸/NNG
집에	집/NNG+에/JKB
놀러	놀/VV+러/EC
왔는데	오/VX+았/EP+는데/EC
손자가	손자/NNG+가/JKS
대회에	대회/NNG+에/JKB
나간다고	나가/VV+ㄴ다고/EC
해	하/VV+아/EC
사위	사위/NNG
등	등/NNB
4명이	4/SN+명/NNB+이/JKS
같이	같이/MAG
왔다”며	오/VV+았/EP+다/EF+”/SS+며/EC
“손자가	“/SS+손자/NNG+가/JKS
집중해서	집중/NNG+하/XSV+아서/EC
그림을	그림/NNG+을/JKO
그리는	그리/VV+는/ETM
모습을	모습/NNG+을/JKO
보니	보/VV+니/EC
참	참/MAG
흐뭇하다”고	흐뭇하/VA+다/EF+”/SS+고/JKQ
기뻐했다.	기뻐하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.11.1
해를 거듭할수록 생명의 바다 그림대회는 지역사회의 높은 관심 속에 축제의 장이 되고 있다.

해를	해/NNG+를/JKO
거듭할수록	거듭/MAG+하/XSV+ㄹ수록/EC
생명의	생명/NNG+의/JKG
바다	바다/NNG
그림대회는	그림/NNG+대회/NNG+는/JX
지역사회의	지역/NNG+사회/NNG+의/JKG
높은	높/VA+은/ETM
관심	관심/NNG
속에	속/NNG+에/JKB
축제의	축제/NNG+의/JKG
장이	장/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.394.11.2
이날 대회장에서는 마술쇼와 죽마를 탄 키다리 아저씨 공연이 펼쳐져 환호성이 끊이지 않았다.

이날	이날/NNG
대회장에서는	대회장/NNG+에서/JKB+는/JX
마술쇼와	마술/NNG+쇼/NNG+와/JC
죽마를	죽마/NNG+를/JKO
탄	타/VV+ㄴ/ETM
키다리	키다리/NNG
아저씨	아저씨/NNG
공연이	공연/NNG+이/JKS
펼쳐져	펼쳐지/VV+어/EC
환호성이	환호성/NNG+이/JKS
끊이지	끊이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.394.12.1
포스코건설㈜은 사내 공지를 통해 모집한 이서이 양(8·명선초교 1학년) 등 20여 명이 대회에 참가했다.

포스코건설㈜은	포스코건설/NNP+㈜/SW+은/JX
사내	사내/NNG
공지를	공지/NNG+를/JKO
통해	통하/VV+아/EC
모집한	모집/NNG+하/XSV+ㄴ/ETM
이서이	이서이/NNP
양(8·명선초교	양/NNB+(/SS+8/SN+·/SP+명선초교/NNP
1학년)	1/SN+학년/NNG+)/SS
등	등/NNB
20여	20/SN+여/XSN
명이	명/NNB+이/JKS
대회에	대회/NNG+에/JKB
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.12.2
인하대병원과 가천의대 길병원은 응급 상황에 대비해 의료진을 파견했다.

인하대병원과	인하대병원/NNP+과/JC
가천의대	가천/NNP+의대/NNG
길병원은	길병원/NNP+은/JX
응급	응급/NNG
상황에	상황/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
의료진을	의료진/NNG+을/JKO
파견했다.	파견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.12.3
연수 김안과(김학철 대표원장) 의료팀은 솔찬공원에서 무료로 눈 건강 상태를 봐줬다.

연수	연수/NNP
김안과(김학철	김안과/NNP+(/SS+김학철/NNP
대표원장)	대표/NNG+원장/NNG+)/SS
의료팀은	의료/NNG+팀/NNG+은/JX
솔찬공원에서	솔찬공원/NNP+에서/JKB
무료로	무료/NNG+로/JKB
눈	눈/NNG
건강	건강/NNG
상태를	상태/NNG+를/JKO
봐줬다.	봐주/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.394.12.4
인하대 최순자 총장과 이흥수 동구청장을 비롯해 인천시 문화예술과, 인천경제자유구역청 직원들도 대회장을 찾아 학생들을 격려했다.

인하대	인하대/NNP
최순자	최순자/NNP
총장과	총장/NNG+과/JC
이흥수	이흥수/NNP
동구청장을	동구청장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
인천시	인천시/NNP
문화예술과,	문화/NNG+예술과/NNG+,/SP
인천경제자유구역청	인천경제자유구역청/NNP
직원들도	직원/NNG+들/XSN+도/JX
대회장을	대회장/NNG+을/JKO
찾아	찾/VV+아/EC
학생들을	학생/NNG+들/XSN+을/JKO
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.394.12.5
인천 중부·서부·연수경찰서, 중부·서부·남동소방서 직원들도 안전한 대회를 위해 구슬땀을 흘렸다.

인천	인천/NNP
중부·서부·연수경찰서,	중부/NNG+·/SP+서부/NNG+·/SP+연수경찰서/NNP+,/SP
중부·서부·남동소방서	중부/NNG+·/SP+서부/NNG+·/SP+남동소방서/NNP
직원들도	직원/NNG+들/XSN+도/JX
안전한	안전/NNG+하/XSA+ㄴ/ETM
대회를	대회/NNG+를/JKO
위해	위하/VV+아/EC
구슬땀을	구슬땀/NNG+을/JKO
흘렸다.	흘리/VV+었/EP+다/EF+./SF


