# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.342
metadata : {}


# id : NWRW1800000049.342.1.1
더민주는 ‘親文3 : 非文1’ 4파전될 듯

더민주는	더민주/NNP+는/JX
싸움이	싸움/NNG+이/JKS
예상됐지만	예상/NNG+되/XSV+었/EP+지만/EC
‘비노(비노무현)’	‘/SS+비/XPN+노/NNP+(/SS+비/XPN+노무현/NNP+)/SS+’/SS
진영	진영/NNG
이종걸	이종걸/NNP
의원이	의원/NNG+이/JKS
막판	막판/NNG
출마	출마/NNG
의사를	의사/NNG+를/JKO
내비치면서	내비치/VV+면서/EC
4파전이	4파전/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.342.4.1
이종걸 의원은 이날 밤늦게 동아일보와 통화에서 “후보 등록 마감일인 28일 출마 기자회견을 할 것”이라고 밝혔다.

이종걸	이종걸/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
밤늦게	밤늦/VA+게/EC
동아일보와	동아일보/NNP+와/JKB
통화에서	통화/NNG+에서/JKB
“후보	“/SS+후보/NNG
등록	등록/NNG
마감일인	마감일/NNG+이/VCP+ㄴ/ETM
28일	28/SN+일/NNB
출마	출마/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.342.4.2
당초 이 의원은 이날 오전 당권 도전을 선언하려다 김종인 비상대책위원회 대표의 만류로 보류했다.

당초	당초/NNG
이	이/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
당권	당권/NNG
도전을	도전/NNG+을/JKO
선언하려다	선언/NNG+하/XSV+려다/EC
김종인	김종인/NNP
비상대책위원회	비상/NNG+대책/NNG+위원회/NNG
대표의	대표/NNG+의/JKG
만류로	만류/NNG+로/JKB
보류했다.	보류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.342.4.3
비주류 대표 격인 이 의원이 출마해 당 대표 후보가 4명이 되면 당내 지지 기반이 약한 김 후보가 최종 후보 3인을 뽑는 예비경선에서 컷오프(탈락)될 가능성이 높다는 것이 당의 중론이었다.

비주류	비/XPN+주류/NNG
대표	대표/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
이	이/NNP
의원이	의원/NNG+이/JKS
출마해	출마/NNG+하/XSV+아/EC
당	당/NNG
후보가	후보/NNG+가/JKS
4명이	4/SN+명/NNB+이/JKC
되면	되/VV+면/EC
당내	당내/NNG
지지	지지/NNG
기반이	기반/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
김	김/NNP
최종	최종/NNG
후보	후보/NNG
3인을	3/SN+인/NNG+을/JKO
뽑는	뽑/VV+는/ETM
예비경선에서	예비/NNG+경선/NNG+에서/JKB
컷오프(탈락)될	컷오프/NNG+(/SS+탈락/NNG+)/SS+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다는	높/VA+다는/ETM
것이	것/NNB+이/JKS
당의	당/NNG+의/JKG
중론이었다.	중론/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.342.5.1
김 대표의 만류에 이 의원은 하루 종일 오락가락 행보를 보였다.

김	김/NNP
대표의	대표/NNG+의/JKG
만류에	만류/NNG+에/JKB
이	이/NNP
의원은	의원/NNG+은/JX
하루	하루/NNG
종일	종일/NNG
오락가락	오락가락/MAG
행보를	행보/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.342.5.2
이 의원은 오전 7시경 한 라디오 인터뷰에서 “(친노 중심으로 가면) ‘더’ 민주당이 아닌 ‘덜’ 민주당이 될 우려가 있다”라며 “당은 여러 입장이 살아 움직이는 용광로가 돼야 한다.

이	이/NNP
의원은	의원/NNG+은/JX
오전	오전/NNG
7시경	7/SN+시/NNB+경/XSN
한	한/MMN
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“(친노	“/SS+(/SS+친/XPN+노/NNP
중심으로	중심/NNG+으로/JKB
가면)	가/VV+면/EC+)/SS
‘더’	‘/SS+더/MAG+’/SS
민주당이	민주당/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘덜’	‘/SS+덜/MAG+’/SS
될	되/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다”라며	있/VA+다/EF+”/SS+이/VCP+라며/EC
“당은	“/SS+당/NNG+은/JX
여러	여러/MMN
입장이	입장/NNG+이/JKS
살아	살/VV+아/EC
움직이는	움직이/VV+는/ETM
용광로가	용광로/NNG+가/JKC
돼야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.342.5.3
더 강한 강철을 만드는 불쏘시개 역할을 하겠다”며 당 대표 출마 의사를 밝혔다.

더	더/MAG
강한	강하/VA+ㄴ/ETM
강철을	강철/NNG+을/JKO
만드는	만들/VV+는/ETM
불쏘시개	불쏘시개/NNG
역할을	역할/NNG+을/JKO
하겠다”며	하/VV+겠/EP+다/EF+”/SS+며/EC
당	당/NNG
대표	대표/NNG
출마	출마/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.342.6.1
이 의원은 비대위 회의 직후 김 대표와 독대한 자리에서 비대위원직 사퇴 의사를 밝히려 했다.

이	이/NNP
의원은	의원/NNG+은/JX
비대위	비대위/NNG
회의	회의/NNG
직후	직후/NNG
김	김/NNP
대표와	대표/NNG+와/JKB
독대한	독대/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
비대위원직	비대위원/NNG+직/NNG
사퇴	사퇴/NNG
의사를	의사/NNG+를/JKO
밝히려	밝히/VV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.342.6.2
하지만 김 대표는 이 자리에서 선거운동을 하기에 너무 늦었고, 상처뿐인 선거에 나갈 이유가 없다는 이유로 출마를 강력하게 반대한 것으로 전해졌다.

하지만	하지만/MAJ
김	김/NNP
대표는	대표/NNG+는/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
선거운동을	선거/NNG+운동/NNG+을/JKO
하기에	하/VV+기/ETN+에/JKB
너무	너무/MAG
늦었고,	늦/VA+었/EP+고/EC+,/SP
상처뿐인	상처/NNG+뿐/JX+이/VCP+ㄴ/ETM
선거에	선거/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다는	없/VA+다는/ETM
이유로	이유/NNG+로/JKB
출마를	출마/NNG+를/JKO
강력하게	강력/NNG+하/XSA+게/EC
반대한	반대/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.342.7.1
그러나 이 의원은 오후에 기자들과 만나서는 “아무리 생각해도 변하기 어려운 것 같다.

그러나	그러나/MAJ
이	이/NNP
의원은	의원/NNG+은/JX
오후에	오후/NNG+에/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나서는	만나/VV+아서/EC+는/JX
“아무리	“/SS+아무리/MAG
생각해도	생각/NNG+하/XSV+아도/EC
변하기	변하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.342.7.2
당을 위해 필요한 영역이 있다면 나아가야 하는 것이 맞지 않나”라며 다시 출마 강행에 무게를 두는 듯한 발언을 했다.

당을	당/NNG+을/JKO
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
영역이	영역/NNG+이/JKS
있다면	있/VA+다면/EC
나아가야	나아가/VV+아야/EC
하는	하/VX+는/ETM
것이	것/NNB+이/JKS
맞지	맞/VV+지/EC
않나”라며	않/VX+나/EF+”/SS+이/VCP+라며/EC
다시	다시/MAG
출마	출마/NNG
강행에	강행/NNG+에/JKB
무게를	무게/NNG+를/JKO
두는	두/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
발언을	발언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.342.7.3
그리고 한동안 언론 접촉을 피하다 저녁 늦게 출마 강행 의사를 밝혔다.

그리고	그리고/MAJ
한동안	한/XPN+동안/NNG
언론	언론/NNG
접촉을	접촉/NNG+을/JKO
피하다	피하/VV+다/EC
저녁	저녁/NNG
늦게	늦/VA+게/EC
출마	출마/NNG
강행	강행/NNG
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.342.7.4
이 의원의 가세로 네 후보는 예비경선을 위한 기탁금 500만 원을 내야 하고, 예비경선을 통과한 후보 3명은 본선 기탁금 7500만 원씩을 내야 한다.

이	이/NNP
의원의	의원/NNG+의/JKG
가세로	가세/NNG+로/JKB
네	네/MMN
후보는	후보/NNG+는/JX
예비경선을	예비/NNG+경선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기탁금	기탁금/NNG
500만	500/SN+만/NR
원을	원/NNB+을/JKO
내야	내/VV+어야/EC
하고,	하/VX+고/EC+,/SP
통과한	통과/NNG+하/XSV+ㄴ/ETM
후보	후보/NNG
3명은	3/SN+명/NNB+은/JX
본선	본선/NNG
7500만	7500/SN+만/NR
원씩을	원/NNB+씩/XSN+을/JKO
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.342.8.1
이런 가운데 앞서 이날 오후 국회 본회의장에선 김 대표의 측근인 최운열 의원이 김상곤 전 위원장에게 보낸 문자메시지를 김 대표에게 보여주며 웃는 장면이 포착됐다.

이런	이런/MMD
가운데	가운데/NNG
앞서	앞서/MAG
이날	이날/NNG
오후	오후/NNG
국회	국회/NNG
본회의장에선	본회의장/NNG+에서/JKB+ㄴ/JX
김	김/NNP
대표의	대표/NNG+의/JKG
측근인	측근/NNG+이/VCP+ㄴ/ETM
최운열	최운열/NNP
의원이	의원/NNG+이/JKS
김상곤	김상곤/NNP
전	전/MMD
위원장에게	위원장/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
문자메시지를	문자/NNG+메시지/NNG+를/JKO
대표에게	대표/NNG+에게/JKB
보여주며	보이/VV+어/EC+주/VX+며/EC
웃는	웃/VV+는/ETM
장면이	장면/NNG+이/JKS
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.342.8.2
문자메시지에는 ‘조그마한 힘이라도 되어드리고 싶습니다’라는 내용이 담겨 있었다.

문자메시지에는	문자/NNG+메시지/NNG+에/JKB+는/JX
‘조그마한	‘/SS+조그마하/VA+ㄴ/ETM
힘이라도	힘/NNG+이/VCP+라도/EC
되어드리고	되/VV+어/EC+드리/VX+고/EC
싶습니다’라는	싶/VX+습니다/EF+’/SS+이/VCP+라는/ETM
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.342.8.3
김 후보의 지지 요청에 화답한 것이다.

김	김/NNP
후보의	후보/NNG+의/JKG
지지	지지/NNG
요청에	요청/NNG+에/JKB
화답한	화답/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.342.8.4
의례적인 인사말일 가능성이 있지만 김 대표가 이 의원의 출마를 만류하고, 김 대표 측근이 김 후보에게 지지 의사를 보낸 데는 또 다른 이유가 있는 것 아니냐는 분석이 나온다.

의례적인	의례/NNG+적/XSN+이/VCP+ㄴ/ETM
인사말일	인사말/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있지만	있/VA+지만/EC
김	김/NNP
대표가	대표/NNG+가/JKS
이	이/NNP
의원의	의원/NNG+의/JKG
출마를	출마/NNG+를/JKO
만류하고,	만류/NNG+하/XSV+고/EC+,/SP
대표	대표/NNG
측근이	측근/NNG+이/JKS
후보에게	후보/NNG+에게/JKB
지지	지지/NNG
의사를	의사/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
데는	데/NNB+는/JX
또	또/MAG
다른	다른/MMD
이유가	이유/NNG+가/JKS
있는	있/VA+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.342.8.5
당을 친노나 친문 진영이 장악하도록 하고, 그에 대한 반작용이 거세질 경우 비노, 비문 진영과 함께 새로운 판짜기를 시도할 가능성이 있다는 얘기다.

당을	당/NNG+을/JKO
친노나	친/XPN+노/NNP+나/JC
친문	친/XPN+문/NNP
진영이	진영/NNG+이/JKS
장악하도록	장악/NNG+하/XSV+도록/EC
하고,	하/VX+고/EC+,/SP
그에	그/NP+에/JKB
대한	대하/VV+ㄴ/ETM
반작용이	반/XPN+작용/NNG+이/JKS
거세질	거세지/VV+ㄹ/ETM
경우	경우/NNG
비노,	비/XPN+노/NNP+,/SP
비문	비/XPN+문/NNP
진영과	진영/NNG+과/JKB
함께	함께/MAG
새로운	새롭/VA+ㄴ/ETM
판짜기를	판짜기/NNG+를/JKO
시도할	시도/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


