# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.95
metadata : {}


# id : NWRW1800000054.95.1.1
첫사랑 바이올린, 이상형 비올라… 둘 다 포기 못 해요

첫사랑	첫사랑/NNG
1부는 슈만 '환상곡'과 힌데미트가 1919년 작곡한 '비올라와 피아노를 위한 소나타'로 꾸미고, 2부는 게오르크 필립 텔레만의 '솔로 바이올린을 위한 환상곡'과 쇤베르크의 '바이올린을 위한 환상곡' 등으로 채운다.

1부는	1/SN+부/NNB+는/JX
슈만	슈만/NNP
'환상곡'과	'/SS+환상곡/NNG+'/SS+과/JC
힌데미트가	힌데미트/NNP+가/JKS
1919년	1919/SN+년/NNB
작곡한	작곡/NNG+하/XSV+ㄴ/ETM
'비올라와	'/SS+비올라/NNG+와/JC
피아노를	피아노/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
소나타'로	소나타/NNG+'/SS+로/JKB
꾸미고,	꾸미/VV+고/EC+,/SP
2부는	2/SN+부/NNB+는/JX
게오르크	게오르크/NNP
필립	필립/NNP
텔레만의	텔레만/NNP+의/JKG
'솔로	'/SS+솔로/NNG
바이올린을	바이올린/NNG+을/JKO
환상곡'과	환상곡/NNG+'/SS+과/JC
쇤베르크의	쇤베르크/NNP+의/JKG
'바이올린을	'/SS+바이올린/NNG+을/JKO
환상곡'	환상곡/NNG+'/SS
등으로	등/NNB+으로/JKB
채운다.	채우/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.95.4.1
바이올린과 비올라는 품 안에 울림통을 끼고 왼손과 활을 오밀조밀 놀려 다채로운 소리를 빚어낸다는 점에서 같다.

바이올린과	바이올린/NNG+과/JC
비올라는	비올라/NNG+는/JX
품	품/NNG
안에	안/NNG+에/JKB
울림통을	울림통/NNG+을/JKO
끼고	끼/VV+고/EC
왼손과	왼손/NNG+과/JC
활을	활/NNG+을/JKO
오밀조밀	오밀조밀/MAG
놀려	놀리/VV+어/EC
다채로운	다채롭/VA+ㄴ/ETM
소리를	소리/NNG+를/JKO
빚어낸다는	빚어내/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000054.95.4.2
하지만 1㎜만 오차가 생겨도 소리와 질감이 확 달라지는 악기 세계에서 바이올린보다 1.5배 더 크고 음높이는 5도 낮은 비올라를 제대로 연주하려면 왼손 운지법과 오른손 활 놀림을 전혀 다르게 해야 한다.

하지만	하지만/MAJ
1㎜만	1/SN+㎜/SW+만/JX
오차가	오차/NNG+가/JKS
생겨도	생기/VV+어도/EC
소리와	소리/NNG+와/JC
질감이	질감/NNG+이/JKS
확	확/MAG
달라지는	달라지/VV+는/ETM
악기	악기/NNG
세계에서	세계/NNG+에서/JKB
바이올린보다	바이올린/NNG+보다/JKB
1.5배	1/SN+./SP+5/SN+배/NNG
더	더/MAG
크고	크/VA+고/EC
음높이는	음높이/NNG+는/JX
5도	5/SN+도/NNB
낮은	낮/VA+은/ETM
비올라를	비올라/NNG+를/JKO
제대로	제대로/MAG
연주하려면	연주/NNG+하/XSV+려면/EC
왼손	왼손/NNG
운지법과	운지법/NNG+과/JC
오른손	오른손/NNG
활	활/NNG
놀림을	놀림/NNG+을/JKO
전혀	전혀/MAG
다르게	다르/VA+게/EC
해야	하/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.95.4.3
두 악기에 모두 능숙한 연주자는 옛 소련이 낳은 바이올린의 전설 다비트 오이스트라흐와 1967년 레번트릿 콩쿠르에서 바이올린 여제(女帝) 정경화와 공동 우승한 핀커스 주커만 등 손에 꼽을 정도.

두	두/MMN
악기에	악기/NNG+에/JKB
모두	모두/MAG
능숙한	능숙하/VA+ㄴ/ETM
연주자는	연주자/NNG+는/JX
옛	옛/MMA
소련이	소련/NNP+이/JKS
낳은	낳/VV+은/ETM
바이올린의	바이올린/NNG+의/JKG
전설	전설/NNG
다비트	다비트/NNP
오이스트라흐와	오이스트라흐/NNP+와/JC
1967년	1967/SN+년/NNB
레번트릿	레번트릿/NNP
콩쿠르에서	콩쿠르/NNG+에서/JKB
바이올린	바이올린/NNG
여제(女帝)	여제/NNG+(/SS+女帝/SH+)/SS
정경화와	정경화/NNP+와/JKB
공동	공동/NNG
우승한	우승/NNG+하/XSV+ㄴ/ETM
핀커스	핀커스/NNP
주커만	주커만/NNP
등	등/NNB
손에	손/NNG+에/JKB
꼽을	꼽/VV+을/ETM
정도.	정도/NNG+./SF


# id : NWRW1800000054.95.5.1
이유라 역시 '드문 손'이다.

이유라	이유라/NNP
역시	역시/MAG
'드문	'/SS+드물/VA+ㄴ/ETM
손'이다.	손/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.95.5.2
'바이올린 신동'으로 불렸고, 2013년에는 세계적 권위의 독일 ARD 콩쿠르에서 비올라 부문 우승을 거머쥐었다.

'바이올린	'/SS+바이올린/NNG
신동'으로	신동/NNG+'/SS+으로/JKB
불렸고,	불리/VV+었/EP+고/EC+,/SP
2013년에는	2013/SN+년/NNB+에/JKB+는/JX
세계적	세계/NNG+적/XSN
권위의	권위/NNG+의/JKG
독일	독일/NNP
ARD	ARD/SL
콩쿠르에서	콩쿠르/NNG+에서/JKB
비올라	비올라/NNG
부문	부문/NNG
우승을	우승/NNG+을/JKO
거머쥐었다.	거머쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.95.5.3
이력은 화려했다.

이력은	이력/NNG+은/JX
화려했다.	화려하/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.95.5.4
아홉 살에 뉴욕 줄리아드 음악원의 예비 학교에 진학, 열한 살에 세계적 대가 대부분이 소속된 매니지먼트 회사 ICM과 계약, 열여섯에 뉴욕 카네기홀 데뷔.

아홉	아홉/NR
살에	살/NNB+에/JKB
뉴욕	뉴욕/NNP
줄리아드	줄리아드/NNP
음악원의	음악원/NNG+의/JKG
예비	예비/NNG
학교에	학교/NNG+에/JKB
진학,	진학/NNG+,/SP
열한	열한/MMN
세계적	세계/NNG+적/XSN
대가	대가/NNG
대부분이	대/XPN+부분/NNG+이/JKS
소속된	소속/NNG+되/XSV+ㄴ/ETM
매니지먼트	매니지먼트/NNG
회사	회사/NNG
ICM과	ICM/SL+과/JKB
계약,	계약/NNG+,/SP
열여섯에	열여섯/NR+에/JKB
카네기홀	카네기홀/NNP
데뷔.	데뷔/NNG+./SF


# id : NWRW1800000054.95.5.5
승승장구는 20대에도 멈추지 않았다.

승승장구는	승승장구/NNG+는/JX
20대에도	20/SN+대/NNB+에/JKB+도/JX
멈추지	멈추/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.95.5.6
2007년 미국에서 활동하는 젊은 연주자에게 주는 에이버리 피셔 커리어 그랜트의 수상자가 됐다.

2007년	2007/SN+년/NNB
미국에서	미국/NNP+에서/JKB
활동하는	활동/NNG+하/XSV+는/ETM
젊은	젊/VA+은/ETM
연주자에게	연주자/NNG+에게/JKB
주는	주/VV+는/ETM
에이버리	에이버리/NNP
피셔	피셔/NNP
커리어	커리어/NNG
그랜트의	그랜트/NNG+의/JKG
수상자가	수상자/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.95.5.7
화려하고 당찬 소리, 어떤 무대에서든 강력한 힘을 내뿜으며 설득력을 부여하는 활 놀림에 정경화는 그녀를 콕 집어 기대감을 나타냈다.

화려하고	화려하/VA+고/EC
당찬	당차/VA+ㄴ/ETM
소리,	소리/NNG+,/SP
어떤	어떤/MMD
무대에서든	무대/NNG+에서/JKB+든/JX
강력한	강력/NNG+하/XSA+ㄴ/ETM
힘을	힘/NNG+을/JKO
내뿜으며	내뿜/VV+으며/EC
설득력을	설득력/NNG+을/JKO
부여하는	부여/NNG+하/XSV+는/ETM
활	활/NNG
놀림에	놀림/NNG+에/JKB
정경화는	정경화/NNP+는/JX
그녀를	그녀/NP+를/JKO
콕	콕/MAG
집어	집/VV+어/EC
기대감을	기대감/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.95.6.1
예정대로라면 지난해 이맘때 독주회를 열었을 테지만, 공연을 한 달 앞두고 집 근처 포틀랜드 뒷산에 오르다 발목이 부러져 취소했다.

예정대로라면	예정/NNG+대로/JX+이/VCP+라면/EC
지난해	지난해/NNG
이맘때	이맘때/NNG
독주회를	독주회/NNG+를/JKO
열었을	열/VV+었/EP+을/ETM
테지만,	터/NNB+이/VCP+지만/EC+,/SP
공연을	공연/NNG+을/JKO
한	한/MMN
달	달/NNB
앞두고	앞두/VV+고/EC
집	집/NNG
근처	근처/NNG
포틀랜드	포틀랜드/NNP
뒷산에	뒷산/NNG+에/JKB
오르다	오르/VV+다/EC
발목이	발목/NNG+이/JKS
부러져	부러지/VV+어/EC
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.95.6.2
20일 서울 광화문의 한 카페에서 마주 앉은 그녀는 "두 차례 수술받으면서 한 달을 꼬박 쉬었다. 다치기 전까진 '언제 한번 쉬어보나' 했는데, 막상 쉬니 몸이 근질근질해 혼났다"며 웃었다.

20일	20/SN+일/NNB
서울	서울/NNP
광화문의	광화문/NNP+의/JKG
한	한/MMN
카페에서	카페/NNG+에서/JKB
마주	마주/MAG
앉은	앉/VV+은/ETM
그녀는	그녀/NP+는/JX
"두	"/SS+두/MMN
차례	차례/NNG
수술받으면서	수술/NNG+받/XSV+으면서/EC
달을	달/NNB+을/JKO
꼬박	꼬박/MAG
쉬었다.	쉬/VV+었/EP+다/EF+./SF
다치기	다치/VV+기/ETN
전까진	전/NNG+까지/JX+ㄴ/JX
'언제	'/SS+언제/MAG
한번	한번/MAG
쉬어보나'	쉬/VV+어/EC+보/VX+나/EF+'/SS
했는데,	하/VV+았/EP+는데/EC+,/SP
막상	막상/MAG
쉬니	쉬/VV+니/EC
몸이	몸/NNG+이/JKS
근질근질해	근질근질/MAG+하/XSV+아/EC
혼났다"며	혼나/VV+았/EP+다/EF+"/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.95.7.1
"열다섯 살 때 말보로 페스티벌에 갔다가 '재미 삼아 해볼래?' 하는 제안에 덜컥 비올라를 쥐었어요.

"열다섯	"/SS+열다섯/NR
살	살/NNB
때	때/NNG
말보로	말보로/NNP
페스티벌에	페스티벌/NNG+에/JKB
갔다가	가/VV+았/EP+다가/EC
'재미	'/SS+재미/NNG
삼아	삼/VV+아/EC
해볼래?'	하/VV+아/EC+보/VX+ㄹ래/EF+?/SF+'/SS
하는	하/VV+는/ETM
제안에	제안/NNG+에/JKB
덜컥	덜컥/MAG
비올라를	비올라/NNG+를/JKO
쥐었어요.	쥐/VV+었/EP+어요/EF+./SF


# id : NWRW1800000054.95.7.2
연주자와 악기도 궁합이 있어서 품에 안으면 서로 잘 맞는지 3초 안에 느낌이 딱 와요."

연주자와	연주자/NNG+와/JC
악기도	악기/NNG+도/JX
궁합이	궁합/NNG+이/JKS
있어서	있/VA+어서/EC
품에	품/NNG+에/JKB
안으면	안/VV+으면/EC
서로	서로/MAG
잘	잘/MAG
맞는지	맞/VV+는지/EC
3초	3/SN+초/NNB
안에	안/NNG+에/JKB
느낌이	느낌/NNG+이/JKS
딱	딱/MAG
와요."	오/VV+아요/EF+./SF+"/SS


# id : NWRW1800000054.95.7.3
당시 축제에서 코다이의 '두 대의 바이올린과 비올라를 위한 세레나데'를 선보였던 이유라는 비올라와 처음 만난 때가 "이상형과 하는 데이트처럼 설?다"고 했다.

당시	당시/NNG
축제에서	축제/NNG+에서/JKB
코다이의	코다이/NNP+의/JKG
'두	'/SS+두/MMN
대의	대/NNB+의/JKG
바이올린과	바이올린/NNG+과/JC
비올라를	비올라/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
세레나데'를	세레나데/NNP+'/SS+를/JKO
선보였던	선보이/VV+었/EP+던/ETM
이유라는	이유라/NNP+는/JX
비올라와	비올라/NNG+와/JKB
처음	처음/NNG
만난	만나/VV+ㄴ/ETM
때가	때/NNG+가/JKS
"이상형과	"/SS+이상/NNG+형/XSN+과/JKB
하는	하/VV+는/ETM
데이트처럼	데이트/NNG+처럼/JKB
설?다"고	설?/NV+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.95.8.1
"바이올린은 배운 대로 하면 얼추 소리가 나는데, 비올라는 좋은 소리를 내려면 열과 성을 다해도 모자라요.

"바이올린은	"/SS+바이올린/NNG+은/JX
배운	배우/VV+ㄴ/ETM
대로	대로/NNB
하면	하/VV+면/EC
얼추	얼추/MAG
소리가	소리/NNG+가/JKS
나는데,	나/VV+는데/EC+,/SP
비올라는	비올라/NNG+는/JX
좋은	좋/VA+은/ETM
소리를	소리/NNG+를/JKO
내려면	내/VV+려면/EC
열과	열/NNG+과/JKB
성을	성/NNG+을/JKO
다해도	다/MAG+하/XSV+아도/EC
모자라요.	모자라/VV+아요/EF+./SF


# id : NWRW1800000054.95.8.2
악기를 다루는 근육과 기교, 개념이 달라서죠." 이유라는 "비올라는 잘해도 있는 줄 모르고, 못하면 너무 듣기 싫어서 바이올린보다 열 배 더 어렵다.

악기를	악기/NNG+를/JKO
다루는	다루/VV+는/ETM
근육과	근육/NNG+과/JC
기교,	기교/NNG+,/SP
개념이	개념/NNG+이/JKS
달라서죠."	다르/VA+아서/EC+죠/EF+./SF+"/SS
이유라는	이유라/NNP+는/JX
"비올라는	"/SS+비올라/NNG+는/JX
잘해도	잘/MAG+하/XSV+아도/EC
있는	있/VA+는/ETM
줄	줄/NNB
모르고,	모르/VV+고/EC+,/SP
못하면	못/MAG+하/XSV+면/EC
너무	너무/MAG
듣기	듣/VV+기/ETN
싫어서	싫/VA+어서/EC
바이올린보다	바이올린/NNG+보다/JKB
열	열/NR
배	배/NNG
더	더/MAG
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000054.95.8.3
비올라를 하면서 겸손해졌다.

비올라를	비올라/NNG+를/JKO
하면서	하/VV+면서/EC
겸손해졌다.	겸손/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.95.8.4
날카롭던 내 바이올린도 어른스러워지고 깊어졌다"고 했다.

날카롭던	날카롭/VA+던/ETM
내	나/NP+의/JKG
바이올린도	바이올린/NNG+도/JX
어른스러워지고	어른/NNG+스럽/XSA+어/EC+지/VX+고/EC
깊어졌다"고	깊어지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.95.9.1
이유라는 예술이 인간의 장점뿐만 아니라 약점까지도 표현할 수 있어야 한다고 믿는다.

이유라는	이유라/NNP+는/JX
예술이	예술/NNG+이/JKS
인간의	인간/NNG+의/JKG
장점뿐만	장점/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
약점까지도	약점/NNG+까지/JX+도/JX
표현할	표현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다고	하/VX+ㄴ다고/EC
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000054.95.9.2
"열다섯 사춘기 때, 불안하고 격동적인 엘 그레코 그림, 자신의 상처를 조각으로 구현한 루이스 부르주아 작품을 보면서 예술이 인간의 좋은 부분만이 아니라 못나고 모자란 부분까지 가감 없이 보여줄 수 있어야 카타르시스를 준다는 걸 깨달았어요.

"열다섯	"/SS+열다섯/NR
사춘기	사춘기/NNG
때,	때/NNG+,/SP
불안하고	불안/NNG+하/XSA+고/EC
격동적인	격동/NNG+적/XSN+이/VCP+ㄴ/ETM
엘	엘/NNP
그레코	그레코/NNP
그림,	그림/NNG+,/SP
자신의	자신/NNG+의/JKG
상처를	상처/NNG+를/JKO
조각으로	조각/NNG+으로/JKB
구현한	구현/NNG+하/XSV+ㄴ/ETM
루이스	루이스/NNP
부르주아	부르주아/NNP
작품을	작품/NNG+을/JKO
보면서	보/VV+면서/EC
예술이	예술/NNG+이/JKS
인간의	인간/NNG+의/JKG
좋은	좋/VA+은/ETM
부분만이	부분/NNG+만/JX+이/JKC
아니라	아니/VCN+라/EC
못나고	못나/VV+고/EC
모자란	모자라/VV+ㄴ/ETM
부분까지	부분/NNG+까지/JX
가감	가감/NNG
없이	없이/MAG
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
카타르시스를	카타르시스/NNG+를/JKO
준다는	주/VV+ㄴ다는/ETM
걸	거/NNB+ㄹ/JKO
깨달았어요.	깨닫/VV+았/EP+어요/EF+./SF


# id : NWRW1800000054.95.9.3
책이든 영화든 해피엔딩은 별로예요.

책이든	책/NNG+이/VCP+든/EC
영화든	영화/NNG+이/VCP+든/EC
해피엔딩은	해피엔딩/NNG+은/JX
별로예요.	별로/MAG+이/VCP+에요/EF+./SF


# id : NWRW1800000054.95.9.4
상처의 밑바닥까지 파고들어 자기도 모르는 내면을 음악으로 내보이는 게, 음악가인 제가 이 세상에서 해내야 할 몫이라 생각해요."

상처의	상처/NNG+의/JKG
밑바닥까지	밑바닥/NNG+까지/JX
파고들어	파고들/VV+어/EC
자기도	자기/NNG+도/JX
모르는	모르/VV+는/ETM
내면을	내면/NNG+을/JKO
음악으로	음악/NNG+으로/JKB
내보이는	내보이/VV+는/ETM
게,	거/NNB+이/JKS+,/SP
음악가인	음악가/NNG+이/VCP+ㄴ/ETM
제가	제/NP+가/JKS
이	이/MMD
세상에서	세상/NNG+에서/JKB
해내야	해내/VV+어야/EC
할	하/VX+ㄹ/ETM
몫이라	몫/NNG+이/VCP+라/EC
생각해요."	생각/NNG+하/XSV+아요/EF+./SF+"/SS


