# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.38
metadata : {}


# id : NWRW1800000052.38.1.1
금융위, 한은 총재 가계부채 경고에 “문제없다”

금융위,	금융위/NNG+,/SP
주택담보대출에	주택/NNG+담보/NNG+대출/NNG+에/JKB
앞서	앞서/VV+어/EC
빚상환	빚/NNG+상환/NNG
능력에	능력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심사를	심사/NNG+를/JKO
더	더/MAG
깐깐하게	깐깐하/VA+게/EC
하는	하/VX+는/ETM
대출	대출/NNG
규제이다.	규제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.38.5.4
지난 2월 수도권을 시작으로 5월부터 전국으로 확대됐다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
수도권을	수도/NNG+권/XSN+을/JKO
시작으로	시작/NNG+으로/JKB
5월부터	5/SN+월/NNB+부터/JX
전국으로	전국/NNG+으로/JKB
확대됐다.	확대/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.38.6.1
금융위는 “가이드라인이 시행된 지 6개월 정도 지난 상황에서 성과를 평가하는 것은 다소 이른 감이 있으나 가이드라인이 전국적으로 시행된 5월 이후 은행권 개별 주담대의 증가세가 지난해에 비해 두드러지게 감소하는 등 효과가 나타나고 있다”고 밝혔다.

금융위는	금융위/NNG+는/JX
“가이드라인이	“/SS+가이드라인/NNG+이/JKS
시행된	시행/NNG+되/XSV+ㄴ/ETM
지	지/NNB
6개월	6/SN+개월/NNB
정도	정도/NNG
지난	지나/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
성과를	성과/NNG+를/JKO
평가하는	평가/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
다소	다소/MAG
이른	이르/VA+ㄴ/ETM
감이	감/NNG+이/JKS
있으나	있/VA+으나/EC
가이드라인이	가이드라인/NNG+이/JKS
전국적으로	전국/NNG+적/XSN+으로/JKB
5월	5/SN+월/NNB
이후	이후/NNG
은행권	은행/NNG+권/XSN
개별	개별/NNG
주담대의	주담대/NNG+의/JKG
증가세가	증가세/NNG+가/JKS
지난해에	지난해/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
두드러지게	두드러지/VV+게/EC
감소하는	감소/NNG+하/XSV+는/ETM
등	등/NNB
효과가	효과/NNG+가/JKS
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.38.6.2
금융위는 근거로 지난해 5~7월 은행권 개별 주담대는 16조1천억원이 늘었지만 올해 같은 기간에는 9조2천억원만 증가했다고 제시했다.

금융위는	금융위/NNG+는/JX
근거로	근거/NNG+로/JKB
지난해	지난해/NNG
5~7월	5/SN+~/SO+7/SN+월/NNB
은행권	은행/NNG+권/XSN
개별	개별/NNG
주담대는	주담대/NNG+는/JX
16조1천억원이	16/SN+조/NR+1/SN+천억/NR+원/NNB+이/JKS
늘었지만	늘/VV+었/EP+지만/EC
올해	올해/NNG
같은	같/VA+은/ETM
기간에는	기간/NNG+에/JKB+는/JX
9조2천억원만	9/SN+조/NR+2/SN+천억/NR+원/NNB+만/JX
증가했다고	증가/NNG+하/XSV+았/EP+다고/EC
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.38.6.3
이어 주담대를 포함한 가계대출 총액의 증가폭이 7월 중에 줄어든 점도 언급했다.

이어	이어/MAG
주담대를	주담대/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
가계대출	가계/NNG+대출/NNG
총액의	총액/NNG+의/JKG
증가폭이	증가/NNG+폭/NNG+이/JKS
7월	7/SN+월/NNB
중에	중/NNB+에/JKB
줄어든	줄어들/VV+ㄴ/ETM
점도	점/NNG+도/JX
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.38.6.4
한은이 올해 5월 이후 가이드라인이 전면 시행되고 7월은 부동산 비수기인데도 은행권 주담대 증가세가 전달보다 더 가팔라지는 점에 주목했다면, 금융위는 여신 규제가 도입되지 않았던 지난해 같은 기간과 주담대 증가세를 비교해 정책이 효력을 나타냈다고 평가한 셈이다.

한은이	한은/NNP+이/JKS
올해	올해/NNG
5월	5/SN+월/NNB
이후	이후/NNG
가이드라인이	가이드라인/NNG+이/JKS
전면	전면/NNG
시행되고	시행/NNG+되/XSV+고/EC
7월은	7/SN+월/NNB+은/JX
부동산	부동산/NNG
비수기인데도	비수기/NNG+이/VCP+ㄴ데/EC+도/JX
은행권	은행/NNG+권/XSN
주담대	주담대/NNG
증가세가	증가세/NNG+가/JKS
전달보다	전달/NNG+보다/JKB
더	더/MAG
가팔라지는	가파르/VA+아/EC+지/VX+는/ETM
점에	점/NNG+에/JKB
주목했다면,	주목/NNG+하/XSV+았/EP+다면/EC+,/SP
금융위는	금융위/NNG+는/JX
여신	여신/NNG
규제가	규제/NNG+가/JKS
도입되지	도입/NNG+되/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
지난해	지난해/NNG
같은	같/VA+은/ETM
기간과	기간/NNG+과/JKB
증가세를	증가세/NNG+를/JKO
비교해	비교/NNG+하/XSV+아/EC
정책이	정책/NNG+이/JKS
효력을	효력/NNG+을/JKO
나타냈다고	나타내/VV+었/EP+다고/EC
평가한	평가/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.38.7.1
금융위는 또 “가계부채 증가 추이를 한국은행 등 관계기관과 함께 면밀히 모니터링하고 협의를 통해 마땅한 때에 대응을 추진하겠다”고 말해, 추가 대책이 현시점에선 없을 것임을 내비쳤다.

금융위는	금융위/NNG+는/JX
또	또/MAG
“가계부채	“/SS+가계/NNG+부채/NNG
증가	증가/NNG
추이를	추이/NNG+를/JKO
한국은행	한국은행/NNP
등	등/NNB
관계기관과	관계/NNG+기관/NNG+과/JKB
함께	함께/MAG
면밀히	면밀히/MAG
모니터링하고	모니터링/NNG+하/XSV+고/EC
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
마땅한	마땅하/VA+ㄴ/ETM
때에	때/NNG+에/JKB
대응을	대응/NNG+을/JKO
추진하겠다”고	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말해,	말/NNG+하/XSV+아/EC+,/SP
추가	추가/NNG
대책이	대책/NNG+이/JKS
현시점에선	현시점/NNG+에서/JKB+ㄴ/JX
없을	없/VA+을/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.38.8.1
금융위의 이런 반박에 한은 관계자는 “두 기관의 인식의 차이가 분명히 존재한다”며 “7월 가계부채 증가세가 여전히 큰폭으로 이어지고 있다는 것은 숫자가 말해준다”고 말했다.

금융위의	금융위/NNG+의/JKG
이런	이런/MMD
반박에	반박/NNG+에/JKB
한은	한은/NNP
관계자는	관계자/NNG+는/JX
“두	“/SS+두/MMN
기관의	기관/NNG+의/JKG
인식의	인식/NNG+의/JKG
차이가	차이/NNG+가/JKS
분명히	분명히/MAG
존재한다”며	존재/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“7월	“/SS+7/SN+월/NNB
가계부채	가계/NNG+부채/NNG
증가세가	증가세/NNG+가/JKS
여전히	여전히/MAG
큰폭으로	크/VA+ㄴ/ETM+폭/NNG+으로/JKB
이어지고	이어지/VV+고/EC
있다는	있/VX+다는/ETM
것은	것/NNB+은/JX
숫자가	숫자/NNG+가/JKS
말해준다”고	말/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.38.8.2
올해 7월 중 가계부채 증가폭은 전달보다는 소폭 감소했으나, 2010~2014년 7월 평균 증가액인 2조원의 3배를 웃도는 수준이다.

올해	올해/NNG
7월	7/SN+월/NNB
중	중/NNB
가계부채	가계/NNG+부채/NNG
증가폭은	증가/NNG+폭/NNG+은/JX
전달보다는	전달/NNG+보다/JKB+는/JX
소폭	소폭/NNG
감소했으나,	감소/NNG+하/XSV+았/EP+으나/EC+,/SP
2010~2014년	2010/SN+~/SO+2014/SN+년/NNB
평균	평균/NNG
증가액인	증가액/NNG+이/VCP+ㄴ/ETM
2조원의	2/SN+조/NR+원/NNB+의/JKG
3배를	3/SN+배/NNG+를/JKO
웃도는	웃돌/VV+는/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


