# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.214
metadata : {}


# id : NWRW1800000033.214.1.1
[휴지통]성남시 ‘트위터 의사당’?

[휴지통]성남시	[/SS+휴지통/NNG+]/SS+성남시/NNP
설명이	설명/NNG+이/JKS
필요하나요”라고	필요/NNG+하/XSA+나/EF+요/JX+”/SS+라고/JKQ
되받아쳤다.	되받아치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.214.5.3
다시 이 의원이 학자금 대출 이자 지원 정책에 반대하며 “(이 시장의 정책이) 모라토리엄 선언과 맞지 않고 우선순위도 아니다”라고 지적했다.

다시	다시/MAG
이	이/NNP
의원이	의원/NNG+이/JKS
학자금	학자금/NNG
대출	대출/NNG
이자	이자/NNG
지원	지원/NNG
정책에	정책/NNG+에/JKB
반대하며	반대/NNG+하/XSV+며/EC
“(이	“/SS+(/SS+이/NNP
시장의	시장/NNG+의/JKG
정책이)	정책/NNG+이/JKS+)/SS
모라토리엄	모라토리엄/NNG
선언과	선언/NNG+과/JKB
맞지	맞/VV+지/EC
않고	않/VX+고/EC
우선순위도	우선순위/NNG+도/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.214.5.4
여기에 이 시장은 “박근혜 후보의 ‘학자금 대출이자율 0%’ 공약.

여기에	여기/NP+에/JKB
이	이/NNP
시장은	시장/NNG+은/JX
“박근혜	“/SS+박근혜/NNP
후보의	후보/NNG+의/JKG
‘학자금	‘/SS+학자금/NNG
대출이자율	대출/NNG+이자/NNG+율/XSN
0%’	0/SN+%/SW+’/SS
공약.	공약/NNG+./SF


# id : NWRW1800000033.214.5.5
성남시의회 새누리당은 이를 부결한 것을 어찌 이해해야 하느냐”라고 대선 공약으로 전선을 넓혀 논란이 커지고 있다.

성남시의회	성남시의회/NNP
새누리당은	새누리당/NNP+은/JX
이를	이/NP+를/JKO
부결한	부결/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
어찌	어찌/MAG
이해해야	이해/NNG+하/XSV+아야/EC
하느냐”라고	하/VX+느냐/EF+”/SS+라고/JKQ
대선	대선/NNG
공약으로	공약/NNG+으로/JKB
전선을	전선/NNG+을/JKO
넓혀	넓히/VV+어/EC
논란이	논란/NNG+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


