# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.155
metadata : {}


# id : NWRW1800000028.155.1.1
누가 ‘아이폰 노동자’ 자살 내모나

누가	누구/NP+가/JKS
잇따른	잇따르/VV+ㄴ/ETM
자살에	자살/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비난	비난/NNG
여론이	여론/NNG+이/JKS
고조되고	고조/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.155.4.2
<중국중앙텔레비전>(CCTV)이 11일 관련 특집 프로그램을 내보냈고, 인터넷에서도 토론이 뜨겁다.

<중국중앙텔레비전>(CCTV)이	</SS+중국중앙텔레비전/NNP+>/SS+(/SS+CCTV/SL+)/SS+이/JKS
11일	11/SN+일/NNB
관련	관련/NNG
특집	특집/NNG
프로그램을	프로그램/NNG+을/JKO
내보냈고,	내보내/VV+었/EP+고/EC+,/SP
인터넷에서도	인터넷/NNG+에서/JKB+도/JX
토론이	토론/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000028.155.4.3
폭스콘은 주문자상표부착생산(OEM)으로 급성장한 세계 최대 규모의 전자업체다.

폭스콘은	폭스콘/NNP+은/JX
주문자상표부착생산(OEM)으로	주문자/NNG+상표/NNG+부착/NNG+생산/NNG+(/SS+OEM/SL+)/SS+으로/JKB
급성장한	급성장/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
전자업체다.	전자업체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.155.4.4
애플의 아이폰, 아이팟, 아이패드를 비롯해, 인텔의 머더보드 등 전세계 유명 전자제품의 완제품 또는 부품을 생산한다.

애플의	애플/NNP+의/JKG
아이폰,	아이폰/NNP+,/SP
아이팟,	아이팟/NNP+,/SP
아이패드를	아이패드/NNP+를/JKO
비롯해,	비롯하/VV+아/EC+,/SP
인텔의	인텔/NNP+의/JKG
머더보드	머더보드/NNG
등	등/NNB
전세계	전/MMN+세계/NNG
유명	유명/NNG
전자제품의	전자/NNG+제품/NNG+의/JKG
완제품	완제품/NNG
또는	또는/MAG
부품을	부품/NNG+을/JKO
생산한다.	생산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.155.5.1
선전 공장에선 중국 전역에서 몰려든 젊은 노동자 30만명 이상이 일하고 있다.

선전	선전/NNP
공장에선	공장/NNG+에서/JKB+ㄴ/JX
중국	중국/NNP
전역에서	전역/NNG+에서/JKB
몰려든	몰려들/VV+ㄴ/ETM
젊은	젊/VA+은/ETM
노동자	노동자/NNG
30만명	30/SN+만/NR+명/NNB
이상이	이상/NNG+이/JKS
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.155.5.2
이곳에선 이미 2007년부터 지난해까지 1명의 의문사를 포함해 7명의 노동자가 죽었지만, 폭스콘은 개인적 이유일 뿐 회사와는 무관하다는 식이다.

이곳에선	이곳/NP+에서/JKB+ㄴ/JX
이미	이미/MAG
2007년부터	2007/SN+년/NNB+부터/JX
지난해까지	지난해/NNG+까지/JX
1명의	1/SN+명/NNB+의/JKG
의문사를	의문사/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
7명의	7/SN+명/NNB+의/JKG
노동자가	노동자/NNG+가/JKS
죽었지만,	죽/VV+었/EP+지만/EC+,/SP
폭스콘은	폭스콘/NNP+은/JX
개인적	개인/NNG+적/XSN
이유일	이유/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
회사와는	회사/NNG+와/JKB+는/JX
무관하다는	무관하/VA+다는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.155.6.1
<신화통신>은 13일 논평에서 “폭스콘이 기본급을 낮게 책정해 초과근무를 하지 않을 수 없게 했고 이윤을 늘리려고 가혹한 체벌 등 효율 최우선 문화로 노동자들을 관리해 왔다”고 비판했다.

<신화통신>은	</SS+신화통신/NNP+>/SS+은/JX
13일	13/SN+일/NNB
논평에서	논평/NNG+에서/JKB
“폭스콘이	“/SS+폭스콘/NNP+이/JKS
기본급을	기본급/NNG+을/JKO
낮게	낮/VA+게/EC
책정해	책정/NNG+하/XSV+아/EC
초과근무를	초과/NNG+근무/NNG+를/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없게	없/VA+게/EC
했고	하/VX+았/EP+고/EC
이윤을	이윤/NNG+을/JKO
늘리려고	늘리/VV+려고/EC
가혹한	가혹/NNG+하/XSA+ㄴ/ETM
체벌	체벌/NNG
등	등/NNB
효율	효율/NNG
최우선	최/XPN+우선/NNG
문화로	문화/NNG+로/JKB
노동자들을	노동자/NNG+들/XSN+을/JKO
관리해	관리/NNG+하/XSV+아/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.155.7.1
반면에 유명 주간지 <남방주말>은 13일, 이 공장이 엄격한 노무관리 문제가 있기는 하지만 다른 중국 공장들에 비해 특별히 더 ‘고혈을 짜내는 공장’은 아니라고 했다.

반면에	반면/NNG+에/JKB
유명	유명/NNG
주간지	주간지/NNG
<남방주말>은	</SS+남방주말/NNP+>/SS+은/JX
13일,	13/SN+일/NNB+,/SP
이	이/MMD
공장이	공장/NNG+이/JKS
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
노무관리	노무/NNG+관리/NNG
문제가	문제/NNG+가/JKS
있기는	있/VA+기/ETN+는/JX
하지만	하/VX+지만/EC
다른	다른/MMD
중국	중국/NNP
공장들에	공장/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
특별히	특별히/MAG
더	더/MAG
‘고혈을	‘/SS+고혈/NNG+을/JKO
짜내는	짜내/VV+는/ETM
공장’은	공장/NNG+’/SS+은/JX
아니라고	아니/VCN+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.155.7.2
오히려 연쇄 자살에는 신세대 노동자들을 저임금으로 기계처럼 다루는 중국 사회 전체의 문제가 투영돼 있다는 것이다.

오히려	오히려/MAG
연쇄	연쇄/NNG
자살에는	자살/NNG+에/JKB+는/JX
신세대	신/XPN+세대/NNG
노동자들을	노동자/NNG+들/XSN+을/JKO
저임금으로	저/XPN+임금/NNG+으로/JKB
기계처럼	기계/NNG+처럼/JKB
다루는	다루/VV+는/ETM
중국	중국/NNP
사회	사회/NNG
전체의	전체/NNG+의/JKG
문제가	문제/NNG+가/JKS
투영돼	투영/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


