# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.331
metadata : {}


# id : NWRW1800000024.331.1.1
100년전 일본인 기행문 “울릉도는 조선해”

100년전	100/SN+년/NNB+전/NNG
‘조선해’라고	‘/SS+조선해/NNP+’/SS+라고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.331.5.1
허 교수는 “당시 일본인 작가조차도 동해를 ‘조선해’로 인식했고 ‘일본해’로 인식하지 않았다는 사실을 보여주는 증거자료”라며 “일본의 독도 영유권 주장과 동해의 일본해 표기에 대응할 수 있는 자료가 될 것”이라고 말했다.

허	허/NNP
교수는	교수/NNG+는/JX
“당시	“/SS+당시/NNG
일본인	일본인/NNG
작가조차도	작가/NNG+조차/JX+도/JX
동해를	동해/NNP+를/JKO
‘조선해’로	‘/SS+조선해/NNP+’/SS+로/JKB
인식했고	인식/NNG+하/XSV+았/EP+고/EC
‘일본해’로	‘/SS+일본해/NNP+’/SS+로/JKB
인식하지	인식/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
증거자료”라며	증거/NNG+자료/NNG+”/SS+이/VCP+라며/EC
“일본의	“/SS+일본/NNP+의/JKG
독도	독도/NNP
영유권	영유/NNG+권/XSN
주장과	주장/NNG+과/JC
동해의	동해/NNP+의/JKG
일본해	일본해/NNP
표기에	표기/NNG+에/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자료가	자료/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.331.6.1
200여쪽 분량의 이 책은 이 작가가 1906년 4월16일부터 5월3일까지 18일 동안 울산 장생포에 머물며 두 차례 일본의 고래잡이배를 타고 바다로 나가서 경험한 일, 잡은 고래의 해체 과정, 장생포 마을의 풍경 등을 기록했다.

200여쪽	200/SN+여/XSN+쪽/NNG
분량의	분량/NNG+의/JKG
이	이/MMD
책은	책/NNG+은/JX
작가가	작가/NNG+가/JKS
1906년	1906/SN+년/NNB
4월16일부터	4/SN+월/NNB+16/SN+일/NNB+부터/JX
5월3일까지	5/SN+월/NNB+3/SN+일/NNB+까지/JX
18일	18/SN+일/NNB
동안	동안/NNG
울산	울산/NNP
장생포에	장생포/NNP+에/JKB
머물며	머물/VV+며/EC
두	두/MMN
차례	차례/NNG
일본의	일본/NNP+의/JKG
고래잡이배를	고래잡이배/NNG+를/JKO
타고	타/VV+고/EC
바다로	바다/NNG+로/JKB
나가서	나가/VV+아서/EC
경험한	경험/NNG+하/XSV+ㄴ/ETM
일,	일/NNG+,/SP
잡은	잡/VV+은/ETM
고래의	고래/NNG+의/JKG
해체	해체/NNG
과정,	과정/NNG+,/SP
장생포	장생포/NNP
마을의	마을/NNG+의/JKG
풍경	풍경/NNG
등을	등/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.331.6.2
또 울릉도 남서쪽에서 수염고래 떼를 발견해 한 마리를 잡았고, 울산 앞바다에 혹등고래, 수염고래, 흰수염고래 등 7종류의 대형 고래류가 떼를 지어 다녔다는 내용도 적었다.

또	또/MAG
울릉도	울릉도/NNP
남서쪽에서	남서쪽/NNG+에서/JKB
수염고래	수염고래/NNG
떼를	떼/NNG+를/JKO
발견해	발견/NNG+하/XSV+아/EC
한	한/MMN
마리를	마리/NNB+를/JKO
잡았고,	잡/VV+았/EP+고/EC+,/SP
울산	울산/NNP
앞바다에	앞바다/NNG+에/JKB
혹등고래,	혹등고래/NNG+,/SP
수염고래,	수염고래/NNG+,/SP
흰수염고래	흰수염고래/NNG
등	등/NNB
7종류의	7/SN+종류/NNG+의/JKG
대형	대형/NNG
고래류가	고래/NNG+류/XSN+가/JKS
지어	짓/VV+어/EC
다녔다는	다니/VV+었/EP+다는/ETM
내용도	내용/NNG+도/JX
적었다.	적/VA+었/EP+다/EF+./SF


