# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.241
metadata : {}


# id : NWRW1800000033.241.1.1
거인 제물로… 삼성 ‘매직넘버4’ 롯데 꺾고 시즌우승 눈앞

거인	거인/NNG
롯데가	롯데/NNP+가/JKS
제물이	제물/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.4.3
삼성은 27일 올 시즌 마지막 사직 경기에서 롯데를 6-2로 누르고 매직넘버를 ‘4’로 만들었다.

삼성은	삼성/NNP+은/JX
27일	27/SN+일/NNB
올	올/NNG
시즌	시즌/NNG
마지막	마지막/NNG
사직	사직/NNP
경기에서	경기/NNG+에서/JKB
롯데를	롯데/NNP+를/JKO
6-2로	6/SN+-/SO+2/SN+로/JKB
누르고	누르/VV+고/EC
매직넘버를	매직넘버/NNG+를/JKO
‘4’로	‘/SS+4/SN+’/SS+로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.4.4
삼성은 1회 이승엽의 적시타, 2회 김상수의 희생 플라이로 각각 점수를 뽑으며 기선을 제압했다.

삼성은	삼성/NNP+은/JX
1회	1/SN+회/NNB
이승엽의	이승엽/NNP+의/JKG
적시타,	적시타/NNG+,/SP
2회	2/SN+회/NNB
김상수의	김상수/NNP+의/JKG
희생	희생/NNG
플라이로	플라이/NNG+로/JKB
각각	각각/MAG
점수를	점수/NNG+를/JKO
뽑으며	뽑/VV+으며/EC
기선을	기선/NNG+을/JKO
제압했다.	제압/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.241.4.5
롯데는 4, 5회 1점씩 얻으며 추격을 시도했지만 6회 포수 용덕한의 실책 등으로 3점을 내주며 주저앉았다.

롯데는	롯데/NNP+는/JX
4,	4/SN+,/SP
5회	5/SN+회/NNB
1점씩	1/SN+점/NNB+씩/XSN
얻으며	얻/VV+으며/EC
추격을	추격/NNG+을/JKO
시도했지만	시도/NNG+하/XSV+았/EP+지만/EC
6회	6/SN+회/NNB
포수	포수/NNG
용덕한의	용덕한/NNP+의/JKG
실책	실책/NNG
등으로	등/NNB+으로/JKB
3점을	3/SN+점/NNB+을/JKO
내주며	내주/VV+며/EC
주저앉았다.	주저앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.241.4.6
롯데 선발 사도스키는 4회 상대 선두 타자 이지영의 타구를 맨손으로 잡으려다 오른손을 다쳐 조기 강판됐다.

롯데	롯데/NNP
선발	선발/NNG
사도스키는	사도스키/NNP+는/JX
4회	4/SN+회/NNB
상대	상대/NNG
선두	선두/NNG
타자	타자/NNG
이지영의	이지영/NNP+의/JKG
타구를	타구/NNG+를/JKO
맨손으로	맨/XPN+손/NNG+으로/JKB
잡으려다	잡/VV+으려다/EC
오른손을	오른손/NNG+을/JKO
다쳐	다치/VV+어/EC
조기	조기/NNG
강판됐다.	강판/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.4.7
롯데는 사도스키가 외상은 없지만 혈관이 터져 정밀 검진이 필요하다고 밝혔다.

롯데는	롯데/NNP+는/JX
사도스키가	사도스키/NNP+가/JKS
외상은	외상/NNG+은/JX
없지만	없/VA+지만/EC
혈관이	혈관/NNG+이/JKS
터져	터지/VV+어/EC
정밀	정밀/NNG
검진이	검진/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.5.1
SK는 문학에서 한화를 4-1로 누르고 2위 자력 확정 매직넘버를 ‘4’로 줄였다.

SK는	SK/SL+는/JX
문학에서	문학/NNP+에서/JKB
한화를	한화/NNP+를/JKO
4-1로	4/SN+-/SO+1/SN+로/JKB
누르고	누르/VV+고/EC
2위	2/SN+위/NNB
자력	자력/NNG
확정	확정/NNG
매직넘버를	매직넘버/NNG+를/JKO
‘4’로	‘/SS+4/SN+’/SS+로/JKB
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.5.2
SK 박희수는 4-1로 앞선 8회 팀의 3번째 투수로 마운드에 올라 볼넷 하나를 내줬지만 무실점으로 한 이닝을 처리하고 역대 한 시즌 최다인 33홀드를 기록했다.

SK	SK/SL
박희수는	박희수/NNP+는/JX
4-1로	4/SN+-/SO+1/SN+로/JKB
앞선	앞서/VV+ㄴ/ETM
8회	8/SN+회/NNB
팀의	팀/NNG+의/JKG
3번째	3/SN+번/NNB+째/XSN
투수로	투수/NNG+로/JKB
마운드에	마운드/NNG+에/JKB
올라	오르/VV+아/EC
볼넷	볼넷/NNG
하나를	하나/NR+를/JKO
내줬지만	내주/VV+었/EP+지만/EC
무실점으로	무/XPN+실점/NNG+으로/JKB
한	한/MMN
이닝을	이닝/NNG+을/JKO
처리하고	처리/NNG+하/XSV+고/EC
역대	역대/NNG
시즌	시즌/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
33홀드를	33/SN+홀드/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.241.5.3
이전 기록은 2006년 삼성 권오준의 32홀드.

이전	이전/NNG
기록은	기록/NNG+은/JX
2006년	2006/SN+년/NNB
삼성	삼성/NNP
권오준의	권오준/NNP+의/JKG
32홀드.	32/SN+홀드/NNG+./SF


# id : NWRW1800000033.241.5.4
2006년 SK에 입단한 박희수는 2008∼2009년 상무를 거쳤고 2010년까지 승리 패배 세이브 홀드 어느 것도 기록하지 못했지만 지난해 39경기에서 4승 2패 1세이브 8홀드를 거두며 ‘벌떼 마운드’ SK의 핵심 불펜으로 자리 잡았다.

2006년	2006/SN+년/NNB
SK에	SK/SL+에/JKB
입단한	입단/NNG+하/XSV+ㄴ/ETM
박희수는	박희수/NNP+는/JX
2008∼2009년	2008/SN+∼/SO+2009/SN+년/NNB
상무를	상무/NNP+를/JKO
거쳤고	거치/VV+었/EP+고/EC
2010년까지	2010/SN+년/NNB+까지/JX
승리	승리/NNG
패배	패배/NNG
세이브	세이브/NNG
홀드	홀드/NNG
어느	어느/MMD
것도	것/NNB+도/JX
기록하지	기록/NNG+하/XSV+지/EC
못했지만	못하/VX+았/EP+지만/EC
지난해	지난해/NNG
39경기에서	39/SN+경기/NNG+에서/JKB
4승	4/SN+승/NNB
2패	2/SN+패/NNB
1세이브	1/SN+세이브/NNG
8홀드를	8/SN+홀드/NNG+를/JKO
거두며	거두/VV+며/EC
‘벌떼	‘/SS+벌/NNG+떼/NNG
마운드’	마운드/NNG+’/SS
SK의	SK/SL+의/JKG
핵심	핵심/NNG
불펜으로	불펜/NNG+으로/JKB
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.241.5.5
그는 8일 넥센전부터 이어온 연속 홀드 최다 기록도 ‘10’으로 늘렸다.

그는	그/NP+는/JX
8일	8/SN+일/NNB
넥센전부터	넥센전/NNG+부터/JX
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
연속	연속/NNG
홀드	홀드/NNG
최다	최다/NNG
기록도	기록/NNG+도/JX
‘10’으로	‘/SS+10/SN+’/SS+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.5.6
미국 메이저리그의 한 시즌 최다 홀드는 40개, 일본은 47개다.

미국	미국/NNP
메이저리그의	메이저리그/NNG+의/JKG
한	한/MMN
시즌	시즌/NNG
최다	최다/NNG
홀드는	홀드/NNG+는/JX
40개,	40/SN+개/NNB+,/SP
일본은	일본/NNP+은/JX
47개다.	47/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.241.6.1
LG는 잠실에서 넥센을 3-0으로 완파했다.

LG는	LG/SL+는/JX
잠실에서	잠실/NNP+에서/JKB
넥센을	넥센/NNP+을/JKO
3-0으로	3/SN+-/SO+0/SN+으로/JKB
완파했다.	완파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.241.6.2
LG 선발 임찬규는 5와 3분의 2이닝을 4안타 무실점으로 막고 지난해 데뷔 이후 첫 선발승을 신고했다.

LG	LG/SL
선발	선발/NNG
임찬규는	임찬규/NNP+는/JX
5와	5/SN+와/JC
3분의	3/SN+분/XSN+의/JKG
2이닝을	2/SN+이닝/NNG+을/JKO
4안타	4/SN+안타/NNG
무실점으로	무/XPN+실점/NNG+으로/JKB
막고	막/VV+고/EC
지난해	지난해/NNG
데뷔	데뷔/NNG
이후	이후/NNG
첫	첫/MMN
선발승을	선발/NNG+승/NNG+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.241.6.3
1년 넘게 이어 오던 7연패도 끊었다.

1년	1/SN+년/NNB
넘게	넘/VV+게/EC
이어	잇/VV+어/EC
오던	오/VX+던/ETM
7연패도	7/SN+연패/NNG+도/JX
끊었다.	끊/VV+었/EP+다/EF+./SF


