# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.4
metadata : {}


# id : NWRW1800000038.4.1.1
財界 "수정案도 기업 지배구조 흔들어… 전면 백지화가 최선"

財界	財界/SH
보완하는	보완/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
방법"이라고	방법/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.6.2
기업 지배구조를 뒤흔들 사안을 동시다발적으로 시행하는 것은 경영 효율성을 저해하고 경영권 방어 비용을 높일 수밖에 없다는 지적이다.

기업	기업/NNG
지배구조를	지배/NNG+구조/NNG+를/JKO
뒤흔들	뒤흔들/VV+ㄹ/ETM
사안을	사안/NNG+을/JKO
동시다발적으로	동시다발/NNG+적/XSN+으로/JKB
시행하는	시행/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
경영	경영/NNG
효율성을	효율/NNG+성/XSN+을/JKO
저해하고	저해/NNG+하/XSV+고/EC
경영권	경영/NNG+권/XSN
방어	방어/NNG
비용을	비용/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.4.6.3
그는 특히 "외부 세력이 감사위원으로 경영에 개입할 수 있도록 하면 기업 비밀 유지가 곤란하고 적대적 인수·합병(M&A) 노출 위험이 커질 것"이라고 말했다.

그는	그/NP+는/JX
특히	특히/MAG
"외부	"/SS+외부/NNG
세력이	세력/NNG+이/JKS
감사위원으로	감사/NNG+위원/NNG+으로/JKB
경영에	경영/NNG+에/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하면	하/VX+면/EC
기업	기업/NNG
비밀	비밀/NNG
유지가	유지/NNG+가/JKS
곤란하고	곤란/NNG+하/XSA+고/EC
적대적	적대/NNG+적/XSN
인수·합병(M&A)	인수/NNG+·/SP+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS
노출	노출/NNG
위험이	위험/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.7.1
대주주 지분율이 상대적으로 높은 중소기업계도 수정안에 대해 우려를 표명했다.

대주주	대/XPN+주주/NNG
지분율이	지분/NNG+율/XSN+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
높은	높/VA+은/ETM
중소기업계도	중소기업/NNG+계/XSN+도/JX
수정안에	수정안/NNG+에/JKB
대해	대하/VV+아/EC
우려를	우려/NNG+를/JKO
표명했다.	표명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.7.2
중소기업은 대주주 지분율이 30~40%에 달하는 경우가 많은데, 최근 기술력 있는 중소기업에 대한 중국 자본의 적대적 M&A 위협이 커지고 있기 때문이다.

중소기업은	중소기업/NNG+은/JX
대주주	대/XPN+주주/NNG
지분율이	지분/NNG+율/XSN+이/JKS
30~40%에	30/SN+~/SO+40/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
경우가	경우/NNG+가/JKS
많은데,	많/VA+은데/EC+,/SP
최근	최근/MAG
기술력	기술력/NNG
있는	있/VA+는/ETM
중소기업에	중소기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국	중국/NNP
자본의	자본/NNG+의/JKG
적대적	적대/NNG+적/XSN
M&A	M/SL+&/SW+A/SL
위협이	위협/NNG+이/JKS
커지고	커지/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.4.8.1
김기문 중소기업중앙회 회장은 "상법 개정은 경제 민주화와 전혀 관련이 없는 사안"이라면서 "일부 대기업 총수의 전횡을 잡으려다 중소기업을 잡는 결과를 초래할 가능성이 크다"고 말했다.

김기문	김기문/NNP
중소기업중앙회	중소기업/NNG+중앙회/NNG
회장은	회장/NNG+은/JX
"상법	"/SS+상법/NNG
개정은	개정/NNG+은/JX
경제	경제/NNG
민주화와	민주/NNG+화/XSN+와/JKB
전혀	전혀/MAG
관련이	관련/NNG+이/JKS
없는	없/VA+는/ETM
사안"이라면서	사안/NNG+"/SS+이/VCP+라면서/EC
"일부	"/SS+일부/NNG
대기업	대/XPN+기업/NNG
총수의	총수/NNG+의/JKG
전횡을	전횡/NNG+을/JKO
잡으려다	잡/VV+으려다/EC
중소기업을	중소기업/NNG+을/JKO
잡는	잡/VV+는/ETM
결과를	결과/NNG+를/JKO
초래할	초래/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.8.2
대기업은 대주주 지분율이 높지 않고 전문 인력이 풍부하지만, 중소기업은 전문 인력 부족으로 경영권 방어에 신경 쓸 여력이 없다는 것이다.

대기업은	대/XPN+기업/NNG+은/JX
대주주	대/XPN+주주/NNG
지분율이	지분/NNG+율/XSN+이/JKS
높지	높/VA+지/EC
않고	않/VX+고/EC
전문	전문/NNG
인력이	인력/NNG+이/JKS
풍부하지만,	풍부하/VA+지만/EC+,/SP
중소기업은	중소기업/NNG+은/JX
인력	인력/NNG
부족으로	부족/NNG+으로/JKB
경영권	경영/NNG+권/XSN
방어에	방어/NNG+에/JKB
신경	신경/NNG
쓸	쓰/VV+ㄹ/ETM
여력이	여력/NNG+이/JKS
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.4.8.3
김 회장은 상법 개정이 중소기업 성장 의지를 꺾는 것은 물론 오히려 경영 투명성을 저해하는 결과를 가져 올 것으로 우려했다.

김	김/NNP
회장은	회장/NNG+은/JX
상법	상법/NNG
개정이	개정/NNG+이/JKS
중소기업	중소기업/NNG
성장	성장/NNG
의지를	의지/NNG+를/JKO
꺾는	꺾/VV+는/ETM
것은	것/NNB+은/JX
물론	물론/MAG
오히려	오히려/MAG
경영	경영/NNG
투명성을	투명/NNG+성/XSN+을/JKO
저해하는	저해/NNG+하/XSV+는/ETM
결과를	결과/NNG+를/JKO
가져	가지/VV+어/EC
올	오/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.8.4
그는 "중소기업이 중견기업으로 성장하려면 자본 확충을 위해 기업을 상장할 수밖에 없다"면서 "상장 이후 외부 세력에 노출돼 경영권을 뺏길 가능성이 있다면 더 이상 성장을 하지 않으려 할 것"이라고 말했다.

그는	그/NP+는/JX
"중소기업이	"/SS+중소기업/NNG+이/JKS
중견기업으로	중견/NNG+기업/NNG+으로/JKB
성장하려면	성장/NNG+하/XSV+려면/EC
자본	자본/NNG
확충을	확충/NNG+을/JKO
위해	위하/VV+아/EC
기업을	기업/NNG+을/JKO
상장할	상장/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다"면서	없/VA+다/EF+"/SS+면서/EC
"상장	"/SS+상장/NNG
이후	이후/NNG
외부	외부/NNG
세력에	세력/NNG+에/JKB
노출돼	노출/NNG+되/XSV+어/EC
경영권을	경영/NNG+권/XSN+을/JKO
뺏길	뺏기/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다면	있/VA+다면/EC
더	더/MAG
이상	이상/NNG
성장을	성장/NNG+을/JKO
하지	하/VV+지/EC
않으려	않/VX+으려/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.9.1
SK·LG·GS·두산 등 지주회사 체제로 전환한 그룹도 수정안에 대해 문제를 제기했다.

SK·LG·GS·두산	SK/SL+·/SP+LG/SL+·/SP+GS/SL+·/SP+두산/NNP
등	등/NNB
지주회사	지주/NNG+회사/NNG
체제로	체제/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
그룹도	그룹/NNG+도/JX
수정안에	수정안/NNG+에/JKB
대해	대하/VV+아/EC
문제를	문제/NNG+를/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.9.2
경영 투명성을 높이고 지배구조를 단순화하라는 정부 권고에 따라 지주회사로 전환했다가 상법 개정으로 폭탄을 맞을 처지에 놓였기 때문이다.

경영	경영/NNG
투명성을	투명/NNG+성/XSN+을/JKO
높이고	높이/VV+고/EC
지배구조를	지배/NNG+구조/NNG+를/JKO
단순화하라는	단순/NNG+화/XSN+하/XSV+라는/ETM
정부	정부/NNG
권고에	권고/NNG+에/JKB
따라	따르/VV+아/EC
지주회사로	지주/NNG+회사/NNG+로/JKB
전환했다가	전환/NNG+하/XSV+았/EP+다가/EC
상법	상법/NNG
개정으로	개정/NNG+으로/JKB
폭탄을	폭탄/NNG+을/JKO
맞을	맞/VV+을/ETM
처지에	처지/NNG+에/JKB
놓였기	놓이/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.4.10.1
지주회사 체제 그룹들은 특히 대주주 의결권 제한과 다중대표소송제도에 민감한 반응을 보이고 있다.

지주회사	지주/NNG+회사/NNG
체제	체제/NNG
그룹들은	그룹/NNG+들/XSN+은/JX
특히	특히/MAG
대주주	대/XPN+주주/NNG
의결권	의결/NNG+권/XSN
제한과	제한/NNG+과/JC
다중대표소송제도에	다중/NNG+대표/NNG+소송/NNG+제도/NNG+에/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.4.10.2
지주회사는 모(母)회사가 상장 자(子)회사 지분을 최소 20% 보유해야 하기 때문에 대주주 의결권 제한의 직격탄을 맞을 수밖에 없다.

지주회사는	지주/NNG+회사/NNG+는/JX
모(母)회사가	모/NNG+(/SS+母/SH+)/SS+회사/NNG+가/JKS
상장	상장/NNG
자(子)회사	자/NNG+(/SS+子/SH+)/SS+회사/NNG
지분을	지분/NNG+을/JKO
최소	최소/NNG
20%	20/SN+%/SW
보유해야	보유/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
대주주	대/XPN+주주/NNG
의결권	의결/NNG+권/XSN
제한의	제한/NNG+의/JKG
직격탄을	직격탄/NNG+을/JKO
맞을	맞/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.4.10.3
감사위원 선임을 둘러싸고 표 대결이 벌어지면, 최소 17% 지분율에 대한 의결권을 포기해야 하기 때문이다.

감사위원	감사/NNG+위원/NNG
선임을	선임/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
표	표/NNG
대결이	대결/NNG+이/JKS
벌어지면,	벌어지/VV+면/EC+,/SP
최소	최소/NNG
17%	17/SN+%/SW
지분율에	지분/NNG+율/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
의결권을	의결/NNG+권/XSN+을/JKO
포기해야	포기/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.4.11.1
또 다중대표소송제가 50% 이상의 지분을 보유한 비(非)상장사에 대해서만 적용하는 쪽으로 수정되면, 오히려 지주회사만 집중 타깃이 될 가능성이 크다.

또	또/MAG
다중대표소송제가	다중/NNG+대표/NNG+소송/NNG+제/XSN+가/JKS
50%	50/SN+%/SW
이상의	이상/NNG+의/JKG
지분을	지분/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
비(非)상장사에	비/XPN+(/SS+非/SH+)/SS+상장사/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
적용하는	적용/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
수정되면,	수정/NNG+되/XSV+면/EC+,/SP
오히려	오히려/MAG
지주회사만	지주/NNG+회사/NNG+만/JX
집중	집중/NNG
타깃이	타깃/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000038.4.11.2
현행 법은 모회사가 비상장 자회사 지분을 최소 40% 보유하도록 규정하고 있어 대부분의 비상장 자회사가 다중대표소송제 대상이 된다.

현행	현행/NNG
법은	법/NNG+은/JX
모회사가	모회사/NNG+가/JKS
비상장	비/XPN+상장/NNG
자회사	자회사/NNG
지분을	지분/NNG+을/JKO
최소	최소/NNG
40%	40/SN+%/SW
보유하도록	보유/NNG+하/XSV+도록/EC
규정하고	규정/NNG+하/XSV+고/EC
있어	있/VX+어/EC
대부분의	대/XPN+부분/NNG+의/JKG
자회사가	자회사/NNG+가/JKS
다중대표소송제	다중/NNG+대표/NNG+소송/NNG+제/XSN
대상이	대상/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


