# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.317
metadata : {}


# id : NWRW1800000041.317.1.1
與 서울시장 경선 첫 TV토론 연기

與	與/SH
한편 충북에서는 서규용 전 농림수산식품부 장관이 4일 예비후보를 사퇴하면서 윤진식 의원이 새누리당 단독 후보로 결정됐다.

한편	한편/MAG
충북에서는	충북/NNP+에서/JKB+는/JX
서규용	서규용/NNP
전	전/MMD
농림수산식품부	농림/NNG+수산/NNG+식품부/NNG
장관이	장관/NNG+이/JKS
4일	4/SN+일/NNB
예비후보를	예비/NNG+후보/NNG+를/JKO
사퇴하면서	사퇴/NNG+하/XSV+면서/EC
윤진식	윤진식/NNP
의원이	의원/NNG+이/JKS
새누리당	새누리당/NNP
단독	단독/NNG
후보로	후보/NNG+로/JKB
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


