# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.161
metadata : {}


# id : NWRW1800000025.161.1.1
[이 경기 이 선수]호날두 vs 카카

[이	[/SS+이/MMD
밀집된	밀집/NNG+되/XSV+ㄴ/ETM
상대	상대/NNG
수비들	수비/NNG+들/XSN
틈	틈/NNG
사이를	사이/NNG+를/JKO
빠르면서	빠르/VA+면서/EC
자유롭게	자유/NNG+롭/XSA+게/EC
방향을	방향/NNG+을/JKO
바꿔	바꾸/VV+어/EC
빠져나가는	빠져나가/VV+는/ETM
신기의	신기/NNG+의/JKG
드리블이	드리블/NNG+이/JKS
트레이드마크.	트레이드마크/NNG+./SF


# id : NWRW1800000025.161.4.2
상대 수비수들의 예측을 뛰어넘는 창조적인 패스와 정확한 중거리 슛 능력도 발군이다.

상대	상대/NNG
수비수들의	수비수/NNG+들/XSN+의/JKG
예측을	예측/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
창조적인	창조/NNG+적/XSN+이/VCP+ㄴ/ETM
패스와	패스/NNG+와/JC
정확한	정확/NNG+하/XSA+ㄴ/ETM
중거리	중거리/NNG
슛	슛/NNG
능력도	능력/NNG+도/JX
발군이다.	발군/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.161.5.1
카카는 메시와 호날두에 앞서 축구계를 평정했다.

카카는	카카/NNP+는/JX
메시와	메시/NNP+와/JC
호날두에	호날두/NNP+에/JKB
앞서	앞서/VV+어/EC
축구계를	축구/NNG+계/XSN+를/JKO
평정했다.	평정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.161.5.2
이탈리아 AC 밀란에서 뛰던 2007년 유럽 챔피언스리그 우승과 득점왕을 차지했고 그해 유럽 최우수선수상과 FIFA 올해의 선수상을 석권했다.

이탈리아	이탈리아/NNP
AC	AC/SL
밀란에서	밀란/NNP+에서/JKB
뛰던	뛰/VV+던/ETM
2007년	2007/SN+년/NNB
유럽	유럽/NNP
챔피언스리그	챔피언스리그/NNG
우승과	우승/NNG+과/JC
득점왕을	득점왕/NNG+을/JKO
차지했고	차지/NNG+하/XSV+았/EP+고/EC
그해	그해/NNG
최우수선수상과	최/XPN+우수/NNG+선수/NNG+상/NNG+과/JC
FIFA	FIFA/SL
올해의	올해/NNG+의/JKG
선수상을	선수상/NNG+을/JKO
석권했다.	석권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.161.6.1
2008년엔 호날두가 바통을 받았다.

2008년엔	2008/SN+년/NNB+에/JKB+ㄴ/JX
호날두가	호날두/NNP+가/JKS
바통을	바통/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.161.6.2
호날두 또한 스피드와 발재간을 이용한 화려한 드리블에서 카카에게 뒤지지 않는다.

호날두	호날두/NNP
또한	또한/MAG
스피드와	스피드/NNG+와/JC
발재간을	발재간/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
화려한	화려하/VA+ㄴ/ETM
드리블에서	드리블/NNG+에서/JKB
카카에게	카카/NNP+에게/JKB
뒤지지	뒤지/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000025.161.6.3
양발을 모두 사용하고 머리까지 잘 쓰는 그는 어떤 위치에서도 슈팅이 가능한 ‘득점 기계’.

양발을	양발/NNG+을/JKO
모두	모두/MAG
사용하고	사용/NNG+하/XSV+고/EC
머리까지	머리/NNG+까지/JX
잘	잘/MAG
쓰는	쓰/VV+는/ETM
그는	그/NP+는/JX
어떤	어떤/MMD
위치에서도	위치/NNG+에서/JKB+도/JX
슈팅이	슈팅/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
‘득점	‘/SS+득점/NNG
기계’.	기계/NNG+’/SS+./SF


# id : NWRW1800000025.161.6.4
무회전 킥은 상대 골키퍼들에겐 공포의 존재다.

무회전	무/XPN+회전/NNG
킥은	킥/NNG+은/JX
상대	상대/NNG
골키퍼들에겐	골키퍼/NNG+들/XSN+에게/JKB+ㄴ/JX
공포의	공포/NNG+의/JKG
존재다.	존재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.161.7.1
공교롭게 두 선수는 스페인 프로축구의 명문 레알 마드리드에서 한솥밥을 먹는 동료 사이다.

공교롭게	공교롭/VA+게/EC
두	두/MMN
선수는	선수/NNG+는/JX
스페인	스페인/NNP
프로축구의	프로/NNG+축구/NNG+의/JKG
명문	명문/NNG
레알	레알/NNP
마드리드에서	마드리드/NNP+에서/JKB
한솥밥을	한솥밥/NNG+을/JKO
먹는	먹/VV+는/ETM
동료	동료/NNG
사이다.	사이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.161.7.2
더구나 둘의 대조적인 이미지는 대결 구도를 더욱 흥미롭게 만든다.

더구나	더구나/MAG
둘의	둘/NR+의/JKG
대조적인	대조/NNG+적/XSN+이/VCP+ㄴ/ETM
이미지는	이미지/NNG+는/JX
대결	대결/NNG
구도를	구도/NNG+를/JKO
더욱	더욱/MAG
흥미롭게	흥미/NNG+롭/XSA+게/EC
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.161.7.3
가스펠을 흥얼거리고 가장 좋아하는 책으로 성경책을 꼽을 정도로 독실한 기독교 신자인 카카는 반듯하면서 귀티 나는 귀공자 이미지.

가스펠을	가스펠/NNG+을/JKO
흥얼거리고	흥얼거리/VV+고/EC
가장	가장/MAG
좋아하는	좋아하/VV+는/ETM
책으로	책/NNG+으로/JKB
성경책을	성경/NNG+책/NNG+을/JKO
꼽을	꼽/VV+을/ETM
정도로	정도/NNG+로/JKB
독실한	독실하/VA+ㄴ/ETM
기독교	기독교/NNG
신자인	신자/NNG+이/VCP+ㄴ/ETM
카카는	카카/NNP+는/JX
반듯하면서	반듯하/VA+면서/EC
귀티	귀티/NNG
나는	나/VV+는/ETM
귀공자	귀공자/NNG
이미지.	이미지/NNG+./SF


# id : NWRW1800000025.161.7.4
반면 호날두는 기름기 좔좔 흐르는 머리를 뒤로 넘긴 헤어스타일에 근육질의 맨몸도 자주 드러내고 미녀와의 스캔들도 끊이지 않는 ‘육식남’ 이미지다.

반면	반면/NNG
호날두는	호날두/NNP+는/JX
기름기	기름/NNG+기/XSN
좔좔	좔좔/MAG
흐르는	흐르/VV+는/ETM
머리를	머리/NNG+를/JKO
뒤로	뒤/NNG+로/JKB
넘긴	넘기/VV+ㄴ/ETM
헤어스타일에	헤어스타일/NNG+에/JKB
근육질의	근육질/NNG+의/JKG
맨몸도	맨/XPN+몸/NNG+도/JX
자주	자주/MAG
드러내고	드러내/VV+고/EC
미녀와의	미녀/NNG+와/JKB+의/JKG
스캔들도	스캔들/NNG+도/JX
끊이지	끊이/VV+지/EC
않는	않/VX+는/ETM
‘육식남’	‘/SS+육식남/NNG+’/SS
이미지다.	이미지/NNG+이/VCP+다/EF+./SF


