# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.13
metadata : {}


# id : NWRW1800000054.13.1.1
"트럼프의 정신상태, 공화의원들도 우려"

"트럼프의	"/SS+트럼프/NNP+의/JKG
정신	정신/NNG
건강에	건강/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려를	우려/NNG+를/JKO
표하고	표/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.13.5.1
프랭컨은 "우리는 모두 (대통령의 정신 건강에 대해) 의구심을 갖고 있다. 알다시피 그는 거짓말을 많이 한다. 사실이 아닌 이야기도 많이 하는데, 이 또한 거짓말이나 마찬가지"라며 "이는 미국 대통령의 표준이 아닐 뿐만 아니라 한 인간으로 봤을 때도 그렇다"고 했다.

프랭컨은	프랭컨/NNP+은/JX
"우리는	"/SS+우리/NP+는/JX
모두	모두/MAG
(대통령의	(/SS+대통령/NNG+의/JKG
정신	정신/NNG
건강에	건강/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
의구심을	의구심/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF
알다시피	알/VV+다시피/EC
그는	그/NP+는/JX
거짓말을	거짓말/NNG+을/JKO
많이	많이/MAG
한다.	하/VV+ㄴ다/EF+./SF
사실이	사실/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
이야기도	이야기/NNG+도/JX
하는데,	하/VV+는데/EC+,/SP
이	이/MMD
또한	또한/MAG
거짓말이나	거짓말/NNG+이나/JX
마찬가지"라며	마찬가지/NNG+"/SS+이/VCP+라며/EC
"이는	"/SS+이/NP+는/JX
미국	미국/NNP
대통령의	대통령/NNG+의/JKG
표준이	표준/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
한	한/MMN
인간으로	인간/NNG+으로/JKB
봤을	보/VV+았/EP+을/ETM
때도	때/NNG+도/JX
그렇다"고	그렇/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.13.6.1
민주당 대선 경선 후보였던 버니 샌더스 상원 의원도 이날 NBC에서 "(트럼프는) 병적인 거짓말쟁이(pathological liar)"라고 했다.

민주당	민주당/NNP
대선	대선/NNG
경선	경선/NNG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
버니	버니/NNP
샌더스	샌더스/NNP
상원	상원/NNG
의원도	의원/NNG+도/JX
이날	이날/NNG
NBC에서	NBC/SL+에서/JKB
"(트럼프는)	"/SS+(/SS+트럼프/NNP+는/JX+)/SS
병적인	병/NNG+적/XSN+이/VCP+ㄴ/ETM
거짓말쟁이(pathological	거짓말/NNG+쟁이/XSN+(/SS+pathological/SL
liar)"라고	liar/SL+)/SS+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.13.7.1
그는 "누군가 여러분에게 아무런 근거도 없이 300만~500만명이 불법 투표를 했다고 한다면 아무도 믿지 않을 것"이라며 "그건 거짓말이고 망상"이라고 말했다.

그는	그/NP+는/JX
"누군가	"/SS+누구/NP+이/VCP+ㄴ가/EF
여러분에게	여러분/NP+에게/JKB
아무런	아무런/MMD
근거도	근거/NNG+도/JX
없이	없이/MAG
300만~500만명이	300/SN+만/NR+~/SO+500/SN+만/NR+명/NNB+이/JKS
불법	불법/NNG
투표를	투표/NNG+를/JKO
했다고	하/VV+았/EP+다고/EC
한다면	하/VV+ㄴ다면/EC
아무도	아무/NP+도/JX
믿지	믿/VV+지/EC
않을	않/VX+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"그건	"/SS+그거/NP+ㄴ/JX
거짓말이고	거짓말/NNG+이/VCP+고/EC
망상"이라고	망상/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.13.7.2
트럼프는 지난 대선에서 300만~500만명이 불법 투표를 하는 바람에 총득표 수에서 클린턴 후보에게 졌다고 주장하고 있다.

트럼프는	트럼프/NNP+는/JX
지난	지나/VV+ㄴ/ETM
대선에서	대선/NNG+에서/JKB
300만~500만명이	300/SN+만/NR+~/SO+500/SN+만/NR+명/NNB+이/JKS
불법	불법/NNG
투표를	투표/NNG+를/JKO
하는	하/VV+는/ETM
바람에	바람/NNB+에/JKB
총득표	총득표/NNG
수에서	수/NNG+에서/JKB
클린턴	클린턴/NNP
후보에게	후보/NNG+에게/JKB
졌다고	지/VV+었/EP+다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.13.8.1
뉴욕 매거진 편집장(정치 평론가)인 앤드루 설리번은 이날 CNN 인터뷰에서 "언론인들이 트럼프의 정신 상태를 공론화해야 할 때"라고 말했다.

뉴욕	뉴욕/NNP
매거진	매거진/NNG
편집장(정치	편집장/NNG+(/SS+정치/NNG
평론가)인	평론가/NNG+)/SS+이/VCP+ㄴ/ETM
앤드루	앤드루/NNP
설리번은	설리번/NNP+은/JX
이날	이날/NNG
CNN	CNN/SL
인터뷰에서	인터뷰/NNG+에서/JKB
"언론인들이	"/SS+언론인/NNG+들/XSN+이/JKS
트럼프의	트럼프/NNP+의/JKG
정신	정신/NNG
상태를	상태/NNG+를/JKO
공론화해야	공론/NNG+화/XSN+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
때"라고	때/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.13.8.2
그는 "(트럼프처럼) 불안정하고, 현실을 받아들일 능력이 없는 인물을 세계의 중심에 두는 것은 극히 위험한 일"이라고 했다.

그는	그/NP+는/JX
"(트럼프처럼)	"/SS+(/SS+트럼프/NNP+처럼/JKB+)/SS
불안정하고,	불/XPN+안정/NNG+하/XSA+고/EC+,/SP
현실을	현실/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
능력이	능력/NNG+이/JKS
없는	없/VA+는/ETM
인물을	인물/NNG+을/JKO
세계의	세계/NNG+의/JKG
중심에	중심/NNG+에/JKB
두는	두/VV+는/ETM
것은	것/NNB+은/JX
극히	극히/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


