# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.74
metadata : {}


# id : NWRW1800000038.74.1.1
국내 最高價 국악 콘서트 엽니다 '무료' 편견 깨야 국악이 사니까요

국내	국내/NNG
국립창극단에	국립창극단/NNP+에/JKB
사표를	사표/NNG+를/JKO
내고	내/VV+고/EC
'프리랜서'를	'/SS+프리랜서/NNG+'/SS+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.74.4.2
그는 "'물 들어올 때 배를 띄우라'는 옛말이 있지 않은가. 지금 아니면 평생 결행할 수 없다는 생각이 들었다"고 했다.

그는	그/NP+는/JX
"'물	"/SS+'/SS+물/NNG
들어올	들어오/VV+ㄹ/ETM
때	때/NNG
배를	배/NNG+를/JKO
띄우라'는	띄우/VV+라/EF+'/SS+는/ETM
옛말이	옛말/NNG+이/JKS
있지	있/VA+지/EC
않은가.	않/VX+은가/EF+./SF
지금	지금/MAG
아니면	아니/VCN+면/EC
평생	평생/NNG
결행할	결행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
생각이	생각/NNG+이/JKS
들었다"고	들/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.74.5.1
지난해 공연예술실태조사(예술경영지원센터 자료)에 따르면, 공연 일수와 관객 수를 기준으로 국악이 전체 공연계에서 차지하는 비중은 4% 안팎.

지난해	지난해/NNG
공연예술실태조사(예술경영지원센터	공연/NNG+예술/NNG+실태/NNG+조사/NNG+(/SS+예술/NNG+경영/NNG+지원/NNG+센터/NNG
자료)에	자료/NNG+)/SS+에/JKB
따르면,	따르/VV+면/EC+,/SP
공연	공연/NNG
일수와	일수/NNG+와/JC
관객	관객/NNG
수를	수/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
국악이	국악/NNG+이/JKS
전체	전체/NNG
공연계에서	공연/NNG+계/XSN+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
4%	4/SN+%/SW
안팎.	안팎/NNG+./SF


# id : NWRW1800000038.74.5.2
유료 관객 기준이라면 수치는 더 낮아진다.

유료	유료/NNG
관객	관객/NNG
기준이라면	기준/NNG+이/VCP+라면/EC
수치는	수치/NNG+는/JX
더	더/MAG
낮아진다.	낮/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.74.5.3
무모한 시도는 아닐까.

무모한	무모/NNG+하/XSA+ㄴ/ETM
시도는	시도/NNG+는/JX
아닐까.	아니/VCN+ㄹ까/EF+./SF


# id : NWRW1800000038.74.5.4
남씨는 "안정적인 국공립 단체를 제 발로 걸어 나오는 건 사실 말도 안 되는 짓이지만, 국악 저변을 넓히고 싶었다"고 했다.

남씨는	남/NNP+씨/NNB+는/JX
"안정적인	"/SS+안정/NNG+적/XSN+이/VCP+ㄴ/ETM
국공립	국공립/NNG
단체를	단체/NNG+를/JKO
제	저/NP+의/JKG
발로	발/NNG+로/JKB
걸어	걷/VV+어/EC
나오는	나오/VV+는/ETM
건	거/NNB+ㄴ/JX
사실	사실/MAG
말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
짓이지만,	짓/NNG+이/VCP+지만/EC+,/SP
국악	국악/NNG
저변을	저변/NNG+을/JKO
넓히고	넓히/VV+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.74.6.1
'독립 선언' 한 달의 중간 성적표는 나쁘지 않다.

'독립	'/SS+독립/NNG
선언'	선언/NNG+'/SS
한	한/MMN
달의	달/NNB+의/JKG
중간	중간/NNG
성적표는	성적표/NNG+는/JX
나쁘지	나쁘/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.74.6.2
지난달 지역 공연만 10여회.

지난달	지난달/NNG
지역	지역/NNG
공연만	공연/NNG+만/JX
10여회.	10/SN+여/XSN+회/NNB+./SF


# id : NWRW1800000038.74.6.3
TV와 라디오 4개 프로그램에 고정 출연하고, 매주 2시간씩 한국예술종합학교 대학원생들에게 판소리 실기를 가르친다.

TV와	TV/SL+와/JC
라디오	라디오/NNG
4개	4/SN+개/NNB
프로그램에	프로그램/NNG+에/JKB
고정	고정/NNG
출연하고,	출연/NNG+하/XSV+고/EC+,/SP
매주	매주/MAG
2시간씩	2/SN+시간/NNB+씩/XSN
한국예술종합학교	한국예술종합학교/NNP
대학원생들에게	대학원/NNG+생/XSN+들/XSN+에게/JKB
판소리	판소리/NNG
실기를	실기/NNG+를/JKO
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.74.6.4
지난 한 달간 딱 이틀 쉬었다.

지난	지나/VV+ㄴ/ETM
한	한/MMN
달간	달/NNB+간/XSN
딱	딱/MAG
이틀	이틀/NNG
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.74.7.1
다음 달에는 독립 선언 이후 처음으로 자신의 이름을 내건 국악 콘서트도 연다.

다음	다음/NNG
달에는	달/NNB+에/JKB+는/JX
독립	독립/NNG
선언	선언/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
내건	내걸/VV+ㄴ/ETM
국악	국악/NNG
콘서트도	콘서트/NNG+도/JX
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.74.7.2
5월 8일 충무아트홀과 14일 국립국악원 예악당에서 열리는 '남상일의 백분쇼'.

5월	5/SN+월/NNB
8일	8/SN+일/NNB
충무아트홀과	충무아트홀/NNP+과/JC
14일	14/SN+일/NNB
국립국악원	국립/NNG+국악원/NNG
예악당에서	예악당/NNG+에서/JKB
열리는	열리/VV+는/ETM
'남상일의	'/SS+남상일/NNP+의/JKG
백분쇼'.	백/NR+분/NNB+쇼/NNG+'/SS+./SF


# id : NWRW1800000038.74.7.3
그는 판소리 '심청가' 중 '심 봉사 눈 뜨는 대목'과 국악 창법으로 부르는 트로트는 물론, 직접 작곡한 '부모님 찬가'에선 가야금 실력도 선보인다.

그는	그/NP+는/JX
판소리	판소리/NNG
'심청가'	'/SS+심청가/NNP+'/SS
중	중/NNB
'심	'/SS+심/NNP
봉사	봉사/NNG
눈	눈/NNG
뜨는	뜨/VV+는/ETM
대목'과	대목/NNG+'/SS+과/JC
국악	국악/NNG
창법으로	창법/NNG+으로/JKB
부르는	부르/VV+는/ETM
트로트는	트로트/NNG+는/JX
물론,	물론/MAG+,/SP
직접	직접/MAG
작곡한	작곡/NNG+하/XSV+ㄴ/ETM
'부모님	'/SS+부모/NNG+님/XSN
찬가'에선	찬가/NNG+'/SS+에서/JKB+ㄴ/JX
가야금	가야금/NNG
실력도	실력/NNG+도/JX
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.74.8.1
국악관현악단과 타악 그룹, 무용단과 어린이 합창단 '예쁜 아이들'까지 63명이 무대에 오르는 '국악 버라이어티쇼'다.

국악관현악단과	국악/NNG+관현악단/NNG+과/JC
타악	타악/NNG
그룹,	그룹/NNG+,/SP
무용단과	무용단/NNG+과/JC
어린이	어린이/NNG
합창단	합창단/NNG
'예쁜	'/SS+예쁘/VA+ㄴ/ETM
아이들'까지	아이/NNG+들/XSN+'/SS+까지/JX
63명이	63/SN+명/NNB+이/JKS
무대에	무대/NNG+에/JKB
오르는	오르/VV+는/ETM
'국악	'/SS+국악/NNG
버라이어티쇼'다.	버라이어티/NNG+쇼/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.74.8.2
티켓 값은 국악 공연으로는 최고(最高), 10만원이다.

티켓	티켓/NNG
값은	값/NNG+은/JX
국악	국악/NNG
공연으로는	공연/NNG+으로/JKB+는/JX
최고(最高),	최고/NNG+(/SS+最高/SH+)/SS+,/SP
10만원이다.	10/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.74.8.3
그는 "국악계에서 김연아와 박태환 같은 스타가 나오려면 할인, 염가, 무료 공연이라는 고정관념부터 깨야 한다"고 말했다.

그는	그/NP+는/JX
"국악계에서	"/SS+국악/NNG+계/XSN+에서/JKB
김연아와	김연아/NNP+와/JKB
박태환	박태환/NNP
같은	같/VA+은/ETM
스타가	스타/NNG+가/JKS
나오려면	나오/VV+려면/EC
할인,	할인/NNG+,/SP
염가,	염가/NNG+,/SP
무료	무료/NNG
공연이라는	공연/NNG+이/VCP+라는/ETM
고정관념부터	고정/NNG+관념/NNG+부터/JX
깨야	깨/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.74.8.4
다음 목표를 묻자 그는 활짝 웃으며 "국악 전국 투어!"라고 말했다.

다음	다음/NNG
목표를	목표/NNG+를/JKO
묻자	묻/VV+자/EC
그는	그/NP+는/JX
활짝	활짝/MAG
웃으며	웃/VV+으며/EC
"국악	"/SS+국악/NNG
전국	전국/NNG
투어!"라고	투어/NNG+!/SF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.74.8.5
요즘 그에게 붙은 별명은 '국악계의 싸이'다.

요즘	요즘/NNG
그에게	그/NP+에게/JKB
붙은	붙/VV+은/ETM
별명은	별명/NNG+은/JX
'국악계의	'/SS+국악/NNG+계/XSN+의/JKG
싸이'다.	싸이/NNP+'/SS+이/VCP+다/EF+./SF


