# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.197
metadata : {}


# id : NWRW1800000037.197.1.1
檢개혁 설계도, ‘기획통’ 오세인 검사장이 그린다

檢개혁	檢/SH+개혁/NNG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.197.5.1
의문은 곧바로 풀렸다.

의문은	의문/NNG+은/JX
곧바로	곧바로/MAG
풀렸다.	풀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.197.5.2
9일 법무부와 대검에 따르면 오 검사장은 10일부터 대검 중앙수사부가 폐지된 이후 전국 일선 지검의 특별수사 체제를 전면 개편하는 중책을 맡는다.

9일	9/SN+일/NNB
법무부와	법무부/NNG+와/JC
대검에	대검/NNG+에/JKB
따르면	따르/VV+면/EC
오	오/NNP
검사장은	검사장/NNG+은/JX
10일부터	10/SN+일/NNB+부터/JX
대검	대검/NNG
중앙수사부가	중앙/NNG+수사부/NNG+가/JKS
폐지된	폐지/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
전국	전국/NNG
일선	일선/NNG
지검의	지검/NNG+의/JKG
특별수사	특별/NNG+수사/NNG
체제를	체제/NNG+를/JKO
전면	전면/NNG
개편하는	개편/NNG+하/XSV+는/ETM
중책을	중책/NNG+을/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000037.197.5.3
채동욱 검찰총장은 취임사에서 “국민이 지지하는 방향으로 특별수사 체제를 재편하되 부패수사의 공백이 생기지 않도록 면밀한 설계도를 그려야 한다”고 말했다.

채동욱	채동욱/NNP
검찰총장은	검찰/NNG+총장/NNG+은/JX
취임사에서	취임사/NNG+에서/JKB
“국민이	“/SS+국민/NNG+이/JKS
지지하는	지지/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
특별수사	특별/NNG+수사/NNG
체제를	체제/NNG+를/JKO
재편하되	재편/NNG+하/XSV+되/EC
부패수사의	부패/NNG+수사/NNG+의/JKG
공백이	공백/NNG+이/JKS
생기지	생기/VV+지/EC
않도록	않/VX+도록/EC
면밀한	면밀하/VA+ㄴ/ETM
설계도를	설계도/NNG+를/JKO
그려야	그리/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.197.5.4
오 검사장이 바로 이 ‘설계도’를 그리는 역할을 맡는다는 것이다.

오	오/NNP
검사장이	검사장/NNG+이/JKS
바로	바로/MAG
이	이/MMD
‘설계도’를	‘/SS+설계도/NNG+’/SS+를/JKO
그리는	그리/VV+는/ETM
역할을	역할/NNG+을/JKO
맡는다는	맡/VV+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.197.6.1
조만간 출범할 외부인사 중심의 ‘검찰개혁위원회’가 검찰개혁의 큰 틀을 짜면 오 검사장은 이에 맞춰 6월까지 검찰의 특별수사 체제를 새로 마련한다.

조만간	조만간/MAG
출범할	출범/NNG+하/XSV+ㄹ/ETM
외부인사	외부/NNG+인사/NNG
중심의	중심/NNG+의/JKG
‘검찰개혁위원회’가	‘/SS+검찰/NNG+개혁/NNG+위원회/NNG+’/SS+가/JKS
검찰개혁의	검찰/NNG+개혁/NNG+의/JKG
큰	크/VA+ㄴ/ETM
틀을	틀/NNG+을/JKO
짜면	짜/VV+면/EC
오	오/NNP
검사장은	검사장/NNG+은/JX
이에	이/NP+에/JKB
맞춰	맞추/VV+어/EC
6월까지	6/SN+월/NNB+까지/JX
검찰의	검찰/NNG+의/JKG
특별수사	특별/NNG+수사/NNG
체제를	체제/NNG+를/JKO
새로	새로/MAG
마련한다.	마련/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.197.6.2
이후 신설될 특별수사 컨트롤타워의 초대 부서장으로 임명될 가능성도 높다.

이후	이후/NNG
신설될	신설/NNG+되/XSV+ㄹ/ETM
특별수사	특별/NNG+수사/NNG
컨트롤타워의	컨트롤/NNG+타워/NNG+의/JKG
초대	초대/NNG
부서장으로	부서장/NNG+으로/JKB
임명될	임명/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000037.197.6.3
법무부가 대검 중수부장에 후임 인사를 임명하지 않은 것도 이를 위한 포석이라는 분석이 나온다.

법무부가	법무부/NNG+가/JKS
대검	대검/NNG
중수부장에	중수부장/NNG+에/JKB
후임	후임/NNG
인사를	인사/NNG+를/JKO
임명하지	임명/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것도	것/NNB+도/JX
이를	이/NP+를/JKO
위한	위하/VV+ㄴ/ETM
포석이라는	포석/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.197.7.1
특히 검찰 내부에선 중수부가 보유한 계좌추적팀 범죄수익환수팀 등을 일선 고·지검에 전진 배치하고 특별수사를 팀 체제로 전환하는 방안 등을 구상하고 있는 것으로 전해졌다.

특히	특히/MAG
검찰	검찰/NNG
내부에선	내부/NNG+에서/JKB+ㄴ/JX
중수부가	중수부/NNG+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
계좌추적팀	계좌/NNG+추적/NNG+팀/NNG
범죄수익환수팀	범죄/NNG+수익/NNG+환수/NNG+팀/NNG
등을	등/NNB+을/JKO
일선	일선/NNG
고·지검에	고·지검/NNG+에/JKB
전진	전진/NNG
배치하고	배치/NNG+하/XSV+고/EC
특별수사를	특별/NNG+수사/NNG+를/JKO
팀	팀/NNG
체제로	체제/NNG+로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
방안	방안/NNG
구상하고	구상/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.197.7.2
확정되진 않았지만 오 검사장이 채 총장을 돕는 ‘제2의 기조부장’이나 ‘제2의 중수부장’ 역할을 하며 대검 내부에 태스크포스(TF)팀을 구성하게 될 가능성도 높다.

확정되진	확정/NNG+되/XSV+지/EC+ㄴ/JX
않았지만	않/VX+았/EP+지만/EC
오	오/NNP
검사장이	검사장/NNG+이/JKS
채	채/NNP
총장을	총장/NNG+을/JKO
돕는	돕/VV+는/ETM
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
기조부장’이나	기조부장/NNG+’/SS+이나/JC
중수부장’	중수부장/NNG+’/SS
역할을	역할/NNG+을/JKO
하며	하/VV+며/EC
대검	대검/NNG
내부에	내부/NNG+에/JKB
태스크포스(TF)팀을	태스크포스/NNG+(/SS+TF/SL+)/SS+팀/NNG+을/JKO
구성하게	구성/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000037.197.7.3
이 TF에서 그간 중수부가 담당했던 권력층의 부정부패나 기업비리 등 대형 수사를 어느 곳에서 맡을지, 특임검사제를 어떤 방식으로 운영할지도 검토할 것으로 보인다.

이	이/MMD
TF에서	TF/SL+에서/JKB
그간	그/NP+간/XSN
중수부가	중수부/NNG+가/JKS
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
권력층의	권력/NNG+층/XSN+의/JKG
부정부패나	부정부패/NNG+나/JC
기업비리	기업/NNG+비리/NNG
등	등/NNB
대형	대형/NNG
수사를	수사/NNG+를/JKO
어느	어느/MMD
곳에서	곳/NNG+에서/JKB
맡을지,	맡/VV+을지/EF+,/SP
특임검사제를	특임/NNG+검사/NNG+제/XSN+를/JKO
어떤	어떤/MMD
방식으로	방식/NNG+으로/JKB
운영할지도	운영/NNG+하/XSV+ㄹ지/EF+도/JX
검토할	검토/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.197.8.1
채 총장은 또 취임사에서 “검찰총장의 권한을 일선에 대폭 위임하되 결과에 대해서는 엄격하게 책임을 물을 것”이라며 ‘자율과 책임’을 강조했다.

채	채/NNP
총장은	총장/NNG+은/JX
또	또/MAG
취임사에서	취임사/NNG+에서/JKB
“검찰총장의	“/SS+검찰/NNG+총장/NNG+의/JKG
권한을	권한/NNG+을/JKO
일선에	일선/NNG+에/JKB
대폭	대폭/MAG
위임하되	위임/NNG+하/XSV+되/EC
결과에	결과/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
엄격하게	엄격/NNG+하/XSA+게/EC
책임을	책임/NNG+을/JKO
물을	묻/VV+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
‘자율과	‘/SS+자율/NNG+과/JC
책임’을	책임/NNG+’/SS+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.197.8.2
특별수사에 대한 외압은 총장이 최대한 막아내되 문제가 불거지거나 공정성이 의심되는 수사는 엄격하게 책임을 묻겠다는 취지다.

특별수사에	특별/NNG+수사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
외압은	외압/NNG+은/JX
총장이	총장/NNG+이/JKS
최대한	최대한/MAG
막아내되	막/VV+아/EC+내/VX+되/EC
문제가	문제/NNG+가/JKS
불거지거나	불거지/VV+거나/EC
공정성이	공정/NNG+성/XSN+이/JKS
의심되는	의심/NNG+되/XSV+는/ETM
수사는	수사/NNG+는/JX
엄격하게	엄격/NNG+하/XSA+게/EC
책임을	책임/NNG+을/JKO
묻겠다는	묻/VV+겠/EP+다는/ETM
취지다.	취지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.197.8.3
이 때문에 새 컨트롤타워 부서는 전국 일선 지검의 특별수사를 지원하는 동시에 이를 관리·감독하는 역할도 맡을 것으로 보인다.

이	이/NP
때문에	때문/NNB+에/JKB
새	새/MMA
컨트롤타워	컨트롤/NNG+타워/NNG
부서는	부서/NNG+는/JX
전국	전국/NNG
일선	일선/NNG
지검의	지검/NNG+의/JKG
특별수사를	특별/NNG+수사/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
이를	이/NP+를/JKO
관리·감독하는	관리/NNG+·/SP+감독/NNG+하/XSV+는/ETM
역할도	역할/NNG+도/JX
맡을	맡/VV+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.197.9.1
오 검사장의 발탁 배경에는 그동안 인수위와 검찰의 의견을 조율하는 역할을 해 박근혜정부의 검찰개혁 공약에 대한 이해도가 높다는 점이 우선 고려된 것으로 알려졌다.

오	오/NNP
검사장의	검사장/NNG+의/JKG
발탁	발탁/NNG
배경에는	배경/NNG+에/JKB+는/JX
그동안	그동안/NNG
인수위와	인수위/NNG+와/JC
검찰의	검찰/NNG+의/JKG
의견을	의견/NNG+을/JKO
조율하는	조율/NNG+하/XSV+는/ETM
역할을	역할/NNG+을/JKO
해	하/VV+아/EC
박근혜정부의	박근혜/NNP+정부/NNG+의/JKG
검찰개혁	검찰/NNG+개혁/NNG
공약에	공약/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해도가	이해도/NNG+가/JKS
높다는	높/VA+다는/ETM
점이	점/NNG+이/JKS
우선	우선/MAG
고려된	고려/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.197.9.2
새로 출범할 상설특검이나 특별감찰관제가 검찰의 특별수사와 상충되지 않도록 조율할 수 있다는 것이다.

새로	새로/MAG
출범할	출범/NNG+하/XSV+ㄹ/ETM
상설특검이나	상설/NNG+특검/NNG+이나/JC
특별감찰관제가	특별/NNG+감찰관/NNG+제/XSN+가/JKS
검찰의	검찰/NNG+의/JKG
특별수사와	특별/NNG+수사/NNG+와/JKB
상충되지	상충/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
조율할	조율/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.197.9.3
또 중수부를 이끌어 온 ‘특별수사통’에게 중수부 폐지를 맡겼을 때 ‘제2의 중수부 부활’ 논란이 일 수 있다는 점을 감안할 경우 공안 및 기획업무에 정통한 오 검사장이 적임이라는 분석도 있다.

또	또/MAG
중수부를	중수부/NNG+를/JKO
이끌어	이끌/VV+어/EC
온	오/VX+ㄴ/ETM
‘특별수사통’에게	‘/SS+특별/NNG+수사통/NNG+’/SS+에게/JKB
중수부	중수부/NNG
폐지를	폐지/NNG+를/JKO
맡겼을	맡기/VV+었/EP+을/ETM
때	때/NNG
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
부활’	부활/NNG+’/SS
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
공안	공안/NNG
및	및/MAG
기획업무에	기획/NNG+업무/NNG+에/JKB
정통한	정통/NNG+하/XSV+ㄴ/ETM
오	오/NNP
검사장이	검사장/NNG+이/JKS
적임이라는	적임/NNG+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


