# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.151
metadata : {}


# id : NWRW1800000025.151.1.1
[인천/부천]‘갯벌 생태계 보호’ 올해 10억원 투입

[인천/부천]‘갯벌	[/SS+인천/NNP+//SP+부천/NNP+]/SS+‘/SS+갯벌/NNG
3곳이다.	3/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.151.2.4
시는 이들 지역의 희귀, 멸종위기 야생동물을 보호하고 생태계를 보전하기 위해 11월까지 수산종묘를 매입해 방류하기로 했다.

시는	시/NNG+는/JX
이들	이/NP+들/XSN
지역의	지역/NNG+의/JKG
희귀,	희귀/NNG+,/SP
멸종위기	멸종/NNG+위기/NNG
야생동물을	야생/NNG+동물/NNG+을/JKO
보호하고	보호/NNG+하/XSV+고/EC
생태계를	생태/NNG+계/XSN+를/JKO
보전하기	보전/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
11월까지	11/SN+월/NNB+까지/JX
수산종묘를	수산/NNG+종묘/NNG+를/JKO
매입해	매입/NNG+하/XSV+아/EC
방류하기로	방류/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.151.2.5
또 갯벌 생물과 철새에 대한 모니터링을 하고 해양보호구역 관리위원회를 운영할 방침이다.

또	또/MAG
갯벌	갯벌/NNG
생물과	생물/NNG+과/JC
철새에	철새/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모니터링을	모니터링/NNG+을/JKO
하고	하/VV+고/EC
해양보호구역	해양/NNG+보호/NNG+구역/NNG
관리위원회를	관리/NNG+위원회/NNG+를/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.151.2.6
송도 갯벌은 현재 진행 중인 연구용역을 통해 습지보전계획을 세울 예정이다.

송도	송도/NNP
갯벌은	갯벌/NNG+은/JX
현재	현재/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
연구용역을	연구/NNG+용역/NNG+을/JKO
통해	통하/VV+아/EC
습지보전계획을	습지/NNG+보전/NNG+계획/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.151.2.7
시는 올해 이들 사업에 국·시비 10억 원을 투입하기로 했다.

시는	시/NNG+는/JX
올해	올해/NNG
이들	이/NP+들/XSN
사업에	사업/NNG+에/JKB
국·시비	국·시비/NNG
10억	10/SN+억/NR
원을	원/NNB+을/JKO
투입하기로	투입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.151.2.8
인천경제자유구역 송도국제도시 바로 옆 송도 갯벌은 국제적인 희귀조류인 저어새와 검은머리갈매기 등이 서식해 지난해 말 습지보호구역으로 지정됐다.

인천경제자유구역	인천경제자유구역/NNP
송도국제도시	송도국제도시/NNP
바로	바로/MAG
옆	옆/NNG
송도	송도/NNP
갯벌은	갯벌/NNG+은/JX
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
희귀조류인	희귀/NNG+조류/NNG+이/VCP+ㄴ/ETM
저어새와	저어새/NNG+와/JC
검은머리갈매기	검은머리갈매기/NNG
등이	등/NNB+이/JKS
서식해	서식/NNG+하/XSV+아/EC
지난해	지난해/NNG
말	말/NNB
습지보호구역으로	습지/NNG+보호/NNG+구역/NNG+으로/JKB
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.151.2.9
시는 송도국제도시 개발 과정에서 이들 갯벌을 매립하지 않은 채 보전하고 조류 보호대책을 마련하기로 했다.

시는	시/NNG+는/JX
송도국제도시	송도국제도시/NNP
개발	개발/NNG
과정에서	과정/NNG+에서/JKB
이들	이/NP+들/XSN
갯벌을	갯벌/NNG+을/JKO
매립하지	매립/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
보전하고	보전/NNG+하/XSV+고/EC
조류	조류/NNG
보호대책을	보호/NNG+대책/NNG+을/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.151.2.10
시 관계자는 “개발과 보전을 병행하는 행정의 모범사례를 만들겠다”고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
“개발과	“/SS+개발/NNG+과/JC
보전을	보전/NNG+을/JKO
병행하는	병행/NNG+하/XSV+는/ETM
행정의	행정/NNG+의/JKG
모범사례를	모범/NNG+사례/NNG+를/JKO
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


