# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.379
metadata : {}


# id : NWRW1800000046.379.1.1
최태원(SK그룹 회장) 포함 222만명 광복절 특사

최태원(SK그룹	최태원/NNP+(/SS+SK그룹/NNP
소년원생에	소년원/NNG+생/XSN+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
임시	임시/NNG
퇴원	퇴원/NNG
조치가	조치/NNG+가/JKS
내려졌다.	내려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.379.3.3
도로 교통법규를 위반해 벌점, 면허 정지·취소 및 면허시험 응시 제한 조치를 받은 220만925명과 입찰 담합 등으로 영업 정지나 입찰참가 자격 제한을 받은 2008개 업체도 특별 감면 조치를 받았다.

도로	도로/NNG
교통법규를	교통/NNG+법규/NNG+를/JKO
위반해	위반/NNG+하/XSV+아/EC
벌점,	벌점/NNG+,/SP
면허	면허/NNG
정지·취소	정지/NNG+·/SP+취소/NNG
및	및/MAG
면허시험	면허/NNG+시험/NNG
응시	응시/NNG
제한	제한/NNG
조치를	조치/NNG+를/JKO
받은	받/VV+은/ETM
220만925명과	220/SN+만/NR+925/SN+명/NNB+과/JC
입찰	입찰/NNG
담합	담합/NNG
등으로	등/NNB+으로/JKB
영업	영업/NNG
정지나	정지/NNG+나/JC
입찰참가	입찰/NNG+참가/NNG
자격	자격/NNG
제한을	제한/NNG+을/JKO
2008개	2008/SN+개/NNB
업체도	업체/NNG+도/JX
특별	특별/NNG
감면	감면/NNG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.379.3.4
그러나 비리 정치인과 공직자, 상습 음주운전, 뺑소니 사범, 금품 수수와 같은 무거운 범죄 사범들은 사면 대상에서 제외됐다.

그러나	그러나/MAJ
비리	비리/NNG
정치인과	정치인/NNG+과/JC
공직자,	공직자/NNG+,/SP
상습	상습/NNG
음주운전,	음주/NNG+운전/NNG+,/SP
뺑소니	뺑소니/NNG
사범,	사범/NNG+,/SP
금품	금품/NNG
수수와	수수/NNG+와/JKB
같은	같/VA+은/ETM
무거운	무겁/VA+ㄴ/ETM
범죄	범죄/NNG
사범들은	사범/NNG+들/XSN+은/JX
사면	사면/NNG
대상에서	대상/NNG+에서/JKB
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.379.4.1
이번 사면에는 ▲서민 생계형 보호 관찰 대상자 임시 해제 3650명 ▲소프트웨어 업체 입찰 참가 제한 특별 감면 100개사 ▲영세 운송사업자 및 생계형 자가용 유상운송자 행정 제재 특별 감면 43개사 ▲생계형 어업인 행정 제재 특별 감면 3506명 ▲개업 공인중개사 업무 정지 처분 면제 150명 등도 포함됐다.

이번	이번/NNG
사면에는	사면/NNG+에/JKB+는/JX
▲서민	▲/SW+서민/NNG
생계형	생계/NNG+형/XSN
보호	보호/NNG
관찰	관찰/NNG
대상자	대상자/NNG
임시	임시/NNG
해제	해제/NNG
3650명	3650/SN+명/NNB
▲소프트웨어	▲/SW+소프트웨어/NNG
업체	업체/NNG
입찰	입찰/NNG
참가	참가/NNG
제한	제한/NNG
특별	특별/NNG
감면	감면/NNG
100개사	100/SN+개사/NNB
▲영세	▲/SW+영세/NNG
운송사업자	운송/NNG+사업자/NNG
및	및/MAG
자가용	자가/NNG+용/XSN
유상운송자	유상/NNG+운송자/NNG
행정	행정/NNG
제재	제재/NNG
43개사	43/SN+개사/NNB
▲생계형	▲/SW+생계/NNG+형/XSN
어업인	어업인/NNG
3506명	3506/SN+명/NNB
▲개업	▲/SW+개업/NNG
공인중개사	공인/NNG+중개사/NNG
업무	업무/NNG
정지	정지/NNG
처분	처분/NNG
면제	면제/NNG
150명	150/SN+명/NNB
등도	등/NNB+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.379.4.2
이번 사면으로 혜택을 보는 인원은 모두 221만7751명에 달한다.

이번	이번/NNG
사면으로	사면/NNG+으로/JKB
혜택을	혜택/NNG+을/JKO
보는	보/VV+는/ETM
인원은	인원/NNG+은/JX
모두	모두/MAG
221만7751명에	221/SN+만/NR+7751/SN+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.379.4.3
박근혜 정부 들어 두 번째인 이번 사면은 역대 특사 규모 가운데 여섯 째로 큰 규모다.

박근혜	박근혜/NNP
정부	정부/NNG
들어	들/VV+어/EC
두	두/MMN
번째인	번/NNB+째/XSN+이/VCP+ㄴ/ETM
이번	이번/NNG
사면은	사면/NNG+은/JX
역대	역대/NNG
특사	특사/NNG
규모	규모/NNG
가운데	가운데/NNG
여섯	여섯/NR
째로	째/XSN+로/JKB
큰	크/VA+ㄴ/ETM
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.379.5.1
관심을 끌었던 경제인에 대한 특별사면은 최소화됐다.

관심을	관심/NNG+을/JKO
끌었던	끌/VV+었/EP+던/ETM
경제인에	경제인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
특별사면은	특별/NNG+사면/NNG+은/JX
최소화됐다.	최소/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.379.5.2
최 회장과 한화그룹 김현중 전 부회장, 홍동옥 전 한화그룹 여천NCC 대표이사 등 경제인 14명만이 특별사면 대상자에 포함됐다.

최	최/NNP
회장과	회장/NNG+과/JC
한화그룹	한화그룹/NNP
김현중	김현중/NNP
전	전/MMD
부회장,	부회장/NNG+,/SP
홍동옥	홍동옥/NNP
여천NCC	여천NCC/NNP
대표이사	대표/NNG+이사/NNG
등	등/NNB
경제인	경제인/NNG
14명만이	14/SN+명/NNB+만/JX+이/JKS
특별사면	특별/NNG+사면/NNG
대상자에	대상자/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.379.5.3
사면 대상으로 거론됐던 김승연 한화그룹 회장과 최재원 SK그룹 부회장, 구본상 전 LIG넥스원 부회장 등은 사면 대상에서 제외됐다.

사면	사면/NNG
대상으로	대상/NNG+으로/JKB
거론됐던	거론/NNG+되/XSV+었/EP+던/ETM
김승연	김승연/NNP
한화그룹	한화그룹/NNP
회장과	회장/NNG+과/JC
최재원	최재원/NNP
SK그룹	SK그룹/NNP
부회장,	부회장/NNG+,/SP
구본상	구본상/NNP
전	전/MMD
LIG넥스원	LIG넥스원/NNP
부회장	부회장/NNG
등은	등/NNB+은/JX
대상에서	대상/NNG+에서/JKB
제외됐다.	제외/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.379.6.1
법무부는 국가 경제에 기여한 공로, 죄질 및 피해 회복 여부, 국민적 공감대 등을 종합적으로 고려해 사면 기준을 정했다고 설명했다.

법무부는	법무부/NNG+는/JX
국가	국가/NNG
경제에	경제/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
공로,	공로/NNG+,/SP
죄질	죄질/NNG
및	및/MAG
피해	피해/NNG
회복	회복/NNG
여부,	여부/NNG+,/SP
국민적	국민/NNG+적/XSN
공감대	공감대/NNG
등을	등/NNB+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
고려해	고려/NNG+하/XSV+아/EC
사면	사면/NNG
기준을	기준/NNG+을/JKO
정했다고	정하/VV+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.379.6.2
이번 사면은 14일 0시를 기점으로 효력을 가진다.

이번	이번/NNG
사면은	사면/NNG+은/JX
14일	14/SN+일/NNB
0시를	0/SN+시/NNB+를/JKO
기점으로	기점/NNG+으로/JKB
효력을	효력/NNG+을/JKO
가진다.	가지/VV+ㄴ다/EF+./SF


