# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.347
metadata : {}


# id : NWRW1800000046.347.1.1
여론 악화… 재보선 全敗 위기감에 與도 '李 자진 사퇴' 전방위 압박

여론	여론/NNG
"대통령의	"/SS+대통령/NNG+의/JKG
개혁	개혁/NNG
추진에	추진/NNG+에/JKB
부담을	부담/NNG+을/JKO
주지	주/VV+지/EC
않는	않/VX+는/ETM
국정	국정/NNG
2인자의	2인자/NNG+의/JKG
결단이	결단/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시점이다.	시점/NNG+이/VCP+다/EF+./SF
이	이/NNP
총리는	총리/NNG+는/JX
대통령이	대통령/NNG+이/JKS
귀국하기	귀국/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
거취에	거취/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의사를	의사/NNG+를/JKO
표명해야	표명/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
결단을	결단/NNG+을/JKO
촉구하기도	촉구/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.347.5.3
여론이 진정되기는커녕 악화 쪽으로만 흘러가자 이 총리도 거취 문제를 박 대통령의 귀국 전에 정리할 필요를 느낀것으로 보인다.

여론이	여론/NNG+이/JKS
진정되기는커녕	진정/NNG+되/XSV+기/ETN+는커녕/JX
악화	악화/NNG
쪽으로만	쪽/NNB+으로/JKB+만/JX
흘러가자	흘러가/VV+자/EC
이	이/NNP
총리도	총리/NNG+도/JX
거취	거취/NNG
문제를	문제/NNG+를/JKO
박	박/NNP
대통령의	대통령/NNG+의/JKG
귀국	귀국/NNG
전에	전/NNG+에/JKB
정리할	정리/NNG+하/XSV+ㄹ/ETM
필요를	필요/NNG+를/JKO
느낀것으로	느끼/VV+ㄴ/ETM+것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.347.6.1
앞서 이 총리는 쏟아지는 의혹 보도와 정치권의 사퇴·해임 공세에 적극적인 대응을 하지 않고 침묵을 지키고 있었다.

앞서	앞서/MAG
이	이/NNP
총리는	총리/NNG+는/JX
쏟아지는	쏟아지/VV+는/ETM
의혹	의혹/NNG
보도와	보도/NNG+와/JC
정치권의	정치/NNG+권/XSN+의/JKG
사퇴·해임	사퇴/NNG+·/SP+해임/NNG
공세에	공세/NNG+에/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
대응을	대응/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
침묵을	침묵/NNG+을/JKO
지키고	지키/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.347.6.2
그러나 박 대통령이 특별한 언질을 주지 않는 상태에서 여야의 사퇴 압박이 이어지고, 충청권에서 이렇다 할 지원이 나오지 않는 최악 상황으로 가면서 본인의 의지도 결국 흔들린 셈이다.

그러나	그러나/MAJ
박	박/NNP
대통령이	대통령/NNG+이/JKS
특별한	특별/NNG+하/XSA+ㄴ/ETM
언질을	언질/NNG+을/JKO
주지	주/VV+지/EC
않는	않/VX+는/ETM
상태에서	상태/NNG+에서/JKB
여야의	여야/NNG+의/JKG
사퇴	사퇴/NNG
압박이	압박/NNG+이/JKS
이어지고,	이어지/VV+고/EC+,/SP
충청권에서	충청/NNP+권/XSN+에서/JKB
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
지원이	지원/NNG+이/JKS
나오지	나오/VV+지/EC
최악	최악/NNG
상황으로	상황/NNG+으로/JKB
가면서	가/VV+면서/EC
본인의	본인/NNG+의/JKG
의지도	의지/NNG+도/JX
결국	결국/NNG
흔들린	흔들리/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.347.7.1
이 총리의 20일 일정은 서울 여의도 63빌딩에서 열린 장애인의 날 기념식에 참석해 축사를 한 것이 유일했다.

이	이/NNP
총리의	총리/NNG+의/JKG
20일	20/SN+일/NNB
일정은	일정/NNG+은/JX
서울	서울/NNP
여의도	여의도/NNP
63빌딩에서	63빌딩/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
장애인의	장애인/NNG+의/JKG
날	날/NNG
기념식에	기념식/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
축사를	축사/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
유일했다.	유일/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.347.7.2
이 총리는 몹시 지쳐 보였고, 굳은 표정을 풀지 못했다.

이	이/NNP
총리는	총리/NNG+는/JX
몹시	몹시/MAG
지쳐	지치/VV+어/EC
보였고,	보이/VV+었/EP+고/EC+,/SP
굳은	굳/VA+은/ETM
표정을	표정/NNG+을/JKO
풀지	풀/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.347.7.3
이날 오전 정부 서울청사로 출근하면서 기자들이 "해임 건의가 나오면 어떻게 할 것이냐" "성 전 회장과 수백 차례 통화한 것이 맞느냐"고 물었지만 "그만 합시다"라며 입을 다물었다.

이날	이날/NNG
오전	오전/NNG
정부	정부/NNG
서울청사로	서울청사/NNP+로/JKB
출근하면서	출근/NNG+하/XSV+면서/EC
기자들이	기자/NNG+들/XSN+이/JKS
"해임	"/SS+해임/NNG
건의가	건의/NNG+가/JKS
나오면	나오/VV+면/EC
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
것이냐"	것/NNB+이/VCP+냐/EF+"/SS
"성	"/SS+성/NNP
전	전/MMD
회장과	회장/NNG+과/JKB
수백	수백/NR
차례	차례/NNG
통화한	통화/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
맞느냐"고	맞/VV+느냐/EF+"/SS+고/JKQ
물었지만	묻/VV+었/EP+지만/EC
"그만	"/SS+그만/MAG
합시다"라며	하/VV+ㅂ시다/EF+"/SS+이/VCP+라며/EC
입을	입/NNG+을/JKO
다물었다.	다물/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.347.7.4
한 측근은 "며칠째 잠을 제대로 못 잔 것으로 안다"고 했다.

한	한/MMN
측근은	측근/NNG+은/JX
"며칠째	"/SS+며칠/NNG+째/XSN
잠을	잠/NNG+을/JKO
제대로	제대로/MAG
못	못/MAG
잔	자/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.347.7.5
이 총리는 총리실 간부 회의나 각 부처에 대한 업무 지시는 거의 추경호 국무조정실장에게 맡겼다고 한다.

이	이/NNP
총리는	총리/NNG+는/JX
총리실	총리실/NNG
간부	간부/NNG
회의나	회의/NNG+나/JC
각	각/MMD
부처에	부처/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
업무	업무/NNG
지시는	지시/NNG+는/JX
거의	거의/MAG
추경호	추경호/NNP
국무조정실장에게	국무/NNG+조정실장/NNG+에게/JKB
맡겼다고	맡기/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.347.7.6
총리가 예정된 대외 일정만 소화하는 상황이 계속되면서 국정은 사실상 공백 상태로 접어든 것이다.

총리가	총리/NNG+가/JKS
예정된	예정/NNG+되/XSV+ㄴ/ETM
대외	대외/NNG
일정만	일정/NNG+만/JX
소화하는	소화/NNG+하/XSV+는/ETM
상황이	상황/NNG+이/JKS
계속되면서	계속/NNG+되/XSV+면서/EC
국정은	국정/NNG+은/JX
사실상	사실/NNG+상/XSN
공백	공백/NNG
상태로	상태/NNG+로/JKB
접어든	접어들/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.347.7.7
총리실에선 "모처럼 힘 있는 정치인 총리가 와서 업무가 탄력을 받으려던 시점이었는데 안타깝다"는 말도 나왔다.

총리실에선	총리실/NNG+에서/JKB+ㄴ/JX
"모처럼	"/SS+모처럼/MAG
힘	힘/NNG
있는	있/VA+는/ETM
정치인	정치인/NNG
총리가	총리/NNG+가/JKS
와서	오/VV+아서/EC
업무가	업무/NNG+가/JKS
탄력을	탄력/NNG+을/JKO
받으려던	받/VV+으려던/ETM
시점이었는데	시점/NNG+이/VCP+었/EP+는데/EC
안타깝다"는	안타깝/VA+다/EF+"/SS+는/ETM
말도	말/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.347.7.8
이 총리는 든든한 지원군이었던 새누리당이나 충청 민심이 달라진 데 대해 상심이 큰 것으로 알려졌다.

이	이/NNP
총리는	총리/NNG+는/JX
든든한	든든하/VA+ㄴ/ETM
지원군이었던	지원군/NNG+이/VCP+었/EP+던/ETM
새누리당이나	새누리당/NNP+이나/JC
충청	충청/NNP
민심이	민심/NNG+이/JKS
달라진	달라지/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
상심이	상심/NNG+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.347.7.9
이 총리는 박 대통령이 27일 귀국 시까지는 총리직을 유지하게 됐지만 사실상 '식물 총리' 역할을 하게 됐다.

이	이/NNP
총리는	총리/NNG+는/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
27일	27/SN+일/NNB
귀국	귀국/NNG
시까지는	시/NNB+까지/JX+는/JX
총리직을	총리직/NNG+을/JKO
유지하게	유지/NNG+하/XSV+게/EC
됐지만	되/VV+었/EP+지만/EC
사실상	사실/NNG+상/XSN
'식물	'/SS+식물/NNG
총리'	총리/NNG+'/SS
역할을	역할/NNG+을/JKO
하게	하/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


