# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.354
metadata : {}


# id : NWRW1800000032.354.1.1
민주 “정동기<감사원장 후보> 가족 예금, 소득보다 1억9천만원 많아”

민주	민주/NNP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.354.4.1
자료를 보면, 정 후보자의 4년간 총소득은 법무법인 보수를 포함해 10억1000만원이었다.

자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
정	정/NNP
후보자의	후보자/NNG+의/JKG
4년간	4/SN+년/NNB+간/XSN
총소득은	총소득/NNG+은/JX
법무법인	법무/NNG+법인/NNG
보수를	보수/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
10억1000만원이었다.	10/SN+억/NR+1000/SN+만/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.354.4.2
정 후보자의 부인, 자녀들은 소득이 없었다.

정	정/NNP
후보자의	후보자/NNG+의/JKG
부인,	부인/NNG+,/SP
자녀들은	자녀/NNG+들/XSN+은/JX
소득이	소득/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.354.4.3
이 기간 정 후보자는 소득세 등 세금으로 2억5000만원을 냈고 신용카드 등 기본지출로 2억4000만원을 썼다.

이	이/MMD
기간	기간/NNG
정	정/NNP
후보자는	후보자/NNG+는/JX
소득세	소득세/NNG
등	등/NNB
세금으로	세금/NNG+으로/JKB
2억5000만원을	2/SN+억/NR+5000/SN+만/NR+원/NNB+을/JKO
냈고	내/VV+었/EP+고/EC
신용카드	신용/NNG+카드/NNG
기본지출로	기본/NNG+지출/NNG+로/JKB
2억4000만원을	2/SN+억/NR+4000/SN+만/NR+원/NNB+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.354.4.4
따라서 수입에서 지출을 뺀 소득은 5억2000만원으로 추정된다.

따라서	따라서/MAJ
수입에서	수입/NNG+에서/JKB
지출을	지출/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
소득은	소득/NNG+은/JX
5억2000만원으로	5/SN+억/NR+2000/SN+만/NR+원/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.354.5.1
그러나 이 기간 동안에 관보에 게재된 정 후보자, 부인, 자녀의 예금 수입은 7억1000만원이었다.

그러나	그러나/MAJ
이	이/MMD
기간	기간/NNG
동안에	동안/NNG+에/JKB
관보에	관보/NNG+에/JKB
게재된	게재/NNG+되/XSV+ㄴ/ETM
정	정/NNP
후보자,	후보자/NNG+,/SP
부인,	부인/NNG+,/SP
자녀의	자녀/NNG+의/JKG
예금	예금/NNG
수입은	수입/NNG+은/JX
7억1000만원이었다.	7/SN+억/NR+1000/SN+만/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.354.5.2
예금이 소득 증가분보다 1억9000만원이 더 많은 것이다.

예금이	예금/NNG+이/JKS
소득	소득/NNG
증가분보다	증가/NNG+분/XSN+보다/JKB
1억9000만원이	1/SN+억/NR+9000/SN+만/NR+원/NNB+이/JKS
더	더/MAG
많은	많/VA+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.354.6.1
이춘석 민주당 대변인은 이날 논평을 내어 “정 후보자는 재테크의 귀재인지 아니면 또다른 ‘스폰서’ 공직자인지 밝혀야 한다”고 말했다.

이춘석	이춘석/NNP
민주당	민주당/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
논평을	논평/NNG+을/JKO
내어	내/VV+어/EC
“정	“/SS+정/NNP
후보자는	후보자/NNG+는/JX
재테크의	재테크/NNG+의/JKG
귀재인지	귀재/NNG+이/VCP+ㄴ지/EC
아니면	아니/VCN+면/EC
또다른	또/MAG+다른/MMD
‘스폰서’	‘/SS+스폰서/NNG+’/SS
공직자인지	공직자/NNG+이/VCP+ㄴ지/EC
밝혀야	밝히/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.354.7.1
또 민주당 청문위원들은 “정 후보자 가족의 예금은 2007년 1월~2010년 12월 7억1000만원 증가해 현재 8억9000만원에 달한다”며 “4년 동안 매년 1억7000만원 증가한 꼴이며, 민정수석이던 2008~2009년에 4억5800만원(64%)이 늘었다”고 지적했다.

또	또/MAG
민주당	민주당/NNP
청문위원들은	청문/NNG+위원/NNG+들/XSN+은/JX
“정	“/SS+정/NNP
후보자	후보자/NNG
가족의	가족/NNG+의/JKG
예금은	예금/NNG+은/JX
2007년	2007/SN+년/NNB
1월~2010년	1/SN+월/NNB+~/SO+2010/SN+년/NNB
12월	12/SN+월/NNB
7억1000만원	7/SN+억/NR+1000/SN+만/NR+원/NNB
증가해	증가/NNG+하/XSV+아/EC
현재	현재/MAG
8억9000만원에	8/SN+억/NR+9000/SN+만/NR+원/NNB+에/JKB
달한다”며	달하/VV+ㄴ다/EF+”/SS+며/EC
“4년	“/SS+4/SN+년/NNB
동안	동안/NNG
매년	매년/MAG
1억7000만원	1/SN+억/NR+7000/SN+만/NR+원/NNB
증가한	증가/NNG+하/XSV+ㄴ/ETM
꼴이며,	꼴/NNG+이/VCP+며/EC+,/SP
민정수석이던	민정/NNG+수석/NNG+이/VCP+던/ETM
2008~2009년에	2008/SN+~/SO+2009/SN+년/NNB+에/JKB
4억5800만원(64%)이	4/SN+억/NR+5800/SN+만/NR+원/NNB+(/SS+64/SN+%/SW+)/SS+이/JKS
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.354.8.1
특히 민주당은 정 후보자 부인 김씨의 예금액이 2007년 3월 9539만원에서 그해 12월 1억8691만원으로 크게 늘어난 이유를 ‘곗돈 입금 등’이라고 한 데 대해 고액 계모임을 의심했다.

특히	특히/MAG
민주당은	민주당/NNP+은/JX
정	정/NNP
후보자	후보자/NNG
부인	부인/NNG
김씨의	김/NNP+씨/NNB+의/JKG
예금액이	예금액/NNG+이/JKS
2007년	2007/SN+년/NNB
3월	3/SN+월/NNB
9539만원에서	9539/SN+만/NR+원/NNB+에서/JKB
그해	그해/NNG
12월	12/SN+월/NNB
1억8691만원으로	1/SN+억/NR+8691/SN+만/NR+원/NNB+으로/JKB
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
이유를	이유/NNG+를/JKO
‘곗돈	‘/SS+곗돈/NNG
입금	입금/NNG
등’이라고	등/NNB+’/SS+이라고/JKQ
한	하/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
고액	고액/NNG
계모임을	계/NNG+모임/NNG+을/JKO
의심했다.	의심/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.354.8.2
이에 정 후보자 쪽은 “법정서류에 포함되지 않은 검찰퇴직일시금 8700만원 등 현금수입원을 모두 반영해 재산신고했기 때문에 법정서류상 급여소득과 차이가 있다”며 “곗돈은 2400여만원 정도”라고 해명했다.

이에	이/NP+에/JKB
정	정/NNP
후보자	후보자/NNG
쪽은	쪽/NNB+은/JX
“법정서류에	“/SS+법정/NNG+서류/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
검찰퇴직일시금	검찰/NNG+퇴직/NNG+일시금/NNG
8700만원	8700/SN+만/NR+원/NNB
등	등/NNB
현금수입원을	현금/NNG+수입원/NNG+을/JKO
모두	모두/MAG
반영해	반영/NNG+하/XSV+아/EC
재산신고했기	재산/NNG+신고/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
법정서류상	법정/NNG+서류/NNG+상/XSN
급여소득과	급여/NNG+소득/NNG+과/JKB
차이가	차이/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“곗돈은	“/SS+곗돈/NNG+은/JX
2400여만원	2400/SN+여/XSN+만/NR+원/NNB
정도”라고	정도/NNG+”/SS+라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


