# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.366
metadata : {}


# id : NWRW1800000054.366.1.1
"美中, 빅딜도 좋지만 韓日과 대화를" "시진핑, 상상 이상의 방법 쓸 수도"

"美中,	"/SS+美中/SH+,/SP
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
더	더/MAG
예측	예측/NNG
불가"라며	불가/NNG+"/SS+이/VCP+라며/EC
"이럴	"/SS+이렇/VA+ㄹ/ETM
때일수록	때/NNG+이/VCP+ㄹ수록/EC
지역	지역/NNG
내	내/NNB
강대국의	강대국/NNG+의/JKG
역할이	역할/NNG+이/JKS
중요해진다"고	중요/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.4.2
특히 북핵 문제와 관련해선 "미국과 중국의 '빅 딜'도 좋지만 핵심 당사자인 한국과 일본이 배제되지 않도록 함께 대화해야 한다"고 했다.

특히	특히/MAG
북핵	북핵/NNG
문제와	문제/NNG+와/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
"미국과	"/SS+미국/NNP+과/JC
중국의	중국/NNP+의/JKG
'빅	'/SS+빅/NNG
딜'도	딜/NNG+'/SS+도/JX
좋지만	좋/VA+지만/EC
핵심	핵심/NNG
당사자인	당사자/NNG+이/VCP+ㄴ/ETM
한국과	한국/NNP+과/JC
일본이	일본/NNP+이/JKS
배제되지	배제/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
함께	함께/MAG
대화해야	대화/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.5.1
최종건 연세대 정치외교학과 교수는 중국이 미국과 사이에서 '무게추' 역할을 해야 한다고 했다.

최종건	최종건/NNP
연세대	연세대/NNP
정치외교학과	정치/NNG+외교학과/NNG
교수는	교수/NNG+는/JX
중국이	중국/NNP+이/JKS
미국과	미국/NNP+과/JKB
사이에서	사이/NNG+에서/JKB
'무게추'	'/SS+무게/NNG+추/NNG+'/SS
역할을	역할/NNG+을/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.5.2
최 교수는 "중국은 동북아에 전쟁이 발생하면 미국의 역내 패권 유지에 지장이 생기고, 한반도에서의 미국 이익도 손실될 것이라는 강력한 신호를 미국에 보내야 한다"며 "이와 동시에 북한의 개혁 개방을 위해 노력해야 한다"고 했다.

최	최/NNP
교수는	교수/NNG+는/JX
"중국은	"/SS+중국/NNP+은/JX
동북아에	동북아/NNP+에/JKB
전쟁이	전쟁/NNG+이/JKS
발생하면	발생/NNG+하/XSV+면/EC
미국의	미국/NNP+의/JKG
역내	역내/NNG
패권	패권/NNG
유지에	유지/NNG+에/JKB
지장이	지장/NNG+이/JKS
생기고,	생기/VV+고/EC+,/SP
한반도에서의	한반도/NNP+에서/JKB+의/JKG
미국	미국/NNP
이익도	이익/NNG+도/JX
손실될	손실/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
신호를	신호/NNG+를/JKO
미국에	미국/NNP+에/JKB
보내야	보내/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"이와	"/SS+이/NP+와/JKB
동시에	동시/NNG+에/JKB
북한의	북한/NNP+의/JKG
개혁	개혁/NNG
개방을	개방/NNG+을/JKO
위해	위하/VV+아/EC
노력해야	노력/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.6.1
리우더빈 중국 지린대 공공외교학원장은 이 같은 요구를 중국이 피하지만은 않을 것임을 시사했다.

리우더빈	리우더빈/NNP
중국	중국/NNP
지린대	지린대/NNP
공공외교학원장은	공공/NNG+외교학/NNG+원장/NNG+은/JX
이	이/NP
같은	같/VA+은/ETM
요구를	요구/NNG+를/JKO
중국이	중국/NNP+이/JKS
피하지만은	피하/VV+지/EC+만/JX+은/JX
않을	않/VX+을/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.6.2
그는 "시진핑 중국 국가주석은 국제 사회 일원으로서 역할을 하겠다는 의지가 있다"며 "어떤 방법을 쓸지는 여러분의 상상을 뛰어넘을 수도 있다"고 했다.

그는	그/NP+는/JX
"시진핑	"/SS+시진핑/NNP
중국	중국/NNP
국가주석은	국가주석/NNG+은/JX
국제	국제/NNG
사회	사회/NNG
일원으로서	일원/NNG+으로서/JKB
역할을	역할/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
의지가	의지/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"어떤	"/SS+어떤/MMD
방법을	방법/NNG+을/JKO
쓸지는	쓰/VV+ㄹ지/EF+는/JX
여러분의	여러분/NP+의/JKG
상상을	상상/NNG+을/JKO
뛰어넘을	뛰어넘/VV+을/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.7.1
지역 협력의 성공적 모델로 평가받고 있는 유럽연합(EU)의 미하엘 라이터러 주한 대사는 "3국은 경제적으로 밀접한 관계를 맺고 있으면서도 정치적으로는 긴장 상태"라며 "한·중·일 자유무역협정(FTA)으로 경제적 기초를 강화하면 서로 간 대화도 진전될 것"이라고 했다.

지역	지역/NNG
협력의	협력/NNG+의/JKG
성공적	성공/NNG+적/XSN
모델로	모델/NNG+로/JKB
평가받고	평가/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
유럽연합(EU)의	유럽연합/NNP+(/SS+EU/SL+)/SS+의/JKG
미하엘	미하엘/NNP
라이터러	라이터러/NNP
주한	주한/NNG
대사는	대사/NNG+는/JX
"3국은	"/SS+3국/NNG+은/JX
경제적으로	경제/NNG+적/XSN+으로/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관계를	관계/NNG+를/JKO
맺고	맺/VV+고/EC
있으면서도	있/VX+으면서/EC+도/JX
정치적으로는	정치/NNG+적/XSN+으로/JKB+는/JX
긴장	긴장/NNG
상태"라며	상태/NNG+"/SS+이/VCP+라며/EC
"한·중·일	"/SS+한·중·일/NNP
자유무역협정(FTA)으로	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+으로/JKB
경제적	경제/NNG+적/XSN
기초를	기초/NNG+를/JKO
강화하면	강화/NNG+하/XSV+면/EC
서로	서로/NNG
간	간/NNB
대화도	대화/NNG+도/JX
진전될	진전/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.7.2
옹 켕용 전 아세안 사무총장은 설립 40주년을 맞은 아세안의 노하우를 소개하면서 "우리는 매년 1200여 개의 회의를 연다. 아이디어가 이행될 때까지 활발하게 만나야 한다"고 했다.

옹	옹/NNP
켕용	켕용/NNP
전	전/MMD
아세안	아세안/NNP
사무총장은	사무총장/NNG+은/JX
설립	설립/NNG
40주년을	40/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
아세안의	아세안/NNP+의/JKG
노하우를	노하우/NNG+를/JKO
소개하면서	소개/NNG+하/XSV+면서/EC
"우리는	"/SS+우리/NP+는/JX
매년	매년/MAG
1200여	1200/SN+여/XSN
개의	개/NNB+의/JKG
회의를	회의/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF
아이디어가	아이디어/NNG+가/JKS
이행될	이행/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
활발하게	활발하/VA+게/EC
만나야	만나/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.8.1
한·중·일 청년 간 교류를 활성화하기 위한 제언들도 쏟아졌다.

한·중·일	한·중·일/NNP
청년	청년/NNG
간	간/NNB
교류를	교류/NNG+를/JKO
활성화하기	활성/NNG+화/XSN+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
제언들도	제언/NNG+들/XSN+도/JX
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.366.8.2
니우화용 베이징 외국어대 국제경영대학장은 "한·중·일 청년들은 서로를 잘 안다는 생각에 더 연구해 볼 생각을 하지 않는다"며 "3국 대학생들의 해외 유학이 서구 쪽으로 편중되는 현상을 막기 위해 장학금 등 인센티브를 확충해야 할 것"이라고 했다.

니우화용	니우화용/NNP
베이징	베이징/NNP
외국어대	외국어대/NNG
국제경영대학장은	국제/NNG+경영대/NNG+학장/NNG+은/JX
"한·중·일	"/SS+한·중·일/NNP
청년들은	청년/NNG+들/XSN+은/JX
서로를	서로/NNG+를/JKO
잘	잘/MAG
안다는	알/VV+ㄴ다는/ETM
생각에	생각/NNG+에/JKB
더	더/MAG
연구해	연구/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
생각을	생각/NNG+을/JKO
하지	하/VV+지/EC
않는다"며	않/VX+는다/EF+"/SS+며/EC
"3국	"/SS+3국/NNG
대학생들의	대학/NNG+생/XSN+들/XSN+의/JKG
해외	해외/NNG
유학이	유학/NNG+이/JKS
서구	서구/NNG
쪽으로	쪽/NNB+으로/JKB
편중되는	편중/NNG+되/XSV+는/ETM
현상을	현상/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
장학금	장학금/NNG
등	등/NNB
인센티브를	인센티브/NNG+를/JKO
확충해야	확충/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.366.8.3
한·중·일 3국 대학(원)생 교류 프로그램인 '캠퍼스 아시아' 사업 고안자 아라키 마사루 오카야마대 부총장은 "성과가 많았지만 선발된 학생에게만 혜택이 쏠린다는 지적이 있어, 나머지 학생들을 대상으로 한 국내 단기 연수 등도 고려하고 있다"고 했다.

한·중·일	한·중·일/NNP
3국	3국/NNG
대학(원)생	대학/NNG+(/SS+원/NA+)/SS+생/XSN
교류	교류/NNG
프로그램인	프로그램/NNG+이/VCP+ㄴ/ETM
'캠퍼스	'/SS+캠퍼스/NNG
아시아'	아시아/NNP+'/SS
사업	사업/NNG
고안자	고안자/NNG
아라키	아라키/NNP
마사루	마사루/NNP
오카야마대	오카야마대/NNP
부총장은	부총장/NNG+은/JX
"성과가	"/SS+성과/NNG+가/JKS
많았지만	많/VA+았/EP+지만/EC
선발된	선발/NNG+되/XSV+ㄴ/ETM
학생에게만	학생/NNG+에게/JKB+만/JX
혜택이	혜택/NNG+이/JKS
쏠린다는	쏠리/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
있어,	있/VA+어/EC+,/SP
나머지	나머지/NNG
학생들을	학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
국내	국내/NNG
단기	단기/NNG
연수	연수/NNG
등도	등/NNB+도/JX
고려하고	고려/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


