# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.201
metadata : {}


# id : NWRW1800000026.201.1.1
[차이나 마켓 리포트] 중국 시장에서성공한 기업들_아모레퍼시픽;'라네즈' 아시아 브랜드화… 중국 여심 사로잡아

[차이나	[/SS+차이나/NNP
치열한	치열/NNG+하/XSA+ㄴ/ETM
중국	중국/NNP
시장에서	시장/NNG+에서/JKB
아모레퍼시픽이	아모레퍼시픽/NNP+이/JKS
이런	이런/MMD
성공을	성공/NNG+을/JKO
거둘수	거두/VV+ㄹ/ETM+수/NNB
있었던	있/VA+었/EP+던/ETM
비결은	비결/NNG+은/JX
'프리미엄전략'이다.	'/SS+프리미엄/NNG+전략/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.201.3.1
아모레퍼시픽의 중국 시장 진출은 시장 개방이 본격화되기 전인 1993년으로 거슬러 올라간다.

아모레퍼시픽의	아모레퍼시픽/NNP+의/JKG
중국	중국/NNP
시장	시장/NNG
진출은	진출/NNG+은/JX
개방이	개방/NNG+이/JKS
본격화되기	본격/NNG+화/XSN+되/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
1993년으로	1993/SN+년/NNB+으로/JKB
거슬러	거스르/VV+어/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.201.3.2
선양에 현지법인을 설립해 선양·장춘·하얼빈 등 동북 3성을 중심으로 영업력을 키웠다.

선양에	선양/NNP+에/JKB
현지법인을	현지/NNG+법인/NNG+을/JKO
설립해	설립/NNG+하/XSV+아/EC
선양·장춘·하얼빈	선양/NNP+·/SP+장춘/NNP+·/SP+하얼빈/NNP
등	등/NNB
동북	동북/NNG
3성을	3/SN+성/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
영업력을	영업력/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.201.3.3
그 후 한국 시장에서 성공한 대표 브랜드 '라네즈'를 아시아 브랜드화하기로 결정하고, 중국 시장 도입에 앞서 3년간 3,500명에 이르는 중국 소비자를 대상으로 철저하고 광범위한 사전 조사를 실시했다.

그	그/MMD
후	후/NNG
한국	한국/NNP
시장에서	시장/NNG+에서/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
대표	대표/NNG
브랜드	브랜드/NNG
'라네즈'를	'/SS+라네즈/NNP+'/SS+를/JKO
아시아	아시아/NNP
브랜드화하기로	브랜드/NNG+화/XSN+하/XSV+기/ETN+로/JKB
결정하고,	결정/NNG+하/XSV+고/EC+,/SP
중국	중국/NNP
시장	시장/NNG
도입에	도입/NNG+에/JKB
앞서	앞서/VV+어/EC
3년간	3/SN+년/NNB+간/XSN
3,500명에	3/SN+,/SP+500/SN+명/NNB+에/JKB
이르는	이르/VV+는/ETM
소비자를	소비자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
철저하고	철저/NNG+하/XSA+고/EC
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
사전	사전/NNG
조사를	조사/NNG+를/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.201.3.4
그 결과 20대 여성을 겨냥한 '프리미엄 영브랜드'로 방향을 정하고, 2002년 9월부터 중국 시장을 공략했다.

그	그/MMD
결과	결과/NNG
20대	20/SN+대/NNB
여성을	여성/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
'프리미엄	'/SS+프리미엄/NNG
영브랜드'로	영브랜드/NNG+'/SS+로/JKB
방향을	방향/NNG+을/JKO
정하고,	정하/VV+고/EC+,/SP
2002년	2002/SN+년/NNB
9월부터	9/SN+월/NNB+부터/JX
중국	중국/NNP
시장을	시장/NNG+을/JKO
공략했다.	공략/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.201.4.1
1호점의 위치를 상하이 패션 중심의 팍슨백화점으로 정한 것도 프리미엄전략이었다.

1호점의	1/SN+호점/NNB+의/JKG
위치를	위치/NNG+를/JKO
상하이	상하이/NNP
패션	패션/NNG
중심의	중심/NNG+의/JKG
팍슨백화점으로	팍슨백화점/NNP+으로/JKB
정한	정하/VV+ㄴ/ETM
것도	것/NNB+도/JX
프리미엄전략이었다.	프리미엄/NNG+전략/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.201.4.2
상하이대학 캠퍼스와 카페거리 신천지에서 '라네즈 뷰티 클래스'를 열어 브랜드 이미지를 높이고, 젊은 여성 의류와 연계한 마케팅도 펼쳤다.

상하이대학	상하이대학/NNP
캠퍼스와	캠퍼스/NNG+와/JC
카페거리	카페/NNG+거리/NNG
신천지에서	신/XPN+천지/NNG+에서/JKB
'라네즈	'/SS+라네즈/NNP
뷰티	뷰티/NNG
클래스'를	클래스/NNG+'/SS+를/JKO
열어	열/VV+어/EC
브랜드	브랜드/NNG
이미지를	이미지/NNG+를/JKO
높이고,	높이/VV+고/EC+,/SP
젊은	젊/VA+은/ETM
여성	여성/NNG
의류와	의류/NNG+와/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
마케팅도	마케팅/NNG+도/JX
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.201.4.3
이런 노력 끝에 1호점이 성공하자 타지역 백화점에서 입점 요청이 쏟아졌으나 유통 채널을 A급 백화점으로 한정함으로써 프리미엄 브랜드의 이미지를 유지하고 있다.

이런	이런/MMD
노력	노력/NNG
끝에	끝/NNG+에/JKB
1호점이	1/SN+호점/NNB+이/JKS
성공하자	성공/NNG+하/XSV+자/EC
타지역	타/MMD+지역/NNG
백화점에서	백화점/NNG+에서/JKB
입점	입점/NNG
요청이	요청/NNG+이/JKS
쏟아졌으나	쏟아지/VV+었/EP+으나/EC
유통	유통/NNG
채널을	채널/NNG+을/JKO
A급	A/SL+급/NNG
백화점으로	백화점/NNG+으로/JKB
한정함으로써	한정/NNG+하/XSV+ㅁ/ETN+으로써/JKB
프리미엄	프리미엄/NNG
브랜드의	브랜드/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.201.4.4
그 결과 중국의 20대 여성들 사이에 라네즈는 프랑스의 비오템, 미국의 크리니크 등과 같은 글로벌 브랜드로 인식되고 있다.

그	그/MMD
결과	결과/NNG
중국의	중국/NNP+의/JKG
20대	20/SN+대/NNB
여성들	여성/NNG+들/XSN
사이에	사이/NNG+에/JKB
라네즈는	라네즈/NNP+는/JX
프랑스의	프랑스/NNP+의/JKG
비오템,	비오템/NNP+,/SP
미국의	미국/NNP+의/JKG
크리니크	크리니크/NNP
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
글로벌	글로벌/NNG
브랜드로	브랜드/NNG+로/JKB
인식되고	인식/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.201.4.5
현재 라네즈는 중국 51개 지역에 163개 매장을 운영하고 있다.

현재	현재/MAG
라네즈는	라네즈/NNP+는/JX
중국	중국/NNP
51개	51/SN+개/NNB
지역에	지역/NNG+에/JKB
163개	163/SN+개/NNB
매장을	매장/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.201.5.1
아모레퍼시픽은 또 올 하반기 명품 한방화장품 '설화수'의 중국 시장 론칭을 준비하고 있다.

아모레퍼시픽은	아모레퍼시픽/NNP+은/JX
또	또/MAG
올	올/NNG
하반기	하반기/NNG
명품	명품/NNG
한방화장품	한방/NNG+화장품/NNG
'설화수'의	'/SS+설화수/NNP+'/SS+의/JKG
중국	중국/NNP
시장	시장/NNG
론칭을	론칭/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.201.5.2
중국 시장 도입에 앞서 작년 6월 홍콩 플래그십 매장에 설화수 스파를 열었다.

중국	중국/NNP
시장	시장/NNG
도입에	도입/NNG+에/JKB
앞서	앞서/VV+어/EC
작년	작년/NNG
6월	6/SN+월/NNB
홍콩	홍콩/NNP
플래그십	플래그십/NNG
매장에	매장/NNG+에/JKB
설화수	설화수/NNP
스파를	스파/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.201.5.3
설화수는 홍콩 상류층의 입소문을 통해 인기가 확대되면서 70% 넘는 재구매율을 자랑하며, 중국 본토에서 온 관광객들로부터도 사랑을 받고 있다.

설화수는	설화수/NNP+는/JX
홍콩	홍콩/NNP
상류층의	상류/NNG+층/XSN+의/JKG
입소문을	입소문/NNG+을/JKO
통해	통하/VV+아/EC
인기가	인기/NNG+가/JKS
확대되면서	확대/NNG+되/XSV+면서/EC
70%	70/SN+%/SW
넘는	넘/VV+는/ETM
재구매율을	재/XPN+구매/NNG+율/XSN+을/JKO
자랑하며,	자랑/NNG+하/XSV+며/EC+,/SP
중국	중국/NNP
본토에서	본토/NNG+에서/JKB
온	오/VV+ㄴ/ETM
관광객들로부터도	관광객/NNG+들/XSN+로부터/JKB+도/JX
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.201.5.4
아모레퍼시픽은 홍콩시장의 성공적인 론칭을 발판으로 중국 본토에도 진출한다는 계획이다.

아모레퍼시픽은	아모레퍼시픽/NNP+은/JX
홍콩시장의	홍콩/NNP+시장/NNG+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
론칭을	론칭/NNG+을/JKO
발판으로	발판/NNG+으로/JKB
중국	중국/NNP
본토에도	본토/NNG+에/JKB+도/JX
진출한다는	진출/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


