# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.256
metadata : {}


# id : NWRW1800000040.256.1.1
[이사람] “민족·국가 넘어 인본주의 실천하는 길 찾겠다”

[이사람]	[/SS+이/MMD+사람/NNG+]/SS
준비하고	준비/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.256.8.1
아세아쿠(ASEACCU)는 1993년 설립된 아시아 지역 가톨릭계 대학들의 국제협의체이다.

아세아쿠(ASEACCU)는	아세아쿠/NNG+(/SS+ASEACCU/SL+)/SS+는/JX
1993년	1993/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
아시아	아시아/NNP
지역	지역/NNG
가톨릭계	가톨릭/NNG+계/XSN
대학들의	대학/NNG+들/XSN+의/JKG
국제협의체이다.	국제/NNG+협의체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.256.8.2
한국, 오스트레일리아, 일본 등 아시아 68개 대학이 협의체에 참여하고 있으며, 이번 총회에는 8개국 44개 대학재단 이사장, 총장, 교수, 학생 등 200여명이 참가한다.

한국,	한국/NNP+,/SP
오스트레일리아,	오스트레일리아/NNP+,/SP
일본	일본/NNP
등	등/NNB
아시아	아시아/NNP
68개	68/SN+개/NNB
대학이	대학/NNG+이/JKS
협의체에	협의체/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
이번	이번/NNG
총회에는	총회/NNG+에/JKB+는/JX
8개국	8/SN+개국/NNB
44개	44/SN+개/NNB
대학재단	대학/NNG+재단/NNG
이사장,	이사장/NNG+,/SP
총장,	총장/NNG+,/SP
교수,	교수/NNG+,/SP
학생	학생/NNG
200여명이	200/SN+여/XSN+명/NNB+이/JKS
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.256.8.3
이들은 교육, 연구, 봉사 등 6개 분야 주제발표와 토론에 참여한다.

이들은	이/NP+들/XSN+은/JX
교육,	교육/NNG+,/SP
연구,	연구/NNG+,/SP
봉사	봉사/NNG
등	등/NNB
6개	6/SN+개/NNB
분야	분야/NNG
주제발표와	주제/NNG+발표/NNG+와/JC
토론에	토론/NNG+에/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.256.8.4
로마 교황청 교육성장관인 제논 그로홀레프스키 추기경도 참가해 기조연설을 한다.

로마	로마/NNP
교황청	교황청/NNG
교육성장관인	교육성/NNG+장관/NNG+이/VCP+ㄴ/ETM
제논	제논/NNP
그로홀레프스키	그로홀레프스키/NNP
추기경도	추기경/NNG+도/JX
참가해	참가/NNG+하/XSV+아/EC
기조연설을	기조연설/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.256.9.1
“기존 인프라를 다시 일깨워 생명의 숨을 불어넣자는 의미로 총회 주제를 새로운 열정, 새로운 표현, 새로운 복음화를 위한 가톨릭 고등교육의 사명으로 정했습니다.”

“기존	“/SS+기존/NNG
인프라를	인프라/NNG+를/JKO
다시	다시/MAG
일깨워	일깨우/VV+어/EC
생명의	생명/NNG+의/JKG
숨을	숨/NNG+을/JKO
불어넣자는	불어넣/VV+자는/ETM
의미로	의미/NNG+로/JKB
총회	총회/NNG
주제를	주제/NNG+를/JKO
새로운	새롭/VA+ㄴ/ETM
열정,	열정/NNG+,/SP
표현,	표현/NNG+,/SP
복음화를	복음/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
가톨릭	가톨릭/NNG
고등교육의	고등/NNG+교육/NNG+의/JKG
사명으로	사명/NNG+으로/JKB
정했습니다.”	정하/VV+았/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000040.256.10.1
박 총장은 “총회 주제는 지난 2월 은퇴하신 베네딕토 16세 교황께서 올해를 ‘새로운 복음화의 해’로 선포하신 것과 관련 있다. 교황께서는 지난 2000년간 끊임없이 가톨릭인본주의 정신을 부르짖고 실천해 온 그리스도 교회가 세상에 다시 한번 하느님의 뜻을 전달함으로써 평화로운 세상을 재건하고자 신앙의 해를 선포했다”고 전했다.

박	박/NNP
총장은	총장/NNG+은/JX
“총회	“/SS+총회/NNG
주제는	주제/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
은퇴하신	은퇴/NNG+하/XSV+시/EP+ㄴ/ETM
베네딕토	베네딕토/NNP
16세	16/SN+세/NNB
교황께서	교황/NNG+께서/JKS
올해를	올해/NNG+를/JKO
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
복음화의	복음/NNG+화/XSN+의/JKG
해’로	해/NNG+’/SS+로/JKB
선포하신	선포/NNG+하/XSV+시/EP+ㄴ/ETM
것과	것/NNB+과/JKB
관련	관련/NNG
있다.	있/VA+다/EF+./SF
교황께서는	교황/NNG+께서/JKS+는/JX
2000년간	2000/SN+년/NNB+간/XSN
끊임없이	끊임없이/MAG
가톨릭인본주의	가톨릭/NNG+인본주의/NNG
정신을	정신/NNG+을/JKO
부르짖고	부르짖/VV+고/EC
실천해	실천/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
그리스도	그리스도/NNG
교회가	교회/NNG+가/JKS
세상에	세상/NNG+에/JKB
다시	다시/MAG
한번	한/MMN+번/NNB
하느님의	하느님/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
전달함으로써	전달/NNG+하/XSV+ㅁ/ETN+으로써/JKB
평화로운	평화/NNG+롭/XSA+ㄴ/ETM
세상을	세상/NNG+을/JKO
재건하고자	재건/NNG+하/XSV+고자/EC
신앙의	신앙/NNG+의/JKG
해를	해/NNG+를/JKO
선포했다”고	선포/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.256.11.1
그는 “가톨릭계 대학은 유럽, 북미 등 세계 여러나라에서 명문대학으로 자리잡고 있다. 우리 학교도 큰 규모의 국제행사를 치르면서 국제 인프라가 향상되고, 구성원들의 국제화 수준도 높아질 것으로 기대한다”고 말했다.

그는	그/NP+는/JX
“가톨릭계	“/SS+가톨릭/NNG+계/XSN
대학은	대학/NNG+은/JX
유럽,	유럽/NNP+,/SP
북미	북미/NNP
등	등/NNB
세계	세계/NNG
여러나라에서	여러/MMN+나라/NNG+에서/JKB
명문대학으로	명문/NNG+대학/NNG+으로/JKB
자리잡고	자리/NNG+잡/VV+고/EC
있다.	있/VX+다/EF+./SF
우리	우리/NP
학교도	학교/NNG+도/JX
큰	크/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
국제행사를	국제/NNG+행사/NNG+를/JKO
치르면서	치르/VV+면서/EC
국제	국제/NNG
인프라가	인프라/NNG+가/JKS
향상되고,	향상/NNG+되/XSV+고/EC+,/SP
구성원들의	구성원/NNG+들/XSN+의/JKG
국제화	국제/NNG+화/XSN
수준도	수준/NNG+도/JX
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.256.11.2
지난 6월부터 학생들이 서포터스를 구성해 총회 준비를 해왔고, 행사 진행에도 참여해 여러 나라 문화를 체험할 수 있는 기회가 될 것이라는 설명이다.

지난	지나/VV+ㄴ/ETM
6월부터	6/SN+월/NNB+부터/JX
학생들이	학생/NNG+들/XSN+이/JKS
서포터스를	서포터스/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
총회	총회/NNG
준비를	준비/NNG+를/JKO
해왔고,	하/VV+아/EC+오/VX+았/EP+고/EC+,/SP
행사	행사/NNG
진행에도	진행/NNG+에/JKB+도/JX
참여해	참여/NNG+하/XSV+아/EC
여러	여러/MMN
나라	나라/NNG
문화를	문화/NNG+를/JKO
체험할	체험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.256.12.1
박 총장은 “세계 금융위기 등 우리가 맞고 있는 위기는 똑똑하지만 자신밖에 모르는 이기적인 사람들의 욕심에서 비롯됐다. 인성을 갖추고, 공동체에 대한 윤리적 사명감이 투철한 전문 인재가 어느 때보다 필요하다. 가톨릭대학은 인성, 지성, 영성을 고루 갖춘 윤리적 인재 양성을 위해 다양한 노력을 하고 있다”고 말했다.

박	박/NNP
총장은	총장/NNG+은/JX
“세계	“/SS+세계/NNG
금융위기	금융/NNG+위기/NNG
등	등/NNB
우리가	우리/NP+가/JKS
맞고	맞/VV+고/EC
있는	있/VX+는/ETM
위기는	위기/NNG+는/JX
똑똑하지만	똑똑하/VA+지만/EC
자신밖에	자신/NNG+밖에/JX
모르는	모르/VV+는/ETM
이기적인	이기/NNG+적/XSN+이/VCP+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
욕심에서	욕심/NNG+에서/JKB
비롯됐다.	비롯되/VV+었/EP+다/EF+./SF
인성을	인성/NNG+을/JKO
갖추고,	갖추/VV+고/EC+,/SP
공동체에	공동체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
윤리적	윤리/NNG+적/XSN
사명감이	사명감/NNG+이/JKS
투철한	투철하/VA+ㄴ/ETM
전문	전문/NNG
인재가	인재/NNG+가/JKS
어느	어느/MMD
때보다	때/NNG+보다/JKB
필요하다.	필요/NNG+하/XSA+다/EF+./SF
가톨릭대학은	가톨릭대학/NNP+은/JX
인성,	인성/NNG+,/SP
지성,	지성/NNG+,/SP
영성을	영성/NNG+을/JKO
고루	고루/MAG
갖춘	갖추/VV+ㄴ/ETM
인재	인재/NNG
양성을	양성/NNG+을/JKO
위해	위하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
노력을	노력/NNG+을/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.256.13.1
1982년 사제 서품을 받은 박 총장은 로마 교황청 성서대학에서 성서학 석·박사 학위를 받았다.

1982년	1982/SN+년/NNB
사제	사제/NNG
서품을	서품/NNG+을/JKO
받은	받/VV+은/ETM
박	박/NNP
총장은	총장/NNG+은/JX
로마	로마/NNP
교황청	교황청/NNG
성서대학에서	성서대학/NNP+에서/JKB
성서학	성서학/NNG
석·박사	석·박사/NNG
학위를	학위/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.256.13.2
고 김수환 추기경의 비서, 가톨릭대 종교학과 교수와 문화영성대학원장을 거쳐 2009년 1월 5대 가톨릭대 총장에 취임했고, 지난해 12월 연임됐다.

고	고/MMA
김수환	김수환/NNP
추기경의	추기경/NNG+의/JKG
비서,	비서/NNG+,/SP
가톨릭대	가톨릭대/NNP
종교학과	종교학/NNG+과/NNG
교수와	교수/NNG+와/JC
문화영성대학원장을	문화/NNG+영성/NNG+대학원장/NNG+을/JKO
거쳐	거치/VV+어/EC
2009년	2009/SN+년/NNB
1월	1/SN+월/NNB
5대	5/SN+대/NNB
총장에	총장/NNG+에/JKB
취임했고,	취임/NNG+하/XSV+았/EP+고/EC+,/SP
지난해	지난해/NNG
12월	12/SN+월/NNB
연임됐다.	연임/NNG+되/XSV+었/EP+다/EF+./SF


