# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.159
metadata : {}


# id : NWRW1800000022.159.1.1
"전직 대통령이 검찰 불려가는 이 나라… 이번이 마지막이기를";각계 반응 "깨끗하다더니…" 배신감 일부 시민 "사실 아니길"

"전직	"/SS+전직/NNG
아니길	아니/VCN+기/ETN+ㄹ/JKO
바란다"는	바라/VV+ㄴ다/EF+"/SS+는/ETM
반응도	반응/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.4.1
서울 청량리역 대합실에서 노 전 대통령이 상경하는 장면을 대형 TV를 통해 지켜보던 이옥구(여·70)씨는 "대통령까지 한 사람이 뭐가 부족하다고 욕심을 내서 돈을 받고 그러는지 모르겠다"고 말했다.

서울	서울/NNP
청량리역	청량리역/NNP
대합실에서	대합실/NNG+에서/JKB
노	노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
상경하는	상경/NNG+하/XSV+는/ETM
장면을	장면/NNG+을/JKO
대형	대형/NNG
TV를	TV/SL+를/JKO
통해	통하/VV+아/EC
지켜보던	지켜보/VV+던/ETM
이옥구(여·70)씨는	이옥구/NNP+(/SS+여/NNG+·/SP+70/SN+)/SS+씨/NNB+는/JX
"대통령까지	"/SS+대통령/NNG+까지/JX
한	하/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
뭐가	뭐/NP+가/JKS
부족하다고	부족/NNG+하/XSA+다고/EC
욕심을	욕심/NNG+을/JKO
내서	내/VV+어서/EC
돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
그러는지	그러/VV+는지/EC
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.5.1
김진남(여·32)씨는 "앞서 비리에 휘말린 전직 대통령들이 있었지만 노무현 전 대통령은 서민 이미지와 도덕성을 내세워 대통령에 당선됐기 때문에 사람들이 더 많이 실망을 하고 비난을 하는 것 같다"고 말했다.

김진남(여·32)씨는	김진남/NNP+(/SS+여/NNG+·/SP+32/SN+)/SS+씨/NNB+는/JX
"앞서	"/SS+앞서/MAG
비리에	비리/NNG+에/JKB
휘말린	휘말리/VV+ㄴ/ETM
전직	전직/NNG
대통령들이	대통령/NNG+들/XSN+이/JKS
있었지만	있/VA+었/EP+지만/EC
노무현	노무현/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
서민	서민/NNG
이미지와	이미지/NNG+와/JC
도덕성을	도덕/NNG+성/XSN+을/JKO
내세워	내세우/VV+어/EC
대통령에	대통령/NNG+에/JKB
당선됐기	당선/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
사람들이	사람/NNG+들/XSN+이/JKS
더	더/MAG
많이	많이/MAG
실망을	실망/NNG+을/JKO
하고	하/VV+고/EC
비난을	비난/NNG+을/JKO
하는	하/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.6.1
연세대에서 만난 박규석(25·법학과)씨는 "노무현 전 대통령을 지지하진 않지만 정치인 중에서 청렴도가 가장 높다고 생각해왔다"면서 "인생사 면에서도 어려운 환경을 딛고 대통령이 된 점을 존경해왔는데 괘씸하면서도 안타깝다"고 말했다.

연세대에서	연세대/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
박규석(25·법학과)씨는	박규석/NNP+(/SS+25/SN+·/SP+법학과/NNG+)/SS+씨/NNB+는/JX
"노무현	"/SS+노무현/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
지지하진	지지/NNG+하/XSV+지/EC+ㄴ/JX
않지만	않/VX+지만/EC
정치인	정치인/NNG
중에서	중/NNB+에서/JKB
청렴도가	청렴도/NNG+가/JKS
가장	가장/MAG
높다고	높/VA+다고/EC
생각해왔다"면서	생각/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+"/SS+면서/EC
"인생사	"/SS+인생사/NNG
면에서도	면/NNG+에서/JKB+도/JX
어려운	어렵/VA+ㄴ/ETM
환경을	환경/NNG+을/JKO
딛고	딛/VV+고/EC
대통령이	대통령/NNG+이/JKC
된	되/VV+ㄴ/ETM
점을	점/NNG+을/JKO
존경해왔는데	존경/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC
괘씸하면서도	괘씸하/VA+면서/EC+도/JX
안타깝다"고	안타깝/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.7.1
참여정부의 '편의주의적인 도덕적 우월주의'를 이번 사태의 원인으로 지목하는 목소리도 있었다.

참여정부의	참여/NNG+정부/NNG+의/JKG
'편의주의적인	'/SS+편의주의/NNG+적/XSN+이/VCP+ㄴ/ETM
도덕적	도덕/NNG+적/XSN
우월주의'를	우월주의/NNG+'/SS+를/JKO
이번	이번/NNG
사태의	사태/NNG+의/JKG
원인으로	원인/NNG+으로/JKB
지목하는	지목/NNG+하/XSV+는/ETM
목소리도	목소리/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.159.8.1
김형준 명지대 교양학부(정치학) 교수는 "이번 사태는 참여정부의 '편의주의적인 도덕적 우월주의'의 붕괴"라고 말했다.

김형준	김형준/NNP
명지대	명지대/NNP
교양학부(정치학)	교양/NNG+학부/NNG+(/SS+정치학/NNG+)/SS
교수는	교수/NNG+는/JX
"이번	"/SS+이번/NNG
사태는	사태/NNG+는/JX
참여정부의	참여/NNG+정부/NNG+의/JKG
'편의주의적인	'/SS+편의주의/NNG+적/XSN+이/VCP+ㄴ/ETM
도덕적	도덕/NNG+적/XSN
우월주의'의	우월주의/NNG+'/SS+의/JKG
붕괴"라고	붕괴/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.8.2
그는 "참여정부는 도덕성을 절대주의가 아닌 상대주의적 관점에서 바라봤다"면서 "(불법 대선자금과 관련한) '10분의 1' 발언도 그래서 나온 것이고 결국 그런 편의주의적인 태도가 오늘의 사태를 부르고 말았다"고 말했다.

그는	그/NP+는/JX
"참여정부는	"/SS+참여/NNG+정부/NNG+는/JX
도덕성을	도덕/NNG+성/XSN+을/JKO
절대주의가	절대주의/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
상대주의적	상대주의/NNG+적/XSN
관점에서	관점/NNG+에서/JKB
바라봤다"면서	바라보/VV+았/EP+다/EF+"/SS+면서/EC
"(불법	"/SS+(/SS+불법/NNG
대선자금과	대선/NNG+자금/NNG+과/JKB
관련한)	관련/NNG+하/XSV+ㄴ/ETM+)/SS
'10분의	'/SS+10/SN+분/XSN+의/JKG
1'	1/SN+'/SS
발언도	발언/NNG+도/JX
그래서	그렇/VA+어서/EC
나온	나오/VV+ㄴ/ETM
것이고	것/NNB+이/VCP+고/EC
결국	결국/MAG
그런	그런/MMD
편의주의적인	편의주의/NNG+적/XSN+이/VCP+ㄴ/ETM
태도가	태도/NNG+가/JKS
오늘의	오늘/NNG+의/JKG
사태를	사태/NNG+를/JKO
부르고	부르/VV+고/EC
말았다"고	말/VX+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.9.1
2002년 대선 당시 노무현 전 대통령을 지지했던 사람들은 안타까움을 감추지 못했다.

2002년	2002/SN+년/NNB
대선	대선/NNG
당시	당시/NNG
노무현	노무현/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
지지했던	지지/NNG+하/XSV+았/EP+던/ETM
사람들은	사람/NNG+들/XSN+은/JX
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
감추지	감추/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.159.10.1
서울 영등포역에서 만난 윤민영(39·주부)씨는 "처음 이 사건이 터졌을 때 당혹스러웠다"면서 "그의 혐의가 사실이 아니고 가족과 측근들이 돈을 받은 것도 진짜 몰랐다고 믿고 싶을 뿐"이라고 말했다.

서울	서울/NNP
영등포역에서	영등포역/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
윤민영(39·주부)씨는	윤민영/NNP+(/SS+39/SN+·/SP+주부/NNG+)/SS+씨/NNB+는/JX
"처음	"/SS+처음/NNG
이	이/MMD
사건이	사건/NNG+이/JKS
터졌을	터지/VV+었/EP+을/ETM
때	때/NNG
당혹스러웠다"면서	당혹/NNG+스럽/XSA+었/EP+다/EF+"/SS+면서/EC
"그의	"/SS+그/NP+의/JKG
혐의가	혐의/NNG+가/JKS
사실이	사실/NNG+이/JKC
아니고	아니/VCN+고/EC
가족과	가족/NNG+과/JC
측근들이	측근/NNG+들/XSN+이/JKS
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
것도	것/NNB+도/JX
진짜	진짜/MAG
몰랐다고	모르/VV+았/EP+다고/EC
믿고	믿/VV+고/EC
싶을	싶/VX+을/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.11.1
노무현 정권이 출범한 이후 첫 통일부 장관을 지낸 정세현(64) 경남대 북한대학원 석좌교수는 "나라 꼴이 참…"이라며 말을 제대로 잇지 못했다.

노무현	노무현/NNP
정권이	정권/NNG+이/JKS
출범한	출범/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
첫	첫/MMN
통일부	통일부/NNG
장관을	장관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
정세현(64)	정세현/NNP+(/SS+64/SN+)/SS
경남대	경남대/NNP
북한대학원	북한/NNP+대학원/NNG
석좌교수는	석좌/NNG+교수/NNG+는/JX
"나라	"/SS+나라/NNG
꼴이	꼴/NNG+이/JKS
참…"이라며	참/IC+…/SE+"/SS+이/VCP+라며/EC
말을	말/NNG+을/JKO
제대로	제대로/MAG
잇지	잇/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.159.11.2
그는 "노 전 대통령의 주변 인물들이 이렇게 만들었겠지만 이거 나라 꼴이 참…"이라며 "어찌 됐건 대통령이 검찰에 출두한다는 게, 나라 꼴이 참…"이라고 말했다.

그는	그/NP+는/JX
"노	"/SS+노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
주변	주변/NNG
인물들이	인물/NNG+들/XSN+이/JKS
이렇게	이렇/VA+게/EC
만들었겠지만	만들/VV+었/EP+겠/EP+지만/EC
이거	이거/NP
나라	나라/NNG
꼴이	꼴/NNG+이/JKS
참…"이라며	참/IC+…/SE+"/SS+이/VCP+라며/EC
"어찌	"/SS+어찌/MAG
됐건	되/VV+었/EP+건/EC
대통령이	대통령/NNG+이/JKS
검찰에	검찰/NNG+에/JKB
출두한다는	출두/NNG+하/XSV+ㄴ다는/ETM
게,	거/NNB+이/JKS+,/SP
참…"이라고	참/IC+…/SE+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.12.1
이날 오후 1시 연세대 학생식당에서 만난 미국인 니콜라스 헬렌타리스씨는 "'넘버원 정치인(대통령)'이라고 하더라도 한 사람의 시민으로서 준법의 의무가 있고, 법을 어겼으면 처벌을 받아야 한다"면서 "노 전 대통령이 기업가에게 불법적인 돈을 받은 의혹에 대해 검찰이 수사를 하는 것은 민주적인 절차일 뿐이라고 생각한다"고 말했다.

이날	이날/NNG
오후	오후/NNG
1시	1/SN+시/NNB
연세대	연세대/NNP
학생식당에서	학생/NNG+식당/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
미국인	미국인/NNG
니콜라스	니콜라스/NNP
헬렌타리스씨는	헬렌타리스/NNP+씨/NNB+는/JX
"'넘버원	"/SS+'/SS+넘버원/NNG
정치인(대통령)'이라고	정치인/NNG+(/SS+대통령/NNG+)/SS+'/SS+이라고/JKQ
하더라도	하/VV+더라도/EC
한	한/MMN
사람의	사람/NNG+의/JKG
시민으로서	시민/NNG+으로서/JKB
준법의	준법/NNG+의/JKG
의무가	의무/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
법을	법/NNG+을/JKO
어겼으면	어기/VV+었/EP+으면/EC
처벌을	처벌/NNG+을/JKO
받아야	받/VV+아야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"노	"/SS+노/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
기업가에게	기업가/NNG+에게/JKB
불법적인	불법/NNG+적/XSN+이/VCP+ㄴ/ETM
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
검찰이	검찰/NNG+이/JKS
수사를	수사/NNG+를/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
민주적인	민주/NNG+적/XSN+이/VCP+ㄴ/ETM
절차일	절차/NNG+이/VCP+ㄹ/ETM
뿐이라고	뿐/NNB+이/VCP+라고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.13.1
민주화 이후 시민의식은 성장했는데도 정치는 구태를 면치 못하고 있는 한국의 상황을 상징적으로 보여주는 사건이라는 평가도 나왔다.

민주화	민주/NNG+화/XSN
이후	이후/NNG
시민의식은	시민/NNG+의식/NNG+은/JX
성장했는데도	성장/NNG+하/XSV+았/EP+는데/EC+도/JX
정치는	정치/NNG+는/JX
구태를	구태/NNG+를/JKO
면치	면하/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
한국의	한국/NNP+의/JKG
상황을	상황/NNG+을/JKO
상징적으로	상징/NNG+적/XSN+으로/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
사건이라는	사건/NNG+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.14.1
바른사회시민회의 박효종 공동대표는 "사회 전반은 투명성이 높아지는 쪽으로 나아가는데 노무현 대통령은 그 흐름에 역행한 것"이라고 말했다.

바른사회시민회의	바른사회시민회의/NNP
박효종	박효종/NNP
공동대표는	공동/NNG+대표/NNG+는/JX
"사회	"/SS+사회/NNG
전반은	전반/NNG+은/JX
투명성이	투명/NNG+성/XSN+이/JKS
높아지는	높아지/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
나아가는데	나아가/VV+는데/EC
노무현	노무현/NNP
대통령은	대통령/NNG+은/JX
그	그/MMD
흐름에	흐름/NNG+에/JKB
역행한	역행/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.14.2
그는 "사회 전반의 투명성이 높아졌다는 것을 고려하면 (다른 전직 대통령과 비교해서) 규모가 작다고 두둔하는 것은 궤변일 뿐"이라고 꼬집었다.

그는	그/NP+는/JX
"사회	"/SS+사회/NNG
전반의	전반/NNG+의/JKG
투명성이	투명/NNG+성/XSN+이/JKS
높아졌다는	높아지/VV+었/EP+다는/ETM
것을	것/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
(다른	(/SS+다른/MMD
전직	전직/NNG
대통령과	대통령/NNG+과/JKB
비교해서)	비교/NNG+하/XSV+아서/EC+)/SS
규모가	규모/NNG+가/JKS
작다고	작/VA+다고/EC
두둔하는	두둔/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
궤변일	궤변/NNG+이/VCP+ㄹ/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.159.15.1
전직 대통령을 구속할 것이냐를 두고 논란이 일고 있는 것과 관련, 법적 판단과 정치적 판단의 엄격한 구분이 필요하다는 지적도 나왔다.

전직	전직/NNG
대통령을	대통령/NNG+을/JKO
구속할	구속/NNG+하/XSV+ㄹ/ETM
것이냐를	것/NNB+이/VCP+냐/EF+를/JKO
두고	두/VV+고/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
관련,	관련/NNG+,/SP
법적	법/NNG+적/XSN
판단과	판단/NNG+과/JC
정치적	정치/NNG+적/XSN
판단의	판단/NNG+의/JKG
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
구분이	구분/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적도	지적/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.16.1
김일영 성균관대 정치외교학과 교수는 "검찰은 오로지 법에 의한 판단만 내려야 한다"며 "이것을 갖고 정치적 판단을 내리는 것이 대통령이나 정치권의 몫"이라고 말했다.

김일영	김일영/NNP
성균관대	성균관대/NNP
정치외교학과	정치/NNG+외교학과/NNG
교수는	교수/NNG+는/JX
"검찰은	"/SS+검찰/NNG+은/JX
오로지	오로지/MAG
법에	법/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
판단만	판단/NNG+만/JX
내려야	내리/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"이것을	"/SS+이것/NP+을/JKO
갖고	갖/VV+고/EC
정치적	정치/NNG+적/XSN
판단을	판단/NNG+을/JKO
내리는	내리/VV+는/ETM
것이	것/NNB+이/JKS
대통령이나	대통령/NNG+이나/JC
정치권의	정치/NNG+권/XSN+의/JKG
몫"이라고	몫/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.159.16.2
그는 "법적 판단과 정치적 판단을 섞어 버리면 법치가 확립될 수 없다"고 강조했다.

그는	그/NP+는/JX
"법적	"/SS+법/NNG+적/XSN
판단과	판단/NNG+과/JC
정치적	정치/NNG+적/XSN
판단을	판단/NNG+을/JKO
섞어	섞/VV+어/EC
버리면	버리/VX+면/EC
법치가	법치/NNG+가/JKS
확립될	확립/NNG+되/XSV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


