# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.60
metadata : {}


# id : NWRW1800000052.60.1.1
알파고를 보는 바둑계의 눈 “알파고에 고맙다”

알파고를	알파고/NNP+를/JKO
끝나고	끝나/VV+고/EC
복기를	복기/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.60.7.3
프로 기사들은 자신들이 왜 졌는지를 알지 못하면 못 사는 존재들이다.

프로	프로/NNG
기사들은	기사/NNG+들/XSN+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
왜	왜/MAG
졌는지를	지/VV+었/EP+는지/EC+를/JKO
알지	알/VV+지/EC
못하면	못하/VX+면/EC
못	못/MAG
사는	살/VV+는/ETM
존재들이다.	존재/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000052.60.7.4
복기를 하면서 상대의 멋진 수를 인정하고 자신의 실수를 되씹는다.

복기를	복기/NNG+를/JKO
하면서	하/VV+면서/EC
상대의	상대/NNG+의/JKG
멋진	멋지/VA+ㄴ/ETM
수를	수/NNG+를/JKO
인정하고	인정/NNG+하/XSV+고/EC
자신의	자신/NNG+의/JKG
실수를	실수/NNG+를/JKO
되씹는다.	되씹/VV+는다/EF+./SF


# id : NWRW1800000052.60.7.5
그 과정에 인간미가 숨어있는데 그것이 바둑의 가장 큰 멋 중 하나다”라고 했다.

그	그/MMD
과정에	과정/NNG+에/JKB
인간미가	인간미/NNG+가/JKS
숨어있는데	숨/VV+어/EC+있/VX+는데/EC
그것이	그것/NP+이/JKS
바둑의	바둑/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
멋	멋/NNG
중	중/NNB
하나다”라고	하나/NR+이/VCP+다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.60.7.6
대국에서 패한 이 9단이 곧바로 자리를 뜨지 못했던 것은 자신이 왜 졌는지를 알아내기 위해서였다.

대국에서	대국/NNG+에서/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
이	이/NNP
9단이	9/SN+단/NNG+이/JKS
곧바로	곧바로/MAG
자리를	자리/NNG+를/JKO
뜨지	뜨/VV+지/EC
못했던	못하/VX+았/EP+던/ETM
것은	것/NNB+은/JX
자신이	자신/NNG+이/JKS
왜	왜/MAG
졌는지를	지/VV+었/EP+는지/EC+를/JKO
알아내기	알아내/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.60.7.7
그러나 상대는 기계였기 때문에 그럴 수가 없었다.

그러나	그러나/MAJ
상대는	상대/NNG+는/JX
기계였기	기계/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
그럴	그러/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.60.7.8
이 9단은 2국이 끝난 날 기자회견을 마치고 돌아가 5시간 넘게 밤을 새우며 복기를 했다.

이	이/NNP
9단은	9/SN+단/NNG+은/JX
2국이	2/SN+국/NNB+이/JKS
끝난	끝나/VV+ㄴ/ETM
날	날/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
마치고	마치/VV+고/EC
돌아가	돌아가/VV+아/EC
5시간	5/SN+시간/NNB
넘게	넘/VV+게/EC
밤을	밤/NNG+을/JKO
새우며	새우/VV+며/EC
복기를	복기/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.60.8.1
그럼에도 김 9단은 “알파고가 바둑의 패러다임을 바꿔준 계기가 돼 고맙다”고 했다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
김	김/NNP
9단은	9/SN+단/NNG+은/JX
“알파고가	“/SS+알파고/NNP+가/JKS
바둑의	바둑/NNG+의/JKG
패러다임을	패러다임/NNG+을/JKO
바꿔준	바꾸/VV+어/EC+주/VX+ㄴ/ETM
계기가	계기/NNG+가/JKC
돼	되/VV+어/EC
고맙다”고	고맙/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.60.8.2
그는 “바둑은 1930년대를 기준으로 고대와 현대바둑으로 나뉜다.

그는	그/NP+는/JX
“바둑은	“/SS+바둑/NNG+은/JX
1930년대를	1930/SN+년대/NNB+를/JKO
기준으로	기준/NNG+으로/JKB
고대와	고대/NNG+와/JC
현대바둑으로	현대/NNG+바둑/NNG+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.60.8.3
알파고로 이제 바둑의 새 시대가 열렸다.

알파고로	알파고/NNP+로/JKB
이제	이제/MAG
바둑의	바둑/NNG+의/JKG
새	새/MMA
시대가	시대/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.60.8.4
그것을 우리가 5판 밖에 못 본다는 게 아쉬울 뿐”이라며 알파고가 기존 프로기사들의 고정관념을 완전히 무너뜨렸다고 말했다.

그것을	그것/NP+을/JKO
우리가	우리/NP+가/JKS
5판	5/SN+판/NNB
밖에	밖에/JX
못	못/MAG
본다는	보/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
아쉬울	아쉽/VA+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
알파고가	알파고/NNP+가/JKS
기존	기존/NNG
프로기사들의	프로/NNG+기사/NNG+들/XSN+의/JKG
고정관념을	고정/NNG+관념/NNG+을/JKO
완전히	완전히/MAG
무너뜨렸다고	무너뜨리/VV+었/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


