# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.232
metadata : {}


# id : NWRW1800000056.232.1.1
파산야우

파산야우	파산야우/NNG
‘그리운	‘/SS+그립/VA+ㄴ/ETM
연인과의	연인/NNG+과/JKB+의/JKG
재회’라는	재회/NNG+’/SS+이/VCP+라는/ETM
뜻을	뜻/NNG+을/JKO
지니고	지니/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.232.5.2
중국 당나라 때 시인 이상은의 칠언절구 ‘야우기북’(夜雨寄北)에 나온다.

중국	중국/NNP
당나라	당나라/NNP
때	때/NNG
시인	시인/NNG
이상은의	이상은/NNP+의/JKG
칠언절구	칠언/NNG+절구/NNG
‘야우기북’(夜雨寄北)에	‘/SS+야우기북/NNP+’/SS+(/SS+夜雨寄北/SH+)/SS+에/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.232.5.3
“그대 돌아올 날 물었지만 기약할 수 없구려.(君問歸期未有期)/ 파산에는 밤비 내려 가을 못물이 불어났다오.(巴山夜雨漲秋池)/ 언제쯤 서쪽 창가에서 함께 촛불 심지 자르며(何當共剪西窓燭)/ 파산에 밤비 내리던 때를 이야기하리오.(却話巴山夜雨時)”

“그대	“/SS+그대/NP
돌아올	돌아오/VV+ㄹ/ETM
날	날/NNG
물었지만	묻/VV+었/EP+지만/EC
기약할	기약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없구려.(君問歸期未有期)/	없/VA+구려/EF+./SF+(/SS+君問歸期未有期/SH+)/SS+//SP
파산에는	파산/NNP+에/JKB+는/JX
밤비	밤비/NNG
내려	내리/VV+어/EC
가을	가을/NNG
못물이	못물/NNG+이/JKS
불어났다오.(巴山夜雨漲秋池)/	불어나/VV+았/EP+다오/EF+./SF+(/SS+巴山夜雨漲秋池/SH+)/SS+//SP
언제쯤	언제/NP+쯤/XSN
서쪽	서쪽/NNG
창가에서	창가/NNG+에서/JKB
함께	함께/MAG
촛불	촛불/NNG
심지	심지/NNG
자르며(何當共剪西窓燭)/	자르/VV+며/EC+(/SS+何當共剪西窓燭/SH+)/SS+//SP
파산에	파산/NNP+에/JKB
내리던	내리/VV+던/ETM
때를	때/NNG+를/JKO
이야기하리오.(却話巴山夜雨時)”	이야기/NNG+하/XSV+리오/EF+./SF+(/SS+却話巴山夜雨時/SH+)/SS+”/SS


# id : NWRW1800000056.232.6.1
파촉 땅에 머물던 시인이 아내 왕씨에게 편지를 쓰는 심정을 담은 이 시가 널리 애송된 이후 시 속의 ‘파산야우’ 넉 자는 ‘오랫동안 만나지 못한 연인, 또는 지인과의 상봉’을 뜻하게 되었다.

파촉	파촉/NNP
땅에	땅/NNG+에/JKB
머물던	머물/VV+던/ETM
시인이	시인/NNG+이/JKS
아내	아내/NNG
왕씨에게	왕/NNP+씨/NNB+에게/JKB
편지를	편지/NNG+를/JKO
쓰는	쓰/VV+는/ETM
심정을	심정/NNG+을/JKO
담은	담/VV+은/ETM
이	이/MMD
시가	시/NNG+가/JKS
널리	널리/MAG
애송된	애송/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
시	시/NNG
속의	속/NNG+의/JKG
‘파산야우’	‘/SS+파산야우/NNG+’/SS
넉	넉/MMN
자는	자/NNG+는/JX
‘오랫동안	‘/SS+오랫동안/NNG
만나지	만나/VV+지/EC
못한	못하/VX+ㄴ/ETM
연인,	연인/NNG+,/SP
또는	또는/MAG
지인과의	지인/NNG+과/JKB+의/JKG
상봉’을	상봉/NNG+’/SS+을/JKO
뜻하게	뜻/NNG+하/XSV+게/EC
되었다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.232.6.2
“떠나올 때 당신은 언제 돌아올 수 있느냐고 물었지요.

“떠나올	“/SS+떠나오/VV+ㄹ/ETM
때	때/NNG
당신은	당신/NP+은/JX
언제	언제/MAG
돌아올	돌아오/VV+ㄹ/ETM
수	수/NNB
있느냐고	있/VA+느냐고/EC
물었지요.	묻/VV+었/EP+지요/EF+./SF


# id : NWRW1800000056.232.6.3
그러나 편지를 쓰는 이 순간에도 돌아갈 때를 기약할 수 없구려.

그러나	그러나/MAJ
편지를	편지/NNG+를/JKO
쓰는	쓰/VV+는/ETM
이	이/MMD
순간에도	순간/NNG+에/JKB+도/JX
돌아갈	돌아가/VV+ㄹ/ETM
때를	때/NNG+를/JKO
기약할	기약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없구려.	없/VA+구려/EF+./SF


# id : NWRW1800000056.232.6.4
지금 파산에는 밤비가 내려 가을 못물이 건널 수 없을 만큼 불어나 있다오.

지금	지금/MAG
파산에는	파산/NNP+에/JKB+는/JX
밤비가	밤비/NNG+가/JKS
내려	내리/VV+어/EC
가을	가을/NNG
못물이	못물/NNG+이/JKS
건널	건너/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
불어나	불어나/VV+아/EC
있다오.	있/VX+다오/EF+./SF


# id : NWRW1800000056.232.6.5
언제쯤 당신 곁으로 돌아가서 창문 밑에 베개를 나란히 하고 도란도란 이야기를 나누며 파산의 비 내리던 밤에 내가 얼마나 당신을 그리워했는지를 들려줄 수 있을까….”

언제쯤	언제/NP+쯤/XSN
당신	당신/NP
곁으로	곁/NNG+으로/JKB
돌아가서	돌아가/VV+아서/EC
창문	창문/NNG
밑에	밑/NNG+에/JKB
베개를	베개/NNG+를/JKO
나란히	나란히/MAG
하고	하/VV+고/EC
도란도란	도란도란/MAG
이야기를	이야기/NNG+를/JKO
나누며	나누/VV+며/EC
파산의	파산/NNP+의/JKG
비	비/NNG
내리던	내리/VV+던/ETM
밤에	밤/NNG+에/JKB
내가	내/NP+가/JKS
얼마나	얼마나/MAG
당신을	당신/NP+을/JKO
그리워했는지를	그리워하/VV+았/EP+는지/EF+를/JKO
들려줄	들려주/VV+ㄹ/ETM
수	수/NNB
있을까….”	있/VA+을까/EF+…/SE+./SF+”/SS


# id : NWRW1800000056.232.7.1
시 속에서 계절을 뜻하는 글자는 가을 추 한 자.

시	시/NNG
속에서	속/NNG+에서/JKB
계절을	계절/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
글자는	글자/NNG+는/JX
가을	가을/NNG
추	추/NNG
한	한/MMN
자.	자/NNG+./SF


# id : NWRW1800000056.232.7.2
이 한 글자 말고 시인의 심사를 집약할 수 있는 시공간이 어디에 또 있을까.

이	이/MMD
한	한/MMN
글자	글자/NNG
말고	말/VV+고/EC
시인의	시인/NNG+의/JKG
심사를	심사/NNG+를/JKO
집약할	집약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시공간이	시공간/NNG+이/JKS
어디에	어디/NP+에/JKB
또	또/MAG
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000056.232.7.3
아내 왕씨의 그리움은 또한 어떠했으랴?

아내	아내/NNG
왕씨의	왕/NNP+씨/NNB+의/JKG
그리움은	그리움/NNG+은/JX
또한	또한/MAG
어떠했으랴?	어떠하/VA+았/EP+으랴/EF+?/SF


# id : NWRW1800000056.232.7.4
이백의 ‘추풍사’엔 그런 연인의 마음이 유행가 가사처럼 절절하다.

이백의	이백/NNP+의/JKG
‘추풍사’엔	‘/SS+추풍사/NNP+’/SS+에/JKB+ㄴ/JX
그런	그런/MMD
연인의	연인/NNG+의/JKG
마음이	마음/NNG+이/JKS
유행가	유행가/NNG
가사처럼	가사/NNG+처럼/JKB
절절하다.	절절하/VA+다/EF+./SF


# id : NWRW1800000056.232.7.5
“가을 찬바람, 밝은 달빛 / 낙엽은 모였다 흩어지고 / 둥지의 까마귀도 다시 깨어나는데 / 우리는 언제 다시 만나 사랑할 수 있을까 / 이 밤 그리운 정 감당키 어렵네요 / 그리움의 문으로 들어서니 / 그리움의 고통도 알게 되는군요(…) / 사랑이 이토록 마음 얽맬 줄 알았다면 / 처음부터 만나지나 말았을 것을.

“가을	“/SS+가을/NNG
찬바람,	찬바람/NNG+,/SP
밝은	밝/VA+은/ETM
달빛	달빛/NNG
/	//SP
낙엽은	낙엽/NNG+은/JX
모였다	모이/VV+었/EP+다/EC
흩어지고	흩어지/VV+고/EC
둥지의	둥지/NNG+의/JKG
까마귀도	까마귀/NNG+도/JX
다시	다시/MAG
깨어나는데	깨어나/VV+는데/EC
우리는	우리/NP+는/JX
언제	언제/MAG
만나	만나/VV+아/EC
사랑할	사랑/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을까	있/VA+을까/EF
이	이/MMD
밤	밤/NNG
그리운	그립/VA+ㄴ/ETM
정	정/NNG
감당키	감당/NNG+하/XSV+기/ETN
어렵네요	어렵/VA+네/EF+요/JX
그리움의	그리움/NNG+의/JKG
문으로	문/NNG+으로/JKB
들어서니	들어서/VV+니/EC
고통도	고통/NNG+도/JX
알게	알/VV+게/EC
되는군요(…)	되/VV+는군/EF+요/JX+(/SS+…/SE+)/SS
사랑이	사랑/NNG+이/JKS
이토록	이토록/MAG
마음	마음/NNG
얽맬	얽매/VV+ㄹ/ETM
줄	줄/NNB
알았다면	알/VV+았/EP+다면/EC
처음부터	처음/NNG+부터/JX
만나지나	만나/VV+지/EC+나/JX
말았을	말/VX+았/EP+을/ETM
것을.	것/NNB+을/JKO+./SF


# id : NWRW1800000056.232.8.1
우리나라 시에서는 유난히 맑은 가을 하늘이 종종 파산의 밤비를 대신한다.

우리나라	우리나라/NNG
시에서는	시/NNG+에서/JKB+는/JX
유난히	유난히/MAG
맑은	맑/VA+은/ETM
가을	가을/NNG
하늘이	하늘/NNG+이/JKS
종종	종종/MAG
파산의	파산/NNP+의/JKG
밤비를	밤비/NNG+를/JKO
대신한다.	대신/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.232.8.2
미당의 절창에 기대어, 한번쯤 눈부신 가을 하늘에 그리운 사람을 그려보면 어떨까?

미당의	미당/NNP+의/JKG
절창에	절창/NNG+에/JKB
기대어,	기대/VV+어/EC+,/SP
한번쯤	한/MMN+번/NNB+쯤/XSN
눈부신	눈부시/VA+ㄴ/ETM
가을	가을/NNG
하늘에	하늘/NNG+에/JKB
그리운	그립/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
그려보면	그리/VV+어/EC+보/VX+면/EC
어떨까?	어떻/VA+ㄹ까/EF+?/SF


# id : NWRW1800000056.232.9.1
“눈이 부시게 푸르른 날은 그리운 사람을 그리워하자 / 저기 저기 저 가을 꽃자리 / 초록이 지쳐 단풍 드는데….”(서정주, ‘푸르른 날은’)

“눈이	“/SS+눈/NNG+이/JKS
부시게	부시/VA+게/EC
푸르른	푸르르/VA+ㄴ/ETM
날은	날/NNG+은/JX
그리운	그립/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
그리워하자	그리워하/VV+자/EC
/	//SP
저기	저기/NP
저	저/MMD
가을	가을/NNG
꽃자리	꽃자리/NNG
초록이	초록/NNG+이/JKS
지쳐	지치/VV+어/EC
단풍	단풍/NNG
드는데….”(서정주,	들/VV+는데/EC+…/SE+./SF+”/SS+(/SS+서정주/NNP+,/SP
‘푸르른	‘/SS+푸르르/VA+ㄴ/ETM
날은’)	날/NNG+은/JX+’/SS+)/SS


