# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.106
metadata : {}


# id : NWRW1800000048.106.1.1
사우디, 예멘 공습 종료…후티 반군 건재 ‘미래 불투명’

사우디,	사우디/NNP+,/SP
미국은 항모와 유도미사일 탑재 순양함들을 예멘 근처 해역에 파견해, 이미 그곳에서 활동중인 7척의 미군 구축함에 합류시켰다.

미국은	미국/NNP+은/JX
항모와	항모/NNG+와/JC
유도미사일	유도/NNG+미사일/NNG
탑재	탑재/NNG
순양함들을	순양함/NNG+들/XSN+을/JKO
예멘	예멘/NNP
근처	근처/NNG
해역에	해역/NNG+에/JKB
파견해,	파견/NNG+하/XSV+아/EC+,/SP
이미	이미/MAG
그곳에서	그곳/NP+에서/JKB
활동중인	활동/NNG+중/NNB+이/VCP+ㄴ/ETM
7척의	7/SN+척/NNB+의/JKG
미군	미군/NNG
구축함에	구축함/NNG+에/JKB
합류시켰다.	합류/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.106.13.3
미 국방부는 이 전함들이 예멘으로 접근중인 이란의 화물선들을 감시할 것이라고 밝혔다.

미	미/NNP
국방부는	국방부/NNG+는/JX
이	이/MMD
전함들이	전함/NNG+들/XSN+이/JKS
예멘으로	예멘/NNP+으로/JKB
접근중인	접근/NNG+중/NNB+이/VCP+ㄴ/ETM
이란의	이란/NNP+의/JKG
화물선들을	화물선/NNG+들/XSN+을/JKO
감시할	감시/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.106.13.4
미국이 후티 반군에 대한 이란의 지원을 차단하겠다는 의지의 표시다.

미국이	미국/NNP+이/JKS
후티	후티/NNP
반군에	반군/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이란의	이란/NNP+의/JKG
지원을	지원/NNG+을/JKO
차단하겠다는	차단/NNG+하/XSV+겠/EP+다는/ETM
의지의	의지/NNG+의/JKG
표시다.	표시/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.106.13.5
또 버락 오바마 대통령은 21일 예멘에 무기를 지원하지 말라고 이란에 경고하기도 했다.

또	또/MAG
버락	버락/NNP
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
21일	21/SN+일/NNB
예멘에	예멘/NNP+에/JKB
무기를	무기/NNG+를/JKO
지원하지	지원/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
이란에	이란/NNP+에/JKB
경고하기도	경고/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.106.14.1
사우디의 공습 중단이 예멘 내전의 정치적 해결을 낳을지는 회의적이다.

사우디의	사우디/NNP+의/JKG
공습	공습/NNG
중단이	중단/NNG+이/JKS
예멘	예멘/NNP
내전의	내전/NNG+의/JKG
정치적	정치/NNG+적/XSN
해결을	해결/NNG+을/JKO
낳을지는	낳/VV+을지/EF+는/JX
회의적이다.	회의/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.106.14.2
사우디의 공습 표적이었던 후티 반군는 공습 이후에도 사나 등에서 건재한 한편 다른 지역에서 오히려 세력을 확장한 상태다.

사우디의	사우디/NNP+의/JKG
공습	공습/NNG
표적이었던	표적/NNG+이/VCP+었/EP+던/ETM
후티	후티/NNP
반군는	반군/NNG+는/JX
이후에도	이후/NNG+에/JKB+도/JX
사나	사나/NNP
등에서	등/NNB+에서/JKB
건재한	건재/NNG+하/XSA+ㄴ/ETM
한편	한편/NNG
다른	다른/MMD
지역에서	지역/NNG+에서/JKB
오히려	오히려/MAG
세력을	세력/NNG+을/JKO
확장한	확장/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.106.14.3
애초부터 후티 반군과 이란과의 관계는 불분명했고, 특히 후티 반군이 이란의 대리 세력이라는 주장은 설득력이 없다는 지적이 많았다.

애초부터	애초/NNG+부터/JX
후티	후티/NNP
반군과	반군/NNG+과/JKB
이란과의	이란/NNP+과/JKB+의/JKG
관계는	관계/NNG+는/JX
불분명했고,	불분명하/VA+았/EP+고/EC+,/SP
특히	특히/MAG
반군이	반군/NNG+이/JKS
이란의	이란/NNP+의/JKG
대리	대리/NNG
세력이라는	세력/NNG+이/VCP+라는/ETM
주장은	주장/NNG+은/JX
설득력이	설득력/NNG+이/JKS
없다는	없/VA+다는/ETM
지적이	지적/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.106.14.4
후티 반군의 득세는 축출된 알리 압둘라 살레 전 대통령에게 충성하는 세력과의 결합 등 예멘 내부의 세력간 이합집산이 크게 작용했다.

후티	후티/NNP
반군의	반군/NNG+의/JKG
득세는	득세/NNG+는/JX
축출된	축출/NNG+되/XSV+ㄴ/ETM
알리	알리/NNP
압둘라	압둘라/NNP
살레	살레/NNP
전	전/MMD
대통령에게	대통령/NNG+에게/JKB
충성하는	충성/NNG+하/XSV+는/ETM
세력과의	세력/NNG+과/JKB+의/JKG
결합	결합/NNG
등	등/NNB
예멘	예멘/NNP
내부의	내부/NNG+의/JKG
세력간	세력/NNG+간/NNB
이합집산이	이합집산/NNG+이/JKS
크게	크/VA+게/EC
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.106.15.1
사우디 국방부 대변인인 아흐마드 아시리 준장은 “후티 반군이 예멘 내부에서 활동하거나 작전을 수행하지 못하도록 계속 막을 것”이라고 밝혔다.

사우디	사우디/NNP
국방부	국방부/NNG
대변인인	대변인/NNG+이/VCP+ㄴ/ETM
아흐마드	아흐마드/NNP
아시리	아시리/NNP
준장은	준장/NNG+은/JX
“후티	“/SS+후티/NNP
반군이	반군/NNG+이/JKS
예멘	예멘/NNP
내부에서	내부/NNG+에서/JKB
활동하거나	활동/NNG+하/XSV+거나/EC
작전을	작전/NNG+을/JKO
수행하지	수행/NNG+하/XSV+지/EC
못하도록	못하/VX+도록/EC
계속	계속/MAG
막을	막/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.106.15.2
사우디가 공습 대신에 후티 반군과 싸우는 대리 세력들에게 지원을 강화하는 식으로 새로운 군사 개입을 할 가능성이 크다고 <뉴욕 타임스>는 전문가들을 인용해 전했다.

사우디가	사우디/NNP+가/JKS
공습	공습/NNG
대신에	대신/NNG+에/JKB
후티	후티/NNP
반군과	반군/NNG+과/JKB
싸우는	싸우/VV+는/ETM
대리	대리/NNG
세력들에게	세력/NNG+들/XSN+에게/JKB
지원을	지원/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
식으로	식/NNB+으로/JKB
새로운	새롭/VA+ㄴ/ETM
군사	군사/NNG
개입을	개입/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
전문가들을	전문가/NNG+들/XSN+을/JKO
인용해	인용/NNG+하/XSV+아/EC
전했다.	전하/VV+았/EP+다/EF+./SF


