# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.84
metadata : {}


# id : NWRW1800000038.84.1.1
詩는 죽었다?

詩는	詩/SH+는/JX
배달하는	배달/NNG+하/XSV+는/ETM
로봇',	로봇/NNG+'/SS+,/SP
시봇(詩bot)이	시/NNG+봇/NNG+(/SS+詩/SH+bot/SL+)/SS+이/JKS
탄생한다.	탄생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.84.4.1
이 '시봇'이 본지와 예스24가 트위터 봇(bot) 문화를 집중 해부한 설문조사에서 '최고의 봇'으로 선정됐다.

이	이/MMD
'시봇'이	'/SS+시/NNG+봇/NNG+'/SS+이/JKS
본지와	본지/NNG+와/JC
예스24가	예스24/NNP+가/JKS
트위터	트위터/NNP
봇(bot)	봇/NNG+(/SS+bot/SL+)/SS
문화를	문화/NNG+를/JKO
집중	집중/NNG
해부한	해부/NNG+하/XSV+ㄴ/ETM
설문조사에서	설문/NNG+조사/NNG+에서/JKB
'최고의	'/SS+최고/NNG+의/JKG
봇'으로	봇/NNG+'/SS+으로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.84.4.2
'책, 저자, 언어와 관련된 봇 가운데 팔로(follow)하는 봇은 무엇입니까'라는 주관식 문항에 시봇은 29회 언급됐고, 하루키봇(19회)·우리말봇(13회)·좋은글봇(11회) 등도 인기 있는 봇으로 나타났다.

'책,	'/SS+책/NNG+,/SP
저자,	저자/NNG+,/SP
언어와	언어/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
봇	봇/NNG
가운데	가운데/NNG
팔로(follow)하는	팔로/NNG+(/SS+follow/SL+)/SS+하/VV+는/ETM
봇은	봇/NNG+은/JX
무엇입니까'라는	무엇/NP+이/VCP+ㅂ니까/EF+'/SS+이/VCP+라는/ETM
주관식	주관식/NNG
문항에	문항/NNG+에/JKB
시봇은	시/NNG+봇/NNG+은/JX
29회	29/SN+회/NNB
언급됐고,	언급/NNG+되/XSV+었/EP+고/EC+,/SP
하루키봇(19회)·우리말봇(13회)·좋은글봇(11회)	하루키/NNP+봇/NNG+(/SS+19/SN+회/NNB+)/SS+·/SP+우리말/NNG+봇/NNG+(/SS+13/SN+회/NNB+)/SS+·/SP+좋/VA+은/ETM+글/NNG+봇/NNG+(/SS+11/SN+회/NNB+)/SS
등도	등/NNB+도/JX
인기	인기/NNG
있는	있/VA+는/ETM
봇으로	봇/NNG+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.84.4.3
특히 시봇은 '가장 마음에 드는 봇' '추천하고 싶은 봇'에서도 1위를 휩쓸었다.

특히	특히/MAG
시봇은	시/NNG+봇/NNG+은/JX
'가장	'/SS+가장/MAG
마음에	마음/NNG+에/JKB
드는	들/VV+는/ETM
봇'	봇/NNG+'/SS
'추천하고	'/SS+추천/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
봇'에서도	봇/NNG+'/SS+에서/JKB+도/JX
1위를	1/SN+위/NNB+를/JKO
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.84.4.4
예스24 회원 1863명이 지난달 29일부터 8월 2일까지 설문에 참여했다.

예스24	예스24/NNP
회원	회원/NNG
1863명이	1863/SN+명/NNB+이/JKS
지난달	지난달/NNG
29일부터	29/SN+일/NNB+부터/JX
8월	8/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
설문에	설문/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.84.5.1
8일 오전 9시 출근길.

8일	8/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
출근길.	출근길/NNG+./SF


# id : NWRW1800000038.84.5.2
시봇이 어김없이 트위터에 시〈사진〉를 띄웠다.

시봇이	시/NNG+봇/NNG+이/JKS
어김없이	어김없이/MAG
트위터에	트위터/NNP+에/JKB
시〈사진〉를	시/NNG+〈/SS+사진/NNG+〉/SS+를/JKO
띄웠다.	띄우/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.84.5.3
오세영이 쓴 '너, 없음으로'.

오세영이	오세영/NNP+이/JKS
쓴	쓰/VV+ㄴ/ETM
'너,	'/SS+너/NP+,/SP
없음으로'.	없/VA+음/ETN+으로/JKB+'/SS+./SF


# id : NWRW1800000038.84.5.4
이날 오전 3시, 5시에도 시 한 편을 타임라인에 올리며 밤샘한 흔적이 있다.

이날	이날/NNG
오전	오전/NNG
3시,	3/SN+시/NNB+,/SP
5시에도	5/SN+시/NNB+에/JKB+도/JX
시	시/NNG
한	한/MMN
편을	편/NNB+을/JKO
타임라인에	타임라인/NNG+에/JKB
올리며	올리/VV+며/EC
밤샘한	밤샘/NNG+하/XSV+ㄴ/ETM
흔적이	흔적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.84.6.1
시봇 계정 운영자는 프로필을 이렇게 적었다.

시봇	시/NNG+봇/NNG
계정	계정/NNG
운영자는	운영자/NNG+는/JX
프로필을	프로필/NNG+을/JKO
이렇게	이렇/VA+게/EC
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.84.6.2
"시봇은 시의 아주 작은 일면만 보여줄 뿐입니다.

"시봇은	"/SS+시/NNG+봇/NNG+은/JX
시의	시/NNG+의/JKG
아주	아주/MAG
작은	작/VA+은/ETM
일면만	일면/NNG+만/JX
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
뿐입니다.	뿐/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.84.6.3
온전한 시는 서점 서가에 꽂힌 시집 속에 있어요.

온전한	온전하/VA+ㄴ/ETM
시는	시/NNG+는/JX
서점	서점/NNG
서가에	서가/NNG+에/JKB
꽂힌	꽂히/VV+ㄴ/ETM
시집	시집/NNG
속에	속/NNG+에/JKB
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000038.84.6.4
멘션 주셔도 시 말고는 답을 못합니다.

멘션	멘션/NNG
주셔도	주/VV+시/EP+어도/EC
시	시/NNG
말고는	말/VV+고/EC+는/JX
답을	답/NNG+을/JKO
못합니다.	못/MAG+하/VV+ㅂ니다/EF+./SF


# id : NWRW1800000038.84.6.5
시봇이니까요." 이날 오후 1시 현재 팔로어는 3만3280명.

시봇이니까요."	시/NNG+봇/NNG+이/VCP+니까/EC+요/JX+./SF+"/SS
이날	이날/NNG
오후	오후/NNG
1시	1/SN+시/NNB
현재	현재/MAG
팔로어는	팔로어/NNG+는/JX
3만3280명.	3/SN+만/NR+3280/SN+명/NNB+./SF


# id : NWRW1800000038.84.6.6
그동안 1만1582회 트윗을 올린 '그이'에게 기자는 멘션(해당 SNS에 글을 올리는 것)에 연락처를 남겼지만 응답이 없었다.

그동안	그동안/NNG
1만1582회	1/SN+만/NR+1582/SN+회/NNB
트윗을	트윗/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
'그이'에게	'/SS+그이/NP+'/SS+에게/JKB
기자는	기자/NNG+는/JX
멘션(해당	멘션/NNG+(/SS+해당/NNG
SNS에	SNS/SL+에/JKB
글을	글/NNG+을/JKO
올리는	올리/VV+는/ETM
것)에	것/NNB+)/SS+에/JKB
연락처를	연락처/NNG+를/JKO
남겼지만	남기/VV+었/EP+지만/EC
응답이	응답/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.84.7.1
이선재 예스24 마케팅본부 선임팀장은 "시봇의 인기가 높은 것은 짧은 문장으로 함축적 의미전달이 가능한 시의 특성이 140자 제한이 있는 트위터에서 장점으로 작용했기 때문"이라고 해석했다.

이선재	이선재/NNP
예스24	예스24/NNP
마케팅본부	마케팅/NNG+본부/NNG
선임팀장은	선임/NNG+팀장/NNG+은/JX
"시봇의	"/SS+시/NNG+봇/NNG+의/JKG
인기가	인기/NNG+가/JKS
높은	높/VA+은/ETM
것은	것/NNB+은/JX
짧은	짧/VA+은/ETM
문장으로	문장/NNG+으로/JKB
함축적	함축/NNG+적/XSN
의미전달이	의미/NNG+전달/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
시의	시/NNG+의/JKG
특성이	특성/NNG+이/JKS
140자	140/SN+자/NNG
제한이	제한/NNG+이/JKS
있는	있/VA+는/ETM
트위터에서	트위터/NNP+에서/JKB
장점으로	장점/NNG+으로/JKB
작용했기	작용/NNG+하/XSV+았/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.84.8.1
이 설문조사에서 저자 중엔 소설가 무라카미 하루키의 봇을 지지하는 독자가 많았다.

이	이/MMD
설문조사에서	설문/NNG+조사/NNG+에서/JKB
저자	저자/NNG
중엔	중/NNB+에/JKB+ㄴ/JX
소설가	소설가/NNG
무라카미	무라카미/NNP
하루키의	하루키/NNP+의/JKG
봇을	봇/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
독자가	독자/NNG+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.84.8.2
출판 시장뿐 아니라 트위터에서도 인기를 입증한 셈이다.

출판	출판/NNG
시장뿐	시장/NNG+뿐/JX
아니라	아니/VCN+라/EC
트위터에서도	트위터/NNP+에서/JKB+도/JX
인기를	인기/NNG+를/JKO
입증한	입증/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.84.8.3
소설가 이외수·김영하·김연수·이문열·공지영, 시인 이상·최승자, 만화가 허영만을 꼽은 응답자도 여럿 있었다.

소설가	소설가/NNG
이외수·김영하·김연수·이문열·공지영,	이외수/NNP+·/SP+김영하/NNP+·/SP+김연수/NNP+·/SP+이문열/NNP+·/SP+공지영/NNP+,/SP
시인	시인/NNG
이상·최승자,	이상/NNP+·/SP+최승자/NNP+,/SP
만화가	만화가/NNG
허영만을	허영만/NNP+을/JKO
꼽은	꼽/VV+은/ETM
응답자도	응답자/NNG+도/JX
여럿	여럿/NNG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.84.8.4
이들의 봇을 팔로하는 이유를 묻자 '재미(133명)', '정보 습득(126명)', '공감(112명)' '선호 저자(52명)' '스트레스 해소(50명)'라는 답이 나왔다.

이들의	이/NP+들/XSN+의/JKG
봇을	봇/NNG+을/JKO
팔로하는	팔로/NNG+하/XSV+는/ETM
이유를	이유/NNG+를/JKO
묻자	묻/VV+자/EC
'재미(133명)',	'/SS+재미/NNG+(/SS+133/SN+명/NNB+)/SS+'/SS+,/SP
'정보	'/SS+정보/NNG
습득(126명)',	습득/NNG+(/SS+126/SN+명/NNB+)/SS+'/SS+,/SP
'공감(112명)'	'/SS+공감/NNG+(/SS+112/SN+명/NNB+)/SS+'/SS
'선호	'/SS+선호/NNG
저자(52명)'	저자/NNG+(/SS+52/SN+명/NNB+)/SS+'/SS
'스트레스	'/SS+스트레스/NNG
해소(50명)'라는	해소/NNG+(/SS+50/SN+명/NNB+)/SS+'/SS+이/VCP+라는/ETM
답이	답/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.84.8.5
언팔(팔로를 끊는 것)한 까닭은 '관심이 떨어져서(67명)' '정보의 피로감(61명)' '유용하지 않아서(56명)' 순이었다.

언팔(팔로를	언팔/NNG+(/SS+팔로/NNG+를/JKO
끊는	끊/VV+는/ETM
것)한	것/NNB+)/SS+하/VV+ㄴ/ETM
까닭은	까닭/NNG+은/JX
'관심이	'/SS+관심/NNG+이/JKS
떨어져서(67명)'	떨어지/VV+어서/EC+(/SS+67/SN+명/NNB+)/SS+'/SS
'정보의	'/SS+정보/NNG+의/JKG
피로감(61명)'	피로감/NNG+(/SS+61/SN+명/NNB+)/SS+'/SS
'유용하지	'/SS+유용/NNG+하/XSA+지/EC
않아서(56명)'	않/VX+아서/EC+(/SS+56/SN+명/NNB+)/SS+'/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.84.9.1
트위터는 140자로 벌이는 간편한 글놀이이고, 봇은 지식과 문학을 퍼뜨리는 광고판이다.

트위터는	트위터/NNP+는/JX
140자로	140/SN+자/NNG+로/JKB
벌이는	벌이/VV+는/ETM
간편한	간편하/VA+ㄴ/ETM
글놀이이고,	글/NNG+놀이/NNG+이/VCP+고/EC+,/SP
봇은	봇/NNG+은/JX
지식과	지식/NNG+과/JC
문학을	문학/NNG+을/JKO
퍼뜨리는	퍼뜨리/VV+는/ETM
광고판이다.	광고판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.84.9.2
극작가 겸 번역가 이수진씨는 "봇은 대체로 작가, 철학자, 인문학자 등이 남긴 글을 뿌려주지만 짧은 문장으로 승부하는 시야말로 트위터리안의 마음을 긁어주기에 유리한 장르"라면서 "시를 읽고 즉물적으로 감상을 보태 리트윗(받은 트윗을 남에게 전달하는 일종의 추천)할 수 있다는 것도 강점"이라고 했다.

극작가	극작가/NNG
겸	겸/NNB
번역가	번역가/NNG
이수진씨는	이수진/NNP+씨/NNB+는/JX
"봇은	"/SS+봇/NNG+은/JX
대체로	대체로/MAG
작가,	작가/NNG+,/SP
철학자,	철학자/NNG+,/SP
인문학자	인문학자/NNG
등이	등/NNB+이/JKS
남긴	남기/VV+ㄴ/ETM
글을	글/NNG+을/JKO
뿌려주지만	뿌리/VV+어/EC+주/VX+지만/EC
짧은	짧/VA+은/ETM
문장으로	문장/NNG+으로/JKB
승부하는	승부/NNG+하/XSV+는/ETM
시야말로	시/NNG+야말로/JX
트위터리안의	트위터리안/NNG+의/JKG
마음을	마음/NNG+을/JKO
긁어주기에	긁/VV+어/EC+주/VX+기에/EC
유리한	유리/NNG+하/XSA+ㄴ/ETM
장르"라면서	장르/NNG+"/SS+이/VCP+라면서/EC
"시를	"/SS+시/NNG+를/JKO
읽고	읽/VV+고/EC
즉물적으로	즉물/NNG+적/XSN+으로/JKB
감상을	감상/NNG+을/JKO
보태	보태/VV+어/EC
리트윗(받은	리트윗/NNG+(/SS+받/VV+은/ETM
트윗을	트윗/NNG+을/JKO
남에게	남/NNG+에게/JKB
전달하는	전달/NNG+하/XSV+는/ETM
일종의	일종/NNG+의/JKG
추천)할	추천/NNG+)/SS+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것도	것/NNB+도/JX
강점"이라고	강점/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.84.9.3
"봇에 팬심이 아닌 상업적 의도가 끼어들 위험성을 경계해야 한다"는 시각도 있다.

"봇에	"/SS+봇/NNG+에/JKB
팬심이	팬심/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
상업적	상업/NNG+적/XSN
의도가	의도/NNG+가/JKS
끼어들	끼어들/VV+ㄹ/ETM
위험성을	위험/NNG+성/XSN+을/JKO
경계해야	경계/NNG+하/XSV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
시각도	시각/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.84.10.1
시봇의 인기는 시의 부활을 예고하는 것일까.

시봇의	시/NNG+봇/NNG+의/JKG
인기는	인기/NNG+는/JX
시의	시/NNG+의/JKG
부활을	부활/NNG+을/JKO
예고하는	예고/NNG+하/XSV+는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000038.84.10.2
시장에서 그런 조짐은 아직 없다.

시장에서	시장/NNG+에서/JKB
그런	그런/MMD
조짐은	조짐/NNG+은/JX
아직	아직/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.84.10.3
과거에 초판 2000부를 찍던 시집은 1500부를 지나 요즘엔 1000부까지 오그라들고 있다.

과거에	과거/NNG+에/JKB
초판	초판/NNG
2000부를	2000/SN+부/NNB+를/JKO
찍던	찍/VV+던/ETM
시집은	시집/NNG+은/JX
1500부를	1500/SN+부/NNB+를/JKO
지나	지나/VV+아/EC
요즘엔	요즘/NNG+에/JKB+ㄴ/JX
1000부까지	1000/SN+부/NNB+까지/JX
오그라들고	오그라들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.84.11.1
☞봇(bot)

☞봇(bot)	☞/SW+봇/NNG+(/SS+bot/SL+)/SS


# id : NWRW1800000038.84.12.1
데이터베이스(DB)에 저장한 글을 일정한 시간마다 무작위로 올리는 방식으로 운영된다.

데이터베이스(DB)에	데이터베이스/NNG+(/SS+DB/SL+)/SS+에/JKB
저장한	저장/NNG+하/XSV+ㄴ/ETM
글을	글/NNG+을/JKO
일정한	일정/NNG+하/XSA+ㄴ/ETM
시간마다	시간/NNG+마다/JX
무작위로	무/XPN+작위/NNG+로/JKB
올리는	올리/VV+는/ETM
방식으로	방식/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.84.12.2
혼잣말을 하며 같은 작업을 로봇(robot)처럼 반복 수행한다고 해서 ‘봇’이라는 꼬리표가 붙었다.

혼잣말을	혼잣말/NNG+을/JKO
하며	하/VV+며/EC
같은	같/VA+은/ETM
작업을	작업/NNG+을/JKO
로봇(robot)처럼	로봇/NNG+(/SS+robot/SL+)/SS+처럼/JKB
반복	반복/NNG
수행한다고	수행/NNG+하/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
‘봇’이라는	‘/SS+봇/NNG+’/SS+이/VCP+라는/ETM
꼬리표가	꼬리표/NNG+가/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.84.12.3
기상천외한 욕의 세계를 보여주는 ‘한국어 욕설봇’을 비롯해 ‘지름신봇’ ‘예수봇’ ‘변태봇’도 있다.

기상천외한	기상천외/NNG+하/XSA+ㄴ/ETM
욕의	욕/NNG+의/JKG
세계를	세계/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
‘한국어	‘/SS+한국어/NNP
욕설봇’을	욕설/NNG+봇/NNG+’/SS+을/JKO
비롯해	비롯하/VV+아/EC
‘지름신봇’	‘/SS+지름신/NNG+봇/NNG+’/SS
‘예수봇’	‘/SS+예수/NNP+봇/NNG+’/SS
‘변태봇’도	‘/SS+변태/NNG+봇/NNG+’/SS+도/JX
있다.	있/VA+다/EF+./SF


