# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.243
metadata : {}


# id : NWRW1800000032.243.1.1
“신재민, 법인카드 3장 가운데 일부청와대 직원들이 돌려썼다고 했다”

“신재민,	“/SS+신재민/NNP+,/SP
법인카드	법인/NNG+카드/NNG
3장	3/SN+장/NNB
가운데	가운데/NNG
일부를	일부/NNG+를/JKO
청와대	청와대/NNP
직원들이	직원/NNG+들/XSN+이/JKS
돌려썼다는	돌려쓰/VV+었/EP+다는/ETM
말을	말/NNG+을/JKO
들었다고	듣/VV+었/EP+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.243.5.1
이 회장은 5일 <한겨레>와의 통화에서 “(법인카드를) 호텔에서도 사용하고 부산에서도 사용하고 여기저기서 많이 썼길래 ‘왜 이렇게 많이 썼느냐’고 물었더니, 신 전 차관은 ‘청와대 사람들이 돌려썼다’고 말했다”며 “(당시) 구체적인 이름을 대지는 않았지만, 그냥 청와대 사람들이 돌아가며 썼다고 말했다”고 주장했다.

이	이/NNP
회장은	회장/NNG+은/JX
5일	5/SN+일/NNB
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“(법인카드를)	“/SS+(/SS+법인/NNG+카드/NNG+를/JKO+)/SS
호텔에서도	호텔/NNG+에서/JKB+도/JX
사용하고	사용/NNG+하/XSV+고/EC
부산에서도	부산/NNP+에서/JKB+도/JX
여기저기서	여기저기/NNG+서/JKB
많이	많이/MAG
썼길래	쓰/VV+었/EP+길래/EC
‘왜	‘/SS+왜/MAG
이렇게	이렇/VA+게/EC
썼느냐’고	쓰/VV+었/EP+느냐/EF+’/SS+고/JKQ
물었더니,	묻/VV+었/EP+더니/EC+,/SP
신	신/NNP
전	전/MMD
차관은	차관/NNG+은/JX
‘청와대	‘/SS+청와대/NNP
사람들이	사람/NNG+들/XSN+이/JKS
돌려썼다’고	돌려쓰/VV+었/EP+다/EF+’/SS+고/JKQ
말했다”며	말/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“(당시)	“/SS+(/SS+당시/NNG+)/SS
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
이름을	이름/NNG+을/JKO
대지는	대/VV+지/EC+는/JX
않았지만,	않/VX+았/EP+지만/EC+,/SP
그냥	그냥/MAG
청와대	청와대/NNP
돌아가며	돌아가/VV+며/EC
썼다고	쓰/VV+었/EP+다고/EC
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.243.5.2
그는 이어 “카드대금이 많이 나와서 내역을 살펴보니, 백화점 등에서도 워낙 많이 썼길래 그 부분도 물어보니, ‘선물 사서 인사를 많이 했다’고 답하더라”고 말했다.

그는	그/NP+는/JX
이어	이어/MAG
“카드대금이	“/SS+카드/NNG+대금/NNG+이/JKS
많이	많이/MAG
나와서	나오/VV+아서/EC
내역을	내역/NNG+을/JKO
살펴보니,	살펴보/VV+니/EC+,/SP
백화점	백화점/NNG
등에서도	등/NNB+에서/JKB+도/JX
워낙	워낙/MAG
썼길래	쓰/VV+었/EP+길래/EC
그	그/MMD
부분도	부분/NNG+도/JX
물어보니,	물어보/VV+니/EC+,/SP
‘선물	‘/SS+선물/NNG
사서	사/VV+아서/EC
인사를	인사/NNG+를/JKO
했다’고	하/VV+았/EP+다/EF+’/SS+고/JKQ
답하더라”고	답/NNG+하/XSV+더라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.243.6.1
실제 이 회장이 “신 전 차관이 사용한 것”이라며 언론에 공개한 법인카드의 사용 내역에는 백화점·호텔·주유소 등이 빼곡하다.

실제	실제/NNG
이	이/NNP
회장이	회장/NNG+이/JKS
“신	“/SS+신/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
언론에	언론/NNG+에/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
법인카드의	법인/NNG+카드/NNG+의/JKG
사용	사용/NNG
내역에는	내역/NNG+에/JKB+는/JX
백화점·호텔·주유소	백화점/NNG+·/SP+호텔/NNG+·/SP+주유소/NNG
등이	등/NNB+이/JKS
빼곡하다.	빼곡/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000032.243.6.2
이 회장이 공개한 일부 내역(2008년 9월부터 12월 초까지)을 보면, 해당 법인카드는 모두 55차례 사용됐으며, 사용 액수는 2000만원이 넘었다.

이	이/NNP
회장이	회장/NNG+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
일부	일부/NNG
내역(2008년	내역/NNG+(/SS+2008/SN+년/NNB
9월부터	9/SN+월/NNB+부터/JX
12월	12/SN+월/NNB
초까지)을	초/NNB+까지/JX+)/SS+을/JKO
보면,	보/VV+면/EC+,/SP
해당	해당/NNG
법인카드는	법인/NNG+카드/NNG+는/JX
모두	모두/MAG
55차례	55/SN+차례/NNG
사용됐으며,	사용/NNG+되/XSV+었/EP+으며/EC+,/SP
사용	사용/NNG
액수는	액수/NNG+는/JX
2000만원이	2000/SN+만/NR+원/NNB+이/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.243.6.3
카드를 많이 썼다는 이 회장의 주장과 맞아떨어지는 정황인 셈이다.

카드를	카드/NNG+를/JKO
많이	많이/MAG
썼다는	쓰/VV+었/EP+다는/ETM
이	이/NNP
회장의	회장/NNG+의/JKG
주장과	주장/NNG+과/JKB
맞아떨어지는	맞아떨어지/VV+는/ETM
정황인	정황/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.243.6.4
앞서 이 회장은 신 전 차관에게 제공한 법인카드는 모두 3장이라고 밝혔다.

앞서	앞서/MAG
이	이/NNP
회장은	회장/NNG+은/JX
신	신/NNP
전	전/MMD
차관에게	차관/NNG+에게/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
법인카드는	법인/NNG+카드/NNG+는/JX
모두	모두/MAG
3장이라고	3/SN+장/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.243.6.5
문제의 법인카드는 이 회장이 신 전 차관에게 2008년 6월께 마지막으로 건넨 에스엘에스조선 해외 법인의 신용카드로, 이 기간은 신 전 차관이 문화체육관광부 차관으로 재직하던 시절과 겹친다.

문제의	문제/NNG+의/JKG
법인카드는	법인/NNG+카드/NNG+는/JX
이	이/MMD
회장이	회장/NNG+이/JKS
신	신/NNP
전	전/MMD
차관에게	차관/NNG+에게/JKB
2008년	2008/SN+년/NNB
6월께	6/SN+월/NNB+께/XSN
마지막으로	마지막/NNG+으로/JKB
건넨	건네/VV+ㄴ/ETM
에스엘에스조선	에스엘에스조선/NNP
해외	해외/NNG
법인의	법인/NNG+의/JKG
신용카드로,	신용/NNG+카드/NNG+로/JKB+,/SP
기간은	기간/NNG+은/JX
차관이	차관/NNG+이/JKS
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
차관으로	차관/NNG+으로/JKB
재직하던	재직/NNG+하/XSV+던/ETM
시절과	시절/NNG+과/JKB
겹친다.	겹치/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.243.7.1
이 회장은 “신 전 차관이, 법인카드를 오래 쓰다 들통이 날까봐 (그랬는지) 중간중간 카드를 바꿨다”며 “그러나 카드를 돌려썼다는 청와대 직원이나 선물을 보낸 인물이 누구인지 이름은 듣지 못했다”고 말했다.

이	이/NNP
회장은	회장/NNG+은/JX
“신	“/SS+신/NNP
전	전/MMD
차관이,	차관/NNG+이/JKS+,/SP
법인카드를	법인/NNG+카드/NNG+를/JKO
오래	오래/MAG
쓰다	쓰/VV+다/EC
들통이	들통/NNG+이/JKS
날까봐	나/VV+ㄹ까/EF+보/VX+아/EC
(그랬는지)	(/SS+그러/VV+었/EP+는지/EC+)/SS
중간중간	중간중간/NNG
카드를	카드/NNG+를/JKO
바꿨다”며	바꾸/VV+었/EP+다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
돌려썼다는	돌려쓰/VV+었/EP+다는/ETM
청와대	청와대/NNP
직원이나	직원/NNG+이나/JC
선물을	선물/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
인물이	인물/NNG+이/JKS
누구인지	누구/NP+이/VCP+ㄴ지/EC
이름은	이름/NNG+은/JX
듣지	듣/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.243.7.2
<한겨레>는 신 전 차관의 해명을 들으려고 여러 차례 전화를 걸었지만 전화를 받지 않았다.

<한겨레>는	</SS+한겨레/NNP+>/SS+는/JX
신	신/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
해명을	해명/NNG+을/JKO
들으려고	듣/VV+으려고/EC
여러	여러/MMN
차례	차례/NNG
전화를	전화/NNG+를/JKO
걸었지만	걸/VV+었/EP+지만/EC
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.243.8.1
검찰은 이 회장의 주장에 대해 진위를 밝혀야 할 입장이지만, 상황은 여의치 못하다.

검찰은	검찰/NNG+은/JX
이	이/NNP
회장의	회장/NNG+의/JKG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
진위를	진위/NNG+를/JKO
밝혀야	밝히/VV+어야/EC
할	하/VX+ㄹ/ETM
입장이지만,	입장/NNG+이/VCP+지만/EC+,/SP
상황은	상황/NNG+은/JX
여의치	여의하/VA+지/EC
못하다.	못하/VX+다/EF+./SF


# id : NWRW1800000032.243.8.2
이 회장은 검찰 조사에서 에스엘에스조선 워크아웃 과정 등을 설명할 때는 적극적인 반면, 신 전 차관, 박영준(51) 전 지식경제부 차관 등에 대한 금품·향응 제공 주장과 관련해선 충분한 근거 자료를 내놓지 않고 있는 것으로 알려졌다.

이	이/NNP
회장은	회장/NNG+은/JX
검찰	검찰/NNG
조사에서	조사/NNG+에서/JKB
에스엘에스조선	에스엘에스조선/NNP
워크아웃	워크아웃/NNG
과정	과정/NNG
등을	등/NNB+을/JKO
설명할	설명/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
반면,	반면/NNG+,/SP
신	신/NNP
전	전/MMD
차관,	차관/NNG+,/SP
박영준(51)	박영준/NNP+(/SS+51/SN+)/SS
지식경제부	지식/NNG+경제부/NNG
차관	차관/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
금품·향응	금품/NNG+·/SP+향응/NNG
제공	제공/NNG
주장과	주장/NNG+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
충분한	충분하/VA+ㄴ/ETM
근거	근거/NNG
자료를	자료/NNG+를/JKO
내놓지	내놓/VV+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.243.8.3
특히 해외 법인 명의의 신용카드들은 국외 금융기관이 발급한 것이어서, 한국 검찰이 사용 내역을 확인하기는 쉽지 않아 보인다.

특히	특히/MAG
해외	해외/NNG
법인	법인/NNG
명의의	명의/NNG+의/JKG
신용카드들은	신용/NNG+카드/NNG+들/XSN+은/JX
국외	국외/NNG
금융기관이	금융/NNG+기관/NNG+이/JKS
발급한	발급/NNG+하/XSV+ㄴ/ETM
것이어서,	것/NNB+이/VCP+어서/EC+,/SP
한국	한국/NNP
검찰이	검찰/NNG+이/JKS
사용	사용/NNG
내역을	내역/NNG+을/JKO
확인하기는	확인/NNG+하/XSV+기/ETN+는/JX
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.243.8.4
이 회장은 또 검찰에서 “일본에서 박 전 차관에게 향응을 제공한 에스엘에스조선 일본 지사장이 행방불명돼 연락이 닿지 않는다”고 진술한 것으로 알려졌다.

이	이/NNP
회장은	회장/NNG+은/JX
또	또/MAG
검찰에서	검찰/NNG+에서/JKB
“일본에서	“/SS+일본/NNP+에서/JKB
박	박/NNP
전	전/MMD
차관에게	차관/NNG+에게/JKB
향응을	향응/NNG+을/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
에스엘에스조선	에스엘에스조선/NNP
일본	일본/NNP
지사장이	지사장/NNG+이/JKS
행방불명돼	행방불명/NNG+되/XSV+어/EC
연락이	연락/NNG+이/JKS
닿지	닿/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.243.8.5
검찰로서는 직접 당사자의 진술도, 명확한 물증도 없어 수사에 애를 먹고 있는 상황이다.

검찰로서는	검찰/NNG+로서/JKB+는/JX
직접	직접/MAG
당사자의	당사자/NNG+의/JKG
진술도,	진술/NNG+도/JX+,/SP
명확한	명확하/VA+ㄴ/ETM
물증도	물증/NNG+도/JX
없어	없/VA+어/EC
수사에	수사/NNG+에/JKB
애를	애/NNG+를/JKO
먹고	먹/VV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.243.9.1
한편 검찰은 이 회장을 명예훼손 혐의로 고소한 박 전 차관, 곽승준(51) 대통령 직속 미래기획위원장, 임재현(42) 대통령실 정책홍보비서관 등 3명의 서면 진술서를 받아 고소인 조사를 했다.

한편	한편/MAG
검찰은	검찰/NNG+은/JX
이	이/NNP
회장을	회장/NNG+을/JKO
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
고소한	고소/NNG+하/XSV+ㄴ/ETM
박	박/NNP
전	전/MMD
차관,	차관/NNG+,/SP
곽승준(51)	곽승준/NNP+(/SS+51/SN+)/SS
대통령	대통령/NNG
직속	직속/NNG
미래기획위원장,	미래/NNG+기획/NNG+위원장/NNG+,/SP
임재현(42)	임재현/NNP+(/SS+42/SN+)/SS
대통령실	대통령실/NNG
정책홍보비서관	정책/NNG+홍보/NNG+비서관/NNG
등	등/NNB
3명의	3/SN+명/NNB+의/JKG
서면	서면/NNG
진술서를	진술서/NNG+를/JKO
받아	받/VV+아/EC
고소인	고소인/NNG
조사를	조사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.243.9.2
검찰은 6일 오후 2시 이 회장을 다시 소환해 조사할 예정이다.

검찰은	검찰/NNG+은/JX
6일	6/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
이	이/NNP
회장을	회장/NNG+을/JKO
다시	다시/MAG
소환해	소환/NNG+하/XSV+아/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


