# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.220
metadata : {}


# id : NWRW1800000024.220.1.1
‘합창올림픽’ 반토막…신기루 좇은 경남

‘합창올림픽’	‘/SS+합창/NNG+올림픽/NNG+’/SS
# id : NWRW1800000024.220.2.3
하지만 경남도는 이에 대비한 안전장치를 마련하지 않아 ‘손해보는 장사’를 울며 겨자먹기 식으로 해야 할 처지에 놓였다.

하지만	하지만/MAJ
경남도는	경남도/NNP+는/JX
이에	이/NP+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
안전장치를	안전장치/NNG+를/JKO
마련하지	마련/NNG+하/XSV+지/EC
않아	않/VX+아/EC
‘손해보는	‘/SS+손해/NNG+보/VV+는/ETM
장사’를	장사/NNG+’/SS+를/JKO
울며	울/VV+며/EC
겨자먹기	겨자/NNG+먹/VV+기/ETN
식으로	식/NNB+으로/JKB
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
처지에	처지/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.220.3.1
경남도는 25일 이 합창제 참가 신청을 최종 마감한 결과, 해외 66개 팀과 국내 98개 팀 등 22개국 164개 팀 8천여명이 신청했다고 밝혔다.

경남도는	경남도/NNP+는/JX
25일	25/SN+일/NNB
이	이/MMD
합창제	합창제/NNG
참가	참가/NNG
신청을	신청/NNG+을/JKO
최종	최종/NNG
마감한	마감/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
해외	해외/NNG
66개	66/SN+개/NNB
팀과	팀/NNG+과/JC
국내	국내/NNG
98개	98/SN+개/NNB
팀	팀/NNG
등	등/NNB
22개국	22/SN+개국/NNB
164개	164/SN+개/NNB
8천여명이	8/SN+천/NR+여/XSN+명/NNB+이/JKS
신청했다고	신청/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.220.3.2
80여개국 400여개 팀 2만여명이 참가할 것이라고 홍보했던 경남도 기대치의 절반에도 못 미치는 것이다.

80여개국	80/SN+여/XSN+개국/NNB
400여개	400/SN+여/XSN+개/NNB
팀	팀/NNG
2만여명이	2/SN+만/NR+여/XSN+명/NNB+이/JKS
참가할	참가/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
홍보했던	홍보/NNG+하/XSV+았/EP+던/ETM
경남도	경남도/NNP
기대치의	기대/NNG+치/XSN+의/JKG
절반에도	절반/NNG+에/JKB+도/JX
못	못/MAG
미치는	미치/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.220.3.3
경남도는 2월 말이던 신청 마감일을 3차례나 연장했으나 오히려 신청팀이 줄어들기만 했다.

경남도는	경남도/NNP+는/JX
2월	2/SN+월/NNB
말이던	말/NNB+이/VCP+던/ETM
신청	신청/NNG
마감일을	마감일/NNG+을/JKO
3차례나	3/SN+차례/NNG+나/JX
연장했으나	연장/NNG+하/XSV+았/EP+으나/EC
오히려	오히려/MAG
신청팀이	신청/NNG+팀/NNG+이/JKS
줄어들기만	줄어들/VV+기/ETN+만/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.220.4.1
이에 따라 참가자 숙식비 30억원 등 313억원으로 계산됐던 경제효과 기대액도 187억원으로 줄었다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
참가자	참가자/NNG
숙식비	숙식비/NNG
30억원	30/SN+억/NR+원/NNB
등	등/NNB
313억원으로	313/SN+억/NR+원/NNB+으로/JKB
계산됐던	계산/NNG+되/XSV+었/EP+던/ETM
경제효과	경제/NNG+효과/NNG
기대액도	기대액/NNG+도/JX
187억원으로	187/SN+억/NR+원/NNB+으로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.220.4.2
게다가 187억원 가운데 163억원은 관람객의 숙식비와 기타경비로 채워져 있어, 이마저도 장담할 수 없는 상황이다.

게다가	게다가/MAG
187억원	187/SN+억/NR+원/NNB
가운데	가운데/NNG
163억원은	163/SN+억/NR+원/NNB+은/JX
관람객의	관람객/NNG+의/JKG
숙식비와	숙식비/NNG+와/JC
기타경비로	기타/NNG+경비/NNG+로/JKB
채워져	채우/VV+어/EC+지/VX+어/EC
있어,	있/VX+어/EC+,/SP
이마저도	이/NP+마저/JX+도/JX
장담할	장담/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.220.4.3
하지만 경남도가 지출할 행사경비는 95억원에서 88억원으로 7억원 정도 줄었을 뿐이다.

하지만	하지만/MAJ
경남도가	경남도/NNP+가/JKS
지출할	지출/NNG+하/XSV+ㄹ/ETM
행사경비는	행사/NNG+경비/NNG+는/JX
95억원에서	95/SN+억/NR+원/NNB+에서/JKB
88억원으로	88/SN+억/NR+원/NNB+으로/JKB
7억원	7/SN+억/NR+원/NNB
정도	정도/NNG
줄었을	줄/VV+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.220.4.4
행사 주체인 독일 인터쿨투어재단에 주기로 했던 분담금 300만유로(49억원 상당)도 환율 변동과 참가 신청 저조를 이유로 내세워 20만유로 정도만 겨우 깎고 279만여유로(47억5100만원 상당)를 이미 지급했다.

행사	행사/NNG
주체인	주체/NNG+이/VCP+ㄴ/ETM
독일	독일/NNP
인터쿨투어재단에	인터쿨투어재단/NNP+에/JKB
주기로	주/VV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
분담금	분담금/NNG
300만유로(49억원	300/SN+만/NR+유로/NNB+(/SS+49/SN+억/NR+원/NNB
상당)도	상당/NNG+)/SS+도/JX
환율	환율/NNG
변동과	변동/NNG+과/JC
참가	참가/NNG
신청	신청/NNG
저조를	저조/NNG+를/JKO
이유로	이유/NNG+로/JKB
내세워	내세우/VV+어/EC
20만유로	20/SN+만/NR+유로/NNB
정도만	정도/NNG+만/JX
겨우	겨우/MAG
깎고	깎/VV+고/EC
279만여유로(47억5100만원	279/SN+만/NR+여/XSN+유로/NNB+(/SS+47/SN+억/NR+5100/SN+만/NR+원/NNB
상당)를	상당/NNG+)/SS+를/JKO
이미	이미/MAG
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.220.4.5
총상금의 절반인 10만달러도 앞으로 경남도가 책임져야 한다.

총상금의	총상금/NNG+의/JKG
절반인	절반/NNG+이/VCP+ㄴ/ETM
10만달러도	10/SN+만/NR+달러/NNB+도/JX
앞으로	앞/NNG+으로/JKB
경남도가	경남도/NNP+가/JKS
책임져야	책임지/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.220.5.1
경남도가 손실을 고스란히 떠안게 된 것은 2007년 인터쿨투어재단과 계약을 하면서 이런 상황에 대비한 안전장치를 제대로 마련하지 않았기 때문이다.

경남도가	경남도/NNP+가/JKS
손실을	손실/NNG+을/JKO
고스란히	고스란히/MAG
떠안게	떠안/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
2007년	2007/SN+년/NNB
인터쿨투어재단과	인터쿨투어재단/NNP+과/JKB
계약을	계약/NNG+을/JKO
하면서	하/VV+면서/EC
이런	이런/MMD
상황에	상황/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
안전장치를	안전장치/NNG+를/JKO
제대로	제대로/MAG
마련하지	마련/NNG+하/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.220.5.2
당시 김태호 경남도지사와 귄터 티치 인터쿨투어재단 총재가 조인한 계약서를 보면, 경남도는 행사 기획·준비·조직·실행을 위해 300만유로를 재단에 선납하고, 불가항력의 사정으로 행사를 취소하거나 연기하게 되면 상호 협의해 처리하도록 돼 있다.

당시	당시/NNG
김태호	김태호/NNP
경남도지사와	경남/NNP+도지사/NNG+와/JC
귄터	귄터/NNP
티치	티치/NNP
인터쿨투어재단	인터쿨투어재단/NNP
총재가	총재/NNG+가/JKS
조인한	조인/NNG+하/XSV+ㄴ/ETM
계약서를	계약서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
경남도는	경남도/NNP+는/JX
행사	행사/NNG
기획·준비·조직·실행을	기획/NNG+·/SP+준비/NNG+·/SP+조직/NNG+·/SP+실행/NNG+을/JKO
위해	위하/VV+아/EC
300만유로를	300/SN+만/NR+유로/NNB+를/JKO
재단에	재단/NNG+에/JKB
선납하고,	선납/NNG+하/XSV+고/EC+,/SP
불가항력의	불가항력/NNG+의/JKG
사정으로	사정/NNG+으로/JKB
행사를	행사/NNG+를/JKO
취소하거나	취소/NNG+하/XSV+거나/EC
연기하게	연기/NNG+하/XSV+게/EC
되면	되/VV+면/EC
상호	상호/MAG
협의해	협의/NNG+하/XSV+아/EC
처리하도록	처리/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.220.5.3
지금처럼 예정대로 행사를 진행하지만, 외국팀 참가 저조로 흥행에 실패했을 때에 대비한 내용은 전혀 없다.

지금처럼	지금/NNG+처럼/JKB
예정대로	예정/NNG+대로/JX
행사를	행사/NNG+를/JKO
진행하지만,	진행/NNG+하/XSV+지만/EC+,/SP
외국팀	외국/NNG+팀/NNG
참가	참가/NNG
저조로	저조/NNG+로/JKB
흥행에	흥행/NNG+에/JKB
실패했을	실패/NNG+하/XSV+았/EP+을/ETM
때에	때/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
내용은	내용/NNG+은/JX
전혀	전혀/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.220.6.1
경남도 담당자는 “해외홍보를 책임진 재단에 분담금을 깎아 주거나 대체부담을 해 달라고 여러 차례 요구했으나 분담금에서 20만유로 정도를 깎는 것 외에는 소용이 없었다”며 “국제행사를 유치하면서 계약을 할 때 이런 상황에 대비해 확실히 얽어맬 수 있는 조항을 만들지 않았던 것이 너무도 안타깝다”고 말했다.

경남도	경남도/NNP
담당자는	담당자/NNG+는/JX
“해외홍보를	“/SS+해외/NNG+홍보/NNG+를/JKO
책임진	책임지/VV+ㄴ/ETM
재단에	재단/NNG+에/JKB
분담금을	분담금/NNG+을/JKO
깎아	깎/VV+아/EC
주거나	주/VX+거나/EC
대체부담을	대체/NNG+부담/NNG+을/JKO
해	하/VV+아/EC
달라고	달/VX+라고/EC
여러	여러/MMN
차례	차례/NNG
요구했으나	요구/NNG+하/XSV+았/EP+으나/EC
분담금에서	분담금/NNG+에서/JKB
20만유로	20/SN+만/NR+유로/NNB
정도를	정도/NNG+를/JKO
깎는	깎/VV+는/ETM
것	것/NNB
외에는	외/NNB+에/JKB+는/JX
소용이	소용/NNG+이/JKS
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“국제행사를	“/SS+국제/NNG+행사/NNG+를/JKO
유치하면서	유치/NNG+하/XSV+면서/EC
계약을	계약/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
이런	이런/MMD
상황에	상황/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
확실히	확실히/MAG
얽어맬	얽어매/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조항을	조항/NNG+을/JKO
만들지	만들/VV+지/EC
않았던	않/VX+았/EP+던/ETM
것이	것/NNB+이/JKS
너무도	너무/MAG+도/JX
안타깝다”고	안타깝/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


