# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.184
metadata : {}


# id : NWRW1800000030.184.1.1
"바늘 도둑이 소도둑 될라"… 지갑에 손댄 자녀를 경찰서 데려간 어머니

"바늘	"/SS+바늘/NNG
처음에는	처음/NNG+에/JKB+는/JX
'저러다	'/SS+저러/VV+다/EC
말겠지'하고	말/VV+겠/EP+지/EF+'/SS+하/VV+고/EC
생각해	생각/NNG+하/XSV+아/EC
크게	크/VA+게/EC
혼내지	혼내/VV+지/EC
않았지만	않/VX+았/EP+지만/EC
지갑에서	지갑/NNG+에서/JKB
빼내는	빼내/VV+는/ETM
금액이	금액/NNG+이/JKS
점점	점점/MAG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.5.3
전날 밤에는 아빠의 지갑에서 8만원이나 훔쳤다.

전날	전날/NNG
밤에는	밤/NNG+에/JKB+는/JX
아빠의	아빠/NNG+의/JKG
지갑에서	지갑/NNG+에서/JKB
8만원이나	8/SN+만/NR+원/NNB+이나/JX
훔쳤다.	훔치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.5.4
엄마는 이대로 뒀다간 큰일 나겠다는 생각에 아이들에게 충격을 줘서라도 버릇을 고치기로 마음먹었다.

엄마는	엄마/NNG+는/JX
이대로	이대로/MAG
뒀다간	두/VV+었/EP+다가/EC+ㄴ/JX
큰일	큰일/NNG
나겠다는	나/VV+겠/EP+다는/ETM
생각에	생각/NNG+에/JKB
아이들에게	아이/NNG+들/XSN+에게/JKB
충격을	충격/NNG+을/JKO
줘서라도	주/VV+어서/EC+라도/JX
버릇을	버릇/NNG+을/JKO
고치기로	고치/VV+기/ETN+로/JKB
마음먹었다.	마음먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.6.1
한씨는 이날 오후 학교에서 돌아온 아이들을 데리고 경찰서로 향했다.

한씨는	한/NNP+씨/NNB+는/JX
이날	이날/NNG
오후	오후/NNG
학교에서	학교/NNG+에서/JKB
돌아온	돌아오/VV+ㄴ/ETM
아이들을	아이/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
경찰서로	경찰서/NNG+로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.6.2
형사과에 들어간 한씨는 마침 자리에 있던 형사3팀 조동필 형사에게 자초지종을 설명했다.

형사과에	형사과/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
한씨는	한/NNP+씨/NNB+는/JX
마침	마침/MAG
자리에	자리/NNG+에/JKB
있던	있/VA+던/ETM
형사3팀	형사/NNG+3/SN+팀/NNG
조동필	조동필/NNP
형사에게	형사/NNG+에게/JKB
자초지종을	자초지종/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.6.3
"아이들의 버릇을 고치기 위해 왔습니다.

"아이들의	"/SS+아이/NNG+들/XSN+의/JKG
버릇을	버릇/NNG+을/JKO
고치기	고치/VV+기/ETN
위해	위하/VV+아/EC
왔습니다.	오/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000030.184.6.4
바쁘실 텐데 죄송합니다.

바쁘실	바쁘/VA+시/EP+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
죄송합니다.	죄송하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000030.184.6.5
도와주세요."

도와주세요."	도와주/VV+시/EP+어요/EF+./SF+"/SS


# id : NWRW1800000030.184.7.1
조 형사는 웃으면서 고개를 끄덕였다.

조	조/NNP
형사는	형사/NNG+는/JX
웃으면서	웃/VV+으면서/EC
고개를	고개/NNG+를/JKO
끄덕였다.	끄덕이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.7.2
정식 입건 절차를 밟는 것처럼 꾸며 아이들을 훈계하기로 입을 맞췄다.

정식	정식/NNG
입건	입건/NNG
절차를	절차/NNG+를/JKO
밟는	밟/VV+는/ETM
것처럼	것/NNB+처럼/JKB
꾸며	꾸미/VV+어/EC
아이들을	아이/NNG+들/XSN+을/JKO
훈계하기로	훈계/NNG+하/XSV+기/ETN+로/JKB
입을	입/NNG+을/JKO
맞췄다.	맞추/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.7.3
한씨는 남매를 조 형사 앞에 앉혔다.

한씨는	한/NNP+씨/NNB+는/JX
남매를	남매/NNG+를/JKO
조	조/NNP
형사	형사/NNG
앞에	앞/NNG+에/JKB
앉혔다.	앉히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.7.4
최양은 스마트폰의 카카오톡으로 친구들과 문자를 주고받았고, 최군은 다리를 까딱거리며 사무실을 둘러보고 있었다.

최양은	최/NNP+양/NNB+은/JX
스마트폰의	스마트폰/NNG+의/JKG
카카오톡으로	카카오톡/NNP+으로/JKB
친구들과	친구/NNG+들/XSN+과/JKB
문자를	문자/NNG+를/JKO
주고받았고,	주고받/VV+았/EP+고/EC+,/SP
최군은	최/NNP+군/NNB+은/JX
다리를	다리/NNG+를/JKO
까딱거리며	까딱거리/VV+며/EC
사무실을	사무실/NNG+을/JKO
둘러보고	둘러보/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.184.8.1
"여기가 얼마나 무서운 곳인지 알아?" 조 형사가 짐짓 인상을 쓰며 목소리를 높였다.

"여기가	"/SS+여기/NP+가/JKS
얼마나	얼마나/MAG
무서운	무섭/VA+ㄴ/ETM
곳인지	곳/NNG+이/VCP+ㄴ지/EC
알아?"	알/VV+아/EF+?/SF+"/SS
조	조/NNP
형사가	형사/NNG+가/JKS
짐짓	짐짓/MAG
인상을	인상/NNG+을/JKO
쓰며	쓰/VV+며/EC
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.8.2
스마트폰을 들여다보던 최양이 얼른 고개를 들었다.

스마트폰을	스마트폰/NNG+을/JKO
들여다보던	들여다보/VV+던/ETM
최양이	최/NNP+양/NNB+이/JKS
얼른	얼른/MAG
고개를	고개/NNG+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.8.3
동생 최군은 잔뜩 겁먹은 얼굴로 뒤에 서 있는 엄마를 찾았다.

동생	동생/NNG
최군은	최/NNP+군/NNB+은/JX
잔뜩	잔뜩/MAG
겁먹은	겁먹/VV+은/ETM
얼굴로	얼굴/NNG+로/JKB
뒤에	뒤/NNG+에/JKB
서	서/VV+어/EC
있는	있/VX+는/ETM
엄마를	엄마/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.8.4
엄마는 아이들을 쳐다보지 않고 고개를 돌렸고, 잠시 뒤에는 복도로 나가버렸다.

엄마는	엄마/NNG+는/JX
아이들을	아이/NNG+들/XSN+을/JKO
쳐다보지	쳐다보/VV+지/EC
않고	않/VX+고/EC
고개를	고개/NNG+를/JKO
돌렸고,	돌리/VV+었/EP+고/EC+,/SP
잠시	잠시/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
복도로	복도/NNG+로/JKB
나가버렸다.	나가/VV+아/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.184.9.1
30초쯤 뜸을 들인 후 조 형사는 "너희가 아빠 지갑에서 몰래 돈을 가져갔어?" 하고 물었다.

30초쯤	30/SN+초/NNB+쯤/XSN
뜸을	뜸/NNG+을/JKO
들인	들이/VV+ㄴ/ETM
후	후/NNG
조	조/NNP
형사는	형사/NNG+는/JX
"너희가	"/SS+너희/NP+가/JKS
아빠	아빠/NNG
지갑에서	지갑/NNG+에서/JKB
몰래	몰래/MAG
돈을	돈/NNG+을/JKO
가져갔어?"	가져가/VV+았/EP+어/EF+?/SF+"/SS
하고	하/VV+고/EC
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.9.2
남매는 동시에 고개를 푹 숙인 채 입을 꾹 다물었다.

남매는	남매/NNG+는/JX
동시에	동시/NNG+에/JKB
고개를	고개/NNG+를/JKO
푹	푹/MAG
숙인	숙이/VV+ㄴ/ETM
채	채/NNB
입을	입/NNG+을/JKO
꾹	꾹/MAG
다물었다.	다물/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.9.3
조 형사가 학교와 나이를 묻자 아이들은 기어들어가는 목소리로 대답했다.

조	조/NNP
형사가	형사/NNG+가/JKS
학교와	학교/NNG+와/JC
나이를	나이/NNG+를/JKO
묻자	묻/VV+자/EC
아이들은	아이/NNG+들/XSN+은/JX
기어들어가는	기어들/VV+어/EC+가/VX+는/ETM
목소리로	목소리/NNG+로/JKB
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.9.4
조 형사는 진짜 범인을 취조하는 것처럼 엄한 목소리로 질문했다.

조	조/NNP
형사는	형사/NNG+는/JX
진짜	진짜/NNG
범인을	범인/NNG+을/JKO
취조하는	취조/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
엄한	엄하/VA+ㄴ/ETM
목소리로	목소리/NNG+로/JKB
질문했다.	질문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.10.1
"사고 싶은 것이 있어서 그랬어요.

"사고	"/SS+사/VV+고/EC
싶은	싶/VX+은/ETM
것이	것/NNB+이/JKS
있어서	있/VA+어서/EC
그랬어요.	그러/VV+었/EP+어요/EF+./SF


# id : NWRW1800000030.184.10.2
잘못했어요."

잘못했어요."	잘못/MAG+하/XSV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000030.184.11.1
아이들은 7분 정도 조사를 받으면서 몇 차례나 잘못했다고 했다.

아이들은	아이/NNG+들/XSN+은/JX
7분	7/SN+분/NNB
정도	정도/NNG
조사를	조사/NNG+를/JKO
받으면서	받/VV+으면서/EC
몇	몇/NR
차례나	차례/NNG+나/JX
잘못했다고	잘못/MAG+하/XSV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.11.2
조 형사는 "이번 한 번만 봐주는 거야. 다음번에는 정식으로 조사해서 혼이 날거야"라고 말했다.

조	조/NNP
형사는	형사/NNG+는/JX
"이번	"/SS+이번/NNG
한	한/MMN
번만	번/NNB+만/JX
봐주는	봐주/VV+는/ETM
거야.	거/NNB+이/VCP+야/EF+./SF
다음번에는	다음번/NNG+에/JKB+는/JX
정식으로	정식/NNG+으로/JKB
조사해서	조사/NNG+하/XSV+아서/EC
혼이	혼/NNG+이/JKS
날거야"라고	나/VV+ㄹ/ETM+거/NNB+이/VCP+야/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.11.3
"엄마 부탁으로 특별히 봐주는 거니 다시는 그러면 안 돼"라고 다짐을 받았다.

"엄마	"/SS+엄마/NNG
부탁으로	부탁/NNG+으로/JKB
특별히	특별히/MAG
봐주는	봐주/VV+는/ETM
거니	거/NNB+이/VCP+니/EC
다시는	다시/MAG+는/JX
그러면	그러/VV+면/EC
안	안/MAG
돼"라고	되/VV+어/EF+"/SS+라고/JKQ
다짐을	다짐/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.11.4
조 형사는 "엄마의 마음이 이해돼서 아이들이 알아들을 수 있도록 말해줬다"고 말했다.

조	조/NNP
형사는	형사/NNG+는/JX
"엄마의	"/SS+엄마/NNG+의/JKG
마음이	마음/NNG+이/JKS
이해돼서	이해/NNG+되/XSV+어서/EC
아이들이	아이/NNG+들/XSN+이/JKS
알아들을	알아듣/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
말해줬다"고	말/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.12.1
형사과를 나온 아이들이 "엄마"하고 부르며 달려오자 한씨는 붉어진 눈가를 훔치며 아이들을 껴안았다.

형사과를	형사과/NNG+를/JKO
나온	나오/VV+ㄴ/ETM
아이들이	아이/NNG+들/XSN+이/JKS
"엄마"하고	"/SS+엄마/NNG+"/SS+하/VV+고/EC
부르며	부르/VV+며/EC
달려오자	달려오/VV+자/EC
한씨는	한/NNP+씨/NNB+는/JX
붉어진	붉어지/VV+ㄴ/ETM
눈가를	눈가/NNG+를/JKO
훔치며	훔치/VV+며/EC
아이들을	아이/NNG+들/XSN+을/JKO
껴안았다.	껴안/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.184.12.2
"경찰 아저씨한테 혼났지? 다시는 안 그럴 거지?"하고 묻자 아이들은 "응"하고 고개를 끄덕였다.

"경찰	"/SS+경찰/NNG
아저씨한테	아저씨/NNG+한테/JKB
혼났지?	혼나/VV+았/EP+지/EF+?/SF
다시는	다시/MAG+는/JX
안	안/MAG
그럴	그러/VV+ㄹ/ETM
거지?"하고	거/NNB+이/VCP+지/EF+?/SF+"/SS+하/VV+고/EC
묻자	묻/VV+자/EC
아이들은	아이/NNG+들/XSN+은/JX
"응"하고	"/SS+응/IC+"/SS+하/VV+고/EC
고개를	고개/NNG+를/JKO
끄덕였다.	끄덕이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.184.12.3
한씨는 "얼른 저녁 해줘야겠다"며 아이들의 손을 양손에 잡고 경찰서를 나섰다.

한씨는	한/NNP+씨/NNB+는/JX
"얼른	"/SS+얼른/MAG
저녁	저녁/NNG
해줘야겠다"며	하/VV+아/EC+주/VX+어야/EC+하/VX+겠/EP+다/EF+"/SS+며/EC
아이들의	아이/NNG+들/XSN+의/JKG
손을	손/NNG+을/JKO
양손에	양손/NNG+에/JKB
잡고	잡/VV+고/EC
경찰서를	경찰서/NNG+를/JKO
나섰다.	나서/VV+었/EP+다/EF+./SF


