# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.233
metadata : {}


# id : NWRW1800000046.233.1.1
전인지, 시즌 5승 '시동'

전인지,	전인지/NNP+,/SP
투어	투어/NNG
보그너	보그너/NNP
MBN여자오픈(총상금	MBN/SL+여자/NNG+오픈/NNG+(/SS+총상금/NNG
5억원)	5/SN+억/NR+원/NNB+)/SS
1라운드에서	1/SN+라운드/NNG+에서/JKB
버디	버디/NNG
6개,	6/SN+개/NNB+,/SP
보기	보기/NNG
1개,	1/SN+개/NNB+,/SP
더블	더블/NNG
1개로	1/SN+개/NNB+로/JKB
중간	중간/NNG
합계	합계/NNG
3언더파	3/SN+언더/NNG+파/NNG
69타를	69/SN+타/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
공동	공동/NNG
7위에	7/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.233.4.2
배선우(21) 등 공동 선두(5언더파 67타)와는 두 타 차다.

배선우(21)	배선우/NNP+(/SS+21/SN+)/SS
등	등/NNB
공동	공동/NNG
선두(5언더파	선두/NNG+(/SS+5/SN+언더/NNG+파/NNG
67타)와는	67/SN+타/NNG+)/SS+와/JKB+는/JX
두	두/MMN
타	타/NNG
차다.	차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.233.5.1
전인지는 지난달 말 하이트진로 챔피언십에서 한 시즌 한·미·일 메이저 대회 석권에 성공한 뒤 4주 만에 국내 무대에 섰다.

전인지는	전인지/NNP+는/JX
지난달	지난달/NNG
말	말/NNB
하이트진로	하이트진로/NNP
챔피언십에서	챔피언십/NNG+에서/JKB
한	한/MMN
시즌	시즌/NNG
한·미·일	한·미·일/NNP
메이저	메이저/NNG
대회	대회/NNG
석권에	석권/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
4주	4/SN+주/NNB
만에	만/NNB+에/JKB
국내	국내/NNG
무대에	무대/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.233.5.2
브리티시 여자오픈(공동 31위) 참가 후 제주 삼다수 마스터스를 건너뛰었다.

브리티시	브리티시/NNP
여자오픈(공동	여자/NNG+오픈/NNG+(/SS+공동/NNG
31위)	31/SN+위/NNB+)/SS
참가	참가/NNG
후	후/NNG
제주	제주/NNP
삼다수	삼다수/NNP
마스터스를	마스터스/NNG+를/JKO
건너뛰었다.	건너뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.233.5.3
투어 최고의 스타 전인지가 뜨자 이날 폭우가 내리는 날씨 속에서도 많은 갤러리가 전인지의 플레이를 보기 위해 모여들었다.

투어	투어/NNG
최고의	최고/NNG+의/JKG
스타	스타/NNG
전인지가	전인지/NNP+가/JKS
뜨자	뜨/VV+자/EC
이날	이날/NNG
폭우가	폭우/NNG+가/JKS
내리는	내리/VV+는/ETM
날씨	날씨/NNG
속에서도	속/NNG+에서/JKB+도/JX
많은	많/VA+은/ETM
갤러리가	갤러리/NNG+가/JKS
전인지의	전인지/NNP+의/JKG
플레이를	플레이/NNG+를/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
모여들었다.	모여들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.233.5.4
전인지는 현재 KLPGA 투어 상금(7억1924만원)과 다승(4승), 대상 포인트(314점) 등 주요 부문에서 1위를 달리고 있다.

전인지는	전인지/NNP+는/JX
현재	현재/MAG
KLPGA	KLPGA/SL
투어	투어/NNG
상금(7억1924만원)과	상금/NNG+(/SS+7/SN+억/NR+1924/SN+만/NR+원/NNB+)/SS+과/JC
다승(4승),	다승/NNG+(/SS+4/SN+승/NNB+)/SS+,/SP
대상	대상/NNG
포인트(314점)	포인트/NNG+(/SS+314/SN+점/NNB+)/SS
등	등/NNB
주요	주요/NNG
부문에서	부문/NNG+에서/JKB
1위를	1/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.233.6.1
전인지는 팬들의 기대에 부응하듯 초반에 버디 4개를 잡으며 앞서 나갔다.

전인지는	전인지/NNP+는/JX
팬들의	팬/NNG+들/XSN+의/JKG
기대에	기대/NNG+에/JKB
부응하듯	부응/NNG+하/XSV+듯/EC
초반에	초반/NNG+에/JKB
버디	버디/NNG
4개를	4/SN+개/NNB+를/JKO
잡으며	잡/VV+으며/EC
앞서	앞서/VV+어/EC
나갔다.	나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.233.6.2
9번홀(파4)에서 티샷이 아웃오브바운즈(OB) 지역으로 날아가며 더블 보기를 기록했지만 빗속에서도 안정된 경기 운영을 보이며 톱10으로 첫날을 마쳤다.

9번홀(파4)에서	9/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+)/SS+에서/JKB
티샷이	티/NNG+샷/NNG+이/JKS
아웃오브바운즈(OB)	아웃오브바운즈/NNG+(/SS+OB/SL+)/SS
지역으로	지역/NNG+으로/JKB
날아가며	날아가/VV+며/EC
더블	더블/NNG
보기를	보기/NNG+를/JKO
기록했지만	기록/NNG+하/XSV+았/EP+지만/EC
빗속에서도	빗속/NNG+에서/JKB+도/JX
안정된	안정/NNG+되/XSV+ㄴ/ETM
경기	경기/NNG
운영을	운영/NNG+을/JKO
보이며	보이/VV+며/EC
톱10으로	톱/NNG+10/SN+으로/JKB
첫날을	첫날/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.233.6.3
전인지는 "오래 쉬어서 경기 감각이 떨어질 줄 알았는데 다행히 스코어가 잘 나왔다"며 "2라운드(21일)에도 비가 온다고 하는데 개의치 않고 내가 세운 코스 공략에 맞춰 경기하겠다"고 말했다.

전인지는	전인지/NNP+는/JX
"오래	"/SS+오래/MAG
쉬어서	쉬/VV+어서/EC
경기	경기/NNG
감각이	감각/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
줄	줄/NNB
알았는데	알/VV+았/EP+는데/EC
다행히	다행히/MAG
스코어가	스코어/NNG+가/JKS
잘	잘/MAG
나왔다"며	나오/VV+았/EP+다/EF+"/SS+며/EC
"2라운드(21일)에도	"/SS+2/SN+라운드/NNG+(/SS+21/SN+일/NNB+)/SS+에/JKB+도/JX
비가	비/NNG+가/JKS
온다고	오/VV+ㄴ다고/EC
하는데	하/VV+는데/EC
개의치	개의/NNG+하/XSV+지/EC
않고	않/VX+고/EC
내가	내/NP+가/JKS
세운	세우/VV+ㄴ/ETM
코스	코스/NNG
공략에	공략/NNG+에/JKB
맞춰	맞추/VV+어/EC
경기하겠다"고	경기/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.233.7.1
이번 대회에 브리티시 여자오픈에서 준우승한 고진영(20)과 디펜딩 챔피언 김세영(22)은 출전하지 않았다.

이번	이번/NNG
대회에	대회/NNG+에/JKB
브리티시	브리티시/NNP
여자오픈에서	여자/NNG+오픈/NNG+에서/JKB
준우승한	준/XPN+우승/NNG+하/XSV+ㄴ/ETM
고진영(20)과	고진영/NNP+(/SS+20/SN+)/SS+과/JC
디펜딩	디펜딩/NNG
챔피언	챔피언/NNG
김세영(22)은	김세영/NNP+(/SS+22/SN+)/SS+은/JX
출전하지	출전/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


