# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.17
metadata : {}


# id : NWRW1800000052.17.1.1
“안되는 거 빼고 다 된다” 홈케어 서비스 ‘후끈’

“안되는	“/SS+안/MAG+되/XSV+는/ETM
5배가	5/SN+배/NNG+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000052.17.7.1
한샘은 주방의 후드와 세탁기·매트리스 청소를 전문적으로 해주는 ‘한샘 홈케어 서비스’에 최근 에어컨 서비스를 추가했다.

한샘은	한샘/NNP+은/JX
주방의	주방/NNG+의/JKG
후드와	후드/NNG+와/JC
세탁기·매트리스	세탁기/NNG+·/SP+매트리스/NNG
청소를	청소/NNG+를/JKO
전문적으로	전문/NNG+적/XSN+으로/JKB
해주는	하/VV+아/EC+주/VX+는/ETM
‘한샘	‘/SS+한샘/NNP
홈케어	홈케어/NNG
서비스’에	서비스/NNG+’/SS+에/JKB
최근	최근/MAG
에어컨	에어컨/NNG
서비스를	서비스/NNG+를/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.17.7.2
여름을 앞두고 전문 기사들이 방문해 송풍팬·냉각핀·필터를 세척하고, 고압 스팀·유브이(UV) 자외선·피톤치드 살균 서비스를 해준다.

여름을	여름/NNG+을/JKO
앞두고	앞두/VV+고/EC
전문	전문/NNG
기사들이	기사/NNG+들/XSN+이/JKS
방문해	방문/NNG+하/XSV+아/EC
송풍팬·냉각핀·필터를	송풍/NNG+팬/NNG+·/SP+냉각핀/NNG+·/SP+필터/NNG+를/JKO
세척하고,	세척/NNG+하/XSV+고/EC+,/SP
고압	고압/NNG
스팀·유브이(UV)	스팀/NNG+·/SP+유브이/NNG+(/SS+UV/SL+)/SS
자외선·피톤치드	자외선/NNG+·/SP+피톤치드/NNG
살균	살균/NNG
서비스를	서비스/NNG+를/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.17.7.3
한샘 김영태 상무는 “매트리스나 주방가구 등 제품을 판매하는 데서 끝나지 않고 소비자들이 제품을 사용하면서 겪는 어려움을 해결해주는 관리 서비스까지 제공함으로써 차별화된 경쟁력을 가질 수 있다”고 말했다.

한샘	한샘/NNP
김영태	김영태/NNP
상무는	상무/NNG+는/JX
“매트리스나	“/SS+매트리스/NNG+나/JC
주방가구	주방/NNG+가구/NNG
등	등/NNB
제품을	제품/NNG+을/JKO
판매하는	판매/NNG+하/XSV+는/ETM
데서	데/NNB+서/JKB
끝나지	끝나/VV+지/EC
않고	않/VX+고/EC
소비자들이	소비자/NNG+들/XSN+이/JKS
사용하면서	사용/NNG+하/XSV+면서/EC
겪는	겪/VV+는/ETM
어려움을	어려움/NNG+을/JKO
해결해주는	해결/NNG+하/XSV+아/EC+주/VX+는/ETM
관리	관리/NNG
서비스까지	서비스/NNG+까지/JX
제공함으로써	제공/NNG+하/XSV+ㅁ/ETN+으로써/JKB
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
경쟁력을	경쟁력/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.17.8.1
건강생활용품 기업인 한경희생활과학도 최근 홈클리닝 서비스 종류를 대폭 늘렸다.

건강생활용품	건강/NNG+생활용품/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
한경희생활과학도	한경희생활과학/NNP+도/JX
최근	최근/MAG
홈클리닝	홈클리닝/NNG
서비스	서비스/NNG
종류를	종류/NNG+를/JKO
대폭	대폭/MAG
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.17.8.2
기존의 에어컨·세탁기·냉장고·비데 등 11개 품목 살균 클리닝과 이사·입주·대청소 홈클리닝에 곰팡이 제거, 수도·보일러 배관 청소, 바닥재 제거와 코팅 시공, 방충망·외풍 차단 시공 서비스를 추가했다.

기존의	기존/NNG+의/JKG
에어컨·세탁기·냉장고·비데	에어컨/NNG+·/SP+세탁기/NNG+·/SP+냉장고/NNG+·/SP+비데/NNG
등	등/NNB
11개	11/SN+개/NNB
품목	품목/NNG
살균	살균/NNG
클리닝과	클리닝/NNG+과/JC
이사·입주·대청소	이사/NNG+·/SP+입주/NNG+·/SP+대/XPN+청소/NNG
홈클리닝에	홈클리닝/NNG+에/JKB
곰팡이	곰팡이/NNG
제거,	제거/NNG+,/SP
수도·보일러	수도/NNG+·/SP+보일러/NNG
배관	배관/NNG
청소,	청소/NNG+,/SP
바닥재	바닥재/NNG
제거와	제거/NNG+와/JC
코팅	코팅/NNG
시공,	시공/NNG+,/SP
방충망·외풍	방충망/NNG+·/SP+외풍/NNG
차단	차단/NNG
시공	시공/NNG
서비스를	서비스/NNG+를/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.17.8.3
서비스 지역도 서울·수도권에서 전국으로 확대했다.

서비스	서비스/NNG
지역도	지역/NNG+도/JX
서울·수도권에서	서울/NNP+·/SP+수도/NNG+권/XSN+에서/JKB
전국으로	전국/NNG+으로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.17.8.4
이 회사 홈케어 서비스는 지(G)마켓을 통해서도 이용할 수 있다.

이	이/MMD
회사	회사/NNG
홈케어	홈케어/NNG
서비스는	서비스/NNG+는/JX
지(G)마켓을	지/NNG+(/SS+G/SL+)/SS+마켓/NNG+을/JKO
통해서도	통하/VV+아서/EC+도/JX
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.17.9.1
지난 1월 홈클리닝 브랜드 ‘마이크로 케어’로 침대 매트리스 렌탈·관리 서비스를 시작한 청호나이스는 올해 안에 에어컨·세탁기·후드 등으로 서비스 품목을 늘릴 예정이다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
홈클리닝	홈클리닝/NNG
브랜드	브랜드/NNG
‘마이크로	‘/SS+마이크로/NNP
케어’로	케어/NNP+’/SS+로/JKB
침대	침대/NNG
매트리스	매트리스/NNG
렌탈·관리	렌탈/NNG+·/SP+관리/NNG
서비스를	서비스/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
청호나이스는	청호나이스/NNP+는/JX
올해	올해/NNG
안에	안/NNG+에/JKB
에어컨·세탁기·후드	에어컨/NNG+·/SP+세탁기/NNG+·/SP+후드/NNG
등으로	등/NNB+으로/JKB
서비스	서비스/NNG
품목을	품목/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.17.9.2
또 가정과 사무실의 가전제품을 통합 관리해주는 서비스를 제공한다는 계획도 갖고 있다.

또	또/MAG
가정과	가정/NNG+과/JC
사무실의	사무실/NNG+의/JKG
가전제품을	가전제품/NNG+을/JKO
통합	통합/NNG
관리해주는	관리/NNG+하/XSV+아/EC+주/VX+는/ETM
서비스를	서비스/NNG+를/JKO
제공한다는	제공/NNG+하/XSV+ㄴ다는/ETM
계획도	계획/NNG+도/JX
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.17.10.1
전자랜드도 가전제품 배송과 설치 노하우를 바탕으로 올 1월부터 홈클리닝 서비스인 ‘전자랜드 클린킹’ 사업을 시작했다.

전자랜드도	전자랜드/NNP+도/JX
가전제품	가전제품/NNG
배송과	배송/NNG+과/JC
설치	설치/NNG
노하우를	노하우/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
올	올/NNG
1월부터	1/SN+월/NNB+부터/JX
홈클리닝	홈클리닝/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
‘전자랜드	‘/SS+전자랜드/NNP
클린킹’	클린킹/NNP+’/SS
사업을	사업/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.17.10.2
에어컨·냉장고·공기청정기 세척·살균에서 새집증후군 해결, 유리창·배관 청소, 일반 청소까지 해준다.

에어컨·냉장고·공기청정기	에어컨/NNG+·/SP+냉장고/NNG+·/SP+공기/NNG+청정기/NNG
세척·살균에서	세척/NNG+·/SP+살균/NNG+에서/JKB
새집증후군	새집/NNG+증후군/NNG
해결,	해결/NNG+,/SP
유리창·배관	유리창/NNG+·/SP+배관/NNG
청소,	청소/NNG+,/SP
일반	일반/NNG
청소까지	청소/NNG+까지/JX
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.17.11.1
카카오톡이란 막강한 플랫폼을 보유한 카카오는 하반기 중 가사도우미를 중개하는 홈클리닝 서비스를 출시할 예정이다.

카카오톡이란	카카오톡/NNP+이/VCP+란/ETM
막강한	막강/NNG+하/XSA+ㄴ/ETM
플랫폼을	플랫폼/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
카카오는	카카오/NNP+는/JX
하반기	하반기/NNG
중	중/NNB
가사도우미를	가사/NNG+도우미/NNG+를/JKO
중개하는	중개/NNG+하/XSV+는/ETM
홈클리닝	홈클리닝/NNG
서비스를	서비스/NNG+를/JKO
출시할	출시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.17.12.1
한경희생활과학 김윤채 팀장은 “미세먼지와 집먼지 진드기, 새집증후군 등으로 인해 집안을 청결하게 유지하려는 욕구가 높다.

한경희생활과학	한경희생활과학/NNP
김윤채	김윤채/NNP
팀장은	팀장/NNG+은/JX
“미세먼지와	“/SS+미세/NNG+먼지/NNG+와/JC
집먼지	집/NNG+먼지/NNG
진드기,	진드기/NNG+,/SP
새집증후군	새집/NNG+증후군/NNG
등으로	등/NNB+으로/JKB
인해	인/NNG+하/XSV+아/EC
집안을	집안/NNG+을/JKO
청결하게	청결/NNG+하/XSA+게/EC
유지하려는	유지/NNG+하/XSV+려는/ETM
욕구가	욕구/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000052.17.12.2
하지만 맞벌이 등으로 청소할 시간은 부족해 홈케어 서비스를 이용하는 가정이 늘고 있다”고 말했다.

하지만	하지만/MAJ
맞벌이	맞벌이/NNG
등으로	등/NNB+으로/JKB
청소할	청소/NNG+하/XSV+ㄹ/ETM
시간은	시간/NNG+은/JX
부족해	부족/NNG+하/XSA+아/EC
홈케어	홈케어/NNG
서비스를	서비스/NNG+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
가정이	가정/NNG+이/JKS
늘고	늘/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


