# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.95
metadata : {}


# id : NWRW1800000025.95.1.1
[커버스토리]최신 트렌드·속보 실시간 내 손안에… 국내 SNS는 스마트폰 아니어도 OK

[커버스토리]최신	[/SS+커버스토리/NNG+]/SS+최신/NNG
# id : NWRW1800000025.95.4.1
팔로잉과 함께 내 게시판에는 뉴욕타임스의 신작 서평과 아스널의 경기결과가 수시로 업데이트되기 시작했다.

팔로잉과	팔로잉/NNG+과/JKB
함께	함께/MAG
내	나/NP+의/JKG
게시판에는	게시판/NNG+에/JKB+는/JX
뉴욕타임스의	뉴욕타임스/NNP+의/JKG
신작	신작/NNG
서평과	서평/NNG+과/JC
아스널의	아스널/NNP+의/JKG
경기결과가	경기/NNG+결과/NNG+가/JKS
수시로	수시로/MAG
업데이트되기	업데이트/NNG+되/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.95.4.2
게시 가능한 글의 분량이 140자로 제한되기 때문에 기업이나 단체의 공식 트위터에서 제공하는 정보는 대부분 공식 홈페이지로 연결되는 인터넷 링크라는 사실은 아쉽다.

게시	게시/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
글의	글/NNG+의/JKG
분량이	분량/NNG+이/JKS
140자로	140/SN+자/NNG+로/JKB
제한되기	제한/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
기업이나	기업/NNG+이나/JC
단체의	단체/NNG+의/JKG
공식	공식/NNG
트위터에서	트위터/NNP+에서/JKB
제공하는	제공/NNG+하/XSV+는/ETM
정보는	정보/NNG+는/JX
대부분	대/XPN+부분/NNG
홈페이지로	홈페이지/NNG+로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
인터넷	인터넷/NNG
링크라는	링크/NNG+이/VCP+라는/ETM
사실은	사실/NNG+은/JX
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000025.95.5.1
○ 4시간 만에 CEO의 답글을 받다

○	○/SW
4시간	4/SN+시간/NNB
만에	만/NNB+에/JKB
CEO의	CEO/SL+의/JKG
답글을	답글/NNG+을/JKO
받다	받/VV+다/EF


# id : NWRW1800000025.95.6.1
이제 본격적으로 트위터 인맥을 넓힐 차례다.

이제	이제/MAG
본격적으로	본격/NNG+적/XSN+으로/JKB
트위터	트위터/NNP
인맥을	인맥/NNG+을/JKO
넓힐	넓히/VV+ㄹ/ETM
차례다.	차례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.6.2
포털사이트에서 ‘김연아 트위터’ ‘오바마 트위터’ 같은 키워드로 검색을 해 이들의 트위터 주소를 얻는다.

포털사이트에서	포털/NNG+사이트/NNG+에서/JKB
‘김연아	‘/SS+김연아/NNP
트위터’	트위터/NNP+’/SS
‘오바마	‘/SS+오바마/NNP
같은	같/VA+은/ETM
키워드로	키워드/NNG+로/JKB
검색을	검색/NNG+을/JKO
해	하/VV+아/EC
이들의	이/NP+들/XSN+의/JKG
트위터	트위터/NNP
주소를	주소/NNG+를/JKO
얻는다.	얻/VV+는다/EF+./SF


# id : NWRW1800000025.95.6.3
누군가의 트위터를 일단 팔로잉하기 시작했다면 그를 찜한 사람과 그가 찜한 사람을 따라가며 내 트위터 인맥도 급속히 확장된다.

누군가의	누구/NP+이/VCP+ㄴ가/EF+의/JKG
트위터를	트위터/NNP+를/JKO
일단	일단/MAG
팔로잉하기	팔로잉/NNG+하/XSV+기/ETN
시작했다면	시작/NNG+하/XSV+았/EP+다면/EC
그를	그/NP+를/JKO
찜한	찜하/VV+ㄴ/ETM
사람과	사람/NNG+과/JC
그가	그/NP+가/JKS
사람을	사람/NNG+을/JKO
따라가며	따라가/VV+며/EC
내	나/NP+의/JKG
트위터	트위터/NNP
인맥도	인맥/NNG+도/JX
급속히	급속히/MAG
확장된다.	확장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.95.7.1
소설가 김영하에서 그를 찜한 가수 김동률로, 가수 이적에서 인디뮤지션 장기하로, 드림위즈 최고경영자(CEO) 이찬진에서 신세계그룹 정용진 부회장으로, 네오위즈 CEO 허진호에서 마이크로소프트의 창업자 빌게이츠로, 마우스를 한 번 클릭해 찜하는 것만으로 이들이 트위터에 올리는 메시지가 실시간으로들어온다.

소설가	소설가/NNG
김영하에서	김영하/NNP+에서/JKB
그를	그/NP+를/JKO
찜한	찜하/VV+ㄴ/ETM
가수	가수/NNG
김동률로,	김동률/NNP+로/JKB+,/SP
이적에서	이적/NNP+에서/JKB
인디뮤지션	인디/NNG+뮤지션/NNG
장기하로,	장기하/NNP+로/JKB+,/SP
드림위즈	드림위즈/NNP
최고경영자(CEO)	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS
이찬진에서	이찬진/NNP+에서/JKB
신세계그룹	신세계그룹/NNP
정용진	정용진/NNP
부회장으로,	부회장/NNG+으로/JKB+,/SP
네오위즈	네오위즈/NNP
CEO	CEO/SL
허진호에서	허진호/NNP+에서/JKB
마이크로소프트의	마이크로소프트/NNP+의/JKG
창업자	창업자/NNG
빌게이츠로,	빌게이츠/NNP+로/JKB+,/SP
마우스를	마우스/NNG+를/JKO
한	한/MMN
번	번/NNB
클릭해	클릭/NNG+하/XSV+아/EC
찜하는	찜하/VV+는/ETM
것만으로	것/NNB+만/JX+으로/JKB
이들이	이/NP+들/XSN+이/JKS
트위터에	트위터/NNP+에/JKB
올리는	올리/VV+는/ETM
메시지가	메시지/NNG+가/JKS
실시간으로들어온다.	실시간/NNG+으로/JKB+들어오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.95.8.1
내친 김에 SNS를 취재에 활용해 보기로 했다.

내친	내치/VV+ㄴ/ETM
김에	김/NNB+에/JKB
SNS를	SNS/SL+를/JKO
취재에	취재/NNG+에/JKB
활용해	활용/NNG+하/XSV+아/EC
보기로	보/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.95.8.2
특정인에게 글을 보낼 수 있는 트위터의 기능을 활용해 신세계그룹 정용진 부회장에게 질문을 던져 봤다.

특정인에게	특정인/NNG+에게/JKB
글을	글/NNG+을/JKO
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
트위터의	트위터/NNP+의/JKG
기능을	기능/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
신세계그룹	신세계그룹/NNP
정용진	정용진/NNP
부회장에게	부회장/NNG+에게/JKB
질문을	질문/NNG+을/JKO
던져	던지/VV+어/EC
봤다.	보/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.95.8.3
“간편 가정식에 관심이 많으시다고 들었는데 실제로 이마트에 납품하는 국내 식품업체를 직접 방문하시는 일이 잦으신가요?”

“간편	“/SS+간편/XR
가정식에	가정식/NNG+에/JKB
관심이	관심/NNG+이/JKS
많으시다고	많/VA+으시/EP+다고/EC
들었는데	듣/VV+었/EP+는데/EC
실제로	실제로/MAG
이마트에	이마트/NNP+에/JKB
납품하는	납품/NNG+하/XSV+는/ETM
국내	국내/NNG
식품업체를	식품업체/NNG+를/JKO
직접	직접/MAG
방문하시는	방문/NNG+하/XSV+시/EP+는/ETM
일이	일/NNG+이/JKS
잦으신가요?”	잦/VA+으시/EP+ㄴ가/EF+요/JX+?/SF+”/SS


# id : NWRW1800000025.95.8.4
최근 국내의 한 식품업체 CEO 집무실에서 정 부회장의 방문기념 사진을 본 기억을 떠올려 던진 질문이었다.

최근	최근/NNG
국내의	국내/NNG+의/JKG
한	한/MMN
식품업체	식품업체/NNG
CEO	CEO/SL
집무실에서	집무실/NNG+에서/JKB
정	정/NNP
부회장의	부회장/NNG+의/JKG
방문기념	방문/NNG+기념/NNG
사진을	사진/NNG+을/JKO
본	보/VV+ㄴ/ETM
기억을	기억/NNG+을/JKO
떠올려	떠올리/VV+어/EC
던진	던지/VV+ㄴ/ETM
질문이었다.	질문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.95.9.1
정 부회장 트위터는 팔로어만 1300여 명.

정	정/NNP
부회장	부회장/NNG
트위터는	트위터/NNP+는/JX
팔로어만	팔로어/NNG+만/JX
1300여	1300/SN+여/XSN
명.	명/NNB+./SF


# id : NWRW1800000025.95.9.2
사실 큰 기대를 하지 않았는데 질문한 지 4시간 만에 정 부회장의 답신을 받았다.

사실	사실/MAG
큰	크/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
하지	하/VV+지/EC
않았는데	않/VX+았/EP+는데/EC
질문한	질문/NNG+하/XSV+ㄴ/ETM
지	지/NNB
4시간	4/SN+시간/NNB
만에	만/NNB+에/JKB
정	정/NNP
부회장의	부회장/NNG+의/JKG
답신을	답신/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.95.9.3
“지난해부터 협력업체를 많이 방문해 왔습니다. 협력업체의 의견도 듣고 우리(신세계)의 정책을 설명드리는 기회를 많이 갖고자 노력하고 있습니다.”

“지난해부터	“/SS+지난해/NNG+부터/JX
협력업체를	협력/NNG+업체/NNG+를/JKO
많이	많이/MAG
방문해	방문/NNG+하/XSV+아/EC
왔습니다.	오/VX+았/EP+습니다/EF+./SF
협력업체의	협력/NNG+업체/NNG+의/JKG
의견도	의견/NNG+도/JX
듣고	듣/VV+고/EC
우리(신세계)의	우리/NP+(/SS+신세계/NNP+)/SS+의/JKG
정책을	정책/NNG+을/JKO
설명드리는	설명/NNG+드리/VV+는/ETM
기회를	기회/NNG+를/JKO
갖고자	갖/VV+고자/EC
노력하고	노력/NNG+하/XSV+고/EC
있습니다.”	있/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000025.95.9.4
SNS가 가진 매력과 가능성을 피부로 느끼는 순간이다.

SNS가	SNS/SL+가/JKS
가진	가지/VV+ㄴ/ETM
매력과	매력/NNG+과/JC
가능성을	가능/NNG+성/XSN+을/JKO
피부로	피부/NNG+로/JKB
느끼는	느끼/VV+는/ETM
순간이다.	순간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.9.5
실제로 홍보팀이나 매니저를 거치지 않아도 되는 트위터를 인터뷰 요청 등에 활용하는 기자들도 있다.

실제로	실제로/MAG
홍보팀이나	홍보/NNG+팀/NNG+이나/JC
매니저를	매니저/NNG+를/JKO
거치지	거치/VV+지/EC
않아도	않/VX+아도/EC
되는	되/VV+는/ETM
트위터를	트위터/NNP+를/JKO
인터뷰	인터뷰/NNG
요청	요청/NNG
등에	등/NNB+에/JKB
활용하는	활용/NNG+하/XSV+는/ETM
기자들도	기자/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.10.1
○ 국내 포털업체 SNS, 휴대전화 활용 편해

○	○/SW
국내	국내/NNG
포털업체	포털/NNG+업체/NNG
SNS,	SNS/SL+,/SP
휴대전화	휴대/NNG+전화/NNG
활용	활용/NNG
편해	편하/VA+아/EF


# id : NWRW1800000025.95.11.1
미투데이 같은 국내 포털업체의 SNS는 학교나 회사 인맥의 활용도를 높였다.

미투데이	미투데이/NNP
같은	같/VA+은/ETM
국내	국내/NNG
포털업체의	포털/NNG+업체/NNG+의/JKG
SNS는	SNS/SL+는/JX
학교나	학교/NNG+나/JC
회사	회사/NNG
인맥의	인맥/NNG+의/JKG
활용도를	활용도/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.95.11.2
미투데이는 가입 과정에서 출신 학교와 회사 등을 입력하면 같은 학교나 직장에 소속된 사람의 리스트를 검색해 보여준다.

미투데이는	미투데이/NNP+는/JX
가입	가입/NNG
과정에서	과정/NNG+에서/JKB
출신	출신/NNG
학교와	학교/NNG+와/JC
회사	회사/NNG
등을	등/NNB+을/JKO
입력하면	입력/NNG+하/XSV+면/EC
같은	같/VA+은/ETM
학교나	학교/NNG+나/JC
직장에	직장/NNG+에/JKB
소속된	소속/NNG+되/XSV+ㄴ/ETM
사람의	사람/NNG+의/JKG
리스트를	리스트/NNG+를/JKO
검색해	검색/NNG+하/XSV+아/EC
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.95.11.3
쉽게 인맥을 확장할 수 있게 해 초보자들의 이용 편의를 높였지만 오프라인 상의 학연을 온라인 공간으로 옮겨온 느낌이라 그리 신선하지는 않다.

쉽게	쉽/VA+게/EC
인맥을	인맥/NNG+을/JKO
확장할	확장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해	하/VX+아/EC
초보자들의	초보자/NNG+들/XSN+의/JKG
이용	이용/NNG
편의를	편의/NNG+를/JKO
높였지만	높이/VV+었/EP+지만/EC
오프라인	오프라인/NNG
상의	상/XSN+의/JKG
학연을	학연/NNG+을/JKO
온라인	온라인/NNG
공간으로	공간/NNG+으로/JKB
옮겨온	옮기/VV+어/EC+오/VX+ㄴ/ETM
느낌이라	느낌/NNG+이/VCP+라/EC
그리	그리/MAG
신선하지는	신선하/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.95.11.4
학교나 회사 정보를 입력해 얻을 수 있는 리스트가 의외로 많지 않은 점도 아쉽다.

학교나	학교/NNG+나/JC
회사	회사/NNG
정보를	정보/NNG+를/JKO
입력해	입력/NNG+하/XSV+아/EC
얻을	얻/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
리스트가	리스트/NNG+가/JKS
의외로	의외로/MAG
많지	많/VA+지/EC
않은	않/VX+은/ETM
점도	점/NNG+도/JX
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000025.95.12.1
국내 SNS의 가장 큰 장점은 휴대전화 활용도를 높였다는 점이다.

국내	국내/NNG
SNS의	SNS/SL+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
장점은	장점/NNG+은/JX
휴대전화	휴대/NNG+전화/NNG
활용도를	활용도/NNG+를/JKO
높였다는	높이/VV+었/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.12.2
트위터는 국내에선 전용 애플리케이션이 설치된 스마트폰이나 풀브라우징이 가능한 휴대전화만이 활용 가능한 반면 미투데이와 요즘 등은 가입을 할 때 휴대전화 번호를 등록하면 문자메시지를 보내는 방식으로 SNS 게시판에 글을 올릴 수 있다.

트위터는	트위터/NNP+는/JX
국내에선	국내/NNG+에서/JKB+ㄴ/JX
전용	전용/NNG
애플리케이션이	애플리케이션/NNG+이/JKS
설치된	설치/NNG+되/XSV+ㄴ/ETM
스마트폰이나	스마트폰/NNG+이나/JC
풀브라우징이	풀/NNG+브라우징/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
휴대전화만이	휴대/NNG+전화/NNG+만/JX+이/JKS
활용	활용/NNG
반면	반면/NNG
미투데이와	미투데이/NNP+와/JC
요즘	요즘/NNG
등은	등/NNB+은/JX
가입을	가입/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
휴대전화	휴대/NNG+전화/NNG
번호를	번호/NNG+를/JKO
등록하면	등록/NNG+하/XSV+면/EC
문자메시지를	문자/NNG+메시지/NNG+를/JKO
보내는	보내/VV+는/ETM
방식으로	방식/NNG+으로/JKB
SNS	SNS/SL
게시판에	게시판/NNG+에/JKB
글을	글/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.13.1
기자가 요즘의 대표번호로 “휴대전화로도 이렇게 포스팅이 된다니. 스마트폰이 없이도…”라고 문자를 보냈더니 거의 동시에 같은 내용의 메시지가 요즘 게시판에 등록됐다.

기자가	기자/NNG+가/JKS
요즘의	요즘/NNG+의/JKG
대표번호로	대표/NNG+번호/NNG+로/JKB
“휴대전화로도	“/SS+휴대/NNG+전화/NNG+로/JKB+도/JX
이렇게	이렇/VA+게/EC
포스팅이	포스팅/NNG+이/JKC
된다니.	되/VV+ㄴ다니/EF+./SF
스마트폰이	스마트폰/NNG+이/JKS
없이도…”라고	없이/MAG+도/JX+…/SE+”/SS+라고/JKQ
문자를	문자/NNG+를/JKO
보냈더니	보내/VV+었/EP+더니/EC
거의	거의/MAG
동시에	동시/NNG+에/JKB
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
메시지가	메시지/NNG+가/JKS
요즘	요즘/NNG
게시판에	게시판/NNG+에/JKB
등록됐다.	등록/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.95.13.2
관심 있는 친구들을 따로 분류해 등록하면 이들이 글을 올렸을 때 휴대전화 문자메시지로 안내를 받을 수도 있다.

관심	관심/NNG
있는	있/VA+는/ETM
친구들을	친구/NNG+들/XSN+을/JKO
따로	따로/MAG
분류해	분류/NNG+하/XSV+아/EC
등록하면	등록/NNG+하/XSV+면/EC
이들이	이/NP+들/XSN+이/JKS
글을	글/NNG+을/JKO
올렸을	올리/VV+었/EP+을/ETM
때	때/NNG
휴대전화	휴대/NNG+전화/NNG
문자메시지로	문자/NNG+메시지/NNG+로/JKB
안내를	안내/NNG+를/JKO
받을	받/VV+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.13.3
커넥팅은 친구들이 글을 올리면 네이트 메신저로 실시간 안내를 받을 수 있다.

커넥팅은	커넥팅/NNG+은/JX
친구들이	친구/NNG+들/XSN+이/JKS
글을	글/NNG+을/JKO
올리면	올리/VV+면/EC
네이트	네이트/NNP
메신저로	메신저/NNG+로/JKB
실시간	실시간/NNG
안내를	안내/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.14.1
SNS의 매력은 무엇보다 최신 트렌드와 속보를 기존의 미디어보다 빨꺸 접할 수 있다는 점에 있다.

SNS의	SNS/SL+의/JKG
매력은	매력/NNG+은/JX
무엇보다	무엇/NP+보다/JKB
최신	최신/NNG
트렌드와	트렌드/NNG+와/JC
속보를	속보/NNG+를/JKO
기존의	기존/NNG+의/JKG
미디어보다	미디어/NNG+보다/JKB
빨꺸	빨꺸/NA
접할	접하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에	점/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.14.2
트위터에선 TV 뉴스에서 출시 소식밖에 접할 수 없는 아이패드의 사용 동영상 링크에 쉽게 접근할 수 있고, 미국 공영라디오(NPR)나 CNN의 트위터를 팔로잉하면 마이클 잭슨 사망이나 아이티의 강진 소식 등을 국내 뉴스보다 앞서 접할 수 있다.

트위터에선	트위터/NNP+에서/JKB+ㄴ/JX
TV	TV/SL
뉴스에서	뉴스/NNG+에서/JKB
출시	출시/NNG
소식밖에	소식/NNG+밖에/JX
접할	접하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
아이패드의	아이패드/NNP+의/JKG
사용	사용/NNG
동영상	동영상/NNG
링크에	링크/NNG+에/JKB
쉽게	쉽/VA+게/EC
접근할	접근/NNG+하/XSV+ㄹ/ETM
있고,	있/VA+고/EC+,/SP
미국	미국/NNP
공영라디오(NPR)나	공영/NNG+라디오/NNG+(/SS+NPR/SL+)/SS+나/JC
CNN의	CNN/SL+의/JKG
트위터를	트위터/NNP+를/JKO
팔로잉하면	팔로잉/NNG+하/XSV+면/EC
마이클	마이클/NNP
잭슨	잭슨/NNP
사망이나	사망/NNG+이나/JC
아이티의	아이티/NNP+의/JKG
강진	강진/NNG
소식	소식/NNG
등을	등/NNB+을/JKO
국내	국내/NNG
뉴스보다	뉴스/NNG+보다/JKB
앞서	앞서/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.95.15.1
SNS 이용자가 늘어나면서 SNS의 활용도를 높여주는 각종 프로그램이 활발히 보급되는 추세다.

SNS	SNS/SL
이용자가	이용자/NNG+가/JKS
늘어나면서	늘어나/VV+면서/EC
SNS의	SNS/SL+의/JKG
활용도를	활용도/NNG+를/JKO
높여주는	높이/VV+어/EC+주/VX+는/ETM
각종	각종/NNG
프로그램이	프로그램/NNG+이/JKS
활발히	활발히/MAG
보급되는	보급/NNG+되/XSV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.15.2
여러 SNS를 동시에 운영하기 힘든 이용자를 위해 트위터에 글을 올리면 같은 글을 미투데이에 게시해 주거나, 블로그에 쓴 글을 SNS로 보내주는 프로그램도 나왔다.

여러	여러/MMN
SNS를	SNS/SL+를/JKO
동시에	동시/NNG+에/JKB
운영하기	운영/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
이용자를	이용자/NNG+를/JKO
위해	위하/VV+아/EC
트위터에	트위터/NNP+에/JKB
글을	글/NNG+을/JKO
올리면	올리/VV+면/EC
같은	같/VA+은/ETM
미투데이에	미투데이/NNP+에/JKB
게시해	게시/NNG+하/XSV+아/EC
주거나,	주/VX+거나/EC+,/SP
블로그에	블로그/NNG+에/JKB
쓴	쓰/VV+ㄴ/ETM
SNS로	SNS/SL+로/JKB
보내주는	보내/VV+어/EC+주/VX+는/ETM
프로그램도	프로그램/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.95.15.3
개별 트위터의 화폐 가치를 측정해 주는 프로그램도 출시돼 인기를 끌고 있다.

개별	개별/NNG
트위터의	트위터/NNP+의/JKG
화폐	화폐/NNG
가치를	가치/NNG+를/JKO
측정해	측정/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
프로그램도	프로그램/NNG+도/JX
출시돼	출시/NNG+되/XSV+어/EC
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.95.16.1
■사이버 인맥 허브 되려면… 정보, 나만의 지식-분석 꾸준히 올리고… 정성, 리플로 맞장구-오프라인 만남도

■사이버	■/SW+사이버/NNG
인맥	인맥/NNG
허브	허브/NNG
되려면…	되/VV+려면/EC+…/SE
정보,	정보/NNG+,/SP
나만의	나/NP+만/JX+의/JKG
지식-분석	지식/NNG+-/SO+분석/NNG
꾸준히	꾸준히/MAG
올리고…	올리/VV+고/EC+…/SE
정성,	정성/NNG+,/SP
리플로	리플/NNG+로/JKB
맞장구-오프라인	맞장구/NNG+-/SO+오프라인/NNG
만남도	만남/NNG+도/JX


# id : NWRW1800000025.95.17.1
인기있는 SNS 게시판 운영자들의 공통점은 역시 꾸준히 글을 올린다는 점이다.

인기있는	인기/NNG+있/VV+는/ETM
SNS	SNS/SL
게시판	게시판/NNG
운영자들의	운영자/NNG+들/XSN+의/JKG
공통점은	공통점/NNG+은/JX
역시	역시/MAG
꾸준히	꾸준히/MAG
글을	글/NNG+을/JKO
올린다는	올리/VV+ㄴ다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.95.17.2
유명인이라 해도 근황이든 감상이든 꾸준히 글을 등록하지 않으면 SNS 세계에서는 금세 잊혀진다.

유명인이라	유명인/NNG+이/VCP+라/EC
해도	하/VV+아도/EC
