# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.368
metadata : {}


# id : NWRW1800000056.368.1.1
자유한국당 ‘위장협치쇼’ 전면전 채비

자유한국당	자유한국당/NNP
강경화	강경화/NNP
후보에	후보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대통령의	대통령/NNG+의/JKG
강행	강행/NNG
여부에	여부/NNG+에/JKB
따라	따르/VV+아/EC
반대표를	반대표/NNG+를/JKO
던져야	던지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
섞여	섞이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.368.7.4
현재 당내 여론상 반대표를 던질 의원이 더 많을 것으로 보인다”고 했다.

현재	현재/MAG
당내	당내/NNG
여론상	여론/NNG+상/XSN
반대표를	반대표/NNG+를/JKO
던질	던지/VV+ㄹ/ETM
의원이	의원/NNG+이/JKS
더	더/MAG
많을	많/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.8.1
오신환 바른정당 대변인도 “어느 정부든 정권 초기에는 높은 지지율이 나오는데, 이를 근거로 부적격 후보를 임명하겠다는 것은 상황을 크게 오판한 것이다.

오신환	오신환/NNP
바른정당	바른정당/NNP
대변인도	대변인/NNG+도/JX
“어느	“/SS+어느/MMD
정부든	정부/NNG+이/VCP+든/EC
정권	정권/NNG
초기에는	초기/NNG+에/JKB+는/JX
높은	높/VA+은/ETM
지지율이	지지/NNG+율/XSN+이/JKS
나오는데,	나오/VV+는데/EC+,/SP
이를	이/NP+를/JKO
근거로	근거/NNG+로/JKB
부적격	부/XPN+적격/NNG
후보를	후보/NNG+를/JKO
임명하겠다는	임명/NNG+하/XSV+겠/EP+다는/ETM
것은	것/NNB+은/JX
상황을	상황/NNG+을/JKO
크게	크/VA+게/EC
오판한	오판/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.368.8.2
문 대통령 논리라면 여론조사로 인사청문회를 하고 국정운영도 여론조사로 하자는 말이 된다.

문	문/NNP
대통령	대통령/NNG
논리라면	논리/NNG+이/VCP+라면/EC
여론조사로	여론/NNG+조사/NNG+로/JKB
인사청문회를	인사/NNG+청문회/NNG+를/JKO
하고	하/VV+고/EC
국정운영도	국정/NNG+운영/NNG+도/JX
하자는	하/VV+자는/ETM
말이	말/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.368.8.3
국회가 존재할 이유가 없다”고 비판했다.

국회가	국회/NNG+가/JKS
존재할	존재/NNG+하/XSV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.9.1
하지만 야당 내에서도 국민 상당수가 박수 치는 일에 무작정 반대하는 것만이 꼭 ‘야당의 길’이냐는 고민도 나온다.

하지만	하지만/MAJ
야당	야당/NNG
내에서도	내/NNB+에서/JKB+도/JX
국민	국민/NNG
상당수가	상당수/NNG+가/JKS
박수	박수/NNG
치는	치/VV+는/ETM
일에	일/NNG+에/JKB
무작정	무/XPN+작정/NNG
반대하는	반대/NNG+하/XSV+는/ETM
것만이	것/NNB+만/JX+이/JKS
꼭	꼭/MAG
‘야당의	‘/SS+야당/NNG+의/JKG
길’이냐는	길/NNG+’/SS+이/VCP+냐는/ETM
고민도	고민/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.368.9.2
자유한국당의 한 중진의원은 “영남권에서는 ‘야당으로 더 강하게 나가라’고 주문하는 요구가 있는 반면, 수도권 지지층에서는 ‘싸워야 할 때 싸우더라도 도울 때는 도우라’는 목소리도 있다”고 말했다.

자유한국당의	자유한국당/NNP+의/JKG
한	한/MMN
중진의원은	중진/NNG+의원/NNG+은/JX
“영남권에서는	“/SS+영남/NNP+권/XSN+에서/JKB+는/JX
‘야당으로	‘/SS+야당/NNG+으로/JKB
더	더/MAG
강하게	강하/VA+게/EC
나가라’고	나가/VV+라/EF+’/SS+고/JKQ
주문하는	주문/NNG+하/XSV+는/ETM
요구가	요구/NNG+가/JKS
있는	있/VA+는/ETM
반면,	반면/NNG+,/SP
수도권	수도/NNG+권/XSN
지지층에서는	지지/NNG+층/XSN+에서/JKB+는/JX
‘싸워야	‘/SS+싸우/VV+어야/EC
할	하/VX+ㄹ/ETM
때	때/NNG
싸우더라도	싸우/VV+더라도/EC
도울	돕/VV+ㄹ/ETM
때는	때/NNG+는/JX
도우라’는	돕/VV+으라/EF+’/SS+는/ETM
목소리도	목소리/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.9.3
국민의당의 한 의원도 “개인적으로 김이수 후보자를 부결시키는 것은 맞지 않는다고 생각한다.

국민의당의	국민의당/NNP+의/JKG
한	한/MMN
의원도	의원/NNG+도/JX
“개인적으로	“/SS+개인/NNG+적/XSN+으로/JKB
김이수	김이수/NNP
후보자를	후보자/NNG+를/JKO
부결시키는	부결/NNG+시키/XSV+는/ETM
것은	것/NNB+은/JX
맞지	맞/VV+지/EC
않는다고	않/VX+는다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.368.9.4
다른 의원들을 좀 더 설득해볼 예정”이라고 했다.

다른	다른/MMD
의원들을	의원/NNG+들/XSN+을/JKO
좀	좀/MAG
더	더/MAG
설득해볼	설득/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.9.5
바른정당의 한 의원은 “‘야당은 이래야 한다’는 관성이 작동하다보니 자유한국당과 차별성이 사라지고 있다”고 했다.

바른정당의	바른정당/NNP+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“‘야당은	“/SS+‘/SS+야당/NNG+은/JX
이래야	이렇/VA+어야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
관성이	관성/NNG+이/JKS
작동하다보니	작동/NNG+하/XSV+다/EC+보/VX+니/EC
자유한국당과	자유한국당/NNP+과/JKB
차별성이	차별/NNG+성/XSN+이/JKS
사라지고	사라지/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.368.10.1
더불어민주당 우원식, 자유한국당 정우택, 국민의당 김동철, 바른정당 주호영 원내대표는 이날 오후 서울 여의도 한 호텔에서 긴급 회동을 갖고 인사청문 처리 문제 등을 논의했지만 이렇다 할 절충점을 찾지 못하면서, 여야 대치는 상당 기간 지속될 것으로 보인다.

더불어민주당	더불어민주당/NNP
우원식,	우원식/NNP+,/SP
자유한국당	자유한국당/NNP
정우택,	정우택/NNP+,/SP
국민의당	국민의당/NNP
김동철,	김동철/NNP+,/SP
바른정당	바른정당/NNP
주호영	주호영/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
여의도	여의도/NNP
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
긴급	긴급/NNG
회동을	회동/NNG+을/JKO
갖고	갖/VV+고/EC
인사청문	인사/NNG+청문/NNG
처리	처리/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
논의했지만	논의/NNG+하/XSV+았/EP+지만/EC
이렇다	이렇/VA+다/EF
할	하/VV+ㄹ/ETM
절충점을	절충점/NNG+을/JKO
찾지	찾/VV+지/EC
못하면서,	못하/VX+면서/EC+,/SP
여야	여야/NNG
대치는	대치/NNG+는/JX
상당	상당/NNG
기간	기간/NNG
지속될	지속/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


